row  column  (images_23_350.edf Fe-K*images_23_350.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  2.858e+07
0  4  2.22003e+07
0  5  3.04856e+07
0  6  3.55461e+07
0  7  3.77432e+07
0  8  6.55709e+07
0  9  5.62548e+07
0  10  1.10783e+08
0  11  6.40209e+07
0  12  8.04351e+07
0  13  8.75259e+07
0  14  8.24897e+07
0  15  1.00865e+08
0  16  1.22051e+08
0  17  1.14259e+08
0  18  1.37244e+08
0  19  1.32264e+08
0  20  1.01445e+08
0  21  1.25739e+08
0  22  1.12689e+08
0  23  1.10929e+08
0  24  9.74187e+07
0  25  1.01188e+08
0  26  1.23875e+08
0  27  1.32108e+08
0  28  1.23912e+08
0  29  1.30047e+08
0  30  1.30078e+08
0  31  1.17433e+08
0  32  1.04885e+08
0  33  1.17057e+08
0  34  1.15689e+08
0  35  9.05105e+07
0  36  8.23024e+07
0  37  6.73078e+07
0  38  5.93722e+07
0  39  6.00883e+07
0  40  6.29058e+07
0  41  7.83891e+07
0  42  4.45496e+07
0  43  6.56098e+07
0  44  4.29254e+07
0  45  3.89027e+07
0  46  5.10208e+07
0  47  1.35426e+08
0  48  6.91759e+07
0  49  4.35723e+07
0  50  5.43543e+07
0  51  6.05424e+07
0  52  3.85957e+07
0  53  5.26818e+07
0  54  3.50528e+07
0  55  4.30128e+07
0  56  3.35822e+07
0  57  4.05933e+07
0  58  4.24479e+07
0  59  4.43929e+07
0  60  3.61362e+07
0  61  2.88997e+07
0  62  4.61318e+07
0  63  3.12855e+07
0  64  4.30026e+07
0  65  2.79685e+07
0  66  3.35861e+07
0  67  4.57038e+07
0  68  7.90555e+07
0  69  3.41244e+07
0  70  3.62722e+07
0  71  3.18544e+07
0  72  4.06429e+07
0  73  3.86343e+07
0  74  3.57359e+07
0  75  3.68099e+07
0  76  3.90791e+07
0  77  3.63832e+07
0  78  4.23659e+07
0  79  4.96207e+07
0  80  3.91294e+07
1  0  0
1  1  0
1  2  1.07533e+07
1  3  1.34446e+07
1  4  2.42321e+07
1  5  3.6744e+07
1  6  4.37134e+07
1  7  5.51815e+07
1  8  6.15325e+07
1  9  8.12847e+07
1  10  1.00596e+08
1  11  8.94438e+07
1  12  9.95942e+07
1  13  1.07139e+08
1  14  1.00586e+08
1  15  9.80756e+07
1  16  1.04938e+08
1  17  9.77311e+07
1  18  1.44843e+08
1  19  1.21549e+08
1  20  1.12498e+08
1  21  1.14346e+08
1  22  1.03814e+08
1  23  1.07828e+08
1  24  1.04299e+08
1  25  9.81836e+07
1  26  1.0669e+08
1  27  1.34207e+08
1  28  1.34363e+08
1  29  1.23863e+08
1  30  1.16126e+08
1  31  1.01634e+08
1  32  9.84992e+07
1  33  1.16967e+08
1  34  9.88801e+07
1  35  7.57386e+07
1  36  7.26014e+07
1  37  5.06878e+07
1  38  6.12474e+07
1  39  4.65907e+07
1  40  7.08771e+07
1  41  5.66135e+07
1  42  3.47217e+07
1  43  3.5051e+07
1  44  4.89143e+07
1  45  5.75233e+07
1  46  4.02943e+07
1  47  1.31193e+08
1  48  5.51653e+07
1  49  3.89424e+07
1  50  5.39094e+07
1  51  5.35517e+07
1  52  4.41999e+07
1  53  3.97348e+07
1  54  3.33743e+07
1  55  2.92307e+07
1  56  4.35069e+07
1  57  4.53926e+07
1  58  4.55776e+07
1  59  3.60952e+07
1  60  3.59026e+07
1  61  4.15907e+07
1  62  3.08426e+07
1  63  4.06402e+07
1  64  2.93471e+07
1  65  3.33421e+07
1  66  4.37407e+07
1  67  3.66533e+07
1  68  5.50583e+07
1  69  3.21148e+07
1  70  4.29074e+07
1  71  4.25416e+07
1  72  3.14177e+07
1  73  2.92219e+07
1  74  4.4434e+07
1  75  4.03962e+07
1  76  4.06279e+07
1  77  4.00205e+07
1  78  4.16304e+07
1  79  3.17687e+07
1  80  5.59373e+07
2  0  0
2  1  0
2  2  7.18476e+06
2  3  2.89126e+07
2  4  2.09241e+07
2  5  3.16566e+07
2  6  5.18172e+07
2  7  7.14407e+07
2  8  6.91253e+07
2  9  6.98885e+07
2  10  1.0362e+08
2  11  1.07799e+08
2  12  9.77318e+07
2  13  1.07398e+08
2  14  1.02854e+08
2  15  1.08339e+08
2  16  1.08841e+08
2  17  1.12941e+08
2  18  1.28453e+08
2  19  1.27098e+08
2  20  1.06503e+08
2  21  1.24141e+08
2  22  8.8104e+07
2  23  9.77486e+07
2  24  1.19385e+08
2  25  1.07223e+08
2  26  1.32324e+08
2  27  1.41484e+08
2  28  1.49734e+08
2  29  1.34152e+08
2  30  1.24851e+08
2  31  9.9612e+07
2  32  1.00179e+08
2  33  8.80345e+07
2  34  9.47499e+07
2  35  6.14966e+07
2  36  6.19308e+07
2  37  4.03898e+07
2  38  4.47846e+07
2  39  5.20867e+07
2  40  6.09439e+07
2  41  6.22908e+07
2  42  3.96802e+07
2  43  5.532e+07
2  44  4.43505e+07
2  45  3.81623e+07
2  46  4.0933e+07
2  47  9.3205e+07
2  48  4.66181e+07
2  49  3.95813e+07
2  50  5.84719e+07
2  51  5.91725e+07
2  52  5.63146e+07
2  53  5.5609e+07
2  54  4.43147e+07
2  55  3.59955e+07
2  56  5.01919e+07
2  57  3.55432e+07
2  58  3.33231e+07
2  59  3.60317e+07
2  60  3.70173e+07
2  61  4.15985e+07
2  62  3.23113e+07
2  63  2.34179e+07
2  64  3.6252e+07
2  65  3.65174e+07
2  66  3.32556e+07
2  67  4.83914e+07
2  68  5.88392e+07
2  69  2.64726e+07
2  70  2.77551e+07
2  71  5.00035e+07
2  72  4.57944e+07
2  73  2.93084e+07
2  74  3.98139e+07
2  75  2.32146e+07
2  76  3.7996e+07
2  77  3.4921e+07
2  78  4.4525e+07
2  79  5.17229e+07
2  80  4.29365e+07
3  0  0
3  1  0
3  2  1.5427e+07
3  3  3.34288e+07
3  4  2.29855e+07
3  5  3.76798e+07
3  6  4.91937e+07
3  7  5.54873e+07
3  8  6.09479e+07
3  9  9.51361e+07
3  10  9.72739e+07
3  11  9.35331e+07
3  12  1.11971e+08
3  13  9.72127e+07
3  14  1.02145e+08
3  15  1.26434e+08
3  16  1.07115e+08
3  17  1.11978e+08
3  18  1.28154e+08
3  19  1.31708e+08
3  20  1.26039e+08
3  21  1.11193e+08
3  22  1.06388e+08
3  23  1.03168e+08
3  24  1.21469e+08
3  25  1.35909e+08
3  26  1.39501e+08
3  27  1.40691e+08
3  28  1.56136e+08
3  29  1.27905e+08
3  30  1.13912e+08
3  31  9.69726e+07
3  32  9.60926e+07
3  33  7.32794e+07
3  34  6.90141e+07
3  35  5.93178e+07
3  36  5.80578e+07
3  37  4.00181e+07
3  38  5.09287e+07
3  39  3.51857e+07
3  40  5.27355e+07
3  41  4.53229e+07
3  42  2.69542e+07
3  43  4.17457e+07
3  44  3.91632e+07
3  45  2.86632e+07
3  46  6.49516e+07
3  47  7.82432e+07
3  48  4.68945e+07
3  49  4.26759e+07
3  50  8.42186e+07
3  51  5.26642e+07
3  52  5.69729e+07
3  53  5.62377e+07
3  54  3.96623e+07
3  55  2.95074e+07
3  56  5.31148e+07
3  57  4.17424e+07
3  58  4.2459e+07
3  59  5.10823e+07
3  60  2.51945e+07
3  61  4.89188e+07
3  62  5.28516e+07
3  63  3.45636e+07
3  64  3.20365e+07
3  65  2.9851e+07
3  66  2.83541e+07
3  67  3.49234e+07
3  68  4.70767e+07
3  69  3.21742e+07
