row  column  (images_32.edf K-K*images_32.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  3.45945e+07
0  3  3.02829e+07
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  2.99384e+06
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  2.14955e+07
0  24  2.37284e+07
0  25  3.57415e+07
0  26  4.56481e+07
0  27  4.76579e+07
0  28  2.23927e+07
0  29  3.47863e+07
0  30  3.50751e+07
0  31  1.47902e+07
0  32  2.7897e+07
0  33  2.62572e+07
0  34  2.52537e+07
0  35  5.64554e+07
0  36  4.48657e+07
0  37  3.22147e+07
0  38  4.91717e+07
0  39  5.08908e+07
0  40  4.77535e+07
0  41  6.20258e+07
0  42  8.3152e+07
0  43  6.30372e+07
0  44  5.40818e+07
0  45  8.09432e+07
0  46  5.6116e+07
0  47  9.02323e+07
0  48  7.65763e+07
0  49  5.61623e+07
0  50  8.11876e+07
1  0  0
1  1  2.2821e+07
1  2  7.05504e+07
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  0
1  18  0
1  19  0
1  20  0
1  21  1.47207e+07
1  22  0
1  23  0
1  24  0
1  25  5.74248e+07
1  26  3.99276e+07
1  27  2.25549e+07
1  28  2.95777e+07
1  29  2.89704e+07
1  30  2.7901e+07
1  31  2.28605e+07
1  32  5.19333e+07
1  33  3.34029e+07
1  34  3.84839e+07
1  35  2.06936e+07
1  36  3.89276e+07
1  37  3.13375e+07
1  38  3.14553e+07
1  39  4.02306e+07
1  40  7.01447e+07
1  41  1.0455e+08
1  42  9.23384e+07
1  43  9.41663e+07
1  44  7.34006e+07
1  45  6.93307e+07
1  46  6.45117e+07
1  47  7.87405e+07
1  48  6.26938e+07
1  49  6.02796e+07
1  50  1.06694e+08
2  0  0
2  1  2.56523e+07
2  2  7.78394e+07
2  3  3.17169e+07
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  2.58221e+06
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  1.72303e+07
2  22  0
2  23  1.98444e+07
2  24  2.93005e+07
2  25  2.79986e+07
2  26  1.3298e+07
2  27  2.04174e+07
2  28  5.11736e+07
2  29  4.73665e+07
2  30  3.36167e+07
2  31  2.57475e+07
2  32  4.99206e+07
2  33  3.83695e+07
2  34  1.08732e+07
2  35  4.49607e+07
2  36  1.89222e+07
2  37  3.20673e+07
2  38  4.61143e+07
2  39  4.70027e+07
2  40  6.36624e+07
2  41  7.28715e+07
2  42  7.92906e+07
2  43  8.23405e+07
2  44  6.9341e+07
2  45  8.2896e+07
2  46  7.35052e+07
2  47  1.03657e+08
2  48  6.6727e+07
2  49  1.12755e+08
2  50  5.33552e+07
3  0  2.38733e+07
3  1  1.47652e+07
3  2  5.94973e+07
3  3  3.09949e+07
3  4  1.49738e+07
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  0
3  12  0
3  13  0
3  14  0
3  15  0
3  16  1.79222e+07
3  17  0
3  18  0
3  19  1.53211e+07
3  20  0
3  21  0
3  22  1.86407e+07
3  23  2.10673e+07
3  24  0
3  25  4.58184e+07
3  26  4.24289e+07
3  27  3.26338e+07
3  28  1.83641e+07
3  29  5.19426e+07
3  30  3.70735e+07
3  31  4.11773e+07
3  32  5.06973e+07
3  33  4.34247e+07
3  34  1.98712e+07
3  35  3.26547e+07
3  36  5.23935e+07
3  37  4.33993e+07
3  38  2.00322e+07
3  39  3.67613e+07
3  40  9.05473e+07
3  41  8.91158e+07
3  42  8.28912e+07
3  43  1.09084e+08
3  44  5.25491e+07
3  45  8.28377e+07
3  46  1.06172e+08
3  47  7.91676e+07
3  48  9.83837e+07
3  49  5.91042e+07
3  50  1.07229e+08
4  0  0
4  1  0
4  2  3.46187e+07
4  3  0
4  4  0
4  5  0
4  6  0
4  7  0
4  8  0
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  1.98869e+07
4  16  0
4  17  0
4  18  0
4  19  1.45235e+07
4  20  0
4  21  1.51448e+07
4  22  0
4  23  2.46482e+07
4  24  1.36107e+07
4  25  0
4  26  2.95563e+07
4  27  1.52835e+07
4  28  3.18768e+07
4  29  2.31423e+07
4  30  2.40609e+07
4  31  2.47084e+07
4  32  5.19083e+07
4  33  4.35418e+07
4  34  6.36119e+07
4  35  1.12368e+07
4  36  4.06569e+07
4  37  1.58348e+07
4  38  6.89393e+07
4  39  5.16268e+07
4  40  1.0301e+08
4  41  1.05272e+08
4  42  1.26627e+08
4  43  5.94115e+07
4  44  7.58521e+07
4  45  8.29772e+07
4  46  7.23815e+07
4  47  6.94486e+07
4  48  8.61296e+07
4  49  7.91959e+07
4  50  8.18042e+07
5  0  0
5  1  1.34753e+07
5  2  2.33042e+07
5  3  5.90029e+06
5  4  0
5  5  0
5  6  0
5  7  0
5  8  1.85018e+07
5  9  0
5  10  0
5  11  0
5  12  0
5  13  0
5  14  1.52292e+07
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  0
5  21  1.70868e+07
5  22  4.69335e+07
5  23  0
5  24  2.00915e+07
5  25  5.04375e+07
5  26  3.08275e+07
5  27  3.8402e+07
5  28  1.82756e+07
5  29  6.73376e+07
5  30  2.57363e+07
5  31  2.34688e+07
5  32  3.2286e+07
5  33  3.70256e+07
5  34  2.92698e+07
5  35  4.53198e+07
5  36  4.10619e+07
5  37  2.54346e+07
5  38  4.4134e+07
5  39  8.52676e+07
5  40  9.47639e+07
5  41  9.79805e+07
5  42  1.12218e+08
5  43  7.91934e+07
5  44  6.73677e+07
5  45  8.79643e+07
5  46  9.17068e+07
5  47  9.50453e+07
5  48  9.01595e+07
5  49  7.57419e+07
5  50  7.43698e+07
6  0  0
6  1  2.08486e+07
6  2  1.62257e+07
6  3  2.61168e+07
6  4  0
6  5  9.90478e+06
6  6  0
6  7  0
6  8  0
6  9  0
6  10  0
6  11  0
6  12  0
6  13  0
6  14  0
6  15  2.42053e+07
6  16  0
6  17  0
6  18  0
6  19  1.91409e+07
6  20  0
6  21  2.50727e+07
6  22  2.76483e+07
6  23  5.00293e+07
6  24  4.47145e+07
6  25  3.48088e+07
6  26  0
6  27  2.55269e+07
6  28  3.69911e+07
6  29  4.0537e+07
6  30  4.21835e+07
6  31  3.83547e+07
6  32  4.34369e+07
6  33  4.08449e+07
6  34  5.01949e+07
6  35  2.86413e+07
6  36  2.22812e+07
6  37  3.40966e+07
6  38  5.20421e+07
6  39  6.07797e+07
6  40  7.69025e+07
6  41  9.41735e+07
6  42  6.89196e+07
6  43  6.0618e+07
6  44  5.03568e+07
6  45  7.19402e+07
6  46  8.16226e+07
6  47  9.00175e+07
6  48  1.04375e+08
6  49  7.46742e+07
6  50  8.23566e+07
7  0  0
7  1  1.8071e+07
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  0
7  8  0
7  9  0
7  10  0
7  11  0
7  12  0
7  13  0
7  14  0
7  15  0
7  16  0
7  17  0
7  18  0
7  19  0
7  20  0
7  21  4.30159e+07
7  22  0
7  23  6.48255e+07
7  24  1.90194e+07
7  25  1.93e+07
7  26  3.26397e+07
