row  column  (images_32.edf P-K*images_32.edf Ar-K**2.3)
6  12  1.78417e+07
6  13  0
6  14  0
6  15  3.22845e+07
6  16  2.86344e+07
6  17  7.92263e+06
6  18  0
6  19  1.66968e+07
6  20  0
6  21  1.96603e+07
6  22  3.30235e+07
6  23  2.06795e+07
6  24  4.28561e+07
6  25  0
6  26  1.54614e+07
6  27  1.62185e+07
6  28  1.59331e+07
6  29  1.2218e+07
6  30  6.95598e+06
6  31  0
6  32  0
6  33  1.24484e+07
6  34  1.58209e+07
6  35  1.83442e+07
6  36  7.48577e+06
6  37  2.0667e+07
6  38  1.04687e+07
6  39  1.45877e+07
6  40  2.27401e+06
6  41  1.73026e+07
6  42  5.67251e+06
6  43  9.03964e+06
6  44  9.61147e+06
6  45  2.09325e+07
6  46  1.2968e+07
6  47  5.08544e+06
6  48  1.95249e+07
6  49  1.21122e+07
6  50  2.8072e+07
7  0  0
7  1  0
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  0
7  8  5.82341e+07
7  9  3.40341e+07
7  10  3.14997e+07
7  11  1.94454e+07
7  12  1.11461e+07
7  13  8.81595e+06
7  14  1.35442e+07
7  15  3.73247e+07
7  16  3.32777e+07
7  17  1.39213e+07
7  18  0
7  19  1.21117e+07
7  20  0
7  21  1.9119e+07
7  22  0
7  23  3.26881e+07
7  24  2.10159e+07
7  25  1.20156e+07
7  26  0
7  27  5.73529e+06
7  28  0
7  29  1.27703e+07
7  30  1.39547e+07
7  31  0
7  32  3.77529e+06
7  33  0
7  34  6.34267e+06
7  35  1.47155e+07
7  36  0
7  37  6.72236e+06
7  38  5.53836e+06
7  39  1.36638e+07
7  40  4.21863e+06
7  41  1.41423e+07
7  42  1.79678e+07
7  43  1.24368e+07
7  44  1.66478e+07
7  45  2.61191e+07
7  46  1.81581e+07
7  47  0
7  48  1.87631e+07
7  49  3.08409e+07
7  50  4.23419e+07
8  0  0
8  1  0
8  2  0
8  3  0
8  4  0
8  5  0
8  6  0
8  7  1.45021e+07
8  8  3.41654e+07
8  9  5.34467e+07
8  10  3.01902e+07
8  11  1.73926e+07
8  12  1.22377e+07
8  13  2.10738e+07
8  14  1.20506e+07
8  15  1.93274e+07
8  16  2.42704e+07
8  17  0
8  18  2.05809e+07
8  19  1.15857e+07
8  20  1.30312e+07
8  21  1.04216e+07
8  22  7.52818e+06
8  23  3.08784e+07
8  24  1.97463e+07
8  25  1.64346e+07
8  26  7.3273e+06
8  27  1.69782e+07
8  28  1.70929e+07
8  29  1.41809e+07
8  30  0
8  31  0
8  32  1.17445e+07
8  33  6.49371e+06
8  34  1.31532e+07
8  35  1.16113e+07
8  36  1.19758e+07
8  37  7.82563e+06
8  38  1.38002e+07
8  39  1.75515e+07
8  40  2.66108e+07
8  41  2.27264e+07
8  42  2.29137e+07
8  43  2.88618e+07
8  44  3.14823e+07
8  45  2.52781e+07
8  46  1.01391e+07
8  47  3.14205e+06
8  48  8.06245e+06
8  49  3.48147e+07
8  50  3.02984e+07
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  0
9  6  9.16156e+06
9  7  1.91208e+07
9  8  3.31813e+07
9  9  2.03634e+07
9  10  1.91077e+07
9  11  1.65558e+07
9  12  7.99121e+06
9  13  2.15135e+07
9  14  1.47574e+06
9  15  2.59712e+07
9  16  1.12936e+07
9  17  1.29614e+07
9  18  8.46283e+06
9  19  1.71938e+07
9  20  9.2916e+06
9  21  0
9  22  7.42294e+06
9  23  2.78707e+07
9  24  2.2758e+07
9  25  1.53774e+07
9  26  1.90922e+07
9  27  9.42564e+06
9  28  7.9679e+06
9  29  1.92528e+07
9  30  0
9  31  0
9  32  4.68084e+06
9  33  0
9  34  0
9  35  9.20918e+06
9  36  1.39204e+07
9  37  9.54309e+06
9  38  1.74357e+07
9  39  2.40368e+07
9  40  3.33505e+07
9  41  2.77498e+07
9  42  2.52442e+06
9  43  2.58749e+07
9  44  1.66358e+07
9  45  2.32012e+07
9  46  1.04542e+07
9  47  4.01479e+06
9  48  1.62276e+07
9  49  2.59058e+07
9  50  3.97609e+07
10  0  0
10  1  744252
10  2  8.48048e+06
10  3  5.66653e+06
10  4  0
10  5  0
10  6  1.38028e+07
10  7  2.44477e+07
10  8  8.60738e+06
10  9  1.63739e+07
10  10  1.31735e+07
10  11  1.17611e+07
10  12  9.42398e+06
10  13  7.19491e+06
10  14  8.63135e+06
10  15  1.63073e+07
10  16  2.82578e+07
10  17  0
10  18  1.26046e+07
10  19  1.53889e+07
10  20  3.34057e+07
10  21  1.47617e+07
10  22  2.14451e+07
10  23  2.42186e+07
10  24  2.14838e+07
10  25  3.60243e+07
10  26  1.12889e+07
10  27  1.27847e+07
10  28  0
10  29  3.98845e+06
10  30  5.31775e+06
10  31  0
10  32  0
10  33  0
10  34  1.51455e+07
10  35  1.62968e+07
10  36  7.28008e+06
10  37  1.74595e+07
10  38  1.18084e+07
10  39  8.48333e+06
10  40  2.26438e+07
10  41  1.28612e+07
10  42  1.21213e+07
10  43  2.71517e+07
10  44  5.82941e+06
10  45  4.10652e+06
10  46  6.05533e+06
10  47  1.26762e+07
10  48  2.49097e+07
10  49  2.76848e+07
10  50  3.2928e+07
11  0  0
11  1  0
11  2  1.27333e+07
11  3  9.97212e+06
11  4  0
11  5  0
11  6  6.199e+06
11  7  2.02541e+07
11  8  1.24017e+07
11  9  4.51089e+06
11  10  1.70679e+07
11  11  0
11  12  6.771e+06
11  13  1.00946e+07
11  14  0
11  15  1.91781e+07
11  16  8.96707e+06
11  17  0
11  18  1.36104e+07
11  19  1.08762e+07
11  20  1.58591e+07
11  21  0
11  22  2.31874e+07
11  23  3.5462e+07
11  24  9.46225e+06
11  25  1.53716e+07
11  26  3.25706e+07
11  27  0
11  28  0
11  29  8.5638e+06
11  30  7.81778e+06
11  31  0
11  32  0
11  33  4.21521e+06
11  34  1.02887e+07
11  35  1.30867e+07
11  36  2.2818e+07
11  37  0
11  38  1.79125e+07
11  39  2.86599e+07
11  40  1.81946e+07
11  41  2.56779e+07
11  42  2.78443e+07
11  43  8.94707e+06
11  44  2.92883e+07
11  45  6.17513e+06
11  46  2.85445e+06
11  47  1.67194e+07
11  48  0
