row  column  (images_19_742.edf P-K*images_19_742.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  3.16644e+06
0  16  0
0  17  3.02306e+06
0  18  5.28171e+06
0  19  3.96372e+06
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  0
0  30  0
0  31  0
0  32  0
0  33  0
0  34  0
0  35  0
0  36  0
0  37  3.57852e+06
0  38  0
0  39  4.81656e+06
0  40  1.10908e+07
0  41  0
0  42  0
0  43  0
0  44  0
0  45  6.3992e+06
0  46  6.60672e+06
0  47  0
0  48  4.98985e+06
0  49  0
0  50  2.40273e+06
0  51  0
0  52  0
0  53  0
0  54  0
0  55  0
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  2.3453e+06
1  14  0
1  15  0
1  16  0
1  17  0
1  18  4.31313e+06
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  0
1  30  0
1  31  0
1  32  3.47577e+06
1  33  0
1  34  0
1  35  0
1  36  5.78824e+06
1  37  0
1  38  0
1  39  0
1  40  0
1  41  0
1  42  5.22913e+06
1  43  0
1  44  0
1  45  0
1  46  5.53314e+06
1  47  0
1  48  0
1  49  0
1  50  0
1  51  0
1  52  0
1  53  1.16803e+06
1  54  0
1  55  913867
2  0  0
2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  0
2  28  0
2  29  0
2  30  5.4605e+06
2  31  4.45955e+06
2  32  0
2  33  4.7369e+06
2  34  4.21571e+06
2  35  4.30133e+06
2  36  0
2  37  7.67989e+06
2  38  0
2  39  0
2  40  0
2  41  0
2  42  6.24791e+06
2  43  0
2  44  3.9677e+06
2  45  0
2  46  0
2  47  4.9696e+06
2  48  0
2  49  0
2  50  0
2  51  0
2  52  0
2  53  0
2  54  0
2  55  0
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  0
3  12  0
3  13  0
3  14  4.51844e+06
3  15  0
3  16  0
3  17  0
3  18  3.99329e+06
3  19  0
3  20  0
3  21  0
3  22  0
3  23  0
3  24  0
3  25  0
3  26  0
3  27  0
3  28  3.97158e+06
3  29  0
3  30  6.48041e+06
3  31  3.691e+06
3  32  5.27637e+06
3  33  6.69239e+06
3  34  0
3  35  4.79583e+06
3  36  0
3  37  3.8766e+06
3  38  4.90948e+06
3  39  6.31225e+06
3  40  4.88843e+06
3  41  2.92727e+06
3  42  0
3  43  9.94861e+06
3  44  5.79157e+06
3  45  5.01042e+06
3  46  5.48835e+06
3  47  0
3  48  0
3  49  0
3  50  5.16845e+06
3  51  5.56787e+06
3  52  3.49479e+06
3  53  2.49764e+06
3  54  0
3  55  256084
4  0  0
4  1  0
4  2  0
4  3  0
4  4  0
4  5  0
4  6  0
4  7  0
4  8  0
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  3.42328e+06
4  16  0
4  17  0
4  18  0
4  19  5.24378e+06
4  20  0
4  21  5.16076e+06
4  22  0
4  23  0
4  24  0
4  25  0
4  26  0
4  27  0
4  28  3.78638e+06
4  29  0
4  30  4.52237e+06
4  31  0
4  32  0
4  33  6.54769e+06
4  34  0
4  35  3.70183e+06
4  36  9.27129e+06
4  37  0
4  38  5.73232e+06
4  39  7.76806e+06
4  40  8.95332e+06
4  41  0
4  42  0
4  43  0
4  44  5.51182e+06
4  45  0
4  46  9.85599e+06
4  47  5.58877e+06
4  48  8.00705e+06
4  49  6.54281e+06
4  50  9.19691e+06
4  51  5.16171e+06
4  52  4.24517e+06
4  53  0
4  54  218935
4  55  1.57025e+06
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  0
5  8  0
5  9  0
5  10  0
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  0
5  21  2.81207e+06
5  22  0
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  0
5  29  1.71355e+06
5  30  0
5  31  7.51409e+06
5  32  5.78503e+06
5  33  4.03671e+06
5  34  4.51869e+06
5  35  0
5  36  8.49538e+06
5  37  0
5  38  1.03291e+07
5  39  4.9096e+06
5  40  6.14131e+06
5  41  0
5  42  9.37894e+06
5  43  0
5  44  5.36133e+06
5  45  5.59667e+06
5  46  6.90036e+06
5  47  7.80142e+06
5  48  4.95558e+06
5  49  4.66083e+06
5  50  4.18515e+06
5  51  0
5  52  2.3355e+06
5  53  0
5  54  0
5  55  0
6  0  0
6  1  0
6  2  0
6  3  0
6  4  0
6  5  0
6  6  0
6  7  0
6  8  0
6  9  0
6  10  0
6  11  0
6  12  0
6  13  0
6  14  0
6  15  0
6  16  0
6  17  0
6  18  0
6  19  0
6  20  0
6  21  0
6  22  0
6  23  0
6  24  0
6  25  0
6  26  0
6  27  0
6  28  5.60733e+06
6  29  0
6  30  7.72368e+06
6  31  0
6  32  2.8888e+06
6  33  4.09643e+06
6  34  3.09614e+06
6  35  6.32759e+06
6  36  4.57315e+06
6  37  4.72448e+06
6  38  4.45243e+06
6  39  4.86515e+06
6  40  6.57549e+06
6  41  7.553e+06
6  42  6.68255e+06
6  43  4.68602e+06
6  44  0
6  45  7.42436e+06
6  46  1.01613e+07
6  47  8.32261e+06
6  48  4.33652e+06
6  49  6.28224e+06
6  50  0
6  51  0
6  52  4.16858e+06
6  53  2.97809e+06
6  54  6.80845e+06
6  55  0
7  0  0
7  1  0
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  0
7  8  0
7  9  0
7  10  0
7  11  0
7  12  0
7  13  2.72163e+06
7  14  0
7  15  0
7  16  0
7  17  0
7  18  0
7  19  0
7  20  0
7  21  0
7  22  0
7  23  0
7  24  0
7  25  0
7  26  0
7  27  0
7  28  0
7  29  0
7  30  499491
7  31  3.99711e+06
7  32  0
7  33  5.72448e+06
7  34  8.44064e+06
7  35  3.92276e+06
7  36  0
7  37  5.68123e+06
7  38  0
7  39  7.94736e+06
7  40  0
7  41  4.97785e+06
7  42  1.70173e+06
7  43  7.64416e+06
7  44  0
7  45  0
7  46  9.98013e+06
7  47  4.10979e+06
7  48  0
7  49  0
7  50  0
7  51  3.43735e+06
7  52  5.33884e+06
7  53  4.74279e+06
7  54  5.16604e+06
7  55  3.93732e+06
8  0  0
8  1  0
8  2  0
8  3  0
8  4  0
8  5  0
8  6  0
8  7  0
8  8  0
8  9  0
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  0
8  16  0
8  17  0
8  18  0
8  19  0
8  20  0
8  21  0
8  22  0
8  23  0
8  24  0
8  25  0
8  26  3.79436e+06
8  27  4.21349e+06
8  28  0
8  29  0
8  30  0
8  31  0
8  32  3.91174e+06
8  33  0
8  34  5.56653e+06
8  35  0
8  36  6.45417e+06
