row  column  (images_19_742.edf Cu-K*images_19_742.edf Ar-K**2.3)
0  0  7.01772e+06
0  1  1.33435e+06
0  2  1.59584e+06
0  3  0
0  4  2.11576e+06
0  5  1.96892e+06
0  6  2.21586e+06
0  7  202559
0  8  2.73681e+06
0  9  1.083e+07
0  10  6.32633e+06
0  11  5.8484e+06
0  12  3.63887e+06
0  13  6.24547e+06
0  14  1.97385e+06
0  15  2.35173e+06
0  16  2.00402e+06
0  17  1.34989e+07
0  18  0
0  19  6.1138e+06
0  20  0
0  21  7.9887e+06
0  22  2.90608e+06
0  23  0
0  24  6.52329e+06
0  25  2.26926e+06
0  26  7.58563e+06
0  27  6.02639e+06
0  28  4.85193e+06
0  29  8.70493e+06
0  30  2.53792e+06
0  31  1.14774e+07
0  32  2.00731e+06
0  33  4.97368e+06
0  34  8.44645e+06
0  35  2.68436e+06
0  36  0
0  37  8.89249e+06
0  38  0
0  39  1.27568e+06
0  40  4.26716e+06
0  41  0
0  42  1.24189e+07
0  43  5.79337e+06
0  44  5.60507e+06
0  45  3.8401e+06
0  46  0
0  47  3.25243e+06
0  48  2.4885e+06
0  49  1.00169e+07
0  50  2.10195e+06
0  51  6.02395e+06
0  52  3.88739e+06
0  53  2.23877e+06
0  54  5.67206e+06
0  55  4.8459e+06
1  0  3.63145e+06
1  1  2.27018e+06
1  2  5.1546e+06
1  3  736651
1  4  0
1  5  3.30709e+06
1  6  3.83301e+06
1  7  3.61814e+06
1  8  0
1  9  2.69591e+06
1  10  0
1  11  6.72523e+06
1  12  1.50879e+07
1  13  0
1  14  4.67108e+06
1  15  8.31054e+06
1  16  5.49275e+06
1  17  3.23288e+06
1  18  2.73954e+06
1  19  2.18067e+06
1  20  5.50004e+06
1  21  1.15839e+07
1  22  7.13228e+06
1  23  1.3415e+06
1  24  5.32565e+06
1  25  0
1  26  4.35974e+06
1  27  5.9638e+06
1  28  4.22622e+06
1  29  281326
1  30  503041
1  31  7.54588e+06
1  32  1.48386e+06
1  33  3.98775e+06
1  34  3.35977e+06
1  35  8.4579e+06
1  36  4.93757e+06
1  37  5.00638e+06
1  38  2.18274e+06
1  39  1.43583e+06
1  40  4.7393e+06
1  41  6.59386e+06
1  42  3.17413e+06
1  43  8.48712e+06
1  44  3.20751e+06
1  45  4.58423e+06
1  46  2.15291e+06
1  47  8.27112e+06
1  48  1.97904e+06
1  49  6.90024e+06
1  50  3.60904e+06
1  51  7.76056e+06
1  52  2.49113e+06
1  53  6.4708e+06
1  54  7.48502e+06
1  55  1.73095e+06
2  0  6.22184e+06
2  1  3.97257e+06
2  2  0
2  3  5.18471e+06
2  4  5.41846e+06
2  5  3.34757e+06
2  6  0
2  7  3.96532e+06
2  8  0
2  9  0
2  10  6.75781e+06
2  11  4.87221e+06
2  12  3.15502e+06
