row  column  (images_19_742.edf Mn-K*images_19_742.edf Ar-K**2.3)
0  0  1.35454e+07
0  1  1.3233e+07
0  2  6.743e+06
0  3  1.09924e+07
0  4  1.1756e+07
0  5  2.06345e+07
0  6  1.43851e+07
0  7  1.32951e+07
0  8  1.30368e+07
0  9  1.34669e+07
0  10  1.50127e+07
0  11  1.54663e+07
0  12  1.1686e+07
0  13  1.04686e+07
0  14  1.57718e+07
0  15  1.8027e+07
0  16  1.44405e+07
0  17  7.5089e+06
0  18  1.0588e+07
0  19  1.05828e+07
0  20  7.49272e+06
0  21  9.94617e+06
0  22  8.7224e+06
0  23  8.97129e+06
0  24  1.18497e+07
0  25  1.00777e+07
0  26  1.16853e+07
0  27  1.65292e+07
0  28  1.59042e+07
0  29  1.32814e+07
0  30  1.53091e+07
0  31  1.63175e+07
0  32  1.32844e+07
0  33  1.19026e+07
0  34  1.49182e+07
0  35  9.67225e+06
0  36  1.14033e+07
0  37  1.4505e+07
0  38  1.86187e+07
0  39  1.41058e+07
0  40  1.86474e+07
0  41  7.10165e+06
0  42  8.92301e+06
0  43  1.11498e+07
0  44  1.89811e+07
0  45  7.19935e+06
0  46  1.23687e+07
0  47  1.0585e+07
0  48  1.91032e+07
0  49  1.99871e+07
0  50  1.32589e+07
0  51  1.32409e+07
0  52  1.26784e+07
0  53  1.66619e+07
0  54  1.50263e+07
0  55  6.72181e+06
1  0  1.8894e+07
1  1  1.41058e+07
1  2  1.71696e+07
1  3  1.1764e+07
1  4  1.22424e+07
1  5  9.09652e+06
1  6  1.30249e+07
1  7  1.86577e+07
1  8  1.0697e+07
1  9  3.85584e+06
1  10  1.34198e+07
1  11  1.7552e+07
1  12  1.40593e+07
1  13  2.13867e+07
1  14  1.07405e+07
1  15  1.37811e+07
1  16  1.19936e+07
1  17  1.1973e+07
1  18  1.2392e+07
1  19  1.44195e+07
1  20  1.76057e+07
1  21  1.15523e+07
1  22  1.11037e+07
1  23  1.30368e+07
1  24  1.51797e+07
1  25  1.26213e+07
1  26  1.21419e+07
1  27  9.34889e+06
1  28  1.60807e+07
1  29  2.10621e+07
1  30  1.42074e+07
1  31  1.38751e+07
1  32  7.94762e+06
1  33  1.29542e+07
1  34  1.52134e+07
1  35  1.65497e+07
1  36  1.84528e+07
1  37  1.07757e+07
1  38  8.7726e+06
1  39  9.77847e+06
1  40  1.35664e+07
1  41  1.40039e+07
1  42  1.18693e+07
1  43  1.55332e+07
1  44  4.87763e+06
1  45  1.5132e+07
1  46  1.83865e+07
1  47  1.91109e+07
1  48  5.32744e+06
1  49  1.13869e+07
1  50  1.43083e+07
1  51  1.88318e+07
1  52  1.09531e+07
1  53  1.76216e+07
1  54  1.59078e+07
1  55  1.49459e+07
2  0  9.32423e+06
2  1  2.23431e+07
2  2  9.76048e+06
2  3  1.17291e+07
2  4  1.11378e+07
2  5  1.10671e+07
2  6  1.62411e+07
2  7  1.22711e+07
2  8  1.61498e+07
2  9  6.68184e+06
2  10  1.0471e+07
2  11  1.31267e+07
2  12  8.96129e+06
2  13  8.70423e+06
2  14  1.63371e+07
2  15  1.11142e+07
2  16  1.4457e+07
2  17  1.62202e+07
2  18  1.79166e+07
2  19  1.08995e+07
2  20  1.30764e+07
2  21  1.43673e+07
2  22  1.78411e+07
2  23  8.32525e+06
2  24  1.35642e+07
2  25  1.39083e+07
2  26  1.20137e+07
2  27  1.53785e+07
2  28  1.26061e+07
2  29  9.39081e+06
2  30  1.91062e+07
2  31  1.41673e+07
2  32  1.21501e+07
2  33  1.80362e+07
2  34  9.95926e+06
2  35  1.66217e+07
2  36  1.23891e+07
2  37  1.48809e+07
2  38  1.77599e+07
2  39  1.00934e+07
2  40  1.13135e+07
2  41  1.65997e+07
2  42  1.79889e+07
2  43  9.0608e+06
2  44  1.12442e+07
2  45  9.61337e+06
2  46  1.60943e+07
2  47  1.43443e+07
2  48  1.56603e+07
2  49  1.37048e+07
2  50  1.63719e+07
2  51  1.60651e+07
2  52  1.92501e+07
2  53  1.03047e+07
2  54  1.66979e+07
2  55  9.25775e+06
3  0  9.12631e+06
3  1  1.31196e+07
3  2  1.21677e+07
3  3  1.41074e+07
3  4  1.9983e+07
3  5  5.25035e+06
3  6  1.60817e+07
3  7  1.09715e+07
3  8  1.87627e+07
3  9  1.47307e+07
3  10  7.39227e+06
3  11  7.82225e+06
3  12  9.00463e+06
3  13  1.5662e+07
3  14  1.17155e+07
3  15  1.93055e+07
3  16  1.33479e+07
3  17  1.55792e+07
3  18  1.13095e+07
3  19  1.66341e+07
3  20  7.9893e+06
3  21  7.79734e+06
3  22  9.61036e+06
3  23  1.67599e+07
3  24  1.58667e+07
3  25  9.63514e+06
3  26  1.83685e+07
3  27  2.2687e+07
3  28  1.56581e+07
3  29  1.6464e+07
3  30  1.54272e+07
3  31  1.27521e+07
3  32  2.41271e+07
3  33  9.93079e+06
3  34  1.4028e+07
3  35  1.19278e+07
3  36  2.01315e+07
3  37  9.23018e+06
3  38  1.3826e+07
3  39  1.45364e+07
3  40  1.36616e+07
3  41  1.31482e+07
3  42  1.64655e+07
3  43  1.27704e+07
3  44  1.1608e+07
3  45  1.21744e+07
3  46  1.3405e+07
3  47  1.33419e+07
3  48  2.13972e+07
3  49  1.26536e+07
3  50  1.69177e+07
3  51  8.87754e+06
3  52  1.27412e+07
3  53  1.08372e+07
3  54  9.59181e+06
3  55  7.87628e+06
4  0  1.15213e+07
4  1  1.48509e+07
4  2  1.47667e+07
4  3  8.49261e+06
4  4  1.27167e+07
4  5  1.05879e+07
4  6  1.50949e+07
4  7  1.22985e+07
4  8  2.06569e+07
4  9  1.63492e+07
4  10  1.36533e+07
4  11  1.27717e+07
4  12  2.57843e+07
4  13  6.06556e+06
4  14  1.50594e+07
4  15  9.47814e+06
4  16  1.26917e+07
4  17  1.1584e+07
4  18  8.42267e+06
4  19  1.00173e+07
4  20  1.91834e+07
4  21  1.79016e+07
4  22  1.60599e+07
4  23  1.51623e+07
4  24  1.57671e+07
4  25  1.29036e+07
4  26  1.41482e+07
4  27  1.23255e+07
4  28  1.2979e+07
4  29  1.79399e+07
4  30  1.67213e+07
4  31  1.02806e+07
4  32  1.41547e+07
4  33  1.75226e+07
4  34  1.41517e+07
4  35  1.53402e+07
4  36  1.82173e+07
4  37  6.67157e+06
4  38  1.96835e+07
4  39  1.0677e+07
4  40  3.56853e+06
4  41  1.89199e+07
4  42  1.49696e+07
4  43  1.7746e+07
4  44  1.14079e+07
4  45  1.06472e+07
4  46  1.80893e+07
4  47  1.45477e+07
4  48  1.19407e+07
4  49  8.57817e+06
4  50  1.45968e+07
4  51  8.5564e+06
4  52  1.32686e+07
4  53  1.35343e+07
4  54  7.66569e+06
4  55  1.28779e+07
5  0  1.50772e+07
5  1  1.22043e+07
5  2  1.40547e+07
5  3  1.5087e+07
5  4  1.42082e+07
5  5  1.63458e+07
5  6  1.93255e+07
5  7  1.15175e+07
5  8  1.4602e+07
5  9  1.62634e+07
5  10  9.94283e+06
5  11  1.418e+07
5  12  1.65629e+07
5  13  1.66781e+07
5  14  1.55576e+07
5  15  1.40494e+07
5  16  8.81676e+06
5  17  1.26211e+07
5  18  1.02433e+07
5  19  1.29148e+07
5  20  1.21279e+07
5  21  8.26453e+06
5  22  1.60386e+07
5  23  1.27751e+07
5  24  1.28532e+07
5  25  1.65573e+07
