row  column  (images_19_742.edf S-K*images_19_742.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  0
0  18  0
0  19  0
0  20  6.15991e+06
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  0
0  30  0
0  31  0
0  32  0
0  33  0
0  34  0
0  35  1.36802e+06
0  36  0
0  37  7.92459e+06
0  38  9.42454e+06
0  39  8.65997e+06
0  40  7.20826e+06
0  41  6.38832e+06
0  42  1.1169e+07
0  43  0
0  44  7.95763e+06
0  45  8.5557e+06
0  46  6.5899e+06
0  47  8.73033e+06
0  48  1.03475e+07
0  49  1.21157e+07
0  50  7.72966e+06
0  51  0
0  52  0
0  53  0
0  54  0
0  55  8.74486e+06
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  1.07935e+07
1  14  0
1  15  0
1  16  7.10166e+06
1  17  6.60068e+06
1  18  6.37559e+06
1  19  6.97036e+06
1  20  0
1  21  0
1  22  4.40268e+06
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  0
1  30  0
1  31  7.3353e+06
1  32  0
1  33  9.38656e+06
1  34  0
1  35  6.73007e+06
1  36  5.7606e+06
1  37  9.72204e+06
1  38  6.87392e+06
1  39  6.98301e+06
1  40  8.39245e+06
1  41  1.44343e+07
1  42  9.99995e+06
1  43  8.39515e+06
1  44  8.72551e+06
1  45  8.25803e+06
1  46  1.43603e+07
1  47  7.86296e+06
1  48  8.73036e+06
1  49  0
1  50  0
1  51  174935
1  52  0
1  53  0
1  54  0
1  55  0
2  0  0
2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  7.03252e+06
2  28  0
2  29  4.944e+06
2  30  0
2  31  0
2  32  0
2  33  1.01943e+07
2  34  1.05763e+07
2  35  7.86846e+06
2  36  1.08235e+07
2  37  7.53239e+06
2  38  8.48916e+06
2  39  8.85799e+06
2  40  0
2  41  0
2  42  0
2  43  1.45339e+07
2  44  9.13667e+06
2  45  0
2  46  0
2  47  1.44266e+07
2  48  0
2  49  4.17405e+06
2  50  1.08044e+07
2  51  1.15435e+07
2  52  0
2  53  630895
2  54  0
2  55  1.76171e+06
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  0
3  12  0
3  13  0
3  14  4.96061e+06
3  15  0
3  16  0
3  17  7.88723e+06
3  18  6.73202e+06
3  19  0
3  20  7.79279e+06
3  21  0
3  22  0
3  23  0
3  24  6.49193e+06
3  25  0
3  26  0
3  27  0
3  28  1.02052e+07
3  29  0
3  30  0
3  31  0
3  32  0
3  33  7.00456e+06
3  34  7.10295e+06
3  35  8.09578e+06
3  36  6.23113e+06
3  37  9.99995e+06
3  38  6.48684e+06
3  39  1.10815e+07
3  40  1.24965e+07
3  41  3.97552e+06
3  42  1.06859e+07
3  43  1.8015e+07
3  44  0
3  45  0
3  46  1.28956e+07
3  47  0
3  48  1.61083e+07
3  49  8.21676e+06
3  50  5.33568e+06
3  51  9.69836e+06
3  52  0
3  53  1.09122e+07
3  54  0
3  55  330273
4  0  0
4  1  0
4  2  0
4  3  0
4  4  0
4  5  0
4  6  0
4  7  0
4  8  0
4  9  3.86166e+06
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  4.79005e+06
4  18  5.46282e+06
4  19  0
4  20  0
4  21  0
4  22  0
4  23  0
4  24  0
4  25  0
4  26  0
4  27  0
4  28  6.83571e+06
4  29  0
4  30  0
4  31  0
4  32  1.03469e+07
4  33  0
4  34  0
4  35  6.09576e+06
4  36  6.7701e+06
4  37  5.7477e+06
4  38  5.74916e+06
4  39  9.92772e+06
4  40  1.47482e+07
4  41  458846
4  42  8.61229e+06
4  43  0
4  44  8.21472e+06
4  45  1.23141e+07
4  46  1.10851e+07
4  47  1.42599e+07
4  48  8.1031e+06
4  49  0
4  50  9.37223e+06
4  51  9.94688e+06
4  52  5.3954e+06
4  53  5.14668e+06
4  54  2.66704e+06
4  55  0
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  0
5  8  0
5  9  0
5  10  0
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  1.00308e+07
5  21  6.16452e+06
5  22  0
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  6.13119e+06
5  29  0
5  30  7.55749e+06
5  31  0
5  32  0
5  33  0
5  34  0
5  35  287667
5  36  1.34814e+07
5  37  4.29345e+06
5  38  1.1207e+07
5  39  9.74531e+06
5  40  7.46353e+06
5  41  0
5  42  1.29278e+07
5  43  1.12004e+07
5  44  1.12381e+07
5  45  1.13499e+07
5  46  1.41482e+07
5  47  1.21505e+07
5  48  1.19378e+07
5  49  7.50073e+06
5  50  1.66494e+07
5  51  7.20284e+06
5  52  6.92443e+06
5  53  1.53996e+07
5  54  1.3464e+07
5  55  1.16184e+06
6  0  0
6  1  0
6  2  0
6  3  0
6  4  0
6  5  0
6  6  0
6  7  0
6  8  0
6  9  0
6  10  0
6  11  0
6  12  0
6  13  0
6  14  0
6  15  0
6  16  0
6  17  0
6  18  0
6  19  0
6  20  0
6  21  0
6  22  0
6  23  0
6  24  0
6  25  0
6  26  6.72149e+06
6  27  0
6  28  0
6  29  0
6  30  0
6  31  6.71426e+06
6  32  6.83246e+06
6  33  6.66912e+06
6  34  0
6  35  6.6633e+06
6  36  0
6  37  1.04378e+07
6  38  7.49021e+06
6  39  1.49156e+07
6  40  1.34322e+07
6  41  1.15322e+07
6  42  1.63496e+07
6  43  6.42697e+06
6  44  3.66845e+06
6  45  1.53978e+07
6  46  1.72763e+07
6  47  0
6  48  8.03541e+06
6  49  0
6  50  0
6  51  5.0568e+06
6  52  0
6  53  0
6  54  8.25374e+06
6  55  5.41098e+06
7  0  0
7  1  0
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  0
7  8  0
7  9  0
7  10  0
7  11  0
7  12  3.65512e+06
7  13  0
7  14  0
7  15  0
7  16  0
7  17  0
7  18  0
7  19  0
7  20  0
7  21  0
7  22  0
7  23  7.23485e+06
7  24  0
7  25  0
7  26  0
7  27  4.54394e+06
7  28  0
7  29  0
7  30  4.03208e+06
7  31  0
7  32  7.79682e+06
7  33  7.80896e+06
7  34  1.12243e+07
7  35  0
7  36  8.02679e+06
7  37  0
7  38  0
7  39  0
7  40  9.61642e+06
7  41  8.15253e+06
7  42  5.77627e+06
7  43  8.46698e+06
7  44  5.07057e+06
7  45  7.85329e+06
7  46  1.24956e+07
7  47  8.21934e+06
7  48  7.25576e+06
7  49  0
7  50  4.35837e+06
7  51  9.83731e+06
7  52  6.00427e+06
7  53  1.12802e+07
7  54  4.14188e+06
7  55  9.4081e+06
8  0  0
8  1  0
8  2  0
8  3  0
8  4  0
