row  column  (images_25_1_306.edf Zn-K*images_25_1_306.edf Ar-K**2.3)
0  0  4.86484e+07
0  1  4.76652e+07
0  2  4.46651e+07
0  3  5.70904e+07
0  4  5.51775e+07
0  5  4.62648e+07
0  6  4.60026e+07
0  7  4.81203e+07
0  8  5.63471e+07
0  9  2.00385e+07
0  10  1.22419e+07
0  11  8.60892e+06
0  12  2.01253e+07
0  13  0
0  14  2.13207e+07
0  15  2.49695e+07
0  16  1.96052e+07
0  17  1.55126e+06
0  18  650861
0  19  472627
0  20  2.68372e+06
0  21  0
0  22  0
0  23  7.34663e+06
0  24  3.16159e+06
0  25  2.19338e+07
0  26  6.53508e+06
0  27  9.26744e+06
0  28  1.75456e+07
0  29  2.29272e+07
0  30  5.41143e+07
0  31  5.88583e+07
0  32  1.18662e+08
0  33  5.19419e+07
0  34  5.86932e+07
0  35  7.43531e+07
0  36  6.79699e+07
0  37  5.04954e+07
0  38  2.55318e+07
0  39  3.8355e+07
0  40  4.46417e+07
0  41  7.10393e+07
0  42  6.01972e+07
0  43  5.66533e+07
0  44  5.65192e+07
0  45  6.49823e+07
0  46  4.38002e+07
0  47  4.46649e+07
0  48  5.41515e+07
0  49  6.04904e+07
0  50  5.98964e+07
1  0  7.05119e+07
1  1  5.54654e+07
1  2  6.72492e+07
1  3  7.45506e+07
1  4  7.61648e+07
1  5  7.18847e+07
1  6  5.71397e+07
1  7  4.32678e+07
1  8  5.48205e+07
1  9  4.35693e+07
1  10  2.6443e+07
1  11  2.54579e+07
1  12  1.63531e+07
1  13  1.26922e+07
1  14  1.99933e+07
1  15  2.71551e+07
1  16  1.83754e+07
1  17  7.93997e+06
1  18  0
1  19  0
1  20  0
1  21  0
1  22  4.5426e+06
1  23  5.14173e+06
1  24  2.16196e+07
1  25  2.86801e+07
1  26  1.36643e+07
1  27  1.48731e+07
1  28  1.07542e+07
1  29  2.21435e+07
1  30  4.87064e+07
1  31  6.26016e+07
1  32  1.36479e+08
1  33  5.14178e+07
1  34  5.6125e+07
1  35  4.94039e+07
1  36  5.555e+07
1  37  4.28325e+07
1  38  2.9636e+07
1  39  5.37991e+07
1  40  4.95464e+07
1  41  7.83255e+07
1  42  5.97875e+07
1  43  4.7678e+07
1  44  6.84222e+07
1  45  5.87523e+07
1  46  5.32924e+07
1  47  4.55922e+07
1  48  4.44605e+07
1  49  3.80885e+07
1  50  5.02023e+07
2  0  6.31042e+07
2  1  6.16262e+07
2  2  6.02728e+07
2  3  6.63225e+07
2  4  6.81979e+07
2  5  6.53277e+07
2  6  7.09591e+07
2  7  6.72849e+07
2  8  4.22842e+07
2  9  4.97967e+07
2  10  4.46523e+07
2  11  3.43804e+07
2  12  2.36871e+07
2  13  2.62918e+07
2  14  1.69801e+07
2  15  2.42145e+07
2  16  1.2946e+07
2  17  1.17354e+07
2  18  1.96053e+07
2  19  1.05735e+06
2  20  0
2  21  7.18857e+06
2  22  0
2  23  5.28789e+06
2  24  7.77091e+06
2  25  3.33012e+07
2  26  1.44273e+07
2  27  1.62258e+07
2  28  7.51829e+06
2  29  2.84385e+07
2  30  2.95072e+07
2  31  5.88723e+07
2  32  6.72676e+07
2  33  7.19112e+07
2  34  5.49096e+07
2  35  5.67314e+07
2  36  3.71356e+07
2  37  6.41821e+07
2  38  3.89527e+07
2  39  4.01123e+07
2  40  3.51366e+07
2  41  6.27664e+07
2  42  6.23449e+07
2  43  5.16992e+07
2  44  6.32884e+07
2  45  4.34994e+07
2  46  6.44907e+07
2  47  5.37471e+07
2  48  3.83253e+07
2  49  3.47676e+07
2  50  3.70679e+07
3  0  5.01617e+07
3  1  7.09121e+07
3  2  6.46209e+07
3  3  6.34162e+07
3  4  7.83653e+07
3  5  5.25695e+07
3  6  5.27212e+07
3  7  7.61115e+07
3  8  7.66957e+07
3  9  5.52674e+07
3  10  5.89796e+07
3  11  2.26196e+07
3  12  3.49126e+07
3  13  2.77282e+07
3  14  1.51198e+07
3  15  4.14126e+07
3  16  2.90817e+07
3  17  2.69652e+07
3  18  7.51689e+06
3  19  3.55797e+06
3  20  0
3  21  1.10571e+07
3  22  6.20249e+06
3  23  2.14049e+06
3  24  3.07286e+07
3  25  3.51883e+07
3  26  1.73614e+07
3  27  1.03783e+07
3  28  7.86591e+06
3  29  1.99834e+07
3  30  2.87989e+07
3  31  5.34814e+07
3  32  8.12874e+07
3  33  5.34097e+07
3  34  4.33102e+07
3  35  4.65064e+07
3  36  4.38403e+07
