row  column  (images_25_1_306.edf Ca-K*images_25_1_306.edf Ar-K**2.3)
0  0  1.51851e+09
0  1  1.57579e+09
0  2  1.6586e+09
0  3  1.63608e+09
0  4  1.48874e+09
0  5  1.62718e+09
0  6  1.43094e+09
0  7  1.46488e+09
0  8  1.40705e+09
0  9  1.36244e+09
0  10  1.09025e+09
0  11  1.0061e+09
0  12  9.13825e+08
0  13  6.95107e+08
0  14  7.17416e+08
0  15  8.17128e+08
0  16  7.66576e+08
0  17  5.70473e+08
0  18  4.07395e+08
0  19  2.68094e+08
0  20  2.70146e+08
0  21  2.65879e+08
0  22  2.96189e+08
0  23  3.53643e+08
0  24  7.02901e+08
0  25  8.59575e+08
0  26  9.39201e+08
0  27  8.44149e+08
0  28  8.44383e+08
0  29  1.12371e+09
0  30  1.51815e+09
0  31  1.72847e+09
0  32  1.96788e+09
0  33  1.78895e+09
0  34  1.79198e+09
0  35  2.00893e+09
0  36  1.87716e+09
0  37  1.66263e+09
0  38  1.42431e+09
0  39  1.44931e+09
0  40  1.53093e+09
0  41  1.50416e+09
0  42  1.50223e+09
0  43  1.39129e+09
0  44  1.44002e+09
0  45  1.48835e+09
0  46  1.45534e+09
0  47  1.64903e+09
0  48  1.80345e+09
0  49  2.02787e+09
0  50  1.98193e+09
1  0  1.69421e+09
1  1  1.77368e+09
1  2  1.83892e+09
1  3  1.89286e+09
1  4  1.7033e+09
1  5  1.51238e+09
1  6  1.69387e+09
1  7  1.55407e+09
1  8  1.65384e+09
1  9  1.3592e+09
1  10  1.39686e+09
1  11  1.25328e+09
1  12  1.11082e+09
1  13  8.18836e+08
1  14  8.32212e+08
1  15  8.72354e+08
1  16  8.80644e+08
1  17  7.65314e+08
1  18  5.17202e+08
1  19  2.9804e+08
1  20  2.64841e+08
1  21  3.01396e+08
1  22  3.16936e+08
1  23  4.2202e+08
1  24  7.61024e+08
1  25  9.6611e+08
1  26  8.97428e+08
1  27  9.41051e+08
1  28  9.27542e+08
1  29  1.26633e+09
1  30  1.45637e+09
1  31  1.91005e+09
1  32  1.99271e+09
1  33  1.79698e+09
1  34  1.73225e+09
1  35  2.09394e+09
1  36  1.64214e+09
1  37  1.76434e+09
1  38  1.61931e+09
1  39  1.49121e+09
1  40  1.42302e+09
1  41  1.54707e+09
1  42  1.32378e+09
1  43  1.50983e+09
1  44  1.6415e+09
1  45  1.40609e+09
1  46  1.48282e+09
1  47  1.41421e+09
1  48  1.73893e+09
1  49  1.80676e+09
1  50  1.767e+09
2  0  1.78943e+09
2  1  1.6738e+09
2  2  1.67394e+09
2  3  1.51888e+09
2  4  1.46097e+09
2  5  1.90677e+09
2  6  1.86394e+09
2  7  1.74148e+09
2  8  1.63316e+09
2  9  1.43511e+09
2  10  1.4579e+09
2  11  1.41954e+09
2  12  1.29518e+09
2  13  1.00516e+09
2  14  9.3577e+08
2  15  1.08464e+09
2  16  1.19506e+09
2  17  8.4766e+08
