row  column  (images_25_1_306.edf P-K*images_25_1_306.edf Ar-K**2.3)
0  0  1.79363e+07
0  1  1.77203e+07
0  2  9.77273e+06
0  3  7.41226e+06
0  4  1.20548e+07
0  5  1.10449e+07
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  1.02992e+07
0  30  9.41729e+06
0  31  1.544e+07
0  32  1.53098e+07
0  33  1.93664e+07
0  34  1.66024e+07
0  35  2.49691e+07
0  36  2.35166e+07
0  37  1.07081e+07
0  38  1.41748e+07
0  39  1.17158e+07
0  40  1.14036e+07
0  41  0
0  42  1.25068e+07
0  43  0
0  44  0
0  45  0
0  46  1.46678e+07
0  47  1.90148e+07
0  48  1.52601e+07
0  49  3.35349e+07
0  50  1.18797e+07
1  0  1.26767e+07
1  1  2.15176e+07
1  2  1.31986e+07
1  3  5.77529e+06
1  4  0
1  5  0
1  6  9.47963e+06
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  8.31022e+06
1  16  1.00028e+07
1  17  0
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  8.96554e+06
1  26  0
1  27  8.04644e+06
1  28  0
1  29  9.77298e+06
1  30  1.43961e+07
1  31  2.10234e+07
1  32  2.29102e+07
1  33  1.92783e+07
1  34  2.32443e+07
1  35  3.22249e+07
1  36  1.98839e+07
1  37  2.41002e+07
1  38  2.36116e+07
1  39  1.31438e+07
1  40  1.42139e+07
1  41  1.72753e+07
1  42  0
1  43  9.19336e+06
1  44  1.71926e+07
1  45  1.60657e+07
1  46  9.23575e+06
1  47  1.38354e+07
1  48  2.10758e+07
1  49  1.90612e+07
1  50  2.19151e+07
2  0  1.59058e+07
2  1  1.924e+07
2  2  0
2  3  80832.5
2  4  327007
2  5  7.71395e+06
2  6  0
2  7  0
2  8  7.47443e+06
2  9  0
2  10  1.11288e+07
2  11  0
2  12  1.13962e+07
2  13  0
2  14  1.09092e+07
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  8.28771e+06
2  26  0
2  27  0
2  28  8.58916e+06
2  29  1.63546e+07
2  30  1.56378e+07
2  31  2.01533e+07
2  32  1.64418e+07
2  33  2.04748e+07
2  34  2.50226e+07
2  35  1.48726e+07
2  36  2.57091e+07
2  37  8.39186e+06
2  38  1.19696e+07
2  39  1.05984e+07
2  40  0
2  41  1.16414e+07
2  42  1.70949e+07
2  43  1.32623e+07
2  44  1.85831e+07
2  45  0
2  46  1.22565e+07
2  47  1.16951e+07
2  48  1.19836e+07
2  49  1.13836e+07
2  50  0
3  0  1.39905e+07
3  1  2.16863e+07
3  2  1.21943e+07
3  3  6.35574e+06
3  4  7.36131e+06
3  5  1.06383e+07
3  6  6.99509e+06
3  7  0
3  8  1.38724e+07
3  9  0
3  10  9.65786e+06
3  11  1.15155e+07
3  12  0
3  13  0
3  14  58150
3  15  0
3  16  0
3  17  0
3  18  0
3  19  0
3  20  0
3  21  0
3  22  0
3  23  0
3  24  0
3  25  0
3  26  1.03814e+07
3  27  0
3  28  0
3  29  7.29825e+06
3  30  1.24789e+07
3  31  0
3  32  2.20333e+07
3  33  1.78825e+07
3  34  1.88229e+07
