row  column  (images_25_1_306.edf S-K*images_25_1_306.edf Ar-K**2.3)
6  49  1.95187e+07
6  50  2.52448e+07
7  0  1.79295e+07
7  1  2.33582e+07
7  2  1.80896e+07
7  3  1.29392e+07
7  4  1.43499e+07
7  5  1.69233e+07
7  6  0
7  7  0
7  8  0
7  9  0
7  10  0
7  11  1.80938e+07
7  12  2.61097e+07
7  13  0
7  14  0
7  15  0
7  16  0
7  17  2.5967e+07
7  18  0
7  19  0
7  20  0
7  21  0
7  22  0
7  23  0
7  24  0
7  25  1.59561e+07
7  26  0
7  27  0
7  28  1.24279e+07
7  29  0
7  30  0
7  31  0
7  32  1.95596e+07
7  33  1.41309e+07
7  34  1.62939e+07
7  35  2.74676e+07
7  36  2.64573e+07
7  37  2.66835e+07
7  38  0
7  39  2.22896e+07
7  40  0
7  41  2.30612e+07
7  42  1.70288e+07
7  43  0
7  44  0
7  45  1.9052e+07
7  46  7.45669e+06
7  47  0
7  48  1.91299e+07
7  49  2.51849e+07
7  50  2.42098e+07
8  0  2.20129e+07
8  1  1.67357e+07
8  2  2.94739e+07
8  3  1.54867e+07
8  4  0
8  5  0
8  6  0
8  7  0
8  8  0
8  9  1.83232e+07
8  10  0
8  11  1.91924e+07
8  12  0
8  13  0
8  14  2.40614e+07
8  15  2.19701e+06
8  16  2.33113e+07
8  17  1.44531e+07
8  18  0
8  19  0
8  20  0
8  21  0
8  22  0
8  23  0
8  24  0
8  25  1.97224e+07
8  26  1.43758e+07
8  27  0
8  28  0
8  29  0
8  30  0
8  31  1.39932e+07
8  32  1.16283e+07
8  33  0
8  34  3.04316e+07
8  35  2.55529e+07
8  36  3.00538e+07
8  37  2.49509e+07
8  38  0
8  39  0
8  40  1.59109e+07
8  41  2.15249e+07
8  42  1.91538e+07
8  43  2.44005e+07
8  44  1.20327e+07
8  45  1.44828e+07
8  46  9.77796e+06
8  47  3.11131e+06
8  48  0
8  49  1.36286e+07
8  50  0
9  0  2.18159e+07
9  1  1.76104e+07
9  2  2.66531e+07
9  3  0
9  4  0
9  5  1.82554e+07
9  6  0
9  7  0
9  8  0
9  9  0
9  10  0
9  11  0
9  12  2.03807e+07
9  13  2.40151e+07
9  14  0
9  15  0
9  16  2.48406e+07
9  17  0
9  18  0
9  19  0
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  9.35022e+06
9  26  0
9  27  0
9  28  0
9  29  1.31972e+07
9  30  1.5268e+07
9  31  1.26099e+07
9  32  0
9  33  1.98078e+07
9  34  2.644e+07
9  35  1.87259e+07
9  36  8.88161e+06
9  37  2.24997e+07
9  38  1.78054e+07
9  39  2.69804e+07
9  40  1.31893e+07
9  41  0
9  42  0
9  43  0
9  44  1.34388e+07
9  45  1.81445e+07
9  46  0
9  47  0
9  48  1.93629e+07
9  49  2.56488e+07
9  50  2.41897e+07
10  0  0
10  1  1.70964e+07
10  2  1.94616e+07
10  3  1.73507e+07
10  4  1.61777e+07
10  5  0
10  6  0
10  7  0
10  8  0
10  9  0
10  10  0
10  11  0
10  12  1.90206e+07
10  13  0
10  14  0
10  15  0
10  16  0
10  17  0
10  18  0
10  19  0
10  20  0
10  21  0
10  22  0
10  23  0
10  24  0
10  25  1.73678e+07
10  26  0
10  27  0
10  28  0
10  29  1.24861e+07
10  30  0
10  31  0
10  32  1.31359e+07
10  33  0
10  34  2.63067e+07
10  35  2.71012e+07
10  36  2.17845e+07
10  37  0
10  38  1.34427e+07
10  39  0
10  40  1.75287e+07
10  41  0
10  42  0
10  43  0
10  44  0
10  45  2.3262e+07
10  46  1.77799e+07
10  47  1.25684e+07
10  48  1.73214e+07
10  49  0
10  50  1.52755e+07
11  0  0
11  1  0
11  2  2.18565e+07
11  3  2.25705e+07
11  4  2.28758e+07
11  5  1.3426e+07
11  6  0
11  7  0
11  8  0
11  9  1.74563e+06
11  10  0
11  11  1.99792e+07
11  12  1.58663e+07
11  13  2.88942e+07
11  14  1.56912e+07
11  15  0
11  16  1.57315e+07
11  17  0
11  18  0
11  19  0
11  20  0
11  21  0
11  22  0
11  23  1.15309e+07
11  24  1.88225e+07
11  25  0
11  26  1.49826e+07
11  27  1.10462e+07
11  28  2.25814e+07
11  29  0
11  30  1.3242e+07
11  31  1.24497e+07
11  32  1.61444e+06
11  33  0
11  34  0
11  35  1.55587e+07
11  36  0
11  37  3.12203e+07
11  38  2.20311e+07
11  39  1.73972e+07
11  40  0
11  41  0
11  42  0
11  43  1.69569e+07
11  44  1.26385e+07
11  45  1.34538e+07
11  46  1.43901e+07
11  47  1.21086e+07
11  48  1.67394e+07
11  49  1.66279e+07
11  50  4.26656e+07
12  0  0
12  1  0
12  2  2.29932e+07
12  3  0
12  4  0
12  5  0
12  6  1.57327e+07
12  7  0
12  8  0
12  9  7.02594e+06
12  10  1.99071e+07
12  11  0
12  12  2.0351e+07
12  13  2.34244e+07
12  14  2.38903e+07
12  15  0
12  16  2.13791e+07
12  17  0
12  18  0
12  19  0
12  20  0
12  21  1.65673e+07
12  22  1.03986e+07
12  23  2.06309e+07
12  24  2.15799e+07
12  25  2.3566e+07
12  26  0
12  27  0
12  28  0
12  29  0
12  30  1.97101e+07
12  31  0
12  32  1.21712e+07
12  33  0
12  34  0
12  35  2.30034e+07
12  36  0
12  37  2.29359e+07
12  38  1.23347e+07
12  39  1.78576e+07
12  40  1.41743e+07
12  41  0
12  42  0
12  43  0
12  44  0
12  45  0
12  46  1.63362e+07
12  47  0
12  48  1.51594e+07
12  49  0
12  50  2.72712e+07
13  0  1.41021e+07
13  1  1.86001e+07
13  2  2.61159e+07
13  3  0
13  4  0
13  5  1.46766e+07
13  6  1.56874e+07
13  7  0
13  8  0
13  9  0
13  10  0
13  11  0
13  12  2.39899e+07
13  13  1.80047e+07
13  14  1.88097e+07
13  15  2.61266e+07
13  16  1.63717e+07
13  17  0
13  18  0
13  19  1.32935e+07
13  20  2.66105e+07
13  21  2.46718e+07
13  22  2.13e+07
13  23  1.76039e+07
13  24  1.71328e+07
13  25  1.85784e+07
13  26  0
13  27  1.51059e+07
13  28  889933
13  29  1.72043e+07
13  30  2.3273e+07
13  31  0
13  32  2.70058e+07
13  33  0
13  34  0
13  35  0
13  36  1.69685e+07
13  37  1.73026e+07
13  38  0
13  39  0
13  40  0
13  41  0
13  42  0
13  43  0
13  44  0
13  45  0
13  46  0
13  47  0
13  48  0
13  49  1.20562e+07
13  50  2.38229e+07
14  0  0
14  1  1.8179e+07
14  2  1.78428e+07
14  3  2.03527e+07
14  4  0
14  5  1.54011e+07
14  6  0
14  7  0
14  8  0
14  9  0
14  10  0
14  11  0
14  12  2.11027e+07
14  13  0
14  14  0
14  15  2.4353e+07
14  16  2.86748e+07
14  17  1.74803e+07
14  18  0
14  19  0
14  20  1.87654e+07
14  21  0
14  22  1.76666e+07
14  23  2.37119e+07
14  24  0
14  25  1.44235e+07
14  26  0
14  27  0
14  28  2.02277e+07
14  29  1.76975e+07
14  30  0
14  31  3.14821e+07
14  32  4.25944e+06
