row  column  (images_25_1_306.edf Cu-K*images_25_1_306.edf Ar-K**2.3)
0  0  1.57412e+07
0  1  1.19822e+07
0  2  8.51421e+06
0  3  1.09059e+07
0  4  1.93137e+06
0  5  6.90513e+06
0  6  1.78505e+07
0  7  8.55945e+06
0  8  1.54671e+07
0  9  8.24569e+06
0  10  8.03885e+06
0  11  5.40835e+06
0  12  1.9788e+06
0  13  0
0  14  1.64885e+07
0  15  1.07797e+07
0  16  1.16041e+07
0  17  0
0  18  8.43403e+06
0  19  0
0  20  0
0  21  9.63241e+06
0  22  1.55716e+06
0  23  2.45391e+06
0  24  5.35895e+06
0  25  5.20547e+06
0  26  476758
0  27  3.34023e+06
0  28  3.30442e+06
0  29  1.70932e+07
0  30  0
0  31  7.04379e+06
0  32  1.61975e+07
0  33  1.26439e+07
0  34  1.20544e+07
0  35  1.38556e+07
0  36  1.95619e+07
0  37  8.06736e+06
0  38  1.15138e+07
0  39  2.06808e+06
0  40  1.03023e+07
0  41  1.23529e+07
0  42  1.86733e+07
0  43  8.99669e+06
0  44  1.07629e+07
0  45  9.71023e+06
0  46  5.55341e+06
0  47  1.42395e+07
0  48  1.9379e+07
0  49  5.93517e+06
0  50  6.8769e+06
1  0  1.37693e+07
1  1  1.30844e+07
1  2  1.31588e+07
1  3  2.27715e+07
1  4  1.82508e+07
1  5  2.08061e+07
1  6  1.02307e+07
1  7  0
1  8  6.07629e+06
1  9  1.29262e+07
1  10  1.96006e+07
1  11  1.29345e+07
1  12  1.38643e+06
1  13  1.61064e+07
1  14  4.67701e+06
1  15  4.00684e+06
1  16  1.32096e+07
1  17  7.11488e+06
1  18  920221
1  19  0
1  20  0
1  21  1.24358e+06
1  22  9.03148e+06
1  23  8.53926e+06
1  24  9.92005e+06
1  25  1.71762e+07
1  26  1.22408e+06
1  27  3.10196e+06
1  28  1.05736e+07
1  29  3.55804e+06
1  30  7.3849e+06
1  31  2.03177e+07
1  32  8.76824e+06
1  33  1.2028e+07
1  34  1.77524e+07
1  35  1.26044e+07
1  36  3.49282e+06
1  37  1.31913e+07
1  38  6.11134e+06
1  39  4.4823e+06
1  40  1.20886e+07
1  41  1.87499e+07
1  42  1.21759e+07
1  43  9.51163e+06
1  44  6.688e+06
1  45  2.50073e+07
1  46  9.0849e+06
1  47  2.63351e+06
1  48  2.16685e+07
1  49  1.95706e+07
1  50  1.27796e+07
2  0  1.12585e+07
2  1  1.57607e+07
2  2  1.13635e+07
2  3  3.00119e+06
2  4  1.77545e+07
2  5  2.06331e+07
2  6  1.51998e+07
2  7  2.07696e+07
2  8  1.44598e+07
2  9  5.86747e+06
2  10  1.5033e+07
2  11  2.52481e+06
2  12  5.92643e+06
2  13  1.68673e+06
2  14  1.82557e+07
2  15  1.37025e+06
2  16  2.60205e+06
2  17  1.86137e+07
2  18  9.8605e+06
2  19  9.5939e+06
2  20  1.03841e+07
2  21  0
2  22  2.51574e+06
2  23  1.03196e+07
2  24  1.48753e+07
2  25  1.13689e+07
2  26  4.4519e+06
2  27  5.8543e+06
2  28  1.17855e+07
2  29  3.33295e+06
2  30  5.28927e+06
2  31  1.20175e+07
2  32  1.70154e+07
