row  column  (images_14_017.edf S-K*images_14_017.edf Ar-K**(2.3))
2  68  2.44859e+07
2  69  1.54586e+07
2  70  2.45671e+07
2  71  2.20722e+07
2  72  3.05741e+07
2  73  1.57805e+07
2  74  1.92926e+07
2  75  1.18578e+07
2  76  1.39372e+07
2  77  1.39262e+07
2  78  2.26677e+07
2  79  4.03577e+07
2  80  3.0168e+07
2  81  1.26622e+07
2  82  7.42125e+06
2  83  4.33022e+06
2  84  5.77637e+06
2  85  1.58059e+07
2  86  9.38981e+06
2  87  1.05643e+07
2  88  4.59216e+06
2  89  1.6009e+07
2  90  1.75161e+06
2  91  2.14472e+07
2  92  5.14271e+06
2  93  1.49976e+07
2  94  2.12863e+07
2  95  1.55755e+07
2  96  1.80883e+07
2  97  1.7097e+07
2  98  2.43541e+07
2  99  2.53333e+07
2  100  2.1796e+07
3  0  629501
3  1  1.5544e+06
3  2  135213
3  3  859830
3  4  1.06825e+06
3  5  3.35296e+06
3  6  1.2469e+06
3  7  5.68088e+06
3  8  2.49759e+06
3  9  3.07516e+06
3  10  9.09831e+06
3  11  1.2074e+07
3  12  2.1034e+07
3  13  1.20885e+07
3  14  2.30094e+07
3  15  3.11519e+07
3  16  2.76443e+07
3  17  9.49133e+06
3  18  1.38595e+07
3  19  1.58333e+07
3  20  1.34333e+07
3  21  1.5428e+07
3  22  7.7933e+06
3  23  1.7407e+07
3  24  1.84226e+07
3  25  9.64432e+06
3  26  1.91176e+07
3  27  1.92221e+07
3  28  4.33932e+06
3  29  1.26433e+07
3  30  8.17183e+06
3  31  1.92102e+07
3  32  2.43536e+07
3  33  1.08479e+07
3  34  1.57034e+07
3  35  1.4221e+07
3  36  1.09009e+07
3  37  9.93605e+06
3  38  2.59334e+07
3  39  1.04885e+07
3  40  1.74126e+07
3  41  1.25147e+07
3  42  3.31164e+07
3  43  8.11713e+06
3  44  3.48519e+07
3  45  2.33836e+07
3  46  2.49269e+07
3  47  5.42812e+07
3  48  3.58983e+07
3  49  6.33458e+07
3  50  4.74995e+07
3  51  4.40386e+07
3  52  3.77068e+07
3  53  2.71658e+07
3  54  5.54797e+07
3  55  5.67115e+07
3  56  7.19976e+07
3  57  4.10795e+07
3  58  4.80751e+07
3  59  2.80081e+07
3  60  2.83974e+07
3  61  2.31212e+07
3  62  3.8102e+07
3  63  1.87756e+07
3  64  2.29278e+07
3  65  1.1009e+07
3  66  1.87764e+07
3  67  2.39626e+07
3  68  1.62892e+07
3  69  2.89632e+07
3  70  2.73782e+07
3  71  6.27585e+06
3  72  2.58306e+07
3  73  3.29658e+07
3  74  2.1638e+07
3  75  2.35659e+07
3  76  5.55524e+06
3  77  1.82012e+07
3  78  2.65469e+07
3  79  2.63389e+07
3  80  4.12876e+07
3  81  1.98934e+07
3  82  1.6732e+07
3  83  1.06262e+07
3  84  1.65588e+07
3  85  1.45431e+07
3  86  9.80232e+06
3  87  1.19685e+07
3  88  8.60684e+06
3  89  1.71859e+07
3  90  7.5841e+06
3  91  5.49334e+06
3  92  5.10138e+06
3  93  1.16655e+07
3  94  1.82444e+07
3  95  8.96869e+06
3  96  1.79602e+07
3  97  2.13471e+07
3  98  1.232e+07
3  99  2.65788e+07
3  100  2.8859e+06
4  0  2.92606e+06
4  1  83415.1
4  2  1.41422e+06
4  3  1.17623e+06
4  4  1.11315e+06
4  5  870397
4  6  1.14521e+06
4  7  1.51048e+06
4  8  1.703e+06
4  9  5.68565e+06
4  10  9.74762e+06
4  11  5.5033e+06
4  12  6.31274e+06
4  13  6.08083e+06
4  14  4.92999e+06
4  15  1.28542e+07
4  16  3.10999e+07
4  17  1.44077e+07
4  18  1.68859e+07
4  19  1.1594e+07
4  20  9.81523e+06
4  21  1.23906e+07
4  22  1.44954e+07
4  23  3.17471e+07
4  24  1.92289e+07
4  25  1.56731e+07
4  26  9.4536e+06
4  27  1.15193e+07
4  28  1.85555e+07
4  29  1.83885e+07
4  30  1.49634e+07
4  31  2.54804e+07
4  32  2.36919e+07
4  33  2.22638e+07
4  34  7.03991e+06
4  35  1.81291e+07
4  36  1.47505e+07
4  37  6.96582e+06
4  38  9.49884e+06
4  39  7.11799e+06
4  40  1.46236e+07
4  41  2.43587e+07
4  42  2.45816e+07
4  43  1.15603e+07
4  44  1.28921e+07
4  45  4.16832e+07
4  46  2.75056e+07
4  47  3.86314e+07
4  48  3.31642e+07
4  49  3.59484e+07
4  50  2.96973e+07
4  51  3.95251e+07
4  52  4.07972e+07
4  53  7.30479e+07
4  54  6.2933e+07
4  55  5.77023e+07
4  56  6.2783e+07
4  57  6.98884e+07
4  58  4.88322e+07
4  59  3.32241e+07
4  60  4.01196e+07
4  61  1.98331e+07
4  62  3.21954e+07
4  63  2.17708e+07
4  64  4.3217e+07
4  65  2.59282e+07
4  66  2.1992e+07
4  67  2.19197e+07
4  68  1.88816e+07
4  69  1.81343e+07
4  70  2.9733e+07
4  71  3.47639e+07
4  72  2.17394e+07
4  73  1.87641e+07
4  74  1.39556e+07
4  75  2.71502e+07
4  76  7.83118e+06
4  77  1.86738e+07
4  78  2.65041e+07
4  79  3.1715e+07
4  80  2.44998e+07
4  81  3.63243e+07
4  82  8.28539e+06
4  83  1.13149e+07
4  84  1.2025e+07
4  85  9.48753e+06
4  86  906838
4  87  9.01028e+06
4  88  4.0843e+06
4  89  6.97001e+06
4  90  0
4  91  6.05335e+06
4  92  1.27819e+07
4  93  1.17991e+07
4  94  1.41377e+07
4  95  1.38932e+07
4  96  2.05563e+07
4  97  1.25608e+07
4  98  1.93438e+07
4  99  1.29723e+07
4  100  1.37769e+07
5  0  2.82827e+06
5  1  2.22742e+06
5  2  2.03606e+06
5  3  208052
5  4  1.22605e+06
5  5  2.47627e+06
5  6  0
5  7  0
5  8  5.48011e+06
5  9  4.94679e+06
5  10  4.89714e+06
5  11  1.68361e+07
5  12  1.0509e+07
5  13  8.43886e+06
5  14  1.80196e+07
5  15  2.54533e+07
5  16  2.6778e+07
5  17  1.89954e+07
5  18  3.20345e+07
5  19  1.65933e+07
5  20  2.09077e+07
5  21  1.49161e+07
5  22  6.32549e+06
5  23  2.35688e+07
5  24  1.90413e+07
5  25  2.75468e+07
5  26  1.5962e+07
5  27  2.05455e+07
5  28  1.12396e+07
5  29  3.88425e+07
5  30  1.27399e+07
5  31  1.46389e+07
5  32  1.12481e+07
5  33  1.10114e+07
5  34  1.83218e+07
5  35  1.68506e+07
5  36  1.4675e+07
5  37  1.67778e+07
5  38  5.48309e+06
5  39  6.12275e+06
5  40  2.38285e+07
5  41  2.40294e+07
5  42  2.97619e+07
5  43  3.32196e+07
5  44  1.95435e+07
5  45  2.23683e+07
5  46  3.28356e+07
5  47  2.74471e+07
5  48  7.5037e+07
5  49  5.46247e+07
5  50  4.82974e+07
5  51  5.09143e+07
5  52  4.77975e+07
5  53  8.29597e+07
5  54  6.35211e+07
5  55  5.52053e+07
5  56  4.93745e+07
5  57  3.92647e+07
5  58  4.83339e+07
5  59  3.82007e+07
5  60  2.21524e+07
5  61  4.64338e+07
5  62  4.44581e+07
5  63  3.05621e+07
5  64  3.77604e+07
5  65  2.68956e+07
5  66  3.03149e+07
5  67  1.35111e+07
5  68  2.93164e+07
5  69  3.40897e+07
5  70  2.49459e+07
5  71  4.24743e+07
5  72  4.40248e+07
5  73  1.12406e+07
5  74  2.69498e+07
5  75  2.30744e+07
5  76  2.38523e+07
5  77  3.29233e+07
5  78  2.82495e+07
5  79  2.81475e+07
5  80  4.23009e+07
5  81  4.5123e+07
5  82  1.89714e+07
5  83  1.36015e+07
5  84  4.50314e+06
5  85  1.36959e+07
5  86  7.21781e+06
5  87  6.68198e+06
5  88  16748.8
5  89  4.52532e+06
5  90  8.43857e+06
5  91  1.01951e+07
5  92  1.57066e+07
5  93  2.42369e+07
5  94  1.54989e+07
5  95  2.25633e+07
5  96  1.00493e+07
5  97  4.83244e+06
5  98  2.85816e+07
5  99  7.32696e+06
5  100  1.91084e+07
6  0  1.70582e+06
6  1  3.96301e+06
6  2  0
6  3  0
6  4  2.58717e+06
6  5  1.68545e+06
6  6  2.32419e+06
6  7  4.16702e+06
6  8  1.01625e+07
6  9  9.77591e+06
6  10  6.1697e+06
6  11  9.14344e+06
6  12  1.37762e+07
6  13  1.25829e+07
6  14  1.04702e+07
6  15  1.38086e+07
6  16  2.92988e+07
6  17  1.89492e+07
6  18  1.28025e+07
6  19  9.36614e+06
6  20  5.76481e+06
6  21  1.93005e+07
6  22  9.75736e+06
6  23  7.59691e+06
6  24  1.00533e+07
6  25  3.15504e+07
6  26  1.42745e+07
6  27  1.6852e+07
6  28  2.24332e+07
6  29  2.40858e+07
