row  column  (images_14_017.edf P-K*images_14_017.edf Ar-K**(2.3))
3  31  2.76637e+06
3  32  46719
3  33  2.6886e+06
3  34  0
3  35  209248
3  36  2.24642e+06
3  37  169074
3  38  0
3  39  0
3  40  0
3  41  0
3  42  7.14765e+06
3  43  0
3  44  0
3  45  3.75276e+06
3  46  5.43409e+06
3  47  1.10908e+07
3  48  3.93797e+06
3  49  1.7897e+07
3  50  0
3  51  6.20512e+06
3  52  0
3  53  3.75188e+06
3  54  1.04132e+07
3  55  8.54243e+06
3  56  2.49509e+07
3  57  4.36167e+06
3  58  9.25332e+06
3  59  2.02142e+06
3  60  4.89738e+06
3  61  2.50962e+06
3  62  1.16798e+07
3  63  0
3  64  0
3  65  0
3  66  0
3  67  0
3  68  4.07811e+06
3  69  0
3  70  4.27848e+06
3  71  0
3  72  7.74244e+06
3  73  0
3  74  6.04272e+06
3  75  2.01222e+06
3  76  0
3  77  1.18837e+06
3  78  0
3  79  460487
3  80  5.4494e+06
3  81  1.53138e+06
3  82  0
3  83  3.28148e+06
3  84  521452
3  85  3.1961e+06
3  86  0
3  87  856776
3  88  841477
3  89  905353
3  90  0
3  91  0
3  92  0
3  93  0
3  94  4.53164e+06
3  95  0
3  96  2.26549e+06
3  97  673291
3  98  632759
3  99  1.45347e+06
3  100  0
4  0  1.84638e+06
4  1  0
4  2  441797
4  3  447896
4  4  0
4  5  806255
4  6  0
4  7  1.80294e+06
4  8  1.72831e+06
4  9  1.41689e+06
4  10  0
4  11  1.98208e+06
4  12  0
4  13  848307
4  14  789987
4  15  1.05801e+07
4  16  9.56836e+06
4  17  995311
4  18  0
4  19  1.35721e+06
4  20  0
4  21  903495
4  22  0
4  23  5.18315e+06
4  24  2.90664e+06
4  25  0
4  26  0
4  27  0
4  28  0
4  29  832062
4  30  892269
4  31  6.71934e+06
4  32  1.06206e+06
4  33  4.73828e+06
4  34  2.21973e+06
4  35  1.65388e+06
4  36  1.85062e+06
4  37  223298
4  38  0
4  39  0
4  40  0
4  41  0
4  42  1.71257e+06
4  43  0
4  44  0
4  45  8.41064e+06
4  46  690558
4  47  2.9465e+06
4  48  7.58723e+06
4  49  2.00768e+06
4  50  45203.4
4  51  3.13498e+06
4  52  6.56961e+06
4  53  1.79218e+07
4  54  1.15818e+07
4  55  1.25988e+07
4  56  7.29855e+06
4  57  2.03791e+07
4  58  1.34399e+07
4  59  0
4  60  5.24889e+06
4  61  6.89056e+06
4  62  1.082e+06
4  63  945748
4  64  1.20737e+06
4  65  693153
4  66  3.38139e+06
4  67  0
4  68  154781
4  69  1.02164e+07
4  70  873954
4  71  5.61098e+06
4  72  7.32478e+06
4  73  0
4  74  0
4  75  4.33448e+06
4  76  3.11249e+06
4  77  0
4  78  7.32557e+06
4  79  5.65764e+06
4  80  0
4  81  5.10839e+06
4  82  2.42566e+06
4  83  410009
4  84  436116
4  85  0
4  86  0
4  87  0
4  88  0
4  89  0
4  90  0
4  91  0
4  92  376780
4  93  0
4  94  0
4  95  0
4  96  3.17075e+06
4  97  0
4  98  1.83711e+06
4  99  830842
4  100  529265
5  0  1.32642e+06
5  1  382554
5  2  0
5  3  2.2508e+06
5  4  477897
5  5  338596
5  6  0
5  7  63903.7
5  8  2.54695e+06
5  9  279932
5  10  1.73435e+06
5  11  7.27744e+06
5  12  4.35367e+06
5  13  3.04092e+06
5  14  837050
5  15  7.26205e+06
5  16  1.01175e+07
5  17  124767
5  18  9.69447e+06
5  19  2.55121e+06
5  20  1.33342e+06
5  21  4.85975e+06
