row  column  (images_39.edf Zn-K*images_39.edf Ar-K**2.3)
0  0  5.46009e+07
0  1  5.03586e+07
0  2  5.37488e+07
0  3  5.58247e+07
0  4  6.20184e+07
0  5  6.72837e+07
0  6  5.43255e+07
0  7  5.73354e+07
0  8  5.62235e+07
0  9  5.38498e+07
0  10  6.78366e+07
0  11  3.55996e+07
0  12  1.32558e+07
0  13  1.67594e+07
0  14  5.74021e+06
0  15  7.4114e+06
0  16  7.67886e+06
0  17  1.03931e+07
0  18  1.32768e+07
0  19  1.33124e+07
0  20  1.11928e+07
0  21  2.51491e+07
0  22  3.6028e+07
0  23  3.83887e+07
0  24  4.64754e+07
0  25  4.11386e+07
0  26  3.97261e+07
0  27  4.04375e+07
0  28  4.8225e+07
0  29  4.32512e+07
0  30  3.89738e+07
0  31  4.86488e+07
0  32  5.36092e+07
0  33  3.57027e+07
0  34  4.42013e+07
0  35  4.34853e+07
0  36  3.12156e+07
0  37  4.70764e+07
0  38  2.99924e+07
0  39  3.33792e+07
0  40  3.06752e+07
0  41  3.24497e+07
0  42  2.64517e+07
0  43  3.59201e+07
0  44  2.34037e+07
0  45  2.47404e+07
0  46  2.36457e+07
0  47  3.18042e+07
0  48  3.87873e+07
0  49  3.59703e+07
0  50  4.47154e+07
0  51  5.30782e+07
0  52  4.19279e+07
0  53  3.75915e+07
0  54  3.91335e+07
0  55  3.6093e+07
0  56  3.18629e+07
0  57  3.77785e+07
0  58  3.28103e+07
0  59  4.62348e+07
0  60  3.86451e+07
0  61  4.56572e+07
0  62  3.70578e+07
0  63  1.84696e+07
0  64  1.24394e+07
0  65  9.43045e+06
0  66  1.02192e+07
0  67  1.34708e+07
0  68  1.76827e+07
0  69  4.73912e+07
0  70  4.05654e+07
0  71  3.9541e+07
0  72  4.38388e+07
0  73  7.03129e+07
0  74  7.22699e+07
0  75  5.23711e+07
0  76  5.38536e+07
0  77  5.52085e+07
0  78  4.22409e+07
0  79  4.62733e+07
0  80  4.61488e+07
0  81  6.08054e+07
0  82  6.1606e+07
0  83  5.75361e+07
0  84  5.35217e+07
0  85  5.00618e+07
0  86  5.16672e+07
0  87  5.24818e+07
0  88  4.96496e+07
0  89  5.01694e+07
0  90  5.09882e+07
0  91  5.40248e+07
0  92  5.57828e+07
0  93  5.93654e+07
0  94  6.04527e+07
0  95  5.60975e+07
0  96  7.17862e+07
0  97  6.38901e+07
0  98  4.70941e+07
0  99  4.13723e+07
0  100  5.85618e+07
1  0  5.91735e+07
1  1  5.19684e+07
1  2  5.67562e+07
1  3  5.79685e+07
1  4  5.25105e+07
1  5  4.79031e+07
1  6  4.28172e+07
1  7  5.65608e+07
1  8  5.8363e+07
1  9  5.06543e+07
1  10  2.19873e+07
1  11  7.78026e+06
1  12  7.07621e+06
1  13  6.10026e+06
1  14  6.6408e+06
1  15  6.10225e+06
1  16  7.66029e+06
1  17  6.9258e+06
1  18  1.15386e+07
1  19  1.95812e+07
1  20  3.08148e+07
1  21  3.06632e+07
1  22  3.52789e+07
1  23  4.2226e+07
1  24  4.32608e+07
1  25  4.25295e+07
1  26  5.1317e+07
1  27  4.44539e+07
1  28  5.3868e+07
1  29  5.66264e+07
1  30  4.18953e+07
1  31  3.95718e+07
1  32  4.0562e+07
1  33  3.4466e+07
1  34  4.57519e+07
1  35  4.10909e+07
1  36  3.48722e+07
1  37  3.52964e+07
1  38  3.56887e+07
1  39  3.68427e+07
1  40  3.38944e+07
1  41  3.16446e+07
1  42  3.86605e+07
1  43  2.59874e+07
1  44  3.50545e+07
1  45  3.46991e+07
1  46  2.83757e+07
1  47  4.18111e+07
1  48  3.97648e+07
1  49  3.27132e+07
1  50  3.90475e+07
1  51  4.14496e+07
1  52  4.29444e+07
1  53  3.54627e+07
1  54  3.14657e+07
1  55  3.73859e+07
1  56  3.50772e+07
1  57  3.60722e+07
1  58  3.55251e+07
1  59  4.07451e+07
1  60  4.12872e+07
1  61  3.9763e+07
1  62  3.3403e+07
1  63  1.42227e+07
1  64  6.50872e+06
1  65  1.10394e+07
1  66  2.86772e+06
1  67  1.0759e+07
1  68  3.53942e+07
1  69  3.20369e+07
1  70  4.07874e+07
1  71  4.76912e+07
1  72  4.41703e+07
1  73  5.96345e+07
1  74  6.40882e+07
1  75  4.58296e+07
1  76  5.66535e+07
1  77  5.59809e+07
1  78  4.35737e+07
1  79  3.72693e+07
1  80  5.04488e+07
1  81  5.28979e+07
1  82  5.9198e+07
1  83  4.96589e+07
1  84  6.37199e+07
1  85  5.0698e+07
1  86  4.97348e+07
1  87  4.41823e+07
1  88  3.94762e+07
1  89  3.69158e+07
1  90  4.80899e+07
1  91  5.30952e+07
1  92  5.1289e+07
1  93  7.03044e+07
1  94  8.34128e+07
1  95  6.79431e+07
1  96  7.36098e+07
1  97  5.29031e+07
1  98  4.5451e+07
1  99  4.88366e+07
1  100  5.29375e+07
2  0  6.42688e+07
2  1  5.45779e+07
2  2  4.70372e+07
2  3  5.64772e+07
2  4  4.71947e+07
2  5  4.63071e+07
2  6  6.27958e+07
2  7  4.78255e+07
2  8  4.97622e+07
2  9  4.65638e+07
2  10  3.02661e+07
2  11  9.75129e+06
2  12  6.15072e+06
2  13  1.21604e+07
2  14  7.79079e+06
2  15  7.07913e+06
2  16  6.34696e+06
2  17  1.36824e+07
2  18  8.99844e+06
