row  column  (images_21_930.edf Ca-K*images_21_930.edf Ar-K**2.3)
0  0  1.09239e+08
0  1  1.06065e+08
0  2  1.04357e+08
0  3  1.17658e+08
0  4  1.13888e+08
0  5  1.25866e+08
0  6  1.65742e+08
0  7  1.82145e+08
0  8  2.01033e+08
0  9  9.98891e+07
0  10  7.16726e+07
0  11  5.76851e+07
0  12  7.17647e+07
0  13  6.11922e+07
0  14  8.44304e+07
0  15  5.45623e+07
0  16  5.94559e+07
0  17  7.52849e+07
0  18  1.05325e+08
0  19  1.51442e+08
0  20  1.44983e+08
0  21  1.60279e+08
0  22  1.43458e+08
0  23  2.56586e+08
0  24  2.1118e+08
0  25  1.42289e+08
1  0  1.06481e+08
1  1  1.08155e+08
1  2  9.20061e+07
1  3  1.07312e+08
1  4  1.43497e+08
1  5  1.33833e+08
1  6  1.37304e+08
1  7  1.83654e+08
1  8  1.47661e+08
1  9  9.38433e+07
1  10  8.2889e+07
1  11  4.85294e+07
1  12  6.33728e+07
1  13  5.54882e+07
1  14  8.58206e+07
1  15  5.2177e+07
1  16  6.1447e+07
1  17  8.22497e+07
1  18  1.02758e+08
1  19  9.87553e+07
1  20  1.43695e+08
1  21  1.17936e+08
1  22  1.52225e+08
1  23  2.57844e+08
1  24  2.28145e+08
1  25  1.81749e+08
2  0  9.92659e+07
2  1  9.7251e+07
2  2  9.64753e+07
2  3  1.00565e+08
2  4  1.24902e+08
2  5  1.34883e+08
2  6  1.58346e+08
2  7  2.07348e+08
2  8  1.26571e+08
2  9  6.78761e+07
2  10  5.89029e+07
2  11  5.44501e+07
2  12  5.67718e+07
2  13  5.07112e+07
2  14  9.20601e+07
2  15  4.92232e+07
2  16  6.01066e+07
2  17  6.87075e+07
2  18  9.53599e+07
2  19  1.06024e+08
2  20  1.19994e+08
2  21  1.14525e+08
2  22  1.32563e+08
2  23  1.72416e+08
2  24  1.89613e+08
2  25  1.69299e+08
3  0  1.28692e+08
3  1  9.36701e+07
3  2  1.01129e+08
3  3  1.18571e+08
3  4  1.11129e+08
3  5  1.25636e+08
3  6  1.31294e+08
3  7  1.47806e+08
3  8  1.04842e+08
3  9  5.6159e+07
3  10  4.47683e+07
3  11  5.64674e+07
3  12  5.72895e+07
3  13  5.29443e+07
3  14  1.10165e+08
3  15  6.16137e+07
3  16  5.96471e+07
3  17  6.20024e+07
3  18  7.5572e+07
3  19  1.05211e+08
3  20  1.00665e+08
3  21  1.05189e+08
3  22  1.12182e+08
3  23  1.83633e+08
3  24  1.59124e+08
3  25  1.73154e+08
4  0  8.84297e+07
4  1  8.1933e+07
4  2  9.57031e+07
4  3  1.10461e+08
4  4  1.24222e+08
4  5  1.08047e+08
4  6  1.30806e+08
4  7  1.70003e+08
4  8  1.15171e+08
4  9  3.75804e+07
4  10  3.91642e+07
4  11  4.18853e+07
4  12  5.28089e+07
4  13  5.39683e+07
4  14  5.9951e+07
4  15  6.12914e+07
4  16  5.75033e+07
4  17  6.04749e+07
4  18  6.53927e+07
4  19  9.58703e+07
4  20  8.2363e+07
4  21  1.18241e+08
4  22  1.22499e+08
4  23  1.5702e+08
4  24  1.31215e+08
4  25  1.68394e+08
5  0  9.97064e+07
5  1  1.00409e+08
5  2  9.538e+07
5  3  1.2456e+08
5  4  1.20299e+08
5  5  1.09674e+08
5  6  1.47918e+08
5  7  1.42412e+08
5  8  7.79505e+07
5  9  3.57234e+07
5  10  2.65834e+07
5  11  0
5  12  2.2288e+07
5  13  4.01394e+07
5  14  5.03712e+07
5  15  4.49423e+07
5  16  5.58387e+07
5  17  5.63143e+07
5  18  8.53455e+07
5  19  9.75665e+07
5  20  8.93783e+07
5  21  9.15378e+07
5  22  1.12696e+08
5  23  1.21899e+08
5  24  1.56194e+08
5  25  1.57125e+08
6  0  9.32781e+07
6  1  6.81227e+07
6  2  9.29128e+07
6  3  1.15e+08
6  4  1.07464e+08
6  5  1.21969e+08
6  6  1.0875e+08
6  7  1.3472e+08
6  8  7.7297e+07
6  9  1.87399e+07
6  10  3.26195e+07
6  11  3.88923e+07
6  12  3.10446e+07
6  13  3.48603e+07
6  14  6.01745e+07
6  15  3.70661e+07
6  16  4.0957e+07
6  17  6.46347e+07
6  18  7.95837e+07
6  19  9.24117e+07
6  20  9.14126e+07
6  21  8.79969e+07
6  22  1.15937e+08
6  23  1.23201e+08
6  24  1.26706e+08
6  25  1.60826e+08
7  0  8.99278e+07
7  1  7.28106e+07
7  2  9.56394e+07
7  3  1.11626e+08
7  4  1.33355e+08
7  5  1.41554e+08
7  6  1.26063e+08
7  7  1.30785e+08
7  8  8.33657e+07
7  9  3.98875e+07
7  10  2.19028e+07
7  11  2.73235e+07
7  12  2.29778e+07
7  13  3.71966e+07
7  14  3.98634e+07
7  15  5.49458e+07
7  16  5.04102e+07
7  17  7.03449e+07
7  18  7.69439e+07
7  19  9.03346e+07
7  20  9.65601e+07
7  21  9.03759e+07
7  22  1.03643e+08
7  23  1.45479e+08
7  24  1.23997e+08
7  25  1.826e+08
8  0  1.01193e+08
8  1  8.03428e+07
8  2  1.10798e+08
8  3  1.10081e+08
8  4  1.26065e+08
8  5  1.47358e+08
8  6  1.4069e+08
8  7  1.25048e+08
8  8  5.68146e+07
8  9  2.40707e+07
8  10  1.71603e+07
8  11  2.23399e+07
8  12  2.0706e+07
8  13  2.45217e+07
8  14  5.73216e+07
8  15  4.39398e+07
8  16  5.09629e+07
8  17  6.6665e+07
8  18  6.91458e+07
8  19  8.62472e+07
8  20  9.53204e+07
8  21  9.62399e+07
8  22  9.51195e+07
8  23  1.43021e+08
8  24  1.72179e+08
8  25  1.97853e+08
9  0  1.16775e+08
9  1  7.05277e+07
9  2  9.55107e+07
9  3  1.09751e+08
9  4  1.29454e+08
9  5  1.31783e+08
9  6  1.65235e+08
9  7  1.17768e+08
9  8  6.56313e+07
9  9  3.45443e+07
9  10  3.09982e+07
9  11  2.66755e+07
9  12  2.04813e+07
9  13  2.9193e+07
9  14  4.57722e+07
9  15  5.36879e+07
9  16  3.81158e+07
9  17  5.61379e+07
9  18  9.03574e+07
9  19  8.67314e+07
9  20  9.00845e+07
9  21  8.57653e+07
9  22  1.18359e+08
9  23  1.60521e+08
9  24  1.56582e+08
9  25  2.16631e+08
10  0  8.83908e+07
10  1  9.20048e+07
10  2  9.76252e+07
10  3  1.22085e+08
10  4  1.40061e+08
10  5  1.50385e+08
10  6  1.79181e+08
10  7  1.2919e+08
10  8  5.86421e+07
10  9  5.23908e+07
10  10  2.45314e+07
10  11  2.73906e+07
10  12  2.56008e+07
10  13  2.28746e+07
10  14  3.6737e+07
10  15  5.51493e+07
10  16  3.18077e+07
10  17  4.54445e+07
10  18  7.2154e+07
10  19  8.57017e+07
10  20  7.54043e+07
10  21  1.04325e+08
10  22  1.13297e+08
10  23  1.74794e+08
10  24  1.80608e+08
10  25  2.41802e+08
11  0  9.27514e+07
11  1  1.01071e+08
11  2  9.64263e+07
11  3  1.22071e+08
11  4  1.43421e+08
11  5  1.4827e+08
11  6  1.83577e+08
11  7  1.43932e+08
11  8  7.14563e+07
11  9  6.16319e+07
11  10  2.56524e+07
11  11  3.70575e+07
11  12  3.27533e+07
11  13  2.50023e+07
11  14  4.89823e+07
11  15  5.27151e+07
11  16  6.24108e+07
11  17  6.73518e+07
11  18  6.89424e+07
11  19  8.98757e+07
11  20  1.00584e+08
11  21  1.18099e+08
11  22  1.66529e+08
11  23  2.05969e+08
11  24  2.57671e+08
11  25  3.22553e+08
12  0  8.39211e+07
12  1  1.01024e+08
12  2  9.42974e+07
12  3  1.24102e+08
12  4  1.34764e+08
12  5  1.40594e+08
12  6  1.71073e+08
12  7  1.28598e+08
12  8  6.60804e+07
12  9  4.70494e+07
12  10  3.3565e+07
12  11  2.52896e+07
12  12  8.32925e+06
12  13  3.13302e+07
12  14  4.83821e+07
12  15  5.23858e+07
12  16  4.75714e+07
12  17  6.18708e+07
12  18  8.15056e+07
12  19  8.89939e+07
12  20  1.2581e+08
12  21  1.30517e+08
12  22  1.61576e+08
12  23  2.49311e+08
12  24  3.12007e+08
12  25  3.33908e+08
13  0  1.0538e+08
13  1  1.05893e+08
13  2  1.05897e+08
13  3  1.22541e+08
13  4  1.40775e+08
13  5  1.56345e+08
13  6  1.942e+08
13  7  1.37338e+08
13  8  8.75299e+07
13  9  6.69635e+07
13  10  2.92228e+07
13  11  3.7663e+07
13  12  2.90206e+07
13  13  3.77788e+07
13  14  5.30735e+07
13  15  6.78272e+07
13  16  6.48611e+07
13  17  6.70048e+07
13  18  1.02361e+08
13  19  1.11363e+08
13  20  1.27876e+08
13  21  1.61714e+08
13  22  2.26026e+08
13  23  3.4759e+08
13  24  3.42237e+08
13  25  3.72841e+08
14  0  8.74587e+07
14  1  1.09848e+08
14  2  1.20993e+08
14  3  1.29523e+08
14  4  1.29334e+08
14  5  1.53434e+08
14  6  2.12406e+08
14  7  1.52858e+08
14  8  9.29262e+07
14  9  6.70613e+07
14  10  5.88366e+07
14  11  4.26593e+07
14  12  4.93257e+07
14  13  5.74506e+07
14  14  4.2708e+07
14  15  6.88444e+07
14  16  6.16939e+07
14  17  8.98804e+07
14  18  1.17232e+08
14  19  1.29751e+08
14  20  1.46266e+08
14  21  1.86498e+08
14  22  2.37199e+08
14  23  3.39991e+08
14  24  4.63312e+08
14  25  5.10741e+08
15  0  1.15093e+08
15  1  1.32941e+08
15  2  1.18494e+08
