row  column  (images_11.edf Mn_K*images_11.edf Ar_K**2.3)
0  0  0
0  1  1.438e+08
0  2  1.44488e+08
0  3  1.11047e+08
0  4  1.1147e+08
0  5  1.28424e+08
0  6  1.60341e+08
0  7  1.74214e+08
0  8  8.40149e+07
0  9  1.05344e+08
0  10  6.35787e+07
0  11  1.56081e+08
0  12  1.1104e+08
0  13  1.16704e+08
0  14  1.70992e+08
0  15  1.75097e+08
0  16  2.04594e+08
0  17  1.59287e+08
0  18  1.57147e+08
0  19  1.69202e+08
0  20  1.90859e+08
0  21  2.02809e+08
0  22  1.53089e+08
0  23  1.37371e+08
0  24  1.25366e+08
0  25  8.35879e+07
0  26  1.38761e+08
0  27  1.44937e+08
0  28  6.07495e+07
0  29  1.22407e+08
0  30  1.2618e+08
0  31  1.0294e+08
0  32  6.67422e+07
0  33  1.09713e+08
0  34  1.16209e+08
0  35  6.49872e+07
0  36  1.01534e+08
0  37  9.99544e+07
0  38  1.09041e+08
0  39  1.39841e+08
0  40  1.35011e+08
0  41  8.68679e+07
0  42  2.0511e+08
0  43  1.51666e+08
0  44  1.7948e+08
0  45  1.08039e+08
0  46  1.09373e+08
0  47  1.6747e+08
0  48  2.10352e+08
0  49  1.74761e+08
0  50  2.00205e+08
1  0  0
1  1  1.4844e+08
1  2  8.52447e+07
1  3  1.31988e+08
1  4  6.75817e+07
1  5  1.7813e+08
1  6  1.23044e+08
1  7  1.70653e+08
1  8  1.06512e+08
1  9  1.00492e+08
1  10  1.43671e+08
1  11  1.9891e+08
1  12  1.97345e+08
1  13  1.15044e+08
1  14  1.13533e+08
1  15  1.44681e+08
1  16  1.09525e+08
1  17  1.14899e+08
1  18  1.84368e+08
1  19  1.19576e+08
1  20  1.93532e+08
1  21  1.67705e+08
1  22  1.97473e+08
1  23  1.63353e+08
1  24  1.34283e+08
1  25  1.13922e+08
1  26  1.19101e+08
1  27  8.69789e+07
1  28  9.684e+07
1  29  9.91801e+07
1  30  9.25037e+07
1  31  9.96979e+07
