row  column  (images_11.edf Zn_K*images_11.edf Ar_K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  1.43887e+07
0  6  0
0  7  4.40714e+07
0  8  8.24654e+07
0  9  2.47908e+08
0  10  7.64235e+07
0  11  1.73766e+08
0  12  0
0  13  8.60216e+07
0  14  0
0  15  1.24292e+08
0  16  0
0  17  6.30484e+07
0  18  0
0  19  1.39267e+07
0  20  0
0  21  0
0  22  9.61333e+07
0  23  3.50917e+07
0  24  3.24555e+07
0  25  4.19248e+07
0  26  1.69575e+08
0  27  2.51599e+08
0  28  3.99565e+08
0  29  3.73193e+08
0  30  3.26948e+08
0  31  3.87266e+08
0  32  3.36463e+08
0  33  2.33332e+08
0  34  4.27733e+08
0  35  3.94713e+08
0  36  2.67359e+08
0  37  2.86616e+08
0  38  1.74569e+08
0  39  1.21774e+08
0  40  1.3764e+08
0  41  1.52246e+08
0  42  2.37995e+08
0  43  1.55362e+08
0  44  7.97147e+07
0  45  2.99296e+07
0  46  1.50203e+08
0  47  0
0  48  1.77118e+08
0  49  1.7323e+08
0  50  9.57716e+07
1  0  0
1  1  7.01611e+07
1  2  0
1  3  3.23514e+07
1  4  3.89617e+07
1  5  0
1  6  4.47698e+07
1  7  1.06169e+08
1  8  1.60051e+08
1  9  1.3643e+08
1  10  1.43556e+08
1  11  7.51652e+07
1  12  2.09868e+07
1  13  5.65197e+07
1  14  4.08344e+07
1  15  7.07814e+07
1  16  1.41286e+07
1  17  827372
1  18  6.41262e+07
1  19  0
1  20  2.50871e+07
1  21  0
1  22  0
1  23  4.50912e+07
1  24  0
1  25  0
1  26  2.09682e+08
1  27  1.79255e+08
1  28  2.33867e+08
1  29  3.55542e+08
1  30  3.03887e+08
1  31  3.35852e+08
1  32  3.2998e+08
1  33  2.60388e+08
1  34  2.57136e+08
1  35  4.08843e+08
1  36  4.33691e+08
1  37  2.39682e+08
1  38  2.17916e+08
1  39  1.67295e+08
1  40  1.7851e+08
1  41  2.1104e+08
1  42  2.50657e+08
1  43  9.17736e+07
1  44  1.17497e+08
1  45  5.88042e+07
1  46  3.60721e+07
1  47  8.41288e+07
1  48  1.10567e+08
1  49  1.62377e+08
1  50  1.87415e+07
2  0  0
2  1  0
2  2  3.59304e+07
2  3  0
2  4  1.90127e+07
2  5  1.70085e+07
2  6  0
2  7  2.53867e+07
2  8  6.2072e+07
2  9  1.36584e+08
2  10  1.46477e+08
2  11  1.66575e+08
2  12  8.08892e+07
2  13  4.70816e+07
2  14  1.24048e+07
2  15  1.47888e+08
2  16  5.02915e+07
2  17  0
2  18  2.26549e+07
2  19  0
2  20  1.35483e+07
2  21  0
2  22  2.33152e+07
2  23  0
2  24  1.55526e+07
2  25  6.59714e+07
2  26  2.2191e+08
2  27  2.71769e+08
2  28  3.71686e+08
2  29  3.40996e+08
2  30  3.19818e+08
2  31  2.90166e+08
2  32  2.66616e+08
2  33  2.81953e+08
2  34  3.67674e+08
2  35  3.94568e+08
2  36  2.50704e+08
2  37  1.8835e+08
2  38  2.08675e+08
2  39  1.44856e+08
2  40  1.12697e+08
2  41  2.07674e+08
2  42  1.57454e+08
2  43  8.38329e+07
2  44  7.30942e+07
2  45  1.17305e+08
2  46  7.42768e+07
2  47  8.33849e+07
2  48  1.20938e+08
2  49  6.2494e+07
2  50  1.06077e+07
3  0  0
3  1  5.94242e+07
3  2  4.57624e+07
3  3  0
3  4  6.84861e+07
3  5  0
3  6  0
3  7  5.41214e+07
3  8  6.25012e+07
3  9  2.1266e+08
3  10  1.35886e+08
3  11  9.79511e+07
3  12  6.97196e+07
3  13  1.03978e+08
3  14  1.47735e+08
3  15  7.24027e+07
3  16  1.21802e+08
3  17  0
3  18  5.33579e+07
3  19  7.25049e+07
3  20  8.76417e+07
3  21  0
3  22  4.06759e+07
3  23  0
3  24  1.14502e+08
3  25  7.209e+07
3  26  2.97924e+08
3  27  1.25611e+08
3  28  3.08145e+08
3  29  2.86746e+08
3  30  2.26076e+08
3  31  2.6948e+08
3  32  3.54567e+08
3  33  4.31794e+08
3  34  4.81655e+08
3  35  3.17082e+08
3  36  2.94236e+08
3  37  1.23621e+08
3  38  6.19597e+07
3  39  4.98767e+07
3  40  9.39142e+07
3  41  1.68955e+08
3  42  6.23825e+07
3  43  4.8441e+07
3  44  0
3  45  7.18279e+07
3  46  4.90767e+07
3  47  1.43471e+08
3  48  8.23439e+07
3  49  1.25673e+08
3  50  1.06775e+08
4  0  0
4  1  3.58076e+07
4  2  2.19769e+07
4  3  0
4  4  0
4  5  0
4  6  7.60446e+07
4  7  3.36291e+07
4  8  6.14646e+07
4  9  1.68349e+08
4  10  1.29908e+08
4  11  1.41738e+08
4  12  1.30611e+08
4  13  1.33728e+08
4  14  1.02764e+08
4  15  2.09742e+08
4  16  9.77811e+07
4  17  0
4  18  8.16804e+07
4  19  8.02554e+07
4  20  0
4  21  4.42012e+06
4  22  3.31246e+07
4  23  5.59102e+07
4  24  5.04235e+07
4  25  1.05368e+08
4  26  1.36801e+08
4  27  2.19307e+08
4  28  2.21001e+08
4  29  3.17364e+08
4  30  2.90919e+08
4  31  2.43228e+08
4  32  3.81191e+08
4  33  4.50333e+08
4  34  4.00416e+08
4  35  4.13547e+08
4  36  3.09285e+08
4  37  2.40586e+08
4  38  2.01435e+08
4  39  7.7552e+07
4  40  7.18668e+07
4  41  1.54909e+08
4  42  9.25912e+07
4  43  1.89887e+08
4  44  1.10106e+08
4  45  6.18501e+07
4  46  6.71148e+07
4  47  3.19737e+07
4  48  1.3038e+08
4  49  8.81419e+07
4  50  7.07439e+07
5  0  0
5  1  0
5  2  2.3604e+07
5  3  4.4325e+06
5  4  0
5  5  0
5  6  0
5  7  0
5  8  3.77327e+07
5  9  1.5373e+08
5  10  1.80184e+08
5  11  1.59692e+08
5  12  2.37655e+08
5  13  2.1382e+08
5  14  4.839e+07
5  15  2.71582e+08
5  16  1.07683e+08
5  17  9.48953e+07
5  18  0
5  19  2.54614e+07
5  20  4.85773e+07
5  21  6.16695e+07
5  22  8.02247e+06
5  23  1.94255e+07
5  24  1.21659e+08
5  25  1.67288e+08
5  26  1.62035e+08
5  27  2.53191e+08
5  28  3.16544e+08
5  29  2.63393e+08
5  30  2.7498e+08
5  31  3.19793e+08
5  32  4.64807e+08
5  33  4.82329e+08
5  34  4.70176e+08
5  35  2.94826e+08
5  36  2.54289e+08
5  37  1.27802e+08
5  38  9.58383e+07
5  39  1.10287e+08
5  40  1.30179e+08
5  41  9.19461e+07
5  42  9.81228e+07
5  43  9.64303e+07
5  44  5.54972e+07
5  45  7.5738e+07
5  46  4.11146e+07
5  47  7.84182e+07
5  48  1.77481e+08
5  49  0
5  50  1.12461e+08
6  0  0
6  1  0
6  2  0
6  3  0
6  4  0
6  5  1.03252e+08
6  6  0
6  7  0
6  8  0
6  9  1.24821e+08
6  10  1.26207e+08
6  11  1.66618e+08
6  12  1.97303e+08
6  13  2.19223e+08
6  14  1.69113e+08
6  15  2.64567e+08
6  16  1.70689e+08
6  17  1.78699e+08
6  18  1.43547e+08
6  19  8.72468e+07
6  20  5.56369e+07
6  21  0
6  22  0
6  23  5.0409e+07
6  24  1.17209e+08
6  25  2.10806e+08
6  26  1.21069e+08
6  27  1.80727e+08
6  28  2.50301e+08
6  29  2.95498e+08
6  30  2.34955e+08
6  31  3.04309e+08
6  32  3.61876e+08
6  33  4.84652e+08
