row  column  (images_11.edf Ca_K*images_11.edf Ar_K**2.3)
5  9  2.4119e+09
5  10  2.85297e+09
5  11  2.76465e+09
5  12  3.39249e+09
5  13  3.72475e+09
5  14  4.19006e+09
5  15  4.51775e+09
5  16  3.29534e+09
5  17  2.60829e+09
5  18  2.10691e+09
5  19  1.88609e+09
5  20  1.70506e+09
5  21  1.72548e+09
5  22  1.88685e+09
5  23  2.43779e+09
5  24  2.96774e+09
5  25  3.71149e+09
5  26  4.50972e+09
5  27  5.44839e+09
5  28  6.21983e+09
5  29  5.56017e+09
5  30  5.74578e+09
5  31  5.85636e+09
5  32  6.30082e+09
5  33  6.39247e+09
5  34  6.4118e+09
5  35  5.17296e+09
5  36  5.06226e+09
5  37  3.361e+09
5  38  2.84097e+09
5  39  3.17931e+09
5  40  3.22774e+09
5  41  3.11834e+09
5  42  3.00093e+09
5  43  2.76418e+09
5  44  2.53467e+09
5  45  2.51118e+09
5  46  2.44825e+09
5  47  2.94576e+09
5  48  2.67295e+09
5  49  2.39454e+09
5  50  2.47888e+09
6  0  7.82699e+07
6  1  1.57992e+08
6  2  2.41187e+08
6  3  4.9436e+08
6  4  5.59171e+08
6  5  5.95967e+08
6  6  8.44751e+08
6  7  9.58046e+08
6  8  1.47132e+09
6  9  2.28841e+09
6  10  2.67931e+09
6  11  2.95676e+09
6  12  3.50679e+09
6  13  3.81982e+09
6  14  4.16332e+09
6  15  5.04075e+09
6  16  3.70664e+09
6  17  2.88332e+09
6  18  2.74179e+09
6  19  2.26237e+09
6  20  2.28595e+09
6  21  1.95775e+09
6  22  1.98738e+09
6  23  2.33839e+09
6  24  3.63202e+09
6  25  3.84553e+09
6  26  4.05588e+09
6  27  4.2687e+09
6  28  5.55018e+09
6  29  6.08944e+09
6  30  5.52186e+09
6  31  5.65366e+09
6  32  6.46364e+09
6  33  6.61961e+09
6  34  6.40953e+09
6  35  5.7795e+09
6  36  4.45154e+09
6  37  3.63631e+09
6  38  2.67697e+09
6  39  2.7191e+09
6  40  3.25095e+09
6  41  2.8272e+09
6  42  2.99915e+09
6  43  2.86494e+09
6  44  2.51514e+09
6  45  2.66342e+09
6  46  2.75171e+09
6  47  3.04238e+09
6  48  2.52767e+09
6  49  2.41767e+09
6  50  2.47875e+09
7  0  1.94253e+08
7  1  2.45247e+08
7  2  3.52396e+08
7  3  4.36809e+08
7  4  5.34011e+08
7  5  7.06388e+08
7  6  8.85291e+08
7  7  1.00141e+09
7  8  1.73589e+09
7  9  2.22095e+09
7  10  2.73266e+09
7  11  3.30285e+09
7  12  4.0358e+09
7  13  4.2506e+09
7  14  4.41763e+09
7  15  4.44139e+09
7  16  4.42963e+09
7  17  3.28968e+09
7  18  2.86179e+09
7  19  2.51024e+09
7  20  2.5426e+09
7  21  2.27002e+09
7  22  2.14897e+09
7  23  2.56318e+09
7  24  3.68606e+09
7  25  4.26917e+09
7  26  4.1824e+09
7  27  4.50137e+09
7  28  5.47076e+09
7  29  6.07244e+09
7  30  5.61324e+09
7  31  6.07636e+09
7  32  6.51054e+09
7  33  6.11059e+09
7  34  6.31568e+09
7  35  5.43698e+09
7  36  4.10228e+09
7  37  3.7325e+09
7  38  2.98936e+09
7  39  2.54915e+09
7  40  3.18618e+09
7  41  2.95202e+09
7  42  3.38311e+09
7  43  3.07487e+09
7  44  2.75945e+09
7  45  3.0426e+09
7  46  2.83885e+09
7  47  3.19892e+09
7  48  2.73211e+09
7  49  2.28256e+09
7  50  2.35448e+09
8  0  2.05822e+08
8  1  2.86666e+08
8  2  2.91582e+08
8  3  5.25328e+08
8  4  6.37762e+08
8  5  6.53924e+08
8  6  7.94277e+08
8  7  1.05565e+09
8  8  1.22306e+09
8  9  1.79144e+09
8  10  2.44269e+09
8  11  2.73605e+09
8  12  3.42004e+09
8  13  4.1554e+09
8  14  4.11468e+09
8  15  4.44592e+09
8  16  4.7591e+09
8  17  3.93356e+09
8  18  3.18035e+09
8  19  2.7658e+09
8  20  2.97796e+09
8  21  2.64144e+09
8  22  2.5486e+09
8  23  2.8323e+09
8  24  4.09075e+09
8  25  4.36937e+09
8  26  3.86623e+09
8  27  4.16859e+09
8  28  5.50777e+09
8  29  5.94482e+09
8  30  5.51898e+09
8  31  5.92096e+09
8  32  6.25306e+09
8  33  6.67255e+09
8  34  5.96052e+09
8  35  5.15644e+09
8  36  4.28413e+09
8  37  3.22737e+09
8  38  2.95302e+09
8  39  2.60412e+09
8  40  2.82358e+09
8  41  2.95093e+09
8  42  2.85871e+09
8  43  3.13432e+09
8  44  2.74199e+09
8  45  2.81461e+09
8  46  3.26008e+09
8  47  3.15183e+09
8  48  3.45534e+09
8  49  2.9643e+09
8  50  2.75385e+09
9  0  1.54207e+08
9  1  1.88603e+08
9  2  3.1732e+08
9  3  4.47986e+08
9  4  6.02484e+08
9  5  6.65812e+08
9  6  7.91403e+08
9  7  1.03074e+09
9  8  1.1839e+09
9  9  1.60352e+09
9  10  1.95145e+09
9  11  2.59702e+09
9  12  3.27126e+09
9  13  3.78927e+09
9  14  4.10833e+09
9  15  4.57411e+09
9  16  4.5259e+09
9  17  3.82895e+09
9  18  3.24713e+09
9  19  2.92848e+09
9  20  2.81257e+09
9  21  2.9056e+09
9  22  2.76244e+09
9  23  2.84914e+09
9  24  3.20925e+09
9  25  4.38505e+09
9  26  4.1424e+09
9  27  4.18432e+09
9  28  4.4552e+09
9  29  5.90138e+09
9  30  5.59513e+09
9  31  5.64013e+09
9  32  7.02375e+09
9  33  6.6441e+09
9  34  6.25378e+09
9  35  5.54567e+09
9  36  4.41705e+09
9  37  3.43329e+09
9  38  2.91599e+09
9  39  2.50279e+09
9  40  2.18155e+09
9  41  2.53699e+09
9  42  2.76403e+09
9  43  2.72674e+09
9  44  2.47118e+09
9  45  2.88427e+09
9  46  3.79799e+09
9  47  3.43012e+09
9  48  3.60466e+09
9  49  2.85748e+09
9  50  2.56623e+09
10  0  2.80157e+08
10  1  2.39751e+08
10  2  3.2114e+08
10  3  4.62021e+08
10  4  6.4358e+08
10  5  7.56742e+08
10  6  9.40208e+08
10  7  1.04663e+09
10  8  1.31059e+09
10  9  1.70106e+09
10  10  2.06521e+09
10  11  2.46326e+09
10  12  2.89256e+09
10  13  3.37328e+09
10  14  4.00133e+09
10  15  4.17625e+09
10  16  4.71369e+09
10  17  3.99107e+09
10  18  3.18461e+09
10  19  2.89646e+09
10  20  2.94328e+09
10  21  2.91542e+09
10  22  3.13117e+09
10  23  3.30338e+09
10  24  3.97341e+09
10  25  5.19834e+09
10  26  4.43904e+09
10  27  4.65407e+09
10  28  4.8727e+09
10  29  5.57758e+09
10  30  5.51472e+09
10  31  6.13925e+09
10  32  6.73379e+09
10  33  6.39677e+09
10  34  6.28262e+09
10  35  4.97452e+09
10  36  4.14571e+09
10  37  3.15613e+09
10  38  2.69665e+09
10  39  2.50562e+09
10  40  2.15251e+09
10  41  2.29745e+09
10  42  2.55413e+09
10  43  2.85503e+09
10  44  2.75972e+09
10  45  3.02014e+09
10  46  3.70638e+09
10  47  3.83753e+09
10  48  3.56524e+09
10  49  2.54024e+09
10  50  2.31496e+09
11  0  2.41452e+08
11  1  3.8608e+08
11  2  4.10047e+08
11  3  7.48605e+08
11  4  6.46602e+08
11  5  7.51822e+08
11  6  9.88849e+08
11  7  1.14171e+09
11  8  1.40936e+09
11  9  1.51998e+09
11  10  2.10855e+09
11  11  2.62247e+09
11  12  3.35627e+09
11  13  4.0075e+09
11  14  4.20292e+09
11  15  4.37099e+09
11  16  4.05739e+09
11  17  3.55072e+09
11  18  2.97875e+09
11  19  2.68105e+09
11  20  3.07274e+09
11  21  2.9524e+09
11  22  3.10346e+09
11  23  3.71742e+09
11  24  4.85909e+09
11  25  4.36008e+09
11  26  4.45825e+09
11  27  4.94443e+09
11  28  5.11077e+09
11  29  5.59655e+09
11  30  6.57248e+09
11  31  6.45639e+09
11  32  5.89839e+09
11  33  5.90917e+09
11  34  5.15188e+09
11  35  4.28629e+09
11  36  3.14954e+09
11  37  2.61023e+09
11  38  2.43146e+09
11  39  2.1243e+09
11  40  2.15273e+09
11  41  2.65558e+09
11  42  2.59952e+09
11  43  2.79438e+09
11  44  2.71483e+09
11  45  3.14004e+09
11  46  3.98185e+09
11  47  4.1323e+09
11  48  3.57873e+09
11  49  2.79926e+09
11  50  2.26973e+09
12  0  2.99271e+08
12  1  3.38932e+08
12  2  3.14267e+08
12  3  7.09719e+08
12  4  8.78191e+08
12  5  7.58532e+08
12  6  8.67365e+08
12  7  1.15157e+09
12  8  1.33297e+09
12  9  1.47921e+09
12  10  1.87191e+09
12  11  2.21711e+09
12  12  2.50718e+09
12  13  3.4793e+09
12  14  4.07792e+09
12  15  4.58343e+09
12  16  4.52265e+09
12  17  3.83828e+09
12  18  3.29742e+09
12  19  3.21231e+09
12  20  3.17055e+09
12  21  3.07684e+09
12  22  3.13668e+09
12  23  3.39707e+09
12  24  4.02686e+09
12  25  4.81162e+09
12  26  4.44271e+09
12  27  4.60603e+09
12  28  5.14887e+09
12  29  5.8009e+09
12  30  6.32904e+09
12  31  6.75213e+09
12  32  5.77317e+09
12  33  5.54656e+09
12  34  4.75076e+09
12  35  3.42786e+09
12  36  2.84784e+09
12  37  2.59017e+09
12  38  2.32456e+09
12  39  2.12713e+09
12  40  2.44678e+09
12  41  2.67743e+09
12  42  2.61893e+09
12  43  3.08431e+09
12  44  2.94306e+09
12  45  3.38024e+09
12  46  4.3514e+09
12  47  4.29003e+09
12  48  3.48939e+09
12  49  2.66155e+09
12  50  2.30003e+09
13  0  2.2897e+08
13  1  4.33732e+08
13  2  5.56403e+08
13  3  9.67239e+08
13  4  9.16195e+08
13  5  9.46869e+08
13  6  1.12528e+09
13  7  1.29363e+09
13  8  1.48183e+09
13  9  1.81774e+09
13  10  2.1324e+09
13  11  2.46766e+09
13  12  3.31001e+09
13  13  4.1139e+09
13  14  4.3575e+09
13  15  4.44847e+09
13  16  3.91099e+09
13  17  3.53871e+09
13  18  3.43281e+09
13  19  3.08843e+09
13  20  2.98367e+09
13  21  3.23406e+09
13  22  3.34255e+09
13  23  3.60462e+09
13  24  4.55001e+09
13  25  4.27612e+09
13  26  4.68587e+09
13  27  5.17714e+09
13  28  5.34818e+09
13  29  6.10699e+09
13  30  6.22474e+09
13  31  6.77427e+09
13  32  6.23515e+09
13  33  5.29887e+09
13  34  4.29692e+09
13  35  3.73541e+09
13  36  3.01682e+09
13  37  2.67401e+09
13  38  2.26088e+09
13  39  2.03468e+09
13  40  2.34728e+09
13  41  2.73503e+09
13  42  2.59977e+09
13  43  3.17582e+09
13  44  3.35427e+09
13  45  3.48605e+09
13  46  4.68067e+09
13  47  4.62552e+09
13  48  2.99382e+09
13  49  2.34568e+09
13  50  2.42181e+09
14  0  3.15852e+08
14  1  3.61064e+08
14  2  5.50551e+08
14  3  1.027e+09
14  4  9.94818e+08
14  5  9.01313e+08
14  6  1.01424e+09
14  7  1.33225e+09
14  8  1.4123e+09
14  9  1.49522e+09
14  10  2.02597e+09
14  11  2.36715e+09
14  12  2.63678e+09
14  13  3.65006e+09
14  14  4.12481e+09
14  15  4.18264e+09
14  16  4.37341e+09
14  17  3.81779e+09
14  18  3.54315e+09
14  19  3.55161e+09
14  20  3.5136e+09
14  21  3.32615e+09
14  22  3.57144e+09
14  23  3.44859e+09
14  24  4.47359e+09
14  25  4.36109e+09
14  26  4.44229e+09
14  27  5.24243e+09
14  28  5.5288e+09
14  29  5.67067e+09
14  30  6.21956e+09
14  31  6.5958e+09
14  32  5.51991e+09
14  33  4.943e+09
14  34  4.32548e+09
14  35  3.45713e+09
14  36  2.80928e+09
14  37  2.55323e+09
14  38  2.27103e+09
14  39  2.24428e+09
14  40  2.53915e+09
14  41  2.68904e+09
14  42  2.88931e+09
14  43  4.05137e+09
14  44  3.62336e+09
14  45  4.08566e+09
14  46  4.3856e+09
14  47  4.05655e+09
14  48  2.70917e+09
14  49  2.3479e+09
14  50  2.39778e+09
15  0  2.54552e+08
15  1  4.42271e+08
15  2  4.66252e+08
15  3  8.82823e+08
15  4  9.54135e+08
15  5  8.91306e+08
15  6  9.1328e+08
15  7  1.26559e+09
15  8  1.40135e+09
15  9  1.41632e+09
15  10  1.63558e+09
15  11  2.04514e+09
15  12  2.59271e+09
15  13  3.47473e+09
15  14  4.00616e+09
15  15  4.56569e+09
15  16  4.41804e+09
15  17  3.85644e+09
15  18  3.6417e+09
15  19  3.24454e+09
15  20  3.40025e+09
15  21  3.37292e+09
15  22  3.82618e+09
15  23  4.14036e+09
15  24  4.41522e+09
15  25  4.47977e+09
15  26  4.49445e+09
15  27  5.18038e+09
15  28  5.90336e+09
15  29  5.55878e+09
15  30  6.44842e+09
15  31  6.45355e+09
15  32  5.60871e+09
15  33  4.77343e+09
15  34  4.07454e+09
15  35  3.69403e+09
15  36  2.63264e+09
15  37  2.5824e+09
15  38  2.60663e+09
15  39  2.29532e+09
15  40  2.69322e+09
15  41  2.63502e+09
15  42  2.85536e+09
15  43  3.80507e+09
15  44  3.51825e+09
15  45  3.9158e+09
15  46  3.83449e+09
15  47  3.80867e+09
15  48  2.53018e+09
15  49  2.33737e+09
15  50  2.67055e+09
16  0  2.84572e+08
16  1  5.01211e+08
16  2  4.86935e+08
16  3  7.09935e+08
16  4  8.16988e+08
16  5  9.05251e+08
16  6  9.18573e+08
16  7  1.29908e+09
16  8  1.34502e+09
16  9  1.35432e+09
16  10  1.59164e+09
16  11  1.80428e+09
16  12  2.20574e+09
16  13  2.97337e+09
16  14  4.01939e+09
16  15  4.16176e+09
16  16  4.53801e+09
16  17  3.98519e+09
16  18  3.40676e+09
16  19  3.26678e+09
16  20  3.34925e+09
16  21  3.17553e+09
16  22  3.76514e+09
16  23  3.80251e+09
16  24  4.20704e+09
16  25  4.40768e+09
16  26  4.64267e+09
16  27  5.28885e+09
16  28  5.53187e+09
16  29  6.01745e+09
16  30  5.79407e+09
16  31  6.16815e+09
16  32  5.45556e+09
16  33  4.23063e+09
16  34  3.73201e+09
16  35  3.1328e+09
16  36  2.89756e+09
16  37  2.85961e+09
16  38  2.34623e+09
16  39  2.63115e+09
16  40  2.72553e+09
16  41  2.60136e+09
16  42  3.54675e+09
16  43  3.75275e+09
16  44  3.6528e+09
16  45  3.48877e+09
16  46  3.34952e+09
16  47  3.07407e+09
16  48  2.42582e+09
16  49  2.60418e+09
16  50  2.42583e+09
17  0  3.92546e+08
17  1  5.64539e+08
17  2  4.41413e+08
17  3  6.21641e+08
17  4  7.53238e+08
17  5  6.82138e+08
17  6  8.95834e+08
17  7  1.37633e+09
17  8  1.36297e+09
17  9  1.35873e+09
17  10  1.85973e+09
17  11  2.10399e+09
17  12  2.36311e+09
17  13  3.44866e+09
17  14  4.04788e+09
17  15  4.14263e+09
17  16  4.25635e+09
17  17  3.9e+09
17  18  3.43105e+09
17  19  3.30504e+09
17  20  3.3239e+09
