row  column  (images_10_7103.edf Zn_K*images_10_7103.edf Ar_K**2.3)
0  0  3.51125e+08
0  1  3.30581e+08
0  2  2.09474e+08
0  3  3.84053e+08
0  4  4.13686e+08
0  5  3.92667e+08
0  6  4.33244e+08
0  7  4.33461e+08
0  8  3.94606e+08
0  9  3.76957e+08
0  10  2.42957e+08
0  11  3.62279e+08
0  12  3.6477e+08
0  13  3.76793e+08
0  14  3.52683e+08
0  15  2.61471e+08
0  16  4.8117e+08
0  17  4.1049e+08
0  18  3.60454e+08
0  19  2.41174e+08
0  20  2.20679e+08
0  21  2.82932e+08
0  22  3.87618e+08
0  23  3.49625e+08
0  24  3.47095e+08
0  25  4.75272e+08
0  26  2.45571e+08
0  27  9.40564e+07
0  28  1.24335e+08
0  29  2.67139e+08
0  30  3.71948e+08
0  31  3.81141e+08
0  32  4.76528e+08
0  33  3.74561e+08
0  34  4.34135e+08
0  35  3.6518e+08
0  36  2.3377e+08
0  37  3.32325e+08
0  38  2.61111e+08
0  39  1.18799e+08
0  40  3.41466e+08
0  41  3.50768e+08
0  42  1.61572e+08
0  43  2.38219e+08
0  44  1.61869e+08
0  45  1.90158e+08
0  46  2.94709e+08
0  47  2.05602e+08
0  48  3.58095e+08
0  49  3.44698e+08
0  50  2.79173e+08
1  0  3.45216e+08
1  1  3.37857e+08
1  2  2.94658e+08
1  3  4.26892e+08
1  4  4.73794e+08
1  5  4.31711e+08
1  6  3.52676e+08
1  7  4.46262e+08
1  8  3.58936e+08
1  9  1.93682e+08
1  10  3.60439e+08
1  11  3.71443e+08
1  12  4.16045e+08
1  13  3.08863e+08
1  14  3.51003e+08
1  15  4.1868e+08
1  16  3.9259e+08
1  17  3.98217e+08
1  18  3.04254e+08
1  19  2.5632e+08
1  20  3.34485e+08
1  21  3.41085e+08
1  22  3.27561e+08
1  23  3.60649e+08
1  24  4.31662e+08
1  25  4.96534e+08
1  26  1.42814e+08
1  27  1.3902e+08
1  28  3.36305e+08
1  29  2.80523e+08
1  30  4.25755e+08
1  31  4.65464e+08
1  32  3.68445e+08
1  33  4.15318e+08
1  34  2.5752e+08
1  35  1.68e+08
1  36  3.5875e+08
1  37  2.92203e+08
1  38  1.37112e+08
1  39  1.72099e+08
1  40  2.49332e+08
1  41  1.88606e+08
1  42  1.3303e+08
1  43  1.88181e+08
1  44  1.88986e+08
1  45  2.71311e+08
1  46  2.34991e+08
1  47  2.86643e+08
1  48  2.08274e+08
1  49  3.06105e+08
1  50  2.16759e+08
2  0  4.03395e+08
2  1  3.28194e+08
2  2  3.15263e+08
2  3  4.06205e+08
2  4  4.04436e+08
2  5  3.49968e+08
2  6  3.37024e+08
2  7  3.32448e+08
2  8  3.19534e+08
2  9  2.64582e+08
2  10  2.59495e+08
2  11  3.69243e+08
2  12  3.0495e+08
2  13  3.11243e+08
2  14  3.74928e+08
2  15  2.96696e+08
2  16  5.03725e+08
2  17  3.07419e+08
2  18  2.44731e+08
2  19  2.35605e+08
2  20  3.27078e+08
2  21  3.12285e+08
2  22  3.98489e+08
2  23  3.13519e+08
2  24  4.84569e+08
2  25  5.47926e+08
2  26  1.54642e+08
2  27  9.76347e+07
2  28  2.50015e+08
2  29  3.44976e+08
2  30  5.03745e+08
2  31  5.31798e+08
2  32  3.773e+08
2  33  3.98675e+08
2  34  3.46e+08
2  35  1.75549e+08
2  36  2.14552e+08
2  37  2.88405e+08
2  38  2.52439e+08
2  39  1.42377e+08
2  40  3.46207e+08
2  41  1.8722e+08
2  42  1.83503e+08
2  43  2.87701e+08
2  44  2.45577e+08
2  45  2.26988e+08
2  46  2.1453e+08
2  47  2.04859e+08
2  48  3.31907e+08
2  49  2.43556e+08
2  50  1.72156e+08
3  0  2.92861e+08
3  1  2.37212e+08
3  2  2.81498e+08
3  3  4.3021e+08
3  4  3.50054e+08
3  5  3.71026e+08
3  6  2.71598e+08
3  7  3.68892e+08
3  8  2.68295e+08
3  9  3.03127e+08
3  10  3.36802e+08
3  11  3.51808e+08
3  12  3.26263e+08
3  13  2.99123e+08
3  14  3.34784e+08
3  15  4.11082e+08
3  16  4.53698e+08
3  17  3.35326e+08
3  18  2.5685e+08
3  19  2.44003e+08
3  20  3.30942e+08
3  21  3.4736e+08
3  22  4.50535e+08
3  23  3.49656e+08
3  24  5.5804e+08
3  25  4.09289e+08
3  26  1.13629e+08
3  27  1.7526e+08
3  28  2.90084e+08
3  29  4.30783e+08
3  30  4.49994e+08
3  31  4.23233e+08
