row  column  (images_10_7103.edf Fe_K*images_10_7103.edf Ar_K**2.3)
5  8  2.26379e+08
5  9  3.13878e+08
5  10  2.61147e+08
5  11  2.98067e+08
5  12  2.92974e+08
5  13  2.97356e+08
5  14  2.10327e+08
5  15  2.58632e+08
5  16  2.84142e+08
5  17  2.9094e+08
5  18  2.74782e+08
5  19  3.39533e+08
5  20  3.26061e+08
5  21  3.84628e+08
5  22  4.1642e+08
5  23  4.31834e+08
5  24  5.29201e+08
5  25  4.31829e+08
5  26  3.90433e+08
5  27  4.58692e+08
5  28  5.21446e+08
5  29  4.25186e+08
5  30  5.80259e+08
5  31  5.51296e+08
5  32  5.1597e+08
5  33  4.22185e+08
5  34  4.95474e+08
5  35  4.52267e+08
5  36  5.18344e+08
5  37  4.50841e+08
5  38  3.64371e+08
5  39  5.6171e+08
5  40  5.61655e+08
5  41  5.87098e+08
5  42  7.48581e+08
5  43  6.1049e+08
5  44  6.85134e+08
5  45  5.66444e+08
5  46  6.06388e+08
5  47  4.65604e+08
5  48  4.58424e+08
5  49  6.1951e+08
5  50  4.91898e+08
6  0  3.44778e+08
6  1  2.89181e+08
6  2  3.41605e+08
6  3  3.12953e+08
6  4  3.00864e+08
6  5  2.52862e+08
6  6  2.78128e+08
6  7  2.20571e+08
6  8  2.83932e+08
6  9  2.64893e+08
6  10  2.53742e+08
6  11  2.84897e+08
6  12  2.94871e+08
6  13  3.2952e+08
6  14  3.10287e+08
6  15  3.42117e+08
6  16  2.81801e+08
6  17  2.30254e+08
6  18  3.19755e+08
6  19  3.06343e+08
6  20  3.79713e+08
6  21  3.44289e+08
6  22  3.35855e+08
6  23  3.92989e+08
6  24  4.39107e+08
6  25  4.17393e+08
6  26  4.25532e+08
6  27  5.99944e+08
6  28  4.74602e+08
6  29  5.22744e+08
6  30  4.78805e+08
6  31  5.92101e+08
6  32  4.8396e+08
6  33  4.41737e+08
6  34  4.08281e+08
6  35  4.49777e+08
6  36  4.325e+08
6  37  4.82684e+08
6  38  5.13096e+08
6  39  5.04885e+08
6  40  4.67657e+08
6  41  5.57726e+08
6  42  6.64097e+08
6  43  6.28494e+08
6  44  6.50394e+08
6  45  7.19895e+08
6  46  5.75635e+08
6  47  4.93591e+08
6  48  4.10192e+08
6  49  4.94569e+08
6  50  4.35923e+08
7  0  3.80741e+08
7  1  2.44938e+08
7  2  3.02283e+08
7  3  3.10699e+08
7  4  2.49777e+08
7  5  3.08265e+08
7  6  2.96961e+08
7  7  2.72898e+08
7  8  2.29353e+08
7  9  2.95504e+08
7  10  2.53611e+08
7  11  3.21022e+08
7  12  2.66734e+08
7  13  3.97919e+08
7  14  3.27393e+08
7  15  2.87628e+08
7  16  2.43803e+08
7  17  2.98325e+08
7  18  3.2167e+08
7  19  3.74403e+08
7  20  4.20158e+08
7  21  4.03992e+08
7  22  3.75997e+08
7  23  4.16029e+08
7  24  4.22745e+08
7  25  4.53348e+08
7  26  4.00662e+08
7  27  3.77955e+08
7  28  4.06682e+08
7  29  4.25437e+08
7  30  4.52274e+08
7  31  4.85943e+08
7  32  4.92263e+08
7  33  4.11334e+08
7  34  4.60397e+08
7  35  4.6069e+08
7  36  4.7845e+08
7  37  4.40998e+08
7  38  4.31724e+08
7  39  4.37076e+08
7  40  5.12832e+08
7  41  4.89566e+08
7  42  6.65435e+08
7  43  6.12391e+08
7  44  5.63562e+08
7  45  6.14324e+08
7  46  6.26888e+08
