row  column  (images_10_7103.edf Ca_K*images_10_7103.edf Ar_K**2.3)
5  8  6.2077e+09
5  9  7.76199e+09
5  10  7.37802e+09
5  11  8.85554e+09
5  12  7.46058e+09
5  13  7.40836e+09
5  14  7.85701e+09
5  15  7.97289e+09
5  16  7.85852e+09
5  17  6.57866e+09
5  18  6.84562e+09
5  19  7.49757e+09
5  20  7.59648e+09
5  21  8.25817e+09
5  22  7.54671e+09
5  23  8.48337e+09
5  24  8.85614e+09
5  25  6.08046e+09
5  26  5.86986e+09
5  27  6.71637e+09
5  28  7.22216e+09
5  29  6.85965e+09
5  30  7.65724e+09
5  31  7.59009e+09
5  32  6.90724e+09
5  33  6.32019e+09
5  34  5.40848e+09
5  35  5.23123e+09
5  36  5.49264e+09
5  37  5.56476e+09
5  38  5.07601e+09
5  39  5.95399e+09
5  40  6.15423e+09
5  41  5.40265e+09
5  42  6.21724e+09
5  43  6.10826e+09
5  44  6.72539e+09
5  45  5.6772e+09
5  46  6.21185e+09
5  47  5.22138e+09
5  48  5.3445e+09
5  49  5.91415e+09
5  50  4.90689e+09
6  0  7.79518e+09
6  1  7.21771e+09
6  2  7.20939e+09
6  3  8.46182e+09
6  4  7.55504e+09
6  5  8.51196e+09
6  6  8.20102e+09
6  7  6.64978e+09
6  8  6.64295e+09
6  9  7.46589e+09
6  10  7.63407e+09
6  11  8.13891e+09
6  12  7.96057e+09
6  13  8.39819e+09
6  14  8.6238e+09
6  15  7.98401e+09
6  16  7.41627e+09
6  17  6.26991e+09
6  18  6.90672e+09
6  19  7.58286e+09
6  20  7.86262e+09
6  21  7.42412e+09
6  22  8.11846e+09
6  23  7.74462e+09
6  24  8.42586e+09
6  25  6.35319e+09
6  26  5.85221e+09
6  27  6.91736e+09
6  28  6.73011e+09
6  29  6.77793e+09
6  30  6.42908e+09
6  31  7.74056e+09
6  32  6.45737e+09
6  33  6.10393e+09
6  34  5.59014e+09
6  35  5.26818e+09
6  36  5.65525e+09
6  37  5.83316e+09
6  38  5.79153e+09
6  39  5.63783e+09
6  40  5.98675e+09
6  41  5.21107e+09
6  42  6.22372e+09
6  43  6.78193e+09
6  44  6.67176e+09
6  45  6.17207e+09
6  46  6.41052e+09
6  47  5.95772e+09
6  48  5.40455e+09
6  49  5.50983e+09
6  50  5.36069e+09
7  0  7.61984e+09
7  1  7.57582e+09
7  2  7.20616e+09
7  3  8.31493e+09
7  4  7.58873e+09
7  5  8.54066e+09
7  6  7.86747e+09
7  7  6.77016e+09
7  8  6.51715e+09
7  9  7.67205e+09
