row  column  (images_10_7103.edf Mn_K*images_10_7103.edf Ar_K**2.3)
0  0  9.3567e+07
0  1  1.29635e+08
0  2  1.03478e+08
0  3  7.04784e+07
0  4  9.01312e+07
0  5  1.01939e+08
0  6  8.40224e+07
0  7  1.05106e+08
0  8  9.30874e+07
0  9  1.54551e+08
0  10  8.59549e+07
0  11  1.28377e+08
0  12  7.5375e+07
0  13  1.28537e+08
0  14  1.46099e+08
0  15  8.54784e+07
0  16  1.23134e+08
0  17  8.58602e+07
0  18  6.99583e+07
0  19  6.88107e+07
0  20  1.09838e+08
0  21  1.21037e+08
0  22  1.00902e+08
0  23  1.17926e+08
0  24  8.38656e+07
0  25  1.25083e+08
0  26  1.28731e+08
0  27  1.69475e+08
0  28  1.24724e+08
0  29  1.4252e+08
0  30  1.31673e+08
0  31  1.47421e+08
0  32  1.04699e+08
0  33  1.58311e+08
0  34  1.02846e+08
0  35  1.68732e+08
0  36  1.23291e+08
0  37  1.19247e+08
0  38  9.79665e+07
0  39  1.23665e+08
0  40  1.60101e+08
0  41  1.19737e+08
0  42  1.69597e+08
0  43  1.08934e+08
0  44  1.072e+08
0  45  1.34511e+08
0  46  2.1326e+08
0  47  1.87952e+08
0  48  1.78847e+08
0  49  1.75733e+08
0  50  1.58542e+08
1  0  8.17466e+07
1  1  7.37741e+07
1  2  1.19889e+08
1  3  9.98237e+07
1  4  1.16322e+08
1  5  9.63536e+07
1  6  1.54179e+08
1  7  1.26161e+08
1  8  6.90019e+07
1  9  1.22252e+08
1  10  9.91108e+07
1  11  9.71173e+07
1  12  1.0737e+08
1  13  1.15136e+08
1  14  1.05204e+08
1  15  7.41833e+07
1  16  1.15009e+08
1  17  1.25416e+08
1  18  1.02421e+08
1  19  1.5198e+08
1  20  1.04845e+08
1  21  1.0888e+08
1  22  1.24579e+08
1  23  5.26565e+07
1  24  3.6403e+07
1  25  1.58653e+08
1  26  1.56823e+08
1  27  1.80868e+08
1  28  1.33992e+08
1  29  1.62558e+08
1  30  7.11451e+07
1  31  1.58298e+08
1  32  1.13619e+08
1  33  1.75761e+08
1  34  1.36981e+08
1  35  1.80953e+08
1  36  1.21893e+08
1  37  1.72222e+08
1  38  1.38462e+08
1  39  1.28395e+08
1  40  9.06156e+07
1  41  1.27235e+08
1  42  4.98849e+07
1  43  1.60304e+08
1  44  1.68522e+08
1  45  1.4712e+08
1  46  1.43489e+08
1  47  1.88583e+08
1  48  1.577e+08
1  49  1.38812e+08
1  50  2.30015e+08
2  0  7.8569e+07
2  1  7.52675e+07
2  2  1.00128e+08
2  3  7.28554e+07
2  4  9.01352e+07
2  5  1.03645e+08
2  6  9.64232e+07
2  7  7.29067e+07
2  8  6.94149e+07
2  9  1.22539e+08
2  10  1.43571e+08
2  11  1.23967e+08
2  12  1.37533e+08
2  13  7.31418e+07
2  14  9.28863e+07
2  15  1.08281e+08
2  16  8.32102e+07
2  17  1.65368e+08
2  18  9.20209e+07
2  19  1.08365e+08
2  20  9.51863e+07
2  21  6.92982e+07
2  22  9.61571e+07
2  23  1.23459e+08
2  24  1.09614e+08
2  25  9.04729e+07
2  26  1.63668e+08
2  27  1.0251e+08
2  28  8.39212e+07
2  29  9.70606e+07
2  30  5.92131e+07
2  31  9.91635e+07
2  32  1.74078e+08
2  33  1.27e+08
2  34  1.40451e+08
2  35  1.17426e+08
2  36  1.31047e+08
2  37  1.88097e+08
2  38  1.27236e+08
2  39  7.18561e+07
2  40  1.63308e+08
2  41  1.45649e+08
2  42  1.20138e+08
2  43  1.58985e+08
2  44  9.46767e+07
2  45  1.39656e+08
2  46  1.01882e+08
2  47  1.32095e+08
2  48  1.57422e+08
2  49  1.29694e+08
2  50  1.62146e+08
3  0  1.18197e+08
3  1  1.06859e+08
3  2  8.80622e+07
3  3  1.0406e+08
3  4  8.77138e+07
3  5  9.15798e+07
3  6  9.91767e+07
3  7  6.31564e+07
3  8  1.61555e+08
3  9  1.01296e+08
3  10  1.25165e+08
3  11  9.09862e+07
3  12  1.5833e+08
3  13  1.66525e+08
3  14  1.27344e+08
3  15  6.52769e+07
3  16  7.92042e+07
3  17  1.12469e+08
3  18  1.09204e+08
3  19  1.116e+08
3  20  2.11942e+08
3  21  1.08909e+08
3  22  9.5172e+07
3  23  9.29304e+07
3  24  5.27908e+07
3  25  1.43307e+08
3  26  1.51112e+08
3  27  1.21794e+08
3  28  8.68212e+07
3  29  1.51512e+08
3  30  1.3364e+08
3  31  1.04285e+08
3  32  1.02356e+08
3  33  1.83971e+08
3  34  8.02851e+07
3  35  1.44637e+08
3  36  1.37944e+08
3  37  1.14815e+08
3  38  1.32885e+08
3  39  1.32935e+08
3  40  9.54732e+07
3  41  1.17031e+08
3  42  1.2631e+08
3  43  1.12592e+08
3  44  1.43988e+08
3  45  1.39602e+08
3  46  1.25153e+08
3  47  1.56832e+08
3  48  1.29111e+08
3  49  1.80489e+08
3  50  1.58745e+08
4  0  8.65169e+07
4  1  9.25115e+07
4  2  9.9889e+07
4  3  1.18063e+08
4  4  6.97215e+07
4  5  9.21876e+07
4  6  1.17513e+08
4  7  1.16142e+08
4  8  9.169e+07
4  9  1.30646e+08
4  10  1.0664e+08
4  11  1.01621e+08
4  12  7.31372e+07
4  13  8.72046e+07
4  14  8.19218e+07
4  15  1.00761e+08
4  16  1.27681e+08
4  17  9.88947e+07
4  18  7.32884e+07
4  19  1.15918e+08
4  20  8.4641e+07
4  21  1.36349e+08
4  22  9.74993e+07
4  23  1.07545e+08
4  24  6.09345e+07
4  25  1.07457e+08
4  26  1.52611e+08
4  27  1.70426e+08
4  28  1.61338e+08
4  29  9.02149e+07
4  30  6.73026e+07
4  31  1.22619e+08
4  32  9.63546e+07
4  33  1.42148e+08
4  34  5.5573e+07
4  35  1.8591e+08
4  36  1.6024e+08
4  37  1.0326e+08
4  38  1.22795e+08
4  39  1.16764e+08
4  40  1.04622e+08
4  41  1.43053e+08
4  42  1.26078e+08
4  43  1.6705e+08
4  44  1.16986e+08
