row  column  (images_10_7103.edf Cu_K*images_10_7103.edf Ar_K**2.3)
6  40  5.86845e+07
6  41  1.38937e+07
6  42  0
6  43  0
6  44  0
6  45  5.6505e+06
6  46  5.69752e+07
6  47  0
6  48  0
6  49  0
6  50  0
7  0  0
7  1  1.86755e+07
7  2  1.61873e+07
7  3  0
7  4  8.65055e+07
7  5  3.31095e+07
7  6  3.20815e+07
7  7  3.71944e+07
7  8  724659
7  9  3.85391e+07
7  10  0
7  11  0
7  12  0
7  13  5.07788e+07
7  14  7.276e+06
7  15  1.34054e+07
7  16  2.14565e+07
7  17  0
7  18  0
7  19  1.33412e+07
7  20  0
7  21  1.61132e+07
7  22  0
7  23  0
7  24  0
7  25  7.08828e+06
7  26  9.67096e+06
7  27  2.29107e+06
7  28  0
7  29  2.51957e+07
7  30  1.79836e+07
7  31  0
7  32  3.17518e+07
7  33  5.60124e+07
7  34  0
7  35  0
7  36  0
7  37  5.34522e+07
7  38  1.22215e+07
7  39  4.39931e+07
7  40  0
7  41  1.08835e+07
7  42  0
7  43  0
7  44  0
7  45  5.11585e+07
7  46  0
7  47  0
7  48  0
7  49  0
7  50  0
8  0  2.9031e+07
8  1  1.45184e+07
8  2  6.41198e+07
8  3  0
8  4  5.60828e+07
8  5  4.03351e+06
8  6  0
8  7  0
8  8  4.8388e+06
8  9  1.18943e+07
8  10  1.10132e+07
8  11  2.70701e+07
8  12  1.89544e+07
8  13  0
8  14  0
8  15  3.04587e+07
8  16  0
8  17  0
8  18  1.3798e+07
8  19  0
8  20  0
8  21  5.72631e+07
8  22  0
8  23  2.19682e+07
8  24  0
8  25  0
8  26  7.4451e+06
8  27  0
8  28  0
8  29  9.7237e+06
8  30  0
8  31  0
8  32  2.52013e+07
8  33  806883
8  34  3.10289e+07
8  35  143469
8  36  0
8  37  0
8  38  7.58e+06
8  39  3.25159e+07
8  40  0
8  41  0
8  42  0
8  43  8.27442e+07
8  44  624192
8  45  3.07357e+07
8  46  1.59255e+07
8  47  0
8  48  0
8  49  2.12274e+07
8  50  0
9  0  2.31059e+07
9  1  1.10588e+07
9  2  6.34765e+06
9  3  0
9  4  1.41254e+06
9  5  2.354e+07
9  6  1.32883e+07
9  7  7.06817e+06
9  8  232668
9  9  4.19436e+07
9  10  0
9  11  1.85252e+07
9  12  2.5256e+07
9  13  2.96428e+07
9  14  8.20344e+06
9  15  3.65615e+07
9  16  5.97559e+07
9  17  5.71e+07
9  18  0
9  19  5.32622e+07
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  0
9  26  9.40868e+06
9  27  0
9  28  5.72893e+07
9  29  0
9  30  0
9  31  0
9  32  0
9  33  3.74624e+07
9  34  0
9  35  2.40215e+07
9  36  0
9  37  3.27987e+06
9  38  0
9  39  3.65618e+07
9  40  0
9  41  0
9  42  3.5354e+07
9  43  5.81703e+06
9  44  0
9  45  0
9  46  0
9  47  8.50684e+07
9  48  0
9  49  7.41934e+06
9  50  0
10  0  3.97163e+07
10  1  6.76436e+06
10  2  1.12362e+07
10  3  0
10  4  0
10  5  1.69408e+07
10  6  3.03697e+07
10  7  0
10  8  0
10  9  0
10  10  0
10  11  0
10  12  5.05385e+07
10  13  0
10  14  5.60389e+07
10  15  7.53826e+07
10  16  4.12084e+07
10  17  0
10  18  0
10  19  0
10  20  0
10  21  0
10  22  1.31124e+07
10  23  0
10  24  1.11295e+07
10  25  0
10  26  5.27554e+06
10  27  6.28521e+06
10  28  0
10  29  0
10  30  0
10  31  2.03256e+07
10  32  3.28865e+07
10  33  0
10  34  3.09611e+07
10  35  0
10  36  0
10  37  0
10  38  0
10  39  7.56138e+07
10  40  7.509e+06
10  41  2.93307e+07
10  42  0
10  43  2.87233e+07
10  44  0
10  45  2.59058e+07
10  46  9.53839e+06
10  47  0
10  48  0
10  49  2.56815e+07
10  50  3.19001e+07
11  0  4.74918e+07
11  1  3.79029e+06
11  2  0
11  3  6.58632e+07
11  4  3.05852e+06
11  5  4.83331e+07
11  6  2.92487e+07
11  7  1.47208e+06
11  8  0
11  9  0
11  10  1.14926e+07
11  11  1.80843e+07
11  12  0
11  13  0
11  14  2.99073e+07
11  15  1.97405e+07
11  16  2.59233e+07
11  17  0
11  18  0
11  19  1.4459e+07
11  20  5.04646e+07
11  21  3.20319e+07
11  22  9.88596e+06
11  23  0
11  24  0
11  25  1.24019e+07
11  26  0
11  27  0
11  28  0
11  29  0
11  30  7.1344e+06
11  31  0
11  32  0
11  33  0
11  34  3.64344e+06
11  35  0
11  36  0
11  37  0
11  38  0
11  39  1.87237e+07
11  40  0
11  41  0
11  42  3.22752e+07
11  43  6.36399e+07
11  44  9.17016e+07
11  45  0
11  46  0
11  47  3.3849e+07
11  48  0
11  49  0
11  50  0
12  0  4.9264e+07
12  1  0
12  2  0
12  3  5.60487e+07
12  4  5.12276e+07
12  5  4.53053e+07
12  6  3.20411e+07
12  7  4.25696e+07
12  8  0
12  9  1.09467e+06
12  10  0
12  11  0
12  12  8.37428e+07
12  13  3.74957e+07
12  14  1.31393e+07
12  15  0
12  16  5.26232e+07
12  17  0
12  18  1.93079e+07
12  19  0
12  20  1.78839e+07
12  21  1.58883e+07
12  22  0
12  23  0
12  24  0
12  25  0
12  26  0
12  27  0
12  28  4.59107e+07
12  29  0
12  30  0
12  31  2.13152e+07
12  32  0
12  33  3.62217e+06
12  34  4.58e+06
12  35  1.96297e+07
12  36  9.75686e+06
12  37  0
12  38  0
12  39  2.80224e+07
12  40  0
12  41  0
12  42  0
12  43  4.39317e+07
12  44  0
12  45  0
12  46  0
12  47  4.96223e+07
12  48  1.20952e+07
12  49  0
12  50  1.31283e+07
13  0  0
13  1  7.26048e+07
13  2  0
13  3  0
13  4  3.24308e+07
13  5  0
13  6  3.16191e+07
13  7  0
13  8  0
13  9  1.79418e+07
13  10  9.52316e+07
13  11  0
13  12  2.89703e+07
13  13  0
13  14  2.40001e+07
13  15  0
13  16  3.4667e+07
13  17  0
13  18  0
13  19  3.40483e+07
13  20  5.85822e+06
13  21  132426
13  22  0
13  23  1.35228e+07
13  24  0
13  25  0
13  26  0
13  27  0
13  28  1.08796e+07
13  29  0
13  30  0
13  31  0
13  32  0
13  33  4.97316e+06
13  34  7.58019e+06
13  35  0
13  36  1.17887e+07
13  37  3.1531e+06
13  38  2.72082e+07
13  39  2.90067e+07
13  40  3.45973e+07
