row  column  (images_10_7103.edf S_K*images_10_7103.edf Ar_K**2.3)
0  0  5.61744e+07
0  1  1.1064e+08
0  2  9.58648e+07
0  3  1.00379e+08
0  4  1.21988e+08
0  5  5.39359e+07
0  6  1.44738e+08
0  7  1.57078e+08
0  8  8.63715e+07
0  9  1.07792e+08
0  10  1.11305e+08
0  11  1.45497e+08
0  12  1.25052e+08
0  13  1.57911e+08
0  14  1.98103e+08
0  15  1.82752e+08
0  16  2.18642e+08
0  17  1.58289e+08
0  18  1.24517e+08
0  19  1.13342e+08
0  20  1.33134e+08
0  21  1.10036e+08
0  22  1.51016e+08
0  23  1.74888e+08
0  24  2.07641e+08
0  25  1.29798e+08
0  26  0
0  27  0
0  28  9.08449e+07
0  29  1.18486e+08
0  30  1.3006e+08
0  31  1.78687e+08
0  32  1.4837e+08
0  33  1.49715e+08
0  34  9.61308e+07
0  35  7.5664e+07
0  36  0
0  37  1.16717e+08
0  38  1.02601e+08
0  39  9.22973e+07
0  40  1.37825e+08
0  41  1.13965e+08
0  42  5.54459e+07
0  43  1.02851e+08
0  44  1.27548e+08
0  45  1.01714e+08
0  46  5.35449e+07
0  47  1.52637e+08
0  48  8.69195e+07
0  49  1.22858e+08
0  50  1.22834e+08
1  0  4.64441e+07
1  1  6.14168e+07
1  2  1.2154e+08
1  3  1.04572e+08
1  4  1.51931e+08
1  5  1.71156e+08
1  6  1.08505e+08
1  7  8.96783e+07
1  8  9.9705e+07
1  9  1.11744e+08
1  10  1.36081e+08
1  11  1.38273e+08
1  12  1.62106e+08
1  13  1.60938e+08
1  14  1.87559e+08
1  15  2.47414e+08
1  16  2.40462e+08
1  17  2.01528e+08
1  18  1.36614e+08
1  19  1.3578e+08
1  20  1.79611e+08
1  21  1.70933e+08
1  22  1.71877e+08
1  23  2.02649e+08
1  24  1.63614e+08
1  25  7.45182e+07
1  26  6.32115e+07
1  27  9.38757e+07
1  28  1.04133e+08
1  29  1.14158e+08
1  30  1.73846e+08
1  31  1.66924e+08
1  32  1.22284e+08
1  33  1.51395e+08
1  34  8.52292e+07
1  35  0
1  36  1.09356e+08
1  37  1.00756e+08
1  38  0
1  39  1.01112e+08
1  40  1.48469e+08
1  41  1.11398e+08
1  42  1.10242e+08
1  43  1.06346e+08
1  44  8.75805e+07
1  45  1.41952e+08
1  46  1.17854e+08
1  47  9.01476e+07
1  48  1.03467e+08
1  49  7.71099e+07
1  50  8.68809e+07
2  0  1.02431e+08
2  1  1.80059e+08
2  2  9.06662e+07
2  3  1.10657e+08
2  4  6.47194e+07
2  5  7.1168e+07
2  6  1.2425e+08
2  7  8.21408e+07
2  8  1.27875e+08
2  9  8.6902e+07
2  10  1.33473e+08
2  11  1.44299e+08
2  12  1.37757e+08
2  13  1.36125e+08
2  14  1.8585e+08
2  15  1.75757e+08
2  16  1.63133e+08
2  17  1.62786e+08
2  18  1.28539e+08
2  19  1.44099e+08
2  20  2.09414e+08
2  21  1.71035e+08
2  22  1.5329e+08
2  23  1.71519e+08
2  24  1.90525e+08
2  25  8.50271e+07
2  26  0
2  27  0
2  28  1.13097e+08
2  29  1.41295e+08
2  30  1.47185e+08
2  31  1.99831e+08
2  32  1.56886e+08
2  33  1.2571e+08
2  34  7.70691e+07
2  35  7.29159e+07
2  36  0
2  37  1.04594e+08
2  38  7.90182e+07
2  39  1.12252e+08
2  40  1.22841e+08
2  41  1.17019e+08
2  42  6.65183e+07
2  43  9.00226e+07
2  44  1.53941e+08
2  45  6.1884e+07
2  46  1.07533e+08
2  47  1.24483e+08
2  48  1.11487e+08
2  49  9.90298e+07
2  50  0
3  0  1.12359e+08
3  1  6.71981e+07
3  2  1.34561e+08
3  3  1.96083e+08
3  4  8.01633e+07
3  5  1.27177e+08
3  6  1.5392e+08
3  7  1.67453e+08
3  8  1.15602e+08
3  9  6.00017e+07
3  10  1.71591e+08
3  11  1.91394e+08
3  12  1.54258e+08
3  13  1.8327e+08
3  14  1.94001e+08
3  15  1.92119e+08
3  16  1.70176e+08
3  17  1.51353e+08
3  18  8.33788e+07
3  19  1.83576e+08
3  20  2.46225e+08
3  21  2.0838e+08
3  22  1.79035e+08
3  23  2.21009e+08
3  24  2.02354e+08
3  25  0
3  26  0
3  27  8.61142e+07
3  28  1.4695e+08
3  29  1.74921e+08
3  30  1.43427e+08
3  31  1.67676e+08
3  32  1.56471e+08
3  33  9.4576e+07
3  34  1.00597e+08
3  35  6.06902e+07
3  36  0
3  37  1.04717e+08
3  38  6.52604e+07
3  39  0
3  40  1.47447e+08
3  41  9.60546e+07
3  42  1.30917e+08
3  43  1.57936e+08
3  44  1.40772e+08
3  45  9.87543e+07
3  46  1.59548e+08
3  47  0
3  48  1.08769e+08
3  49  1.04669e+08
3  50  0
4  0  9.74541e+07
4  1  1.06067e+08
4  2  4.74921e+07
4  3  1.03554e+08
4  4  1.31625e+08
4  5  1.10514e+08
4  6  1.21028e+08
4  7  5.04678e+07
4  8  8.00635e+07
4  9  1.27539e+08
4  10  9.89396e+07
4  11  1.06534e+08
4  12  2.13919e+08
4  13  1.85677e+08
4  14  2.02057e+08
4  15  1.96586e+08
4  16  1.85856e+08
4  17  1.43489e+08
4  18  1.5561e+08
4  19  1.81326e+08
4  20  1.83825e+08
4  21  1.12315e+08
4  22  2.09109e+08
4  23  1.95219e+08
4  24  1.74817e+08
4  25  1.04871e+08
4  26  5.90553e+07
4  27  1.13295e+08
4  28  1.47526e+08
4  29  1.24113e+08
4  30  1.66736e+08
4  31  1.45967e+08
4  32  1.21736e+08
4  33  1.06225e+08
4  34  8.29626e+07
4  35  6.69018e+07
4  36  0
4  37  1.14448e+08
4  38  1.26019e+08
4  39  7.35191e+07
4  40  8.79505e+07
4  41  8.2814e+07
4  42  1.26953e+08
4  43  8.37386e+07
4  44  1.45139e+08
4  45  1.15547e+08
4  46  1.03202e+08
4  47  0
4  48  9.52002e+07
4  49  1.40161e+08
4  50  7.89047e+07
5  0  8.87859e+07
5  1  8.37042e+07
5  2  9.79933e+07
5  3  1.46117e+08
5  4  1.26152e+08
5  5  1.70852e+08
5  6  9.79019e+07
5  7  9.92784e+07
5  8  0
5  9  1.43441e+08
5  10  1.01527e+08
5  11  1.69722e+08
5  12  1.56652e+08
5  13  1.19191e+08
5  14  1.73623e+08
5  15  1.72301e+08
5  16  1.31493e+08
5  17  1.34925e+08
5  18  1.54961e+08
5  19  1.55291e+08
5  20  2.20787e+08
5  21  2.17887e+08
5  22  1.64296e+08
5  23  1.25561e+08
5  24  1.34655e+08
5  25  0
5  26  0
5  27  9.82812e+07
5  28  1.13284e+08
5  29  1.19871e+08
5  30  1.65127e+08
5  31  1.31767e+08
5  32  1.41269e+08
5  33  1.13279e+08
5  34  0
5  35  0
5  36  9.07807e+07
5  37  1.1916e+08
5  38  6.99532e+07
5  39  6.39699e+07
5  40  1.286e+08
5  41  0
5  42  1.44888e+08
5  43  1.00433e+08
5  44  1.68747e+08
5  45  7.22401e+07
5  46  9.71523e+07
5  47  8.19277e+07
