row  column  (images_20_511.edf Zn-K*images_20_511.edf Ar-K**2.3)
0  0  0
0  1  3.62058e+06
0  2  0
0  3  0
0  4  5.36004e+06
0  5  2.91725e+07
0  6  2.6333e+07
0  7  5.92876e+07
0  8  4.46904e+07
0  9  3.45795e+07
0  10  4.73514e+07
0  11  4.06836e+07
0  12  2.93281e+07
0  13  2.13446e+07
0  14  1.21509e+07
0  15  2.79874e+07
0  16  4.04456e+07
0  17  5.39287e+07
0  18  4.22752e+07
0  19  5.29787e+07
0  20  4.76245e+07
1  0  1.82731e+06
1  1  5.30936e+06
1  2  0
1  3  0
1  4  188244
1  5  2.67742e+07
1  6  3.28899e+07
1  7  5.76237e+07
1  8  3.55574e+07
1  9  2.84596e+07
1  10  3.7726e+07
1  11  2.95974e+07
1  12  3.43744e+07
1  13  2.62233e+07
1  14  2.99869e+07
1  15  3.71291e+07
1  16  4.6942e+07
1  17  4.93416e+07
1  18  3.68148e+07
1  19  4.20887e+07
1  20  5.42067e+07
2  0  0
2  1  0
2  2  1.22161e+07
2  3  6.0475e+06
2  4  1.67706e+07
2  5  3.16365e+07
2  6  5.42612e+07
2  7  4.37405e+07
2  8  2.62345e+07
2  9  3.98131e+07
2  10  4.62922e+07
2  11  2.87953e+07
2  12  2.41607e+07
2  13  2.66891e+07
2  14  3.2014e+07
2  15  4.07357e+07
2  16  5.86439e+07
2  17  5.49372e+07
2  18  4.62647e+07
2  19  5.35187e+07
2  20  5.70263e+07
3  0  0
3  1  902537
3  2  0
3  3  5.47463e+06
3  4  2.79967e+07
3  5  5.46733e+07
3  6  5.69608e+07
3  7  3.62081e+07
3  8  3.05532e+07
3  9  3.49669e+07
3  10  4.35985e+07
3  11  2.24243e+07
3  12  4.58263e+07
3  13  3.81288e+07
3  14  3.20721e+07
3  15  5.64869e+07
3  16  5.41342e+07
3  17  6.03054e+07
3  18  4.14053e+07
3  19  4.99638e+07
3  20  7.8783e+07
4  0  0
4  1  0
4  2  4.06828e+06
4  3  7.0655e+06
4  4  3.06528e+07
4  5  8.26471e+07
4  6  5.92935e+07
4  7  3.71595e+07
4  8  3.6773e+07
4  9  3.58604e+07
4  10  3.70764e+07
4  11  4.24319e+07
4  12  4.09667e+07
4  13  3.25711e+07
