row  column  (images_20_511.edf Fe-K*images_20_511.edf Ar-K**2.3)
0  0  3.91944e+07
0  1  3.88813e+07
0  2  8.0834e+07
0  3  4.12959e+07
0  4  4.89336e+07
0  5  7.79041e+07
0  6  9.79236e+07
0  7  1.44472e+08
0  8  1.20782e+08
0  9  1.08023e+08
0  10  2.24482e+08
0  11  1.15761e+08
0  12  1.16267e+08
0  13  1.06e+08
0  14  9.02287e+07
0  15  1.3397e+08
0  16  1.59986e+08
0  17  1.86066e+08
0  18  1.13139e+08
0  19  1.05748e+08
0  20  8.71623e+07
1  0  3.87514e+07
1  1  3.19941e+07
1  2  6.29134e+07
1  3  4.78379e+07
1  4  5.54468e+07
1  5  1.04064e+08
1  6  1.07954e+08
1  7  1.00945e+08
1  8  9.1762e+07
1  9  1.02725e+08
1  10  1.67746e+08
1  11  1.22513e+08
1  12  1.17027e+08
1  13  9.35507e+07
1  14  1.18076e+08
1  15  1.23438e+08
1  16  1.38702e+08
1  17  1.38017e+08
1  18  1.19582e+08
1  19  9.21971e+07
1  20  8.13198e+07
2  0  2.92177e+07
2  1  4.65842e+07
2  2  5.52837e+07
2  3  4.91843e+07
2  4  5.6631e+07
2  5  7.87096e+07
2  6  1.13765e+08
2  7  1.07129e+08
2  8  1.07714e+08
2  9  9.25486e+07
2  10  1.58698e+08
2  11  1.26223e+08
2  12  1.1175e+08
2  13  1.18352e+08
2  14  1.18326e+08
2  15  1.47276e+08
2  16  1.47453e+08
2  17  1.28748e+08
2  18  9.66822e+07
2  19  7.62578e+07
2  20  7.399e+07
3  0  3.83498e+07
3  1  3.07973e+07
3  2  5.56812e+07
3  3  5.74512e+07
3  4  5.33672e+07
3  5  9.48094e+07
3  6  1.11518e+08
3  7  1.01144e+08
3  8  1.04756e+08
3  9  1.07618e+08
3  10  1.13166e+08
3  11  1.43183e+08
3  12  1.28835e+08
3  13  1.2343e+08
3  14  1.30747e+08
3  15  1.40149e+08
3  16  1.29501e+08
3  17  1.07805e+08
3  18  8.02468e+07
3  19  7.50721e+07
3  20  8.20112e+07
4  0  2.74364e+07
4  1  3.91176e+07
4  2  5.83885e+07
4  3  4.3656e+07
4  4  7.54701e+07
4  5  8.33989e+07
4  6  1.05867e+08
4  7  8.77615e+07
4  8  9.68407e+07
4  9  9.81835e+07
4  10  1.13045e+08
