row  column  (images_20_511.edf Cu-K*images_20_511.edf Ar-K**2.3)
0  0  3.54533e+06
0  1  8.27401e+06
0  2  0
0  3  0
0  4  1.11159e+07
0  5  0
0  6  5.37157e+06
0  7  2.78546e+06
0  8  5.05874e+06
0  9  1.97479e+06
0  10  0
0  11  0
0  12  1.53847e+07
0  13  2.20533e+06
0  14  720703
0  15  8.42216e+06
0  16  0
0  17  5.85405e+06
0  18  3.36256e+06
0  19  4.90009e+06
0  20  1.80691e+07
1  0  9.39189e+06
1  1  2.21679e+06
1  2  2.20779e+06
1  3  4.13048e+06
1  4  3.96137e+06
1  5  4.40181e+06
1  6  0
1  7  1.96251e+06
1  8  1.19886e+07
1  9  2.1469e+06
1  10  2.1148e+06
1  11  2.82606e+06
1  12  4.90565e+06
1  13  8.11026e+06
1  14  1.08923e+07
1  15  6.75494e+06
1  16  5.35115e+06
1  17  2.11523e+06
1  18  1.0349e+07
1  19  7.82513e+06
1  20  1.25101e+07
2  0  4.41928e+06
2  1  6.46321e+06
2  2  2.22329e+06
2  3  1.48177e+07
2  4  1.93864e+06
2  5  8.89304e+06
2  6  3.36362e+06
2  7  4.3639e+06
2  8  1.40242e+07
2  9  2.44336e+06
2  10  8.74277e+06
2  11  4.21025e+06
2  12  9.71423e+06
2  13  9.40542e+06
2  14  1.82936e+06
2  15  1.05763e+07
2  16  1.18084e+07
2  17  3.44681e+06
2  18  0
2  19  1.72242e+07
2  20  1.78839e+06
3  0  1.1221e+06
3  1  6.59201e+06
3  2  0
3  3  1.17492e+06
3  4  6.93379e+06
3  5  1.35725e+07
3  6  3.99526e+06
3  7  1.33433e+07
3  8  8.39036e+06
3  9  3.98639e+06
3  10  6.10264e+06
3  11  3.43334e+06
3  12  1.2685e+07
3  13  772021
3  14  1.1952e+07
3  15  1.75555e+07
3  16  8.59032e+06
3  17  5.87847e+06
3  18  6.52343e+06
3  19  1.13605e+07
3  20  4.21205e+06
4  0  0
4  1  6.35356e+06
4  2  0
4  3  4.40549e+06
4  4  1.02598e+07
4  5  1.89782e+06
4  6  1.24778e+07
4  7  5.9324e+06
4  8  4.0089e+06
4  9  1.04605e+07
4  10  1.06448e+06
4  11  0
4  12  3.31775e+06
4  13  6.99554e+06
4  14  7.23658e+06
4  15  1.01792e+07
4  16  1.74734e+07
4  17  2.50143e+06
4  18  8.61045e+06
4  19  6.82073e+06
4  20  5.05675e+06
5  0  3.96995e+06
5  1  2.97049e+06
5  2  2.29641e+06
5  3  0
5  4  9.01008e+06
5  5  2.01323e+06
5  6  0
5  7  4.04426e+06
5  8  1.05818e+06
5  9  1.07965e+07
5  10  2.81634e+06
5  11  1.45515e+06
5  12  5.07851e+06
5  13  403407
5  14  4.97138e+06
5  15  1.00446e+07
5  16  9.86452e+06
5  17  7.50318e+06
5  18  1.17378e+07
5  19  0
5  20  1.25397e+07
6  0  0
6  1  0
6  2  3.57366e+06
6  3  4.45196e+06
6  4  3.99128e+06
6  5  924761
6  6  7.71156e+06
6  7  4.5948e+06
6  8  6.19869e+06
6  9  1.16778e+07
