row  column  (images_7.edf K-K*images_7.edf Ar-K**2.3)
2  75  3.95644e+07
2  76  7.57714e+07
2  77  4.44255e+07
2  78  7.26316e+07
2  79  5.12442e+07
2  80  6.67919e+07
2  81  2.80709e+07
2  82  4.71688e+07
2  83  3.69655e+07
2  84  4.54758e+07
2  85  2.45683e+07
2  86  3.82287e+07
2  87  2.0276e+07
2  88  4.15663e+07
2  89  3.1301e+07
2  90  4.32812e+07
2  91  1.06186e+07
2  92  0
2  93  3.26466e+07
2  94  2.62806e+07
2  95  2.4935e+07
2  96  2.01595e+07
2  97  1.8034e+07
2  98  4.3259e+07
2  99  2.67616e+07
2  100  3.69315e+07
3  0  1.23616e+07
3  1  1.5103e+07
3  2  1.50774e+07
3  3  2.14702e+07
3  4  7.34046e+06
3  5  3.01633e+07
3  6  2.89877e+07
3  7  2.52323e+07
3  8  1.83835e+07
3  9  1.45223e+07
3  10  1.29289e+07
3  11  2.43575e+07
3  12  1.07963e+07
3  13  2.17653e+07
3  14  1.16052e+07
3  15  1.81498e+07
3  16  1.24369e+06
3  17  1.97683e+07
3  18  2.04757e+07
3  19  1.19319e+07
3  20  9.41292e+06
3  21  8.75044e+06
3  22  1.72489e+07
3  23  2.14369e+07
3  24  2.21368e+07
3  25  1.86871e+07
3  26  3.05039e+07
3  27  7.35723e+06
3  28  1.49518e+07
3  29  9.83542e+06
3  30  1.46739e+07
3  31  4.62046e+07
3  32  3.96257e+07
3  33  1.9044e+07
3  34  2.54878e+07
3  35  2.92129e+07
3  36  1.7292e+07
3  37  1.1886e+07
3  38  2.62987e+07
3  39  1.97939e+07
3  40  1.72029e+07
3  41  3.44351e+07
3  42  1.69404e+07
3  43  2.47724e+07
3  44  3.19822e+07
3  45  3.47514e+07
3  46  2.95949e+07
3  47  3.85597e+07
3  48  4.06739e+07
3  49  3.05816e+07
3  50  1.40288e+07
3  51  1.68849e+07
3  52  3.01944e+07
3  53  3.32654e+07
3  54  1.50769e+07
3  55  2.27861e+07
3  56  4.20543e+07
3  57  4.05336e+07
3  58  3.56867e+07
3  59  1.85094e+07
3  60  2.80067e+07
3  61  3.56996e+07
3  62  2.03696e+07
3  63  0
3  64  1.09941e+07
3  65  1.80931e+07
3  66  4.67243e+07
3  67  4.19985e+07
3  68  4.92168e+07
3  69  5.69855e+07
3  70  6.16887e+07
3  71  0
3  72  4.16988e+07
3  73  3.48238e+07
3  74  6.43794e+07
3  75  6.8752e+07
3  76  7.37978e+07
3  77  8.85318e+07
3  78  4.70361e+07
3  79  4.78182e+07
3  80  5.80031e+07
3  81  0
3  82  7.18329e+07
3  83  5.43076e+07
3  84  3.1503e+07
3  85  3.82426e+07
3  86  1.54737e+07
3  87  3.38524e+07
3  88  1.1643e+07
3  89  3.39622e+07
3  90  4.03371e+07
3  91  2.76682e+07
3  92  3.60737e+07
3  93  3.7472e+07
3  94  2.62053e+07
