row  column  (images_7.edf Cu-K*images_7.edf Ar-K**2.3)
2  95  1.0535e+07
2  96  1.53669e+07
2  97  4.9818e+06
2  98  0
2  99  0
2  100  3.53676e+06
3  0  0
3  1  2.06039e+07
3  2  0
3  3  0
3  4  8.32402e+06
3  5  0
3  6  3.52582e+06
3  7  0
3  8  0
3  9  0
3  10  1.22408e+07
3  11  364185
3  12  0
3  13  4.26259e+06
3  14  1.34449e+07
3  15  127198
3  16  9.5867e+06
3  17  8.58256e+06
3  18  0
3  19  6.87801e+06
3  20  2.23566e+07
3  21  2.59508e+07
3  22  6.74128e+06
3  23  0
3  24  1.26038e+07
3  25  7.87375e+06
3  26  7.52988e+06
3  27  1.77411e+07
3  28  1.56998e+07
3  29  0
3  30  1.50508e+07
3  31  9.98363e+06
3  32  7.56806e+06
3  33  1.05803e+07
3  34  1.16485e+07
3  35  5.22116e+06
3  36  6.67171e+06
3  37  2.34058e+07
3  38  0
3  39  3.3578e+06
3  40  0
3  41  3.49899e+07
3  42  5.77242e+06
3  43  7.63967e+06
3  44  6.38298e+06
3  45  3.45933e+07
3  46  1.15237e+07
3  47  0
3  48  6.56293e+06
3  49  1.84141e+07
3  50  1.27231e+07
3  51  6.96168e+06
3  52  1.06809e+07
3  53  0
3  54  0
3  55  1.76469e+06
3  56  4.79002e+06
3  57  4.58127e+06
3  58  0
3  59  3.45115e+07
3  60  5.68017e+06
3  61  4.92601e+06
3  62  2.14327e+07
3  63  1.34922e+07
3  64  1.64772e+07
3  65  3.54496e+06
3  66  3.00304e+07
3  67  2.48901e+06
3  68  5.47463e+06
3  69  0
3  70  3.34638e+07
3  71  2.76985e+07
3  72  4.62622e+06
3  73  3.06255e+06
3  74  8.48411e+06
3  75  7.94782e+06
3  76  0
3  77  5.69307e+06
3  78  2.09166e+07
3  79  2.66049e+07
3  80  1.54589e+07
3  81  7.45487e+06
3  82  186687
3  83  1.59308e+07
3  84  0
3  85  2.31488e+07
3  86  3.41041e+07
3  87  1.54455e+07
3  88  2.10494e+07
3  89  0
3  90  1.75511e+07
