row  column  (images_7.edf S-K*images_7.edf Ar-K**2.3)
2  62  8.62047e+07
2  63  9.63007e+07
2  64  9.96829e+07
2  65  9.21791e+07
2  66  1.14346e+08
2  67  8.51488e+07
2  68  7.72789e+07
2  69  7.34128e+07
2  70  8.87944e+07
2  71  8.13542e+07
2  72  6.76555e+07
2  73  6.07664e+07
2  74  6.34451e+07
2  75  6.23034e+07
2  76  5.42627e+07
2  77  4.47146e+07
2  78  5.33153e+07
2  79  3.9937e+07
2  80  3.15025e+07
2  81  5.05146e+07
2  82  4.58897e+07
2  83  5.68208e+07
2  84  4.38939e+07
2  85  5.00787e+07
2  86  4.84059e+07
2  87  3.55099e+07
2  88  3.6623e+07
2  89  2.69307e+07
2  90  4.50627e+07
2  91  3.31349e+07
2  92  4.2663e+07
2  93  3.81797e+07
2  94  4.57629e+07
2  95  4.28614e+07
2  96  3.01309e+07
2  97  3.33097e+07
2  98  4.80069e+07
2  99  4.25832e+07
2  100  3.56253e+07
3  0  505046
3  1  7.67871e+06
3  2  3.57374e+06
3  3  3.71152e+06
3  4  5.72346e+06
3  5  6.19447e+06
3  6  1.59844e+07
3  7  9.93026e+06
3  8  1.21881e+07
3  9  3.69403e+07
3  10  3.09478e+07
3  11  2.54499e+07
3  12  2.66792e+07
3  13  4.20529e+07
3  14  3.11522e+07
3  15  3.67392e+07
3  16  6.39347e+07
3  17  4.63854e+07
3  18  5.051e+07
3  19  5.3474e+07
3  20  5.9702e+07
3  21  8.01023e+07
3  22  6.50832e+07
3  23  6.21582e+07
3  24  7.89195e+07
3  25  8.25245e+07
3  26  7.40557e+07
3  27  8.24357e+07
3  28  7.45626e+07
3  29  7.05185e+07
3  30  8.91951e+07
3  31  8.36578e+07
3  32  8.90928e+07
3  33  9.26211e+07
3  34  1.29905e+08
3  35  9.65714e+07
3  36  8.99533e+07
3  37  8.00045e+07
3  38  7.9891e+07
3  39  7.75748e+07
3  40  1.10477e+08
3  41  9.24504e+07
3  42  7.30281e+07
3  43  7.71181e+07
3  44  8.08143e+07
3  45  8.11983e+07
3  46  8.50842e+07
3  47  7.78033e+07
3  48  7.20672e+07
3  49  9.91218e+07
3  50  7.87715e+07
3  51  7.43718e+07
3  52  8.24612e+07
3  53  6.20394e+07
3  54  1.07307e+08
3  55  8.26013e+07
3  56  7.17066e+07
3  57  6.78818e+07
3  58  8.06272e+07
3  59  7.41539e+07
3  60  7.49535e+07
3  61  9.89213e+07
3  62  1.0195e+08
3  63  1.01834e+08
3  64  6.98827e+07
3  65  7.39898e+07
3  66  1.10827e+08
3  67  8.63632e+07
3  68  8.19886e+07
3  69  9.30548e+07
3  70  1.02784e+08
3  71  8.81453e+07
3  72  6.84627e+07
3  73  6.97922e+07
3  74  5.77089e+07
3  75  5.90085e+07
3  76  4.25739e+07
3  77  4.51054e+07
3  78  5.43095e+07
3  79  6.001e+07
3  80  7.85728e+07
3  81  4.61057e+07
3  82  4.13493e+07
3  83  3.87791e+07
3  84  3.8337e+07
3  85  3.25399e+07
3  86  2.22611e+07
3  87  4.05068e+07
3  88  4.4968e+07
3  89  3.72185e+07
3  90  4.52682e+07
3  91  2.98681e+07
3  92  3.95101e+07
3  93  3.17447e+07
3  94  3.10123e+07
3  95  3.29889e+07
3  96  2.77735e+07
3  97  2.87831e+07
3  98  3.66015e+07
3  99  4.05308e+07
3  100  5.55873e+07
4  0  0
4  1  2.72955e+06
4  2  2.72305e+06
4  3  4.02772e+06
4  4  6.13164e+06
4  5  1.16421e+07
4  6  9.32876e+06
4  7  5.90193e+06
4  8  1.47837e+07
4  9  1.99467e+07
4  10  2.33688e+07
4  11  1.90788e+07
4  12  2.45873e+07
4  13  2.84408e+07
4  14  3.8478e+07
4  15  4.91533e+07
4  16  4.45394e+07
4  17  3.92621e+07
4  18  5.86316e+07
4  19  6.637e+07
4  20  7.49794e+07
4  21  9.26976e+07
4  22  4.58081e+07
4  23  6.74611e+07
4  24  7.80913e+07
4  25  8.20903e+07
4  26  8.29286e+07
4  27  7.44291e+07
4  28  7.69184e+07
