row  column  (images_4.edf Mn-K*images_4.edf Ar-K**2.3)
0  0  9.1512e+06
0  1  7.48092e+06
0  2  3.08374e+06
0  3  5.08408e+06
0  4  1.36826e+07
0  5  5.05399e+06
0  6  2.86476e+06
0  7  6.60734e+06
0  8  1.17755e+07
0  9  8.20232e+06
0  10  6.99024e+06
0  11  1.05336e+07
0  12  8.62762e+06
0  13  0
0  14  1.23287e+07
0  15  6.71944e+06
0  16  4.89777e+06
0  17  0
0  18  1.32702e+06
0  19  1.3696e+06
0  20  1.63934e+06
0  21  3.03296e+06
0  22  1.34943e+06
0  23  4.54493e+06
0  24  8.62314e+06
0  25  1.18491e+07
0  26  1.77037e+06
0  27  1.47356e+07
0  28  5.13737e+06
0  29  2.31783e+06
0  30  9.24949e+06
0  31  1.09701e+07
0  32  0
0  33  5.86584e+06
0  34  1.01933e+07
0  35  1.08574e+07
0  36  5.0061e+06
0  37  7.24823e+06
0  38  7.66957e+06
0  39  1.13958e+07
0  40  6.26787e+06
0  41  1.98545e+06
0  42  5.07727e+06
0  43  7.68819e+06
0  44  0
0  45  0
0  46  4.19023e+06
0  47  5.12124e+06
0  48  8.11988e+06
0  49  5.90839e+06
0  50  1.60168e+06
0  51  1.05742e+07
0  52  4.42476e+06
0  53  914523
0  54  6.54466e+06
0  55  6.02435e+06
0  56  1.14029e+07
0  57  1.08493e+07
0  58  9.55002e+06
0  59  7.27456e+06
0  60  0
0  61  1.21905e+07
0  62  7.84222e+06
0  63  1.78562e+06
0  64  1.00168e+07
0  65  3.23982e+06
0  66  7.1062e+06
0  67  7.3874e+06
0  68  0
0  69  7.82947e+06
0  70  5.03207e+06
0  71  6.96274e+06
0  72  1.33476e+07
0  73  1.05008e+07
0  74  1.09561e+07
0  75  0
0  76  4.87895e+06
0  77  9.52786e+06
0  78  7.36591e+06
0  79  1.24745e+07
0  80  8.38537e+06
0  81  3.66973e+06
0  82  7.82975e+06
0  83  1.16042e+07
0  84  1.20779e+07
0  85  1.3787e+07
0  86  1.00292e+07
0  87  8.30595e+06
0  88  2.87429e+06
0  89  1.46435e+07
0  90  0
0  91  1.33694e+07
0  92  0
0  93  6.57176e+06
0  94  0
0  95  0
0  96  5.20087e+06
0  97  0
0  98  0
0  99  0
0  100  6.59558e+06
1  0  8.43708e+06
1  1  4.46007e+06
1  2  8.9229e+06
1  3  9.87424e+06
1  4  5.159e+06
1  5  5.9914e+06
1  6  0
1  7  6.93655e+06
1  8  3.49179e+06
1  9  3.21493e+06
1  10  913149
