row  column  (images_4.edf P-K*images_4.edf Ar-K**2.3)
2  99  1.10936e+07
2  100  5.55811e+06
3  0  1.46914e+07
3  1  1.12417e+07
3  2  1.05976e+07
3  3  8.6525e+06
3  4  5.21953e+06
3  5  178331
3  6  6.98199e+06
3  7  5.99539e+06
3  8  5.99456e+06
3  9  4.17985e+06
3  10  7.02607e+06
3  11  3.30552e+06
3  12  3.89874e+06
3  13  6.67691e+06
3  14  3.87151e+06
3  15  231159
3  16  1.46511e+06
3  17  0
3  18  558679
3  19  0
3  20  406778
3  21  1.78525e+06
3  22  0
3  23  0
3  24  0
3  25  1.93293e+06
3  26  0
3  27  0
3  28  2.94421e+06
3  29  6.17636e+06
3  30  0
3  31  4.82146e+06
3  32  3.556e+06
3  33  2.54235e+06
3  34  1.53522e+06
3  35  5.89385e+06
3  36  0
3  37  465745
3  38  3.64175e+06
3  39  3.3689e+06
3  40  5.5119e+06
3  41  1.55181e+06
3  42  3.96591e+06
3  43  1.21515e+06
3  44  2.47063e+06
3  45  1.49026e+06
3  46  2.96852e+06
3  47  4.24794e+06
3  48  5.52354e+06
3  49  834511
3  50  2.21052e+06
3  51  1.62462e+06
3  52  4.9622e+06
3  53  2.27639e+06
3  54  0
3  55  174758
3  56  3.2288e+06
3  57  2.23781e+06
3  58  3.47166e+06
3  59  8.56928e+06
3  60  7.10535e+06
3  61  6.71331e+06
3  62  9.16053e+06
3  63  1.28855e+06
3  64  2.57324e+06
3  65  4.02802e+06
3  66  5.81842e+06
3  67  6.01107e+06
3  68  1.80137e+06
3  69  2.98474e+06
3  70  2.98592e+06
3  71  2.23344e+06
3  72  4.21293e+06
3  73  6.62776e+06
3  74  8.47096e+06
3  75  6.29618e+06
3  76  1.24769e+07
3  77  3.054e+06
3  78  6.56427e+06
3  79  6.08244e+06
3  80  7.09926e+06
3  81  0
3  82  690766
3  83  5.63482e+06
3  84  1.73228e+06
3  85  9.36649e+06
3  86  5.21652e+06
3  87  7.55612e+06
3  88  4.76138e+06
3  89  0
3  90  6.59102e+06
3  91  455808
3  92  1.01791e+06
3  93  739162
3  94  2.69052e+06
3  95  3.65276e+06
3  96  6.60814e+06
3  97  1.53293e+06
3  98  6.08342e+06
3  99  9.08237e+06
3  100  5.9719e+06
4  0  7.65226e+06
4  1  1.18902e+07
4  2  1.48718e+07
4  3  9.75394e+06
4  4  7.51931e+06
4  5  5.42087e+06
4  6  2.7804e+06
4  7  1.1728e+07
4  8  3.34986e+06
4  9  9.13557e+06
4  10  5.43616e+06
4  11  5.99122e+06
4  12  4.12069e+06
4  13  4.22751e+06
4  14  2.92711e+06
4  15  1.97919e+06
4  16  118940
4  17  2.30354e+06
4  18  1.95933e+06
4  19  2.6846e+06
4  20  293291
4  21  886103
4  22  0
4  23  276289
4  24  0
4  25  0
4  26  578596
4  27  0
4  28  182120
4  29  0
4  30  0
4  31  314431
4  32  6.94515e+06
4  33  4.81323e+06
4  34  1.04535e+06
4  35  931211
4  36  2.51855e+06
4  37  3.33518e+06
4  38  2.40316e+06
4  39  292735
4  40  3.65055e+06
4  41  249609
4  42  2.10771e+06
4  43  0
4  44  3.17093e+06
4  45  3.29168e+06
4  46  2.41198e+06
4  47  789017
4  48  4.39157e+06
4  49  841682
4  50  3.58247e+06
4  51  406485
4  52  416076
4  53  2.75877e+06
4  54  1.90699e+06
4  55  5.7625e+06
4  56  2.37508e+06
