row  column  (images_4.edf Zn-K*images_4.edf Ar-K**2.3)
2  62  7.16751e+07
2  63  4.82248e+07
2  64  5.02096e+07
2  65  5.32815e+07
2  66  4.84753e+07
2  67  7.45998e+07
2  68  3.60209e+07
2  69  4.94946e+07
2  70  3.68609e+07
2  71  5.40769e+07
2  72  5.00735e+07
2  73  3.80543e+07
2  74  4.53278e+07
2  75  4.36358e+07
2  76  3.65275e+07
2  77  3.80076e+07
2  78  4.88953e+07
2  79  4.67943e+07
2  80  4.31347e+07
2  81  3.78278e+07
2  82  6.49668e+07
2  83  4.91939e+07
2  84  5.12576e+07
2  85  6.47794e+07
2  86  6.19905e+07
2  87  4.5329e+07
2  88  6.63982e+07
2  89  4.05812e+07
2  90  5.68579e+07
2  91  6.37228e+07
2  92  5.29597e+07
2  93  5.00266e+07
2  94  4.8141e+07
2  95  5.86591e+07
2  96  5.1648e+07
2  97  4.31839e+07
2  98  5.45415e+07
2  99  3.56404e+07
2  100  4.41763e+07
3  0  5.96075e+07
3  1  6.06999e+07
3  2  6.12794e+07
3  3  6.00408e+07
3  4  4.75124e+07
3  5  2.89726e+07
3  6  4.6584e+07
3  7  5.96347e+07
3  8  5.66404e+07
3  9  4.75266e+07
3  10  5.38655e+07
3  11  4.03315e+07
3  12  5.25226e+07
3  13  6.28492e+07
3  14  3.6722e+07
3  15  3.2207e+07
3  16  4.65849e+07
3  17  6.50061e+07
3  18  7.4372e+07
3  19  4.39702e+07
3  20  3.19916e+07
3  21  3.72245e+07
3  22  3.71926e+07
3  23  4.6392e+07
3  24  4.57682e+07
3  25  4.56322e+07
3  26  3.17728e+07
3  27  4.37317e+07
3  28  5.51327e+07
3  29  4.59018e+07
3  30  5.79404e+07
3  31  5.97248e+07
3  32  5.38981e+07
3  33  5.22898e+07
3  34  3.77035e+07
3  35  5.38236e+07
3  36  4.41113e+07
3  37  3.91258e+07
3  38  3.74258e+07
3  39  5.86653e+07
3  40  4.69716e+07
3  41  5.09098e+07
3  42  8.04422e+07
3  43  6.45663e+07
3  44  6.14761e+07
3  45  4.85407e+07
3  46  3.7988e+07
3  47  4.42923e+07
3  48  5.62186e+07
3  49  4.92022e+07
3  50  4.06433e+07
3  51  3.8352e+07
3  52  3.53575e+07
3  53  4.34875e+07
3  54  5.44804e+07
3  55  5.6062e+07
3  56  4.82539e+07
3  57  3.55328e+07
3  58  4.66035e+07
3  59  5.98452e+07
3  60  4.79672e+07
3  61  7.0258e+07
3  62  4.30553e+07
3  63  4.99684e+07
3  64  5.29455e+07
3  65  5.60656e+07
3  66  6.71795e+07
3  67  5.21125e+07
3  68  3.86892e+07
3  69  5.18963e+07
3  70  2.8335e+07
3  71  2.26188e+07
3  72  2.59751e+07
3  73  2.7289e+07
3  74  4.10762e+07
3  75  4.23768e+07
3  76  5.26554e+07
3  77  5.11108e+07
3  78  5.11294e+07
3  79  4.67267e+07
3  80  4.83431e+07
3  81  4.06144e+07
3  82  4.54568e+07
3  83  5.37039e+07
3  84  5.43443e+07
3  85  3.39263e+07
3  86  5.3084e+07
3  87  5.065e+07
3  88  5.26443e+07
3  89  4.52083e+07
3  90  3.92401e+07
3  91  6.54616e+07
3  92  4.73869e+07
3  93  4.4719e+07
3  94  4.83568e+07
3  95  6.3595e+07
3  96  0
3  97  4.47109e+07
3  98  4.29294e+07
3  99  3.63652e+07
3  100  4.89395e+07
4  0  5.79329e+07
4  1  5.94702e+07
4  2  6.95059e+07
4  3  3.76641e+07
4  4  4.77956e+07
4  5  4.21184e+07
4  6  5.63917e+07
4  7  5.55532e+07
4  8  4.65316e+07
4  9  5.27224e+07
4  10  4.68379e+07
4  11  5.44254e+07
4  12  3.81976e+07
4  13  4.71271e+07
4  14  4.71238e+07
4  15  3.15466e+07
4  16  2.64867e+07
4  17  4.88029e+07
4  18  6.70311e+07
4  19  4.80239e+07
4  20  4.63675e+07
4  21  4.63984e+07
4  22  4.88892e+07
4  23  3.64779e+07
4  24  5.01031e+07
4  25  3.78849e+07
4  26  4.76279e+07
4  27  2.9588e+07
4  28  5.45697e+07
4  29  5.5873e+07
4  30  4.46535e+07
4  31  5.83204e+07
4  32  5.96107e+07
4  33  5.48637e+07
4  34  3.32917e+07
4  35  5.2332e+07
4  36  3.15105e+07
4  37  3.9965e+07
4  38  5.41972e+07
4  39  3.81546e+07
4  40  5.15659e+07
4  41  6.43476e+07
4  42  5.13276e+07
4  43  5.21993e+07
4  44  4.12939e+07
4  45  7.66713e+07
4  46  3.73389e+07
4  47  5.59114e+07
4  48  5.46568e+07
4  49  5.91031e+07
4  50  3.94816e+07
4  51  4.80358e+07
4  52  4.0526e+07
4  53  5.19048e+07
4  54  4.3503e+07
4  55  3.92309e+07
4  56  4.56004e+07
4  57  4.93429e+07
4  58  5.6854e+07
4  59  3.49865e+07
4  60  4.98716e+07
4  61  6.41592e+07
4  62  5.84993e+07
4  63  5.07044e+07
4  64  6.2126e+07
4  65  4.55575e+07
4  66  5.0196e+07
4  67  5.17467e+07
4  68  3.57706e+07
4  69  2.97225e+07
4  70  2.14565e+07
4  71  5.24251e+07
4  72  3.27261e+07
4  73  3.64665e+07
4  74  5.13605e+07
4  75  3.73588e+07
4  76  3.10252e+07
4  77  3.7933e+07
4  78  3.6505e+07
4  79  5.10899e+07
4  80  4.6295e+07
4  81  3.87909e+07
4  82  4.64611e+07
4  83  3.49789e+07
4  84  5.07159e+07
4  85  5.24129e+07
4  86  6.17515e+07
4  87  4.27485e+07
4  88  5.28652e+07
4  89  3.09882e+07
4  90  5.45992e+07
4  91  5.43259e+07
4  92  5.05792e+07
4  93  5.42088e+07
4  94  5.45263e+07
4  95  4.30577e+07
4  96  5.03121e+07
4  97  5.75346e+07
4  98  4.32585e+07
4  99  3.64061e+07
4  100  5.35692e+07
5  0  5.23412e+07
5  1  5.20554e+07
5  2  5.12328e+07
5  3  4.25175e+07
5  4  4.50757e+07
5  5  4.64394e+07
5  6  4.58747e+07
5  7  7.72145e+07
5  8  5.67972e+07
5  9  4.18909e+07
5  10  5.37418e+07
5  11  5.08172e+07
5  12  4.79679e+07
5  13  3.65088e+07
5  14  3.62079e+07
5  15  3.05055e+07
5  16  3.95584e+07
5  17  4.80015e+07
5  18  4.97297e+07
5  19  5.78357e+07
5  20  4.95074e+07
5  21  3.9662e+07
5  22  3.42011e+07
5  23  3.66773e+07
5  24  6.35812e+07
5  25  4.50245e+07
5  26  4.90905e+07
5  27  4.23561e+07
5  28  4.12238e+07
5  29  3.83465e+07
5  30  3.34978e+07
5  31  6.09191e+07
5  32  4.93873e+07
5  33  6.34983e+07
5  34  4.00021e+07
5  35  5.53724e+07
5  36  5.65676e+07
5  37  3.76047e+07
5  38  3.97166e+07
5  39  3.92024e+07
5  40  5.15509e+07
5  41  6.31857e+07
5  42  5.42708e+07
5  43  5.4516e+07
5  44  4.86312e+07
5  45  5.34302e+07
5  46  4.64095e+07
5  47  3.97386e+07
5  48  4.02297e+07
5  49  3.44262e+07
5  50  3.63955e+07
5  51  3.48497e+07
5  52  3.55892e+07
5  53  4.3176e+07
5  54  5.56382e+07
5  55  4.93971e+07
5  56  4.89643e+07
5  57  5.60318e+07
5  58  7.19618e+07
5  59  4.59019e+07
5  60  7.13847e+07
5  61  5.35058e+07
5  62  6.43025e+07
5  63  4.92326e+07
5  64  6.29825e+07
5  65  4.00035e+07
5  66  3.69857e+07
5  67  6.71409e+07
5  68  2.49033e+07
5  69  2.55689e+07
5  70  3.63849e+07
5  71  2.98251e+07
5  72  3.55844e+07
5  73  5.02094e+07
5  74  7.639e+07
5  75  4.42989e+07
5  76  3.31018e+07
5  77  4.57843e+07
5  78  5.13578e+07
5  79  3.09691e+07
5  80  4.58003e+07
5  81  3.45922e+07
5  82  4.70119e+07
5  83  3.84961e+07
5  84  4.56559e+07
5  85  4.61142e+07
5  86  4.07199e+07
5  87  6.62912e+07
5  88  7.10495e+07
5  89  3.38403e+07
5  90  5.20366e+07
5  91  4.98276e+07
5  92  5.92803e+07
5  93  5.41156e+07
5  94  5.48552e+07
5  95  4.22492e+07
5  96  4.08919e+07
5  97  5.26507e+07
5  98  5.48792e+07
5  99  4.13423e+07
5  100  4.41108e+07
6  0  4.89586e+07
6  1  5.57032e+07
6  2  5.97919e+07
6  3  5.47161e+07
6  4  4.77924e+07
6  5  4.49761e+07
6  6  4.98427e+07
6  7  7.6576e+07
6  8  6.11866e+07
6  9  4.40158e+07
6  10  6.3218e+07
6  11  4.50917e+07
6  12  4.28018e+07
6  13  6.04839e+07
6  14  5.31988e+07
6  15  3.38849e+07
6  16  4.13997e+07
6  17  4.84572e+07
6  18  3.93186e+07
6  19  5.44536e+07
6  20  4.10034e+07
6  21  5.42866e+07
6  22  4.09252e+07
6  23  3.43466e+07
6  24  3.71532e+07
6  25  5.15805e+07
6  26  4.76086e+07
6  27  3.02551e+07
6  28  3.84022e+07
6  29  4.90949e+07
6  30  6.29302e+07
6  31  3.68598e+07
6  32  5.61161e+07
6  33  5.8369e+07
6  34  4.56554e+07
6  35  3.98708e+07
6  36  3.93935e+07
6  37  3.9614e+07
6  38  3.99556e+07
6  39  4.57752e+07
6  40  4.38097e+07
6  41  3.8032e+07
6  42  4.2603e+07
6  43  5.35191e+07
6  44  3.7086e+07
6  45  3.79712e+07
6  46  4.37764e+07
6  47  4.34667e+07
6  48  3.99809e+07
6  49  3.99964e+07
6  50  5.16603e+07
6  51  4.09088e+07
6  52  6.61366e+07
6  53  4.79871e+07
6  54  4.78787e+07
6  55  6.37706e+07
6  56  4.72653e+07
6  57  4.74255e+07
6  58  4.72788e+07
6  59  5.22544e+07
6  60  4.14771e+07
6  61  4.62858e+07
6  62  5.8418e+07
6  63  5.53055e+07
6  64  4.26046e+07
6  65  4.83857e+07
6  66  3.80829e+07
6  67  3.66946e+07
6  68  3.13225e+07
6  69  1.33927e+07
6  70  2.88089e+07
6  71  3.97936e+07
6  72  3.39321e+07
6  73  3.4634e+07
6  74  6.05905e+07
6  75  4.01165e+07
6  76  5.69766e+07
6  77  2.73071e+07
6  78  4.32506e+07
6  79  3.73582e+07
6  80  4.94853e+07
6  81  3.20931e+07
6  82  4.79301e+07
6  83  3.76516e+07
6  84  4.8335e+07
6  85  4.26393e+07
6  86  4.87239e+07
6  87  4.77063e+07
6  88  4.7217e+07
6  89  6.65541e+07
6  90  3.75637e+07
6  91  4.6568e+07
6  92  4.2061e+07
6  93  5.02475e+07
6  94  4.9684e+07
6  95  5.14607e+07
6  96  4.82269e+07
6  97  4.24662e+07
6  98  4.35198e+07
6  99  4.2668e+07
6  100  6.61385e+07
7  0  5.02453e+07
7  1  6.40038e+07
7  2  4.52287e+07
7  3  5.13828e+07
7  4  5.38479e+07
7  5  5.42049e+07
7  6  7.29878e+07
7  7  5.48017e+07
7  8  5.07005e+07
7  9  4.32578e+07
7  10  5.48827e+07
7  11  4.83938e+07
7  12  5.56521e+07
7  13  5.0045e+07
7  14  2.91665e+07
7  15  2.73404e+07
7  16  4.53228e+07
7  17  4.38379e+07
7  18  4.96903e+07
7  19  3.71486e+07
7  20  5.15249e+07
7  21  6.74411e+07
7  22  5.76507e+07
7  23  4.2087e+07
7  24  3.61886e+07
7  25  3.60756e+07
7  26  3.5903e+07
7  27  3.36225e+07
7  28  4.17135e+07
7  29  3.89657e+07
7  30  3.88747e+07
7  31  4.53492e+07
7  32  4.49558e+07
7  33  6.25975e+07
7  34  5.44032e+07
7  35  4.51771e+07
7  36  3.22814e+07
7  37  4.06897e+07
7  38  5.39906e+07
7  39  3.95063e+07
7  40  4.78295e+07
7  41  4.27877e+07
7  42  5.22713e+07
7  43  3.12207e+07
7  44  6.64357e+07
7  45  5.3848e+07
7  46  4.04157e+07
7  47  4.18826e+07
7  48  3.67816e+07
7  49  3.83827e+07
7  50  4.41094e+07
7  51  4.4498e+07
7  52  3.94119e+07
7  53  5.46006e+07
7  54  4.22944e+07
7  55  4.98359e+07
7  56  4.32487e+07
7  57  4.41645e+07
7  58  4.66512e+07
7  59  3.34686e+07
7  60  4.68319e+07
7  61  5.81881e+07
7  62  5.63909e+07
7  63  5.67279e+07
7  64  4.65242e+07
7  65  3.7166e+07
7  66  3.63571e+07
7  67  3.1426e+07
7  68  1.08065e+07
7  69  5.45103e+07
7  70  2.04923e+07
7  71  3.94538e+07
7  72  4.02746e+07
7  73  3.63965e+07
7  74  4.13681e+07
7  75  4.40937e+07
7  76  3.8449e+07
7  77  4.27424e+07
7  78  2.7434e+07
7  79  3.21552e+07
7  80  4.2855e+07
7  81  4.63076e+07
7  82  0
7  83  6.44988e+07
7  84  3.47192e+07
7  85  2.91076e+06
7  86  3.80811e+07
7  87  5.14278e+07
7  88  3.53444e+07
7  89  1.56659e+07
7  90  4.56075e+07
7  91  4.65186e+07
7  92  4.47404e+07
7  93  4.71313e+07
7  94  5.58004e+07
7  95  4.58383e+07
7  96  4.33524e+07
7  97  4.38682e+07
7  98  6.4529e+07
7  99  3.29019e+07
7  100  4.57162e+07
8  0  5.9141e+07
8  1  5.85992e+07
8  2  5.24689e+07
8  3  4.18295e+07
8  4  5.11346e+07
8  5  4.48208e+07
8  6  3.89132e+07
8  7  4.89584e+07
8  8  5.32548e+07
8  9  4.19376e+07
8  10  4.87266e+07
8  11  3.71375e+07
8  12  5.38326e+07
8  13  6.12552e+07
8  14  3.8634e+07
8  15  3.61834e+07
8  16  4.26814e+07
8  17  4.56827e+07
8  18  4.1569e+07
8  19  1.65891e+07
8  20  4.92032e+07
8  21  3.77926e+07
8  22  4.55406e+07
8  23  5.8594e+07
8  24  4.22616e+07
8  25  5.02442e+07
8  26  4.35537e+07
8  27  5.65403e+07
8  28  2.11892e+07
8  29  3.51562e+07
8  30  3.87014e+07
8  31  4.04839e+07
8  32  6.68012e+07
8  33  5.6733e+07
8  34  6.98392e+07
8  35  7.21983e+07
8  36  3.36175e+07
8  37  3.85226e+07
8  38  2.98662e+07
8  39  3.96696e+07
8  40  5.83559e+07
8  41  5.5039e+07
8  42  4.26063e+07
8  43  4.48826e+07
8  44  3.87639e+07
8  45  5.31634e+07
8  46  3.48041e+07
8  47  3.43857e+07
8  48  3.81249e+07
8  49  3.13862e+07
8  50  4.51837e+07
8  51  6.54744e+07
8  52  4.48557e+07
8  53  5.90039e+07
8  54  5.31317e+07
8  55  4.62533e+07
8  56  6.00902e+07
8  57  4.53506e+07
8  58  4.9664e+07
8  59  4.62143e+07
8  60  4.28326e+07
8  61  5.04516e+07
8  62  8.66514e+07
8  63  5.62498e+07
8  64  4.09659e+07
8  65  3.91708e+07
8  66  6.46391e+07
8  67  4.52309e+07
8  68  2.81708e+07
8  69  3.52471e+07
8  70  2.51339e+07
8  71  4.29799e+07
8  72  4.81103e+07
8  73  1.70968e+07
8  74  5.32579e+07
8  75  5.64589e+07
8  76  6.81486e+07
8  77  4.11296e+07
8  78  1.7904e+07
8  79  4.15571e+07
8  80  4.33325e+07
8  81  4.1616e+07
8  82  4.2977e+07
8  83  4.49063e+07
8  84  6.24658e+07
8  85  4.19409e+07
8  86  3.91279e+07
8  87  3.87561e+07
8  88  4.93722e+07
8  89  3.99497e+07
8  90  3.12998e+07
8  91  6.13935e+07
8  92  3.74021e+07
8  93  3.66528e+07
8  94  5.27731e+07
8  95  3.72561e+07
8  96  5.26201e+07
8  97  3.38961e+07
8  98  4.79176e+07
8  99  4.86134e+07
8  100  5.31414e+07
9  0  4.42636e+07
9  1  4.54161e+07
9  2  3.80946e+07
9  3  4.30672e+07
9  4  5.36807e+07
9  5  4.38735e+07
9  6  4.29549e+07
9  7  5.91556e+07
9  8  5.51708e+07
9  9  4.77819e+07
9  10  5.49756e+07
9  11  5.72191e+07
9  12  5.41491e+07
9  13  5.49198e+07
9  14  4.03323e+07
9  15  3.49397e+07
9  16  3.31539e+07
9  17  4.46098e+07
9  18  5.85655e+07
9  19  3.45719e+07
9  20  6.0192e+07
9  21  5.43745e+07
9  22  4.40291e+07
9  23  4.30526e+07
9  24  3.1552e+07
9  25  3.15848e+07
9  26  4.42136e+07
9  27  5.50378e+07
9  28  6.32879e+07
9  29  5.11584e+07
9  30  3.8875e+07
9  31  4.37083e+07
9  32  3.41966e+07
9  33  7.54433e+07
9  34  4.59185e+07
9  35  7.77707e+07
9  36  3.85248e+07
9  37  3.36154e+07
9  38  4.19518e+07
9  39  4.48384e+07
9  40  4.31971e+07
9  41  5.2189e+07
9  42  5.32594e+07
9  43  5.83775e+07
9  44  6.28298e+07
9  45  4.15045e+07
9  46  3.70418e+07
9  47  5.86742e+07
9  48  3.56861e+07
9  49  3.56823e+07
9  50  5.6304e+07
9  51  2.90886e+07
9  52  2.99051e+07
9  53  4.34006e+07
9  54  5.69256e+07
9  55  3.94935e+07
9  56  5.29779e+07
9  57  4.53219e+07
9  58  6.69254e+07
9  59  3.41775e+07
9  60  5.50164e+07
9  61  7.6706e+07
9  62  4.04159e+07
9  63  5.68776e+07
9  64  5.1617e+07
9  65  3.17638e+07
9  66  4.45328e+07
9  67  3.05953e+07
9  68  2.74167e+07
9  69  3.47081e+07
9  70  6.38218e+06
9  71  4.4189e+07
9  72  3.68966e+07
9  73  5.08313e+07
9  74  4.27307e+07
9  75  4.96453e+07
9  76  5.48083e+07
9  77  3.66568e+07
9  78  2.64858e+07
9  79  5.57383e+07
9  80  3.47628e+07
9  81  4.78619e+07
9  82  4.50701e+07
9  83  4.83628e+07
9  84  4.72902e+07
9  85  3.39716e+07
9  86  4.47193e+07
9  87  3.94339e+07
9  88  7.28727e+07
9  89  7.03785e+07
9  90  5.22434e+07
9  91  3.63633e+07
9  92  4.54447e+07
9  93  3.09856e+07
9  94  4.38758e+07
9  95  4.64706e+07
9  96  4.14874e+07
9  97  3.27936e+07
9  98  3.99105e+07
9  99  3.63065e+07
9  100  3.89025e+07
10  0  7.39044e+07
10  1  5.22112e+07
10  2  4.21343e+07
10  3  3.95458e+07
10  4  5.29486e+07
10  5  4.25808e+07
10  6  3.15207e+07
10  7  4.91248e+07
10  8  6.29481e+07
10  9  5.41626e+07
10  10  4.44888e+07
10  11  4.59651e+07
10  12  5.91229e+07
10  13  4.24017e+07
10  14  3.24339e+07
10  15  2.23955e+07
10  16  2.3095e+07
10  17  4.86252e+07
10  18  3.50856e+07
10  19  4.25442e+07
10  20  4.42928e+07
10  21  5.88967e+07
10  22  4.71094e+07
10  23  5.20107e+07
10  24  4.27239e+07
10  25  4.41324e+07
10  26  3.71389e+07
10  27  3.62708e+07
10  28  5.54884e+07
10  29  3.79477e+07
10  30  4.01893e+07
10  31  5.24567e+07
10  32  4.98061e+07
10  33  5.44521e+07
10  34  6.95192e+07
10  35  6.11462e+07
10  36  5.20598e+07
10  37  6.14483e+07
10  38  3.8008e+07
10  39  5.18475e+07
