row  column  (images_26_413.edf Zn-K*images_26_413.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  4.76211e+06
0  3  0
0  4  1.62597e+07
0  5  1.92845e+07
0  6  4.35403e+07
0  7  5.8384e+07
0  8  5.19947e+07
0  9  2.82366e+07
0  10  5.479e+07
0  11  7.21468e+07
0  12  4.81402e+07
0  13  6.61535e+07
0  14  4.95377e+07
0  15  4.42261e+07
0  16  8.11731e+07
0  17  6.83995e+07
0  18  7.54794e+07
0  19  8.07773e+07
0  20  8.33779e+07
0  21  7.42949e+07
0  22  6.48303e+07
0  23  8.88821e+07
0  24  7.51359e+07
0  25  7.04829e+07
0  26  7.15014e+07
0  27  6.95338e+07
0  28  7.99548e+07
0  29  7.26011e+07
0  30  5.99254e+07
0  31  7.20877e+07
0  32  4.11454e+07
0  33  6.59993e+07
0  34  3.91899e+07
0  35  4.81772e+07
0  36  9.33165e+07
0  37  9.21524e+07
0  38  8.27176e+07
0  39  8.12163e+07
0  40  5.2244e+07
0  41  4.98353e+07
0  42  5.55478e+07
0  43  6.49662e+07
0  44  5.836e+07
0  45  6.55225e+07
0  46  7.93536e+07
0  47  5.92594e+07
0  48  2.31453e+07
0  49  1.24973e+07
0  50  5.94046e+07
1  0  0
1  1  0
1  2  0
1  3  0
1  4  1.65461e+07
1  5  2.26454e+07
1  6  3.71129e+07
1  7  4.44989e+07
1  8  3.72365e+07
1  9  4.7802e+07
1  10  5.55112e+07
1  11  5.13392e+07
1  12  7.14871e+07
1  13  5.01801e+07
1  14  5.72717e+07
1  15  5.28389e+07
1  16  7.54511e+07
1  17  6.45799e+07
1  18  7.97657e+07
1  19  5.21775e+07
1  20  6.57321e+07
1  21  5.47853e+07
1  22  7.58655e+07
1  23  6.55823e+07
1  24  6.019e+07
1  25  5.12046e+07
1  26  4.23075e+07
1  27  7.29327e+07
1  28  6.85973e+07
1  29  4.68956e+07
1  30  5.91028e+07
1  31  7.02088e+07
1  32  4.95514e+07
1  33  4.97128e+07
1  34  6.3771e+07
1  35  8.54533e+07
1  36  6.9385e+07
1  37  7.45041e+07
1  38  6.95592e+07
1  39  5.40119e+07
1  40  5.58105e+07
1  41  6.20321e+07
1  42  6.42189e+07
1  43  8.91584e+07
1  44  6.72567e+07
1  45  8.74759e+07
1  46  7.81069e+07
1  47  5.87214e+07
1  48  2.51397e+07
1  49  1.57019e+07
1  50  5.84519e+07
2  0  0
2  1  0
2  2  1.08577e+07
2  3  0
2  4  1.2106e+07
2  5  1.53184e+06
2  6  1.19243e+07
2  7  2.03606e+07
2  8  4.82553e+07
2  9  5.18809e+07
2  10  5.23054e+07
2  11  5.61202e+07
2  12  7.70361e+07
2  13  4.09299e+07
2  14  5.7423e+07
2  15  6.04538e+07
2  16  8.23573e+07
2  17  5.67779e+07
2  18  9.08453e+07
2  19  5.26215e+07
2  20  7.60918e+07
2  21  6.50014e+07
2  22  7.62138e+07
2  23  6.507e+07
2  24  8.92947e+07
2  25  5.48246e+07
2  26  4.99021e+07
2  27  8.07791e+07
2  28  6.80938e+07
2  29  7.4971e+07
2  30  5.94604e+07
2  31  5.44828e+07
2  32  4.25291e+07
2  33  4.44984e+07
2  34  4.95112e+07
2  35  7.46513e+07
2  36  7.50544e+07
2  37  8.09008e+07
2  38  8.69731e+07
2  39  7.60394e+07
2  40  6.99375e+07
2  41  7.78188e+07
2  42  6.33943e+07
2  43  6.23851e+07
2  44  6.48138e+07
2  45  8.73263e+07
2  46  7.15043e+07
2  47  6.15312e+07
2  48  4.6568e+07
2  49  1.95362e+07
2  50  4.3243e+07
3  0  9.48944e+06
3  1  0
3  2  0
3  3  1.28968e+07
3  4  4.41973e+06
3  5  1.88663e+07
3  6  3.17884e+07
3  7  1.82986e+07
3  8  3.54837e+07
3  9  5.04328e+07
3  10  5.9942e+07
3  11  4.63691e+07
3  12  6.92671e+07
3  13  4.40308e+07
3  14  6.61066e+07
3  15  6.76411e+07
3  16  6.65101e+07
3  17  5.91355e+07
3  18  6.35128e+07
3  19  4.68809e+07
3  20  5.79008e+07
3  21  7.67449e+07
3  22  6.83586e+07
3  23  4.45627e+07
3  24  7.15559e+07
3  25  6.50017e+07
3  26  5.82452e+07
3  27  5.95058e+07
3  28  6.19176e+07
3  29  5.34015e+07
3  30  5.40796e+07
3  31  8.07313e+07
3  32  4.30042e+07
3  33  5.47412e+07
3  34  6.41913e+07
3  35  7.90604e+07
3  36  5.71295e+07
3  37  8.19259e+07
3  38  7.19643e+07
3  39  6.91343e+07
3  40  4.94691e+07
3  41  5.71309e+07
3  42  3.90067e+07
3  43  6.62851e+07
3  44  6.34357e+07
3  45  6.64644e+07
3  46  5.64581e+07
3  47  6.47751e+07
3  48  5.04229e+07
3  49  2.66204e+07
3  50  3.70334e+07
4  0  2.17611e+06
4  1  0
4  2  0
4  3  0
4  4  1.06417e+07
4  5  4.62547e+06
4  6  6.10566e+06
4  7  1.24731e+07
4  8  1.56806e+07
4  9  4.73979e+07
4  10  2.33929e+07
4  11  5.21607e+07
4  12  5.6526e+07
4  13  5.63084e+07
4  14  7.63311e+07
4  15  6.65966e+07
4  16  5.37422e+07
4  17  6.56809e+07
4  18  8.68695e+07
4  19  6.66731e+07
4  20  5.06367e+07
4  21  8.77062e+07
4  22  7.57038e+07
4  23  5.88617e+07
4  24  7.75919e+07
4  25  9.40224e+07
4  26  8.00178e+07
4  27  7.01846e+07
4  28  7.5495e+07
4  29  9.63288e+07
4  30  6.54451e+07
4  31  6.40131e+07
4  32  4.04211e+07
4  33  4.4711e+07
4  34  7.61161e+07
4  35  9.65007e+07
4  36  6.46755e+07
4  37  7.91215e+07
4  38  7.0464e+07
4  39  4.79075e+07
4  40  5.89601e+07
4  41  5.09846e+07
4  42  4.79275e+07
4  43  6.66749e+07
4  44  6.16713e+07
4  45  6.872e+07
4  46  8.74071e+07
4  47  5.37182e+07
4  48  3.49112e+07
4  49  2.76798e+07
4  50  3.47379e+07
5  0  0
5  1  0
5  2  0
5  3  0
5  4  2.55549e+07
5  5  4.02409e+06
5  6  2.11375e+06
5  7  700198
5  8  1.64241e+07
5  9  3.04425e+07
5  10  3.44238e+07
5  11  6.91962e+07
5  12  6.93917e+07
5  13  6.5689e+07
5  14  6.83368e+07
5  15  6.77352e+07
5  16  6.9186e+07
5  17  7.13178e+07
5  18  5.98412e+07
5  19  5.04389e+07
5  20  9.34424e+07
5  21  9.77224e+07
5  22  6.67624e+07
5  23  3.88593e+07
5  24  8.30538e+07
5  25  7.3435e+07
5  26  6.83336e+07
5  27  8.43048e+07
5  28  6.86838e+07
5  29  9.56167e+07
5  30  4.96665e+07
5  31  5.50168e+07
5  32  2.54051e+07
5  33  5.60953e+07
5  34  9.26642e+07
5  35  8.53782e+07
5  36  7.54241e+07
5  37  4.54414e+07
5  38  6.2638e+07
5  39  5.39828e+07
5  40  6.8527e+07
5  41  5.43295e+07
5  42  3.05345e+07
5  43  5.62216e+07
5  44  6.73755e+07
5  45  6.51039e+07
5  46  7.33625e+07
5  47  2.88172e+07
5  48  3.17629e+07
5  49  1.55691e+07
5  50  2.3783e+07
6  0  0
6  1  2.91291e+06
6  2  0
6  3  4.30251e+06
6  4  0
6  5  5.12929e+06
6  6  645289
6  7  2.01794e+07
6  8  9.29956e+06
6  9  9.69444e+06
6  10  5.19064e+07
6  11  6.21706e+07
6  12  8.40707e+07
6  13  6.55159e+07
6  14  7.80552e+07
