row  column  (images_16_017.edf Ca-K*images_16_017.edf Ar-K**2.3)
0  0  2.37203e+08
0  1  2.34253e+08
0  2  3.1672e+08
0  3  3.03432e+08
0  4  3.25942e+08
0  5  3.51229e+08
0  6  4.08544e+08
0  7  3.78476e+08
0  8  3.80459e+08
0  9  3.79204e+08
0  10  3.52996e+08
0  11  3.78757e+08
0  12  4.03199e+08
0  13  4.70689e+08
0  14  4.05855e+08
0  15  4.14628e+08
0  16  3.93354e+08
0  17  4.36575e+08
0  18  3.9081e+08
0  19  3.23414e+08
0  20  3.09059e+08
0  21  2.32711e+08
0  22  2.21633e+08
0  23  2.20061e+08
0  24  2.2633e+08
0  25  2.25244e+08
0  26  2.40205e+08
0  27  1.90474e+08
0  28  1.92176e+08
0  29  2.88862e+08
0  30  3.23177e+08
0  31  3.05275e+08
0  32  2.43846e+08
0  33  2.11404e+08
0  34  2.22818e+08
0  35  2.01309e+08
0  36  1.4715e+08
0  37  1.5986e+08
0  38  1.04033e+08
0  39  9.45834e+07
0  40  9.96984e+07
0  41  8.94926e+07
0  42  1.11441e+08
0  43  1.45853e+08
0  44  1.55647e+08
0  45  1.72858e+08
0  46  1.0949e+08
0  47  1.20831e+08
0  48  1.22848e+08
0  49  1.08602e+08
0  50  1.07252e+08
1  0  2.9574e+08
1  1  3.60659e+08
1  2  3.60703e+08
1  3  3.96855e+08
1  4  3.98789e+08
1  5  4.44808e+08
1  6  4.76366e+08
1  7  4.26142e+08
1  8  3.87849e+08
1  9  3.78463e+08
1  10  3.83223e+08
1  11  4.80532e+08
1  12  5.52954e+08
1  13  5.03584e+08
1  14  4.94957e+08
1  15  4.59459e+08
1  16  4.07616e+08
1  17  4.56441e+08
1  18  4.4333e+08
1  19  3.39946e+08
1  20  3.08419e+08
1  21  2.85139e+08
1  22  2.81523e+08
1  23  2.63758e+08
1  24  2.67033e+08
1  25  3.15935e+08
1  26  2.35571e+08
1  27  2.65715e+08
1  28  2.51592e+08
1  29  3.4204e+08
1  30  3.19265e+08
1  31  3.18688e+08
1  32  2.72879e+08
1  33  2.54699e+08
1  34  2.6459e+08
1  35  2.35053e+08
1  36  2.11723e+08
1  37  1.75856e+08
1  38  1.34777e+08
1  39  9.66414e+07
1  40  1.12688e+08
1  41  1.20784e+08
1  42  1.6745e+08
1  43  1.97495e+08
1  44  2.0978e+08
1  45  1.9145e+08
1  46  1.31602e+08
1  47  1.63943e+08
1  48  1.31877e+08
1  49  1.37114e+08
1  50  9.45861e+07
2  0  3.4536e+08
2  1  3.75084e+08
2  2  4.20895e+08
2  3  4.50856e+08
2  4  4.675e+08
2  5  5.28143e+08
2  6  5.26115e+08
2  7  4.8774e+08
2  8  4.75023e+08
2  9  3.90065e+08
2  10  4.01926e+08
2  11  4.69059e+08
2  12  5.5748e+08
2  13  6.75545e+08
2  14  6.09549e+08
2  15  5.93183e+08
2  16  5.1122e+08
2  17  5.6422e+08
2  18  4.71979e+08
2  19  3.92829e+08
2  20  3.61478e+08
2  21  3.30109e+08
2  22  3.33332e+08
2  23  3.35649e+08
2  24  3.22288e+08
2  25  3.69021e+08
2  26  3.36894e+08
2  27  3.24206e+08
2  28  2.96746e+08
2  29  4.33984e+08
2  30  4.34572e+08
2  31  4.11855e+08
2  32  3.5393e+08
2  33  3.6309e+08
2  34  3.32984e+08
2  35  2.58522e+08
2  36  2.72248e+08
2  37  1.92922e+08
2  38  1.59484e+08
2  39  1.40187e+08
2  40  1.23103e+08
2  41  1.28075e+08
2  42  1.73202e+08
2  43  2.21745e+08
2  44  2.53686e+08
2  45  2.12277e+08
2  46  1.74047e+08
2  47  1.61477e+08
2  48  1.63707e+08
2  49  1.73716e+08
2  50  1.17445e+08
3  0  3.89292e+08
3  1  4.16244e+08
3  2  4.77227e+08
3  3  4.65192e+08
3  4  5.2414e+08
3  5  5.51707e+08
3  6  5.69835e+08
3  7  5.331e+08
3  8  5.03624e+08
3  9  4.82007e+08
3  10  4.74638e+08
3  11  4.95908e+08
3  12  6.35704e+08
3  13  7.03649e+08
3  14  6.15933e+08
3  15  5.86335e+08
3  16  5.64694e+08
3  17  5.54577e+08
3  18  5.25972e+08
3  19  4.73781e+08
3  20  4.43192e+08
3  21  3.72636e+08
3  22  3.84477e+08
3  23  3.97537e+08
3  24  3.92142e+08
3  25  4.46828e+08
3  26  3.69371e+08
3  27  3.62311e+08
3  28  3.49141e+08
3  29  4.89624e+08
3  30  4.50147e+08
3  31  5.08119e+08
3  32  4.23114e+08
3  33  4.32918e+08
3  34  3.67481e+08
3  35  3.32975e+08
3  36  3.49252e+08
3  37  2.58681e+08
3  38  1.95853e+08
3  39  1.66176e+08
3  40  1.62852e+08
3  41  1.83846e+08
3  42  2.03491e+08
3  43  2.47808e+08
3  44  3.27081e+08
3  45  2.44751e+08
3  46  1.82152e+08
3  47  1.912e+08
3  48  1.89454e+08
3  49  1.84569e+08
3  50  1.43453e+08
4  0  4.06947e+08
4  1  4.42716e+08
4  2  5.27815e+08
4  3  5.84305e+08
4  4  5.50544e+08
4  5  5.52079e+08
4  6  5.73448e+08
4  7  5.59816e+08
4  8  5.06146e+08
4  9  4.58791e+08
4  10  5.21746e+08
4  11  5.66421e+08
4  12  6.34477e+08
4  13  6.73251e+08
4  14  6.28945e+08
4  15  6.3686e+08
4  16  5.65578e+08
4  17  5.23403e+08
4  18  5.19154e+08
4  19  4.61502e+08
4  20  4.25966e+08
4  21  3.71354e+08
4  22  4.10358e+08
4  23  4.37373e+08
4  24  4.40221e+08
4  25  3.95104e+08
4  26  4.58178e+08
4  27  4.43267e+08
4  28  4.48815e+08
4  29  5.50494e+08
4  30  4.87181e+08
4  31  4.86033e+08
4  32  4.60424e+08
4  33  4.78586e+08
4  34  4.46614e+08
4  35  3.62644e+08
4  36  3.30332e+08
4  37  2.9459e+08
4  38  2.50903e+08
4  39  2.01876e+08
4  40  1.89155e+08
4  41  2.09813e+08
4  42  2.75483e+08
4  43  3.11652e+08
4  44  3.93263e+08
4  45  3.33744e+08
4  46  2.21571e+08
4  47  2.24609e+08
4  48  2.37927e+08
4  49  2.28892e+08
4  50  1.54871e+08
5  0  5.09939e+08
5  1  5.30344e+08
5  2  5.18308e+08
5  3  5.51599e+08
5  4  5.42324e+08
5  5  6.00504e+08
5  6  6.13758e+08
5  7  5.231e+08
5  8  5.55724e+08
5  9  5.0844e+08
5  10  4.5844e+08
5  11  6.38063e+08
5  12  6.30281e+08
5  13  7.36435e+08
5  14  6.63076e+08
5  15  5.92541e+08
5  16  6.06414e+08
5  17  5.91878e+08
5  18  6.23033e+08
5  19  4.86763e+08
5  20  4.65707e+08
5  21  4.20003e+08
5  22  4.30563e+08
5  23  4.91844e+08
5  24  5.00348e+08
5  25  4.85508e+08
5  26  4.33888e+08
5  27  4.81675e+08
5  28  4.50564e+08
5  29  5.04459e+08
5  30  5.66545e+08
5  31  5.22963e+08
5  32  5.39384e+08
5  33  5.06912e+08
5  34  5.09356e+08
5  35  3.7546e+08
5  36  3.33403e+08
5  37  2.837e+08
5  38  2.44647e+08
5  39  2.41008e+08
5  40  2.33943e+08
5  41  2.41563e+08
5  42  3.03132e+08
5  43  4.03209e+08
5  44  4.37691e+08
5  45  3.89034e+08
5  46  2.64056e+08
5  47  2.49878e+08
5  48  2.66063e+08
5  49  2.64416e+08
5  50  2.07485e+08
6  0  4.84302e+08
6  1  5.56083e+08
6  2  5.85305e+08
6  3  5.27435e+08
6  4  5.16268e+08
6  5  5.73869e+08
6  6  5.71643e+08
6  7  5.83488e+08
6  8  5.11449e+08
