row  column  (images_16_017.edf Cu-K*images_16_017.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  1.07278e+06
0  7  822460
0  8  0
0  9  1.80899e+06
0  10  1.23378e+07
0  11  5.53517e+06
0  12  783244
0  13  0
0  14  3.60113e+06
0  15  7.46908e+06
0  16  5.47799e+06
0  17  5.4501e+06
0  18  826237
0  19  2.02246e+06
0  20  1.73941e+06
0  21  5.14069e+06
0  22  2.40104e+06
0  23  481653
0  24  0
0  25  2.10237e+06
0  26  6.19205e+06
0  27  6.87315e+06
0  28  3.12534e+06
0  29  5.22851e+06
0  30  3.50802e+06
0  31  8.20937e+06
0  32  6.9377e+06
0  33  3.46329e+06
0  34  0
0  35  3.43771e+06
0  36  5.29715e+06
0  37  3.48858e+06
0  38  0
0  39  4.01187e+06
0  40  3.21695e+06
0  41  6.76914e+06
0  42  5.53012e+06
0  43  1.26774e+06
0  44  6.06161e+06
0  45  1.11623e+07
0  46  5.97158e+06
0  47  244685
0  48  475188
0  49  8.12701e+06
0  50  3.30824e+06
1  0  0
1  1  0
1  2  2.45814e+06
1  3  501293
1  4  0
1  5  0
1  6  86150.8
1  7  4.75613e+06
1  8  0
1  9  5.86878e+06
1  10  3.63792e+06
1  11  3.82534e+06
1  12  1.55227e+06
1  13  2.20959e+06
1  14  7.33566e+06
1  15  2.25768e+06
1  16  1.2264e+07
1  17  5.9719e+06
1  18  6.05949e+06
1  19  7.49409e+06
1  20  2.08389e+06
1  21  3.17182e+06
1  22  1.61086e+06
1  23  1.50115e+06
1  24  7.01406e+06
1  25  0
1  26  0
1  27  5.61013e+06
1  28  518120
1  29  3.06598e+06
1  30  3.09513e+06
1  31  488008
1  32  5.06468e+06
1  33  4.32225e+06
1  34  0
1  35  4.31416e+06
1  36  6.57518e+06
1  37  4.27643e+06
1  38  9.37184e+06
1  39  7.44123e+06
1  40  0
1  41  0
1  42  504391
1  43  0
1  44  1.60841e+06
1  45  7.34175e+06
1  46  4.92969e+06
1  47  0
1  48  2.42839e+06
1  49  7.72229e+06
1  50  1.04533e+07
2  0  0
2  1  0
2  2  0
2  3  657691
2  4  0
2  5  0
2  6  6.4807e+06
2  7  1.89615e+06
2  8  55105.4
2  9  41258.8
2  10  1.59012e+06
2  11  4.97171e+06
2  12  4.9832e+06
2  13  1.12024e+07
2  14  4.90847e+06
2  15  6.26368e+06
2  16  849177
2  17  2.61022e+06
2  18  9.32831e+06
2  19  9.93722e+06
2  20  0
2  21  716692
2  22  0
2  23  1.64431e+06
2  24  2.66639e+06
2  25  8.48895e+06
2  26  2.20484e+06
2  27  5.76033e+06
2  28  1.02368e+07
2  29  8.91538e+06
2  30  6.36964e+06
2  31  6.33083e+06
2  32  1.17395e+06
2  33  9.64974e+06
2  34  0
2  35  741612
2  36  4.44746e+06
2  37  3.52979e+06
2  38  0
2  39  1.92776e+06
2  40  2.30155e+06
2  41  914171
2  42  351602
2  43  2.99664e+06
2  44  1.89244e+06
2  45  4332.33
2  46  0
2  47  7.96676e+06
2  48  1.56044e+06
2  49  5.17462e+06
2  50  6.15637e+06
3  0  0
3  1  1.45276e+06
3  2  0
3  3  3.72662e+06
3  4  5.91875e+06
3  5  4.60044e+06
3  6  2.39244e+06
3  7  8.18436e+06
3  8  3.71745e+06
3  9  3.74762e+06
3  10  6.63699e+06
3  11  5.54097e+06
3  12  4.96921e+06
3  13  8.97618e+06
3  14  1.02282e+07
3  15  0
3  16  4.67017e+06
3  17  2.28908e+06
3  18  7.86989e+06
3  19  1.21892e+06
3  20  6.42485e+06
3  21  2.2721e+06
3  22  0
3  23  6.22696e+06
3  24  6.56185e+06
3  25  4.64786e+06
3  26  3.11532e+06
3  27  9.71749e+06
3  28  870469
3  29  7.77117e+06
3  30  5.50237e+06
3  31  4.51708e+06
3  32  5.50767e+06
3  33  8.26822e+06
3  34  7.17866e+06
3  35  2.70955e+06
3  36  3.21533e+06
3  37  0
3  38  0
3  39  4.97639e+06
3  40  6.55349e+06
3  41  5.94017e+06
3  42  3.10852e+06
3  43  4.52664e+06
3  44  4.85413e+06
3  45  5.8762e+06
3  46  3.57486e+06
3  47  1.18744e+06
3  48  2.30589e+06
3  49  7.72022e+06
3  50  2.2755e+06
4  0  2.64196e+06
4  1  0
4  2  1.66289e+06
4  3  5.22322e+06
4  4  0
4  5  2.56835e+06
4  6  5.35325e+06
4  7  3.20512e+06
4  8  5.47035e+06
4  9  7.73557e+06
4  10  5.10437e+06
4  11  4.85647e+06
4  12  7.88716e+06
4  13  1.32174e+06
4  14  2.33838e+06
4  15  2.18152e+06
4  16  8.5585e+06
4  17  5.97079e+06
4  18  3.91643e+06
4  19  681228
4  20  3.95662e+06
4  21  3.64721e+06
4  22  7.94473e+06
4  23  4.97769e+06
4  24  4.94838e+06
4  25  0
4  26  0
4  27  4.55284e+06
4  28  7.36498e+06
4  29  2.40967e+06
4  30  5.42047e+06
4  31  7.15555e+06
4  32  213868
4  33  0
4  34  3.28642e+06
4  35  7.71538e+06
4  36  3.21873e+06
4  37  1.09001e+07
4  38  675013
4  39  2.60993e+06
4  40  0
4  41  1.88102e+06
4  42  0
4  43  7.9309e+06
4  44  4.11034e+06
4  45  2.10616e+06
4  46  6.10284e+06
4  47  6.39855e+06
4  48  1.96005e+06
4  49  2.77291e+06
4  50  0
5  0  0
5  1  2.80423e+06
5  2  6.98777e+06
5  3  234069
5  4  3.80702e+06
5  5  1.12747e+06
5  6  8.47743e+06
5  7  5.16439e+06
5  8  2.87376e+06
5  9  0
5  10  637722
5  11  800766
5  12  5.52439e+06
5  13  1.12789e+07
5  14  1.31898e+07
5  15  8.84564e+06
5  16  5.49867e+06
5  17  5.99807e+06
5  18  6.01807e+06
5  19  8.23524e+06
5  20  6.5373e+06
5  21  6.88863e+06
5  22  1.73461e+06
5  23  4.60087e+06
5  24  6.81838e+06
5  25  2.92737e+06
5  26  5.87528e+06
5  27  3.58754e+06
5  28  5.64022e+06
5  29  5.16834e+06
5  30  1.23706e+06
5  31  7.55446e+06
5  32  2.29546e+06
5  33  2.54936e+06
5  34  4.21044e+06
5  35  2.77362e+06
5  36  4.42743e+06
5  37  3.15059e+06
5  38  4.06001e+06
5  39  979162
5  40  7.35588e+06
5  41  8.43511e+06
5  42  685045
5  43  4.48639e+06
5  44  9.0595e+06
5  45  3.28658e+06
5  46  4.63709e+06
5  47  4.94357e+06
5  48  2.63276e+06
5  49  8.51155e+06
5  50  3.85316e+06
6  0  7.55949e+06
6  1  7.31249e+06
6  2  9.70918e+06
6  3  7.693e+06
6  4  3.41218e+06
6  5  6.67024e+06
6  6  6.74094e+06
6  7  1.84483e+06
6  8  2.29706e+06
6  9  6.55755e+06
6  10  3.47924e+06
6  11  1.28109e+06
6  12  5.32799e+06
6  13  8.73789e+06
6  14  1.00701e+07
6  15  6.55623e+06
6  16  4.62365e+06
6  17  3.62802e+06
6  18  8.50188e+06
6  19  6.33612e+06
6  20  5.83855e+06
6  21  5.7616e+06
6  22  4.5131e+06
6  23  8.13916e+06
6  24  1.6298e+06
6  25  192149
6  26  0
6  27  9.79134e+06
6  28  8.61583e+06
6  29  9.19276e+06
6  30  4.30137e+06
6  31  684625
6  32  6.47918e+06
6  33  3.24573e+06
6  34  0
6  35  1.07753e+07
6  36  1.02912e+07
6  37  6.7481e+06
6  38  5.58455e+06
6  39  1.05571e+06
