row  column  (images_17_538.edf Zn-K*images_17_538.edf Ar-K**2.3)
0  0  3.07128e+07
0  1  3.64891e+07
0  2  2.82648e+07
0  3  3.69544e+07
0  4  3.43568e+07
0  5  3.63228e+07
0  6  4.54558e+07
0  7  3.69108e+07
0  8  4.05642e+07
0  9  4.08522e+07
0  10  2.85434e+07
0  11  3.23767e+07
0  12  3.84454e+07
0  13  3.17781e+07
0  14  3.24949e+07
0  15  3.27434e+07
0  16  3.73364e+07
0  17  3.31564e+07
0  18  3.79124e+07
0  19  3.35834e+07
0  20  2.75798e+07
0  21  3.69307e+07
0  22  2.19474e+07
0  23  2.56627e+07
0  24  2.43763e+07
0  25  3.06339e+07
0  26  2.83477e+07
0  27  2.12702e+07
0  28  1.95503e+07
0  29  2.30238e+07
0  30  2.62952e+07
0  31  2.79119e+07
0  32  3.1145e+07
0  33  2.97182e+07
0  34  3.00265e+07
0  35  2.79661e+07
0  36  2.59976e+07
0  37  2.37651e+07
0  38  2.63416e+07
0  39  2.52121e+07
0  40  3.50587e+07
0  41  2.50136e+07
0  42  2.55137e+07
0  43  2.2683e+07
0  44  1.97907e+07
0  45  1.92959e+07
0  46  1.37985e+07
0  47  2.17716e+07
0  48  2.75574e+07
0  49  2.63891e+07
0  50  2.86255e+07
0  51  3.08554e+07
0  52  3.05548e+07
0  53  3.66524e+07
0  54  3.33852e+07
0  55  3.69968e+07
0  56  2.36465e+07
0  57  3.03553e+07
0  58  3.80081e+07
0  59  2.27465e+07
0  60  4.02192e+07
0  61  3.55952e+07
0  62  3.14695e+07
0  63  3.08166e+07
0  64  3.80764e+07
0  65  2.53395e+07
0  66  3.23663e+07
0  67  3.57996e+07
0  68  3.40595e+07
0  69  2.69714e+07
0  70  3.46188e+07
0  71  3.29552e+07
0  72  3.05841e+07
0  73  3.23358e+07
0  74  4.29688e+07
0  75  4.0482e+07
0  76  4.10517e+07
0  77  4.0958e+07
0  78  3.5374e+07
0  79  3.42761e+07
0  80  3.61337e+07
1  0  2.83831e+07
1  1  3.10819e+07
1  2  3.37486e+07
1  3  3.97763e+07
1  4  3.53655e+07
1  5  3.84939e+07
1  6  3.89456e+07
1  7  3.99836e+07
1  8  3.94089e+07
1  9  3.62962e+07
1  10  3.70925e+07
1  11  3.75689e+07
1  12  3.39808e+07
1  13  2.7951e+07
1  14  3.52958e+07
1  15  2.91577e+07
1  16  2.83931e+07
1  17  3.39301e+07
1  18  3.69461e+07
1  19  3.27889e+07
1  20  3.32957e+07
1  21  3.20757e+07
1  22  2.90895e+07
1  23  2.74625e+07
1  24  2.6697e+07
1  25  2.72735e+07
1  26  2.54639e+07
1  27  2.26197e+07
1  28  1.9208e+07
1  29  2.35414e+07
1  30  2.23757e+07
1  31  2.37392e+07
1  32  2.69848e+07
1  33  1.70271e+07
1  34  2.21142e+07
1  35  2.4908e+07
1  36  2.74708e+07
1  37  2.70892e+07
1  38  2.93702e+07
1  39  2.76207e+07
1  40  3.38118e+07
1  41  3.66509e+07
1  42  2.49049e+07
1  43  2.05735e+07
1  44  1.31823e+07
1  45  1.37316e+07
1  46  1.87569e+07
1  47  2.33331e+07
1  48  2.68813e+07
1  49  2.9416e+07
1  50  3.09553e+07
1  51  2.64396e+07
1  52  2.6842e+07
1  53  3.19591e+07
1  54  2.94937e+07
1  55  2.55787e+07
1  56  2.79887e+07
1  57  3.47987e+07
1  58  3.1057e+07
1  59  2.60972e+07
1  60  3.22534e+07
1  61  3.53662e+07
1  62  3.19062e+07
1  63  3.249e+07
1  64  3.02209e+07
1  65  2.98989e+07
1  66  3.48833e+07
1  67  3.28733e+07
1  68  2.72787e+07
1  69  2.73351e+07
1  70  2.855e+07
1  71  3.4424e+07
1  72  3.59979e+07
1  73  3.91678e+07
1  74  3.65351e+07
1  75  4.24274e+07
1  76  4.4507e+07
1  77  4.03198e+07
1  78  3.82834e+07
1  79  3.69838e+07
1  80  3.12065e+07
2  0  3.71326e+07
2  1  3.34795e+07
2  2  3.02256e+07
2  3  3.35581e+07
2  4  3.45067e+07
2  5  3.61615e+07
2  6  3.69806e+07
2  7  3.99695e+07
2  8  3.53809e+07
2  9  4.16612e+07
2  10  3.60514e+07
2  11  3.53346e+07
2  12  3.28518e+07
2  13  2.85335e+07
2  14  3.83865e+07
2  15  2.94699e+07
2  16  3.47285e+07
2  17  3.3381e+07
2  18  3.01957e+07
2  19  3.057e+07
2  20  3.53904e+07
2  21  3.02638e+07
2  22  2.97682e+07
2  23  2.3538e+07
2  24  3.21261e+07
2  25  3.39117e+07
