row  column  (images_1.edf Cu-K*images_1.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  2.26597e+06
0  4  0
0  5  9.42792e+06
0  6  2.17551e+06
0  7  1.12484e+07
0  8  0
0  9  115457
0  10  0
0  11  0
0  12  0
0  13  5.45072e+06
0  14  0
0  15  1.57895e+07
0  16  4.8064e+06
0  17  0
0  18  1.96356e+06
0  19  2.29506e+07
0  20  1.51238e+07
0  21  2.1333e+06
0  22  1.21215e+07
0  23  0
0  24  253761
0  25  1.36743e+07
0  26  0
0  27  0
0  28  3.76465e+06
0  29  1.1426e+07
0  30  1.49512e+07
0  31  0
0  32  0
0  33  5.32743e+06
0  34  2.65517e+06
0  35  0
0  36  4.62888e+06
0  37  8.26122e+06
0  38  0
0  39  0
0  40  0
0  41  1.20948e+07
0  42  0
0  43  0
0  44  0
0  45  1.01212e+07
0  46  0
0  47  1.15996e+07
0  48  0
0  49  0
0  50  2.14189e+07
1  0  0
1  1  8.95174e+06
1  2  0
1  3  0
1  4  0
1  5  6.01544e+06
1  6  1.74113e+06
1  7  3.26533e+06
1  8  9.05796e+06
1  9  0
1  10  480386
1  11  3.77564e+06
1  12  0
1  13  1.79916e+07
1  14  613762
1  15  1.4697e+07
1  16  0
1  17  7.74994e+06
1  18  4.88228e+06
1  19  0
1  20  7.44504e+06
1  21  1.39448e+06
1  22  3.47451e+06
1  23  1.42508e+07
1  24  1.55892e+07
1  25  8.636e+06
1  26  2.9227e+07
1  27  1.16699e+07
1  28  2.07858e+07
1  29  9.7754e+06
1  30  1.07126e+07
1  31  8.52814e+06
1  32  1.20075e+07
1  33  1.50855e+07
1  34  1.14847e+06
1  35  3.00343e+06
1  36  1.06504e+07
1  37  1.05735e+07
1  38  1.02352e+07
1  39  0
1  40  1.82294e+06
1  41  0
1  42  3.47663e+06
1  43  0
1  44  0
1  45  2.95131e+06
1  46  0
1  47  0
1  48  0
1  49  8.08758e+06
1  50  0
2  0  0
2  1  0
2  2  0
2  3  0
2  4  1.69845e+06
2  5  5.17904e+06
2  6  1.77334e+07
2  7  0
2  8  6.88942e+06
2  9  0
2  10  1.27691e+06
2  11  0
2  12  7.25571e+06
2  13  8.67785e+06
2  14  0
2  15  2.88147e+06
2  16  0
2  17  9.94216e+06
2  18  1.62612e+07
2  19  7.00808e+06
2  20  1.21628e+06
2  21  4.15804e+06
2  22  2.99882e+06
2  23  1.13601e+07
2  24  1.30387e+07
2  25  0
2  26  1.07364e+07
2  27  9.20139e+06
2  28  2.61363e+07
2  29  9.01761e+06
2  30  6.11483e+06
2  31  1.00523e+06
2  32  0
2  33  7.44769e+06
2  34  5.39566e+06
2  35  1.1682e+07
2  36  9.18721e+06
2  37  7.4342e+06
2  38  1.15244e+07
2  39  0
2  40  0
2  41  1.97443e+07
2  42  1.06823e+07
2  43  0
2  44  0
2  45  4.58505e+06
2  46  6.70583e+06
2  47  0
2  48  0
2  49  2.62714e+06
2  50  8.47955e+06
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  173294
3  7  0
3  8  3.52687e+06
3  9  0
3  10  0
3  11  8.35496e+06
3  12  2.13108e+06
3  13  1.25176e+07
3  14  1.67233e+07
3  15  5.93729e+06
3  16  1.03472e+07
3  17  0
3  18  1.30422e+07
3  19  0
3  20  0
3  21  3.50344e+06
3  22  1.17611e+07
3  23  1.23221e+07
3  24  2.36514e+07
3  25  6.87913e+06
3  26  7.50858e+06
3  27  9.19189e+06
3  28  7.57365e+06
3  29  5.18659e+06
3  30  1.081e+07
3  31  1.62149e+06
3  32  6.19324e+06
3  33  4.25148e+06
3  34  7.06125e+06
3  35  2.09324e+07
3  36  5.4208e+06
3  37  4.08657e+06
3  38  0
3  39  5.76297e+06
3  40  992752
3  41  0
3  42  1.44639e+07
3  43  0
3  44  3.14939e+06
3  45  2.84949e+06
3  46  0
3  47  1.21865e+07
3  48  5.61413e+06
3  49  1.84047e+06
3  50  0
4  0  0
4  1  0
4  2  0
4  3  0
4  4  0
4  5  0
4  6  3.4807e+06
4  7  0
4  8  5.93477e+06
4  9  2.99678e+06
4  10  0
4  11  5.39259e+06
4  12  0
4  13  6.57726e+06
4  14  0
4  15  1.13483e+07
4  16  2.85244e+06
4  17  1.06316e+07
4  18  7.62109e+06
4  19  9.0525e+06
4  20  2.78767e+06
4  21  0
4  22  1.58003e+07
4  23  1.3116e+07
4  24  2.27195e+07
4  25  5.08909e+06
4  26  0
4  27  2.50202e+06
4  28  2.83e+06
4  29  0
4  30  1.11481e+07
4  31  8.03968e+06
4  32  0
4  33  7.55463e+06
4  34  8.45389e+06
4  35  4.31688e+06
4  36  4.06439e+06
4  37  0
4  38  0
4  39  4.08943e+06
4  40  1.47509e+07
4  41  0
4  42  0
4  43  7.39602e+06
4  44  0
4  45  1.23169e+07
4  46  1.10222e+07
4  47  5.8162e+06
4  48  2.44536e+06
4  49  0
4  50  0
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  2.5452e+06
5  7  9.07407e+06
5  8  5.30804e+06
5  9  0
5  10  5.57478e+06
5  11  726261
5  12  0
5  13  0
5  14  2.18246e+06
5  15  1.75746e+07
5  16  1.10431e+07
5  17  7.49467e+06
5  18  1.31644e+07
5  19  5.98791e+06
5  20  5.28339e+06
5  21  0
5  22  855258
5  23  1.31565e+07
5  24  2.76099e+06
5  25  3.3751e+06
5  26  1.74166e+06
5  27  545939
5  28  1.37182e+07
5  29  0
5  30  6.56246e+06
5  31  1.65884e+07
5  32  0
5  33  7.30631e+06
5  34  1.71041e+07
5  35  9.1352e+06
5  36  1.22862e+06
5  37  2.88376e+06
5  38  5.21597e+06
5  39  0
5  40  9.09748e+06
5  41  870642
5  42  0
5  43  0
5  44  2.23323e+07
5  45  1.24156e+07
5  46  7.37115e+06
5  47  0
5  48  1.6414e+07
5  49  0
5  50  0
6  0  0
6  1  0
6  2  0
6  3  0
6  4  4.31e+06
6  5  872022
6  6  4.05508e+06
6  7  260652
6  8  8.18578e+06
6  9  4.88857e+06
6  10  1.79234e+07
6  11  9.84662e+06
6  12  1.96353e+07
6  13  9.99977e+06
6  14  1.04406e+06
6  15  1.66613e+07
6  16  9.25322e+06
6  17  0
6  18  1.20594e+07
6  19  7.60604e+06
6  20  3.52261e+06
6  21  1.01343e+07
6  22  799767
6  23  1.54859e+07
6  24  1.19152e+07
6  25  8.15739e+06
6  26  0
6  27  5.43431e+06
6  28  1.3458e+07
6  29  0
6  30  3.38978e+06
6  31  7.55392e+06
6  32  0
6  33  0
6  34  2.97116e+06
6  35  1.03403e+07
6  36  2.14864e+07
6  37  1.93966e+07
6  38  1.31043e+07
6  39  6.83362e+06
6  40  5.20035e+06
6  41  0
6  42  3.81614e+06
6  43  831723
6  44  1.77061e+07
6  45  2.47775e+07
6  46  1.28314e+07
6  47  0
6  48  0
6  49  1.68762e+06
6  50  1.00264e+07
7  0  0
7  1  0
7  2  0
7  3  7.64419e+06
7  4  0
7  5  0
7  6  5.17016e+06
7  7  8.7599e+06
7  8  7.7054e+06
7  9  1.55252e+07
7  10  2.23456e+06
7  11  5.33628e+06
7  12  1.39976e+07
7  13  1.54388e+07
7  14  8.55766e+06
7  15  1.16141e+07
7  16  3.279e+06
7  17  1.05886e+07
7  18  6.68708e+06
7  19  1.60071e+07
7  20  9.89542e+06
7  21  1.56909e+07
7  22  5.73562e+06
