row  column  (images_1.edf Mn-K*images_1.edf Ar-K**2.3)
0  0  3.05694e+07
0  1  3.66779e+07
0  2  3.86527e+07
0  3  1.96366e+07
0  4  3.84726e+07
0  5  4.69387e+07
0  6  3.48859e+07
0  7  3.08111e+07
0  8  2.93469e+07
0  9  4.33284e+07
0  10  3.36245e+07
0  11  3.88913e+07
0  12  1.92229e+07
0  13  1.7381e+07
0  14  3.36867e+07
0  15  2.02303e+07
0  16  1.57968e+07
0  17  3.46388e+07
0  18  3.30989e+07
0  19  1.19486e+07
0  20  3.88628e+07
0  21  3.18501e+07
0  22  1.7832e+07
0  23  2.58834e+07
0  24  1.46655e+07
0  25  1.72934e+07
0  26  6.67361e+06
0  27  2.45825e+07
0  28  2.46378e+07
0  29  1.92683e+07
0  30  3.31754e+07
0  31  2.55355e+07
0  32  1.88851e+07
0  33  1.77749e+07
0  34  3.68314e+07
0  35  2.06261e+07
0  36  2.10428e+07
0  37  3.34454e+07
0  38  2.97681e+07
0  39  3.54126e+07
0  40  1.43811e+07
0  41  2.57939e+07
0  42  2.36618e+07
0  43  2.17574e+07
0  44  4.77779e+07
0  45  2.4317e+07
0  46  2.91501e+07
0  47  3.67837e+07
0  48  2.22973e+07
0  49  2.89272e+07
0  50  1.88636e+07
1  0  3.37767e+07
1  1  0
1  2  1.30327e+07
1  3  2.0153e+07
1  4  3.50292e+07
1  5  1.4881e+07
1  6  3.87031e+07
1  7  2.51908e+07
1  8  2.53875e+07
1  9  2.75601e+07
1  10  3.14292e+07
1  11  2.77561e+07
1  12  1.76083e+07
1  13  1.78443e+07
1  14  1.89594e+07
1  15  3.0665e+07
1  16  3.29556e+07
1  17  2.52574e+07
1  18  6.44792e+06
1  19  1.69937e+07
1  20  2.96547e+07
1  21  2.02023e+07
1  22  3.03505e+07
1  23  2.5446e+07
1  24  3.14895e+07
1  25  2.09387e+07
1  26  2.05312e+07
1  27  3.04927e+07
1  28  2.73819e+07
1  29  1.09827e+07
1  30  1.75804e+07
1  31  1.82448e+07
1  32  2.22627e+07
1  33  3.07022e+07
1  34  2.14414e+07
1  35  2.42615e+07
1  36  2.03554e+07
1  37  1.991e+07
1  38  2.64725e+07
1  39  2.96733e+07
1  40  2.15373e+07
1  41  2.58006e+07
1  42  2.65717e+07
1  43  2.85819e+07
1  44  3.45587e+07
1  45  4.60817e+07
1  46  3.06332e+07
1  47  3.65917e+07
1  48  3.13956e+07
1  49  3.11994e+07
1  50  2.58592e+07
2  0  2.74072e+07
2  1  3.19183e+07
2  2  4.60207e+07
2  3  1.82987e+07
2  4  3.65616e+07
2  5  1.50333e+07
2  6  3.33388e+07
2  7  2.7221e+07
2  8  2.28679e+07
2  9  3.00612e+07
2  10  2.47644e+07
2  11  1.51073e+07
2  12  3.30215e+07
2  13  3.04331e+07
2  14  3.24856e+07
2  15  2.12828e+07
2  16  2.91555e+07
2  17  1.90161e+07
2  18  2.26373e+07
2  19  1.71194e+07
2  20  2.21997e+07
2  21  2.43087e+07
2  22  3.00472e+07
2  23  9.49071e+06
2  24  1.50197e+07
2  25  1.34227e+07
