row  column  (images_28.edf Zn-K*images_28.edf Ar-K**2.3)
2  25  1.10531e+07
2  26  1.16117e+07
2  27  1.98418e+07
2  28  2.43676e+07
2  29  2.54956e+07
2  30  2.79177e+07
2  31  3.16908e+07
2  32  2.73407e+07
2  33  3.21557e+07
2  34  3.74533e+07
2  35  3.28473e+07
2  36  3.72172e+07
2  37  4.04746e+07
2  38  4.2547e+07
2  39  3.18931e+07
2  40  3.73369e+07
2  41  2.28162e+07
2  42  3.35462e+07
2  43  3.18339e+07
2  44  3.68074e+07
2  45  3.44573e+07
2  46  4.20128e+07
2  47  3.81129e+07
2  48  3.7416e+07
2  49  3.90907e+07
2  50  4.51862e+07
2  51  4.11925e+07
2  52  4.34427e+07
2  53  3.76384e+07
2  54  4.47606e+07
2  55  5.04631e+07
2  56  5.17257e+07
2  57  4.74249e+07
2  58  4.91706e+07
2  59  4.56463e+07
2  60  5.30765e+07
2  61  3.84549e+07
2  62  4.25256e+07
2  63  3.98276e+07
2  64  4.04866e+07
2  65  3.09995e+07
2  66  3.00282e+07
2  67  2.24404e+07
2  68  3.45461e+07
2  69  3.99438e+07
2  70  3.23013e+07
2  71  4.66266e+07
2  72  4.09743e+07
2  73  3.98639e+07
2  74  3.28959e+07
2  75  4.53016e+07
2  76  4.78107e+07
2  77  4.65754e+07
2  78  3.93973e+07
2  79  4.02576e+07
2  80  5.46655e+07
2  81  5.76798e+07
2  82  4.94397e+07
2  83  3.95494e+07
2  84  4.38317e+07
2  85  4.38164e+07
2  86  4.38133e+07
2  87  4.83569e+07
2  88  4.22076e+07
2  89  5.42055e+07
2  90  5.61058e+07
2  91  5.74342e+07
2  92  4.58226e+07
2  93  5.51961e+07
2  94  5.38422e+07
2  95  6.15305e+07
2  96  6.39729e+07
2  97  6.31826e+07
2  98  5.31722e+07
2  99  5.35743e+07
2  100  4.73719e+07
2  101  2.10132e+07
2  102  2.0433e+07
2  103  1.74168e+07
2  104  1.03575e+07
2  105  1.18075e+07
2  106  1.14718e+07
2  107  4.17192e+06
2  108  1.28301e+07
2  109  5.06062e+06
2  110  1.05744e+07
2  111  8.72759e+06
2  112  4.01005e+06
2  113  1.02962e+07
2  114  1.12938e+07
2  115  0
2  116  9.50091e+06
2  117  0
2  118  0
2  119  0
2  120  2.09102e+06
3  0  4.21269e+06
3  1  1.59126e+06
3  2  8.85124e+06
3  3  5.0816e+06
3  4  7.66287e+06
3  5  8.51786e+06
3  6  2.0076e+07
3  7  2.1724e+07
3  8  3.93646e+07
3  9  4.99774e+07
3  10  4.37415e+07
3  11  3.78687e+07
3  12  4.37914e+07
3  13  3.90082e+07
3  14  3.89463e+07
3  15  4.02844e+07
3  16  2.60864e+07
3  17  2.17689e+07
3  18  9.46167e+06
3  19  6.86604e+06
3  20  1.10199e+07
3  21  1.12179e+07
3  22  9.2969e+06
3  23  6.05776e+06
3  24  7.95992e+06
3  25  9.36791e+06
3  26  1.25545e+07
3  27  1.68809e+07
3  28  2.72313e+07
3  29  2.75776e+07
3  30  2.60843e+07
3  31  3.49526e+07
3  32  3.83104e+07
3  33  3.04756e+07
3  34  3.41551e+07
3  35  3.08198e+07
3  36  3.31756e+07
3  37  3.84205e+07
3  38  3.72336e+07
3  39  3.6871e+07
3  40  4.06478e+07
3  41  2.77647e+07
3  42  3.92349e+07
3  43  3.22871e+07
3  44  3.28833e+07
3  45  2.73866e+07
3  46  3.00804e+07
3  47  3.99939e+07
3  48  3.42317e+07
3  49  4.00026e+07
3  50  4.56607e+07
3  51  4.02307e+07
3  52  5.10319e+07
3  53  4.02416e+07
3  54  5.63377e+07
3  55  5.02799e+07
3  56  3.3651e+07
3  57  4.3332e+07
3  58  5.53566e+07
3  59  4.56816e+07
3  60  4.17016e+07
3  61  3.68171e+07
3  62  3.56174e+07
3  63  3.67654e+07
3  64  3.81829e+07
3  65  3.22824e+07
3  66  3.22185e+07
3  67  3.18894e+07
3  68  3.5834e+07
3  69  3.91998e+07
3  70  3.92605e+07
3  71  4.48524e+07
3  72  4.22424e+07
3  73  4.95156e+07
3  74  3.97529e+07
3  75  3.78109e+07
3  76  3.51563e+07
3  77  3.86196e+07
3  78  4.97564e+07
3  79  4.93401e+07
3  80  5.06381e+07
3  81  4.87489e+07
3  82  4.82459e+07
3  83  4.47975e+07
3  84  4.56118e+07
3  85  4.05656e+07
3  86  4.41143e+07
3  87  4.75529e+07
3  88  5.2093e+07
3  89  5.64353e+07
3  90  5.04313e+07
3  91  5.34136e+07
3  92  6.10273e+07
3  93  5.23388e+07
3  94  6.31118e+07
3  95  6.0029e+07
3  96  6.57948e+07
3  97  6.64082e+07
3  98  6.02368e+07
3  99  5.45923e+07
3  100  4.82306e+07
3  101  2.69181e+07
3  102  2.36324e+07
3  103  1.41078e+07
3  104  1.22714e+07
3  105  1.67365e+07
3  106  1.28832e+07
3  107  5.65232e+06
3  108  1.33479e+07
3  109  9.65617e+06
3  110  6.12098e+06
3  111  9.87971e+06
3  112  2.72734e+06
3  113  1.66661e+06
3  114  3.85087e+06
3  115  2.22115e+06
3  116  0
3  117  0
3  118  0
3  119  441314
3  120  0
4  0  6.34349e+06
4  1  3.70955e+06
4  2  7.00359e+06
4  3  7.77094e+06
4  4  1.09648e+07
4  5  1.25593e+07
4  6  1.02577e+07
4  7  2.12079e+07
4  8  3.26717e+07
4  9  4.41382e+07
4  10  4.22848e+07
4  11  3.88552e+07
4  12  3.85555e+07
4  13  3.68676e+07
4  14  3.12876e+07
4  15  3.09909e+07
4  16  2.39266e+07
4  17  2.41439e+07
4  18  7.60332e+06
4  19  4.69833e+06
4  20  3.65057e+06
4  21  9.16584e+06
4  22  4.01849e+06
4  23  7.25781e+06
4  24  3.67176e+06
4  25  5.30351e+06
4  26  1.07722e+07
4  27  2.06444e+07
4  28  2.50672e+07
4  29  3.26295e+07
4  30  2.35314e+07
4  31  2.37864e+07
4  32  3.60186e+07
4  33  2.88003e+07
4  34  3.74154e+07
4  35  4.34392e+07
4  36  4.04078e+07
4  37  3.32742e+07
4  38  2.96199e+07
4  39  3.32577e+07
4  40  3.31765e+07
4  41  2.58965e+07
4  42  3.27774e+07
4  43  3.72175e+07
4  44  3.36806e+07
4  45  3.6611e+07
4  46  3.24363e+07
4  47  3.64012e+07
4  48  4.46964e+07
4  49  3.89693e+07
4  50  4.69697e+07
4  51  4.52776e+07
4  52  4.12761e+07
4  53  3.97184e+07
4  54  4.29386e+07
4  55  4.33294e+07
4  56  4.10768e+07
4  57  4.31339e+07
4  58  4.21369e+07
4  59  4.14135e+07
4  60  3.40084e+07
4  61  3.94719e+07
4  62  3.57557e+07
4  63  4.01017e+07
4  64  3.8022e+07
4  65  4.43871e+07
4  66  3.17306e+07
4  67  2.74312e+07
4  68  2.70684e+07
4  69  3.31235e+07
4  70  3.82254e+07
4  71  3.93458e+07
4  72  3.79703e+07
4  73  3.73303e+07
4  74  3.92865e+07
4  75  3.34758e+07
4  76  2.90509e+07
4  77  3.90171e+07
4  78  3.95917e+07
4  79  4.78119e+07
4  80  5.37149e+07
4  81  4.96439e+07
4  82  5.67115e+07
4  83  4.55099e+07
4  84  4.15285e+07
4  85  4.51088e+07
4  86  5.14647e+07
4  87  3.98995e+07
4  88  3.64225e+07
4  89  5.31194e+07
