row  column  (images_28.edf S-K*images_28.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  3.32493e+06
0  7  6.59703e+06
0  8  7.78426e+06
0  9  1.32309e+07
0  10  1.95185e+07
0  11  1.66803e+07
0  12  1.94157e+07
0  13  1.53465e+07
0  14  1.16256e+07
0  15  9.70606e+06
0  16  1.1127e+07
0  17  5.11103e+06
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  4.18442e+06
0  30  6.01217e+06
0  31  5.00593e+06
0  32  1.23063e+07
0  33  1.61661e+07
0  34  1.21039e+07
0  35  1.50148e+07
0  36  1.12843e+07
0  37  1.51886e+07
0  38  1.20929e+07
0  39  1.27634e+07
0  40  1.6955e+07
0  41  1.29901e+07
0  42  1.47377e+07
0  43  1.53031e+07
0  44  1.36465e+07
0  45  1.58914e+07
0  46  1.73619e+07
0  47  1.2592e+07
0  48  1.25714e+07
0  49  2.13194e+07
0  50  1.73135e+07
0  51  1.51258e+07
0  52  1.4024e+07
0  53  1.19399e+07
0  54  2.28824e+07
0  55  1.93782e+07
0  56  1.94186e+07
0  57  1.81853e+07
0  58  1.50496e+07
0  59  1.65261e+07
0  60  1.02082e+07
0  61  2.0209e+07
0  62  1.70221e+07
0  63  1.48937e+07
0  64  1.77151e+07
0  65  1.74939e+07
0  66  1.0419e+07
0  67  1.08804e+07
0  68  0
0  69  0
0  70  6.84905e+06
0  71  1.2236e+07
0  72  1.24102e+07
0  73  9.34223e+06
0  74  9.56361e+06
0  75  1.06896e+07
0  76  1.58378e+07
0  77  1.91359e+07
0  78  8.81222e+06
0  79  1.63387e+07
0  80  2.01636e+07
0  81  7.02563e+06
0  82  1.24648e+07
0  83  1.30751e+07
0  84  1.95123e+07
0  85  9.7172e+06
0  86  1.72871e+07
0  87  1.99183e+07
0  88  1.43278e+07
0  89  1.6585e+07
0  90  1.85825e+07
0  91  1.33218e+07
0  92  1.63977e+07
0  93  1.60081e+07
0  94  1.5141e+07
0  95  0
0  96  1.50604e+07
0  97  1.34406e+07
0  98  0
0  99  0
0  100  0
0  101  0
0  102  0
0  103  0
0  104  0
0  105  0
0  106  0
0  107  0
0  108  0
0  109  0
0  110  0
0  111  0
0  112  0
0  113  0
0  114  0
0  115  0
0  116  0
0  117  0
0  118  0
0  119  0
0  120  0
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  8.67044e+06
1  8  1.23055e+07
1  9  1.35289e+07
1  10  1.47229e+07
1  11  1.51638e+07
1  12  1.21444e+07
1  13  1.24788e+07
1  14  1.63008e+07
1  15  1.22901e+07
1  16  7.19273e+06
1  17  3.60499e+06
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  3.74206e+06
1  29  7.27764e+06
1  30  4.59752e+06
1  31  5.55959e+06
1  32  1.35683e+07
1  33  9.0553e+06
1  34  1.46514e+07
1  35  1.57182e+07
1  36  1.38097e+07
1  37  1.05885e+07
1  38  4.94379e+06
1  39  1.29951e+07
1  40  1.30883e+07
1  41  9.94295e+06
1  42  1.20253e+07
1  43  1.77245e+07
1  44  1.60768e+07
1  45  1.20516e+07
1  46  1.16352e+07
1  47  1.49101e+07
1  48  1.81879e+07
1  49  1.53015e+07
1  50  1.56469e+07
1  51  1.67024e+07
1  52  1.54487e+07
1  53  1.35028e+07
1  54  1.77908e+07
1  55  2.02428e+07
1  56  1.59082e+07
1  57  1.11081e+07
1  58  1.26049e+07
1  59  8.86274e+06
1  60  1.87481e+07
1  61  9.94981e+06
1  62  1.71152e+07
1  63  1.54962e+07
1  64  1.75975e+07
1  65  2.03404e+07
1  66  1.14867e+07
1  67  0
1  68  0
1  69  0
1  70  1.15668e+07
1  71  1.00973e+07
1  72  0
1  73  1.02454e+07
1  74  6.14501e+06
1  75  9.65844e+06
1  76  1.43e+07
1  77  1.52375e+07
1  78  1.79443e+07
1  79  1.21529e+07
1  80  1.3297e+07
1  81  1.82973e+07
1  82  1.02091e+07
1  83  1.91274e+07
1  84  1.82688e+07
1  85  1.64026e+07
1  86  1.70107e+07
1  87  1.6663e+07
1  88  1.58659e+07
1  89  1.74769e+07
1  90  1.35197e+07
1  91  1.28376e+07
1  92  8.66423e+06
1  93  9.6542e+06
1  94  1.0297e+07
1  95  1.12043e+07
1  96  1.93128e+07
1  97  1.02527e+07
1  98  0
1  99  0
1  100  0
1  101  0
1  102  0
1  103  0
1  104  0
1  105  0
1  106  0
1  107  0
1  108  0
1  109  0
1  110  0
1  111  0
1  112  0
1  113  0
1  114  0
1  115  0
1  116  0
1  117  0
1  118  0
1  119  0
1  120  0
2  0  0
2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  4.2141e+06
2  7  9.59436e+06
2  8  9.499e+06
2  9  1.35997e+07
2  10  1.75639e+07
2  11  1.87615e+07
2  12  1.24729e+07
2  13  1.39566e+07
2  14  8.80936e+06
2  15  9.88901e+06
2  16  1.38703e+07
2  17  4.12441e+06
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  9.09041e+06
2  28  1.04519e+07
2  29  1.07125e+07
2  30  8.7302e+06
2  31  9.28758e+06
2  32  1.17879e+07
2  33  1.41987e+07
2  34  1.68043e+07
2  35  1.2105e+07
2  36  1.25477e+07
2  37  1.06821e+07
2  38  1.54612e+07
2  39  1.65821e+07
2  40  1.38616e+07
2  41  1.56633e+07
2  42  1.29218e+07
2  43  1.50704e+07
2  44  1.28199e+07
2  45  1.42022e+07
2  46  2.16762e+07
2  47  1.88788e+07
2  48  1.38981e+07
2  49  1.59771e+07
2  50  1.76401e+07
2  51  1.33358e+07
2  52  1.09913e+07
2  53  1.52411e+07
2  54  1.52977e+07
2  55  1.65773e+07
2  56  1.60468e+07
2  57  1.3565e+07
2  58  1.18116e+07
2  59  1.93232e+07
2  60  9.39092e+06
2  61  1.5279e+07
2  62  1.12955e+07
2  63  1.64373e+07
2  64  1.79323e+07
2  65  7.73431e+06
2  66  6.43197e+06
2  67  0
2  68  0
2  69  0
2  70  9.41903e+06
2  71  5.81284e+06
2  72  9.78568e+06
2  73  8.84656e+06
2  74  7.65553e+06
2  75  1.30496e+07
2  76  1.30737e+07
2  77  1.81427e+07
2  78  1.7803e+07
2  79  1.80978e+07
2  80  1.9876e+07
2  81  1.08922e+07
2  82  1.96936e+07
2  83  1.6924e+07
2  84  1.40683e+07
2  85  1.23718e+07
2  86  1.48638e+07
2  87  1.74463e+07
2  88  1.79597e+07
2  89  1.73627e+07
2  90  1.60973e+07
2  91  1.25445e+07
2  92  1.65912e+07
2  93  1.72372e+07
2  94  1.56472e+07
2  95  1.52595e+07
2  96  7.76869e+06
2  97  1.47923e+07
2  98  5.62848e+06
2  99  0
2  100  0
2  101  0
2  102  0
2  103  0
2  104  0
2  105  0
2  106  0
2  107  0
2  108  0
2  109  0
2  110  0
2  111  0
2  112  0
2  113  0
2  114  0
2  115  0
2  116  0
2  117  0
2  118  0
2  119  0
2  120  0
3  0  0
3  1  0
3  2  0
3  3  0
3  4  3.1617e+06
3  5  0
3  6  4.15744e+06
3  7  6.62467e+06
3  8  1.04398e+07
3  9  1.71805e+07
3  10  2.07421e+07
3  11  1.49374e+07
