row  column  (images_38.edf Fe-K*images_38.edf Ar-K**2.3)
0  0  4.02608e+07
0  1  4.83172e+07
0  2  5.87335e+07
0  3  7.80264e+07
0  4  8.38683e+07
0  5  1.19469e+08
0  6  7.15692e+07
0  7  1.26305e+08
0  8  1.02365e+08
0  9  8.97951e+07
0  10  7.79539e+07
0  11  5.19337e+07
0  12  7.21953e+07
0  13  8.35418e+07
0  14  9.30454e+07
0  15  1.00357e+08
0  16  7.53795e+07
0  17  7.22824e+07
0  18  7.61469e+07
0  19  7.07483e+07
0  20  7.72751e+07
0  21  8.04863e+07
0  22  5.53122e+07
0  23  6.89119e+07
0  24  6.38989e+07
0  25  5.81068e+07
0  26  5.6303e+07
0  27  6.01842e+07
0  28  5.17791e+07
0  29  5.15057e+07
0  30  7.21531e+07
0  31  5.82414e+07
0  32  4.08544e+07
0  33  3.45519e+07
0  34  3.27494e+07
0  35  3.22006e+07
0  36  3.8502e+07
0  37  4.28927e+07
0  38  4.71009e+07
0  39  4.79183e+07
0  40  6.37862e+07
1  0  6.9458e+07
1  1  6.23925e+07
1  2  7.3014e+07
1  3  8.65487e+07
1  4  9.48664e+07
1  5  1.04329e+08
1  6  7.54664e+07
1  7  1.12442e+08
1  8  9.21346e+07
1  9  9.01559e+07
1  10  7.60308e+07
1  11  6.40893e+07
1  12  7.76525e+07
1  13  9.52526e+07
1  14  1.03488e+08
1  15  9.92132e+07
1  16  8.75611e+07
1  17  7.65544e+07
1  18  9.25203e+07
1  19  8.50618e+07
1  20  8.5872e+07
1  21  8.07668e+07
1  22  6.90193e+07
1  23  7.4513e+07
1  24  7.48885e+07
1  25  6.9159e+07
1  26  7.06653e+07
1  27  6.44652e+07
1  28  5.98945e+07
1  29  5.88957e+07
1  30  6.07304e+07
1  31  5.19628e+07
1  32  4.77986e+07
1  33  2.98266e+07
1  34  3.11801e+07
1  35  3.76066e+07
1  36  3.41544e+07
1  37  4.46441e+07
1  38  5.49831e+07
1  39  6.50158e+07
1  40  6.12329e+07
2  0  7.82599e+07
2  1  6.60656e+07
2  2  8.31645e+07
2  3  1.01812e+08
2  4  9.39631e+07
2  5  9.66071e+07
2  6  7.66837e+07
2  7  1.04359e+08
2  8  9.08633e+07
2  9  8.55086e+07
2  10  7.85217e+07
2  11  6.97469e+07
2  12  8.0085e+07
2  13  1.07614e+08
2  14  1.06131e+08
2  15  9.46344e+07
2  16  8.85368e+07
2  17  8.89654e+07
2  18  1.05783e+08
2  19  8.49451e+07
2  20  8.84273e+07
2  21  1.01465e+08
2  22  7.38716e+07
2  23  8.8345e+07
