row  column  (images_8.edf Fe_K*images_8.edf Ar_K**2.3)
5  9  6.13507e+07
5  10  5.73877e+07
5  11  5.38842e+07
5  12  6.1616e+07
5  13  5.40323e+07
5  14  8.07628e+07
5  15  9.51509e+07
5  16  1.37915e+08
5  17  7.24955e+07
5  18  7.62417e+07
5  19  9.32074e+07
5  20  9.13097e+07
5  21  1.03562e+08
5  22  1.29897e+08
5  23  1.24789e+08
5  24  1.24692e+08
5  25  9.7747e+07
5  26  8.91477e+07
5  27  1.01492e+08
5  28  9.36221e+07
5  29  6.28305e+07
5  30  6.73615e+07
5  31  7.73818e+07
5  32  8.87676e+07
5  33  1.00818e+08
5  34  1.18804e+08
5  35  1.02182e+08
5  36  9.89397e+07
5  37  7.53342e+07
5  38  7.02397e+07
5  39  5.60746e+07
5  40  3.50348e+07
5  41  4.35158e+07
5  42  3.19422e+07
5  43  3.84833e+07
5  44  3.82821e+07
5  45  3.82676e+07
5  46  3.15433e+07
5  47  3.6278e+07
5  48  3.74077e+07
5  49  3.13161e+07
5  50  3.23502e+07
6  0  6.75622e+07
6  1  6.13985e+07
6  2  5.91447e+07
6  3  5.56683e+07
6  4  6.12596e+07
6  5  4.53385e+07
6  6  5.27862e+07
6  7  4.60305e+07
6  8  5.26212e+07
6  9  6.78422e+07
6  10  5.77102e+07
6  11  5.97869e+07
6  12  5.20322e+07
6  13  5.76994e+07
6  14  5.92181e+07
6  15  8.1054e+07
6  16  1.09288e+08
6  17  8.84857e+07
6  18  7.61069e+07
6  19  9.30611e+07
6  20  1.06608e+08
6  21  1.04271e+08
6  22  1.20691e+08
6  23  1.33831e+08
6  24  1.56331e+08
6  25  1.19889e+08
6  26  9.89309e+07
6  27  8.78887e+07
6  28  9.01312e+07
6  29  7.46698e+07
6  30  6.13801e+07
6  31  7.24243e+07
6  32  8.40925e+07
6  33  9.42624e+07
6  34  1.31414e+08
6  35  1.26154e+08
6  36  1.01405e+08
6  37  8.605e+07
6  38  7.7838e+07
6  39  5.7397e+07
6  40  4.16649e+07
6  41  3.25118e+07
6  42  4.14817e+07
6  43  4.53187e+07
6  44  3.8701e+07
6  45  4.3082e+07
6  46  4.40636e+07
6  47  4.07535e+07
6  48  3.4329e+07
6  49  2.96921e+07
6  50  3.0236e+07
7  0  5.94306e+07
7  1  6.72877e+07
7  2  6.52282e+07
7  3  4.93944e+07
7  4  5.75894e+07
7  5  4.99301e+07
7  6  4.98752e+07
7  7  5.76837e+07
7  8  6.30538e+07
7  9  5.17092e+07
7  10  6.12165e+07
7  11  5.9692e+07
7  12  5.23395e+07
7  13  7.47076e+07
7  14  7.5696e+07
7  15  9.84936e+07
7  16  1.19282e+08
7  17  7.74592e+07
7  18  8.5796e+07
7  19  1.01448e+08
7  20  1.1854e+08
7  21  1.37133e+08
7  22  1.44996e+08
7  23  1.50969e+08
7  24  1.59669e+08
7  25  1.07067e+08
7  26  1.10593e+08
7  27  9.24142e+07
7  28  8.11537e+07
7  29  6.45801e+07
7  30  6.16296e+07
7  31  6.50329e+07
7  32  7.7479e+07
