row  column  (images_8.edf Zn_K*images_8.edf Ar_K**2.3)
5  30  4.84864e+07
5  31  5.08947e+07
5  32  3.19622e+07
5  33  4.05999e+07
5  34  3.63534e+07
5  35  3.50294e+07
5  36  4.91767e+07
5  37  7.3841e+07
5  38  5.63277e+07
5  39  4.13787e+07
5  40  2.90566e+07
5  41  9.86742e+06
5  42  9.84853e+06
5  43  5.99206e+06
5  44  6.14072e+06
5  45  6.41232e+06
5  46  4.02305e+06
5  47  6.09176e+06
5  48  0
5  49  0
5  50  691194
6  0  6.03628e+07
6  1  5.0093e+07
6  2  5.57812e+07
6  3  5.44955e+07
6  4  3.5214e+07
6  5  2.1863e+07
6  6  2.49162e+07
6  7  2.54901e+07
6  8  4.54605e+07
6  9  5.23416e+07
6  10  5.40386e+07
6  11  3.90218e+07
6  12  4.33306e+07
6  13  5.33813e+07
6  14  6.26998e+07
6  15  7.13716e+07
6  16  6.52133e+07
6  17  5.16708e+07
6  18  5.50421e+07
6  19  5.27936e+07
6  20  6.15876e+07
6  21  5.11426e+07
6  22  4.98763e+07
6  23  6.55493e+07
6  24  5.38394e+07
6  25  6.61656e+07
6  26  4.68549e+07
6  27  4.00321e+07
6  28  4.06463e+07
6  29  3.40471e+07
6  30  4.29767e+07
6  31  6.74564e+07
6  32  4.36228e+07
6  33  5.22374e+07
6  34  5.51096e+07
6  35  5.01373e+07
6  36  5.47659e+07
6  37  4.76733e+07
6  38  7.28698e+07
6  39  3.36928e+07
6  40  3.60339e+07
6  41  2.53599e+07
6  42  5.79015e+06
6  43  7.03049e+06
6  44  5.42085e+06
6  45  7.52691e+06
6  46  0
6  47  0
6  48  4.25886e+06
6  49  0
6  50  0
7  0  5.49565e+07
7  1  4.793e+07
7  2  5.46424e+07
7  3  6.26714e+07
7  4  2.99916e+07
7  5  2.79804e+07
7  6  3.42905e+07
7  7  4.30688e+07
7  8  5.60272e+07
7  9  5.75458e+07
7  10  4.10801e+07
7  11  3.4738e+07
7  12  2.94236e+07
7  13  5.76976e+07
7  14  6.23082e+07
7  15  7.31747e+07
7  16  6.47564e+07
7  17  5.79642e+07
7  18  7.31265e+07
7  19  6.63212e+07
7  20  6.17265e+07
7  21  6.50263e+07
7  22  6.95049e+07
7  23  6.58166e+07
7  24  6.15825e+07
7  25  5.6566e+07
7  26  4.72085e+07
7  27  4.91147e+07
7  28  3.26896e+07
7  29  2.0977e+07
7  30  3.48387e+07
7  31  5.4991e+07
7  32  5.20082e+07
7  33  5.72731e+07
7  34  4.98642e+07
7  35  6.31824e+07
7  36  7.63571e+07
7  37  6.06697e+07
7  38  4.65562e+07
7  39  3.76545e+07
7  40  1.66838e+07
7  41  9.56054e+06
7  42  1.08347e+07
7  43  3.74599e+06
7  44  4.38131e+06
7  45  0
7  46  7.8164e+06
7  47  4.16043e+06
7  48  5.57853e+06
7  49  0
7  50  0
8  0  4.62553e+07
8  1  4.17618e+07
8  2  5.61289e+07
8  3  5.51763e+07
8  4  3.52597e+07
8  5  5.81724e+07
8  6  5.686e+07
8  7  4.92484e+07
8  8  3.71374e+07
8  9  5.2485e+07
8  10  2.5129e+07
8  11  4.23257e+07
8  12  4.9989e+07
8  13  5.97475e+07
8  14  6.01753e+07
8  15  6.52659e+07
8  16  6.08803e+07
8  17  5.92915e+07
8  18  5.8358e+07
8  19  6.32286e+07
8  20  7.21024e+07
8  21  5.39087e+07
8  22  6.7813e+07
8  23  8.14028e+07
8  24  7.51666e+07
8  25  6.95322e+07
8  26  5.57095e+07
8  27  3.31794e+07
8  28  3.77431e+07
8  29  3.47943e+07
8  30  3.43236e+07
8  31  5.62492e+07
8  32  4.75978e+07
8  33  4.42105e+07
8  34  5.69695e+07
8  35  6.06457e+07
8  36  9.28377e+07
8  37  6.34761e+07
8  38  6.66708e+07
8  39  3.59143e+07
8  40  2.06321e+07
8  41  1.50232e+07
8  42  1.51724e+07
8  43  5.32678e+06
8  44  1.10135e+07
8  45  7.79113e+06
8  46  9.87077e+06
8  47  2.62735e+06
8  48  5.23111e+06
8  49  0
8  50  0
9  0  5.67908e+07
9  1  5.36795e+07
9  2  7.52493e+07
9  3  6.4641e+07
9  4  4.82785e+07
9  5  5.52607e+07
9  6  5.83523e+07
9  7  4.41579e+07
9  8  3.67792e+07
9  9  3.43916e+07
9  10  4.3414e+07
9  11  6.08423e+07
9  12  6.71231e+07
9  13  7.61011e+07
9  14  6.82532e+07
9  15  6.75231e+07
9  16  7.12719e+07
9  17  7.08127e+07
9  18  7.41904e+07
9  19  7.48786e+07
9  20  5.44196e+07
9  21  5.79793e+07
9  22  5.58402e+07
9  23  7.49323e+07
9  24  6.29578e+07
9  25  7.04137e+07
9  26  5.11317e+07
9  27  4.85091e+07
9  28  3.70526e+07
9  29  3.38478e+07
9  30  3.62416e+07
9  31  4.40885e+07
9  32  4.14544e+07
9  33  3.93199e+07
9  34  6.12792e+07
9  35  6.19013e+07
9  36  7.66084e+07
9  37  7.0523e+07
9  38  4.07936e+07
9  39  3.01993e+07
9  40  1.22524e+07
9  41  1.69457e+07
9  42  6.85551e+06
9  43  268299
9  44  9.62202e+06
9  45  0
9  46  1.54356e+07
9  47  0
9  48  6.31132e+06
9  49  4.2777e+06
9  50  1.00997e+06
10  0  6.74085e+07
10  1  4.27001e+07
10  2  7.16797e+07
10  3  7.11109e+07
10  4  5.9118e+07
10  5  6.9976e+07
10  6  7.52153e+07
10  7  4.76337e+07
10  8  2.97898e+07
10  9  4.02358e+07
10  10  4.57983e+07
10  11  5.68105e+07
10  12  6.91188e+07
10  13  7.58207e+07
10  14  8.08502e+07
10  15  6.39057e+07
10  16  7.23908e+07
10  17  6.40994e+07
10  18  6.50999e+07
10  19  6.56512e+07
10  20  5.96551e+07
10  21  4.77691e+07
10  22  6.33369e+07
10  23  6.16798e+07
10  24  6.10918e+07
10  25  7.26687e+07
10  26  6.94386e+07
10  27  3.5102e+07
10  28  3.33148e+07
10  29  3.28407e+07
10  30  2.78788e+07
10  31  3.74669e+07
10  32  3.84517e+07
10  33  4.83392e+07
10  34  7.46244e+07
10  35  6.98825e+07
10  36  6.80642e+07
10  37  6.11323e+07
10  38  3.7253e+07
10  39  1.96708e+07
10  40  2.07674e+07
10  41  1.59098e+07
10  42  1.05058e+07
10  43  1.61841e+07
10  44  1.32172e+07
10  45  2.57238e+06
10  46  1.65311e+07
10  47  1.52401e+07
10  48  0
10  49  399408
10  50  0
11  0  5.17275e+07
11  1  3.98781e+07
11  2  6.93265e+07
11  3  6.51711e+07
11  4  6.08778e+07
11  5  7.65539e+07
11  6  7.01766e+07
11  7  6.36889e+07
11  8  3.0599e+07
11  9  4.41339e+07
11  10  4.8968e+07
11  11  5.69037e+07
11  12  8.44765e+07
11  13  6.74639e+07
11  14  6.49769e+07
11  15  5.97245e+07
11  16  7.20699e+07
11  17  7.69161e+07
11  18  7.42878e+07
11  19  6.98607e+07
11  20  6.50616e+07
11  21  5.8372e+07
11  22  4.36546e+07
11  23  5.13094e+07
11  24  4.49465e+07
11  25  4.88901e+07
11  26  5.22899e+07
11  27  3.60014e+07
11  28  3.12473e+07
11  29  4.10877e+07
11  30  3.17814e+07
11  31  4.64275e+07
11  32  2.24044e+07
11  33  5.26785e+07
11  34  6.99145e+07
11  35  4.95784e+07
11  36  7.88067e+07
11  37  3.98694e+07
11  38  4.13951e+07
11  39  2.11446e+07
11  40  3.11661e+07
11  41  2.01319e+07
11  42  2.82941e+07
11  43  2.2789e+07
11  44  2.70411e+07
11  45  2.2485e+07
11  46  2.05236e+07
11  47  1.25702e+07
11  48  8.27414e+06
11  49  8.42426e+06
11  50  4.78678e+06
12  0  4.38894e+07
12  1  4.40207e+07
12  2  5.83637e+07
12  3  5.57549e+07
12  4  5.50356e+07
12  5  6.95639e+07
12  6  7.68048e+07
12  7  5.84937e+07
12  8  5.29622e+07
12  9  4.2322e+07
12  10  5.30869e+07
12  11  5.88475e+07
12  12  7.48453e+07
12  13  5.95366e+07
12  14  6.02093e+07
12  15  6.29895e+07
12  16  9.29729e+07
12  17  8.52583e+07
12  18  6.80587e+07
12  19  8.45668e+07
12  20  6.60011e+07
12  21  3.98746e+07
12  22  4.2716e+07
12  23  5.8262e+07
12  24  4.3131e+07
12  25  5.69635e+07
12  26  5.59478e+07
12  27  4.98775e+07
12  28  3.36685e+07
12  29  4.916e+07
12  30  4.66329e+07
12  31  6.76338e+07
12  32  4.20772e+07
12  33  4.82859e+07
12  34  6.24853e+07
12  35  5.43855e+07
12  36  7.46656e+07
12  37  4.594e+07
12  38  3.81343e+07
12  39  3.52662e+07
12  40  4.55722e+07
12  41  3.14329e+07
12  42  5.74143e+07
12  43  3.21817e+07
12  44  2.69994e+07
12  45  2.70629e+07
12  46  2.31091e+07
12  47  2.94752e+07
12  48  2.57916e+07
12  49  7.84534e+06
12  50  0
13  0  4.17395e+07
13  1  3.90155e+07
13  2  5.68602e+07
13  3  5.27876e+07
13  4  5.18371e+07
13  5  7.43261e+07
13  6  8.71093e+07
13  7  5.18558e+07
13  8  5.4165e+07
13  9  4.59168e+07
13  10  7.31276e+07
13  11  6.01279e+07
13  12  6.34094e+07
13  13  5.82636e+07
13  14  6.02378e+07
13  15  7.2531e+07
13  16  9.42481e+07
13  17  9.58352e+07
13  18  8.6986e+07
13  19  6.31767e+07
13  20  5.29632e+07
13  21  2.37397e+07
13  22  3.93327e+07
13  23  5.56295e+07
13  24  3.92468e+07
13  25  4.95072e+07
13  26  4.85041e+07
13  27  4.41328e+07
13  28  5.15411e+07
13  29  4.73433e+07
13  30  6.47641e+07
13  31  8.0382e+07
13  32  4.54175e+07
13  33  5.31148e+07
13  34  7.38807e+07
13  35  7.23084e+07
13  36  5.68429e+07
13  37  4.24795e+07
13  38  3.60201e+07
13  39  4.14413e+07
13  40  3.31047e+07
13  41  2.70377e+07
13  42  6.14003e+07
13  43  5.88099e+07
13  44  4.35027e+07
13  45  3.11809e+07
13  46  4.56017e+07
13  47  4.32465e+07
13  48  2.37468e+07
13  49  2.68532e+07
13  50  1.10595e+07
14  0  4.08167e+07
14  1  4.14778e+07
14  2  6.09601e+07
14  3  5.27779e+07
14  4  4.62111e+07
14  5  6.88824e+07
14  6  7.10457e+07
14  7  6.08507e+07
14  8  4.63088e+07
14  9  4.95833e+07
14  10  6.14789e+07
14  11  6.41567e+07
14  12  8.55797e+07
14  13  7.92756e+07
14  14  5.94885e+07
14  15  6.98674e+07
14  16  7.62461e+07
14  17  7.99698e+07
14  18  7.9955e+07
14  19  8.282e+07
14  20  6.16589e+07
14  21  2.25517e+07
14  22  5.30502e+07
14  23  5.29982e+07
14  24  3.85007e+07
14  25  5.34634e+07
14  26  3.71416e+07
14  27  4.75686e+07
14  28  4.30943e+07
14  29  5.18683e+07
14  30  6.52597e+07
14  31  7.72445e+07
14  32  7.00946e+07
14  33  5.77013e+07
14  34  5.23997e+07
14  35  6.7396e+07
14  36  6.05547e+07
14  37  4.86951e+07
14  38  4.41252e+07
14  39  4.35741e+07
14  40  2.97417e+07
14  41  4.0034e+07
14  42  7.66702e+07
14  43  8.61702e+07
14  44  4.89685e+07
14  45  6.0778e+07
14  46  5.15985e+07
14  47  6.26297e+07
14  48  4.97913e+07
14  49  4.46444e+07
14  50  1.35681e+07
15  0  5.34115e+07
15  1  4.88807e+07
15  2  5.4743e+07
15  3  4.94401e+07
15  4  4.17609e+07
15  5  5.75411e+07
15  6  4.48484e+07
15  7  4.47685e+07
15  8  4.52771e+07
15  9  5.97091e+07
15  10  7.06349e+07
15  11  8.74963e+07
15  12  1.01303e+08
15  13  1.05706e+08
15  14  5.18635e+07
15  15  1.03761e+08
15  16  7.57917e+07
15  17  8.02681e+07
15  18  1.00207e+08
15  19  8.15376e+07
15  20  6.84152e+07
15  21  2.60578e+07
15  22  4.45572e+07
15  23  4.89877e+07
15  24  4.828e+07
15  25  4.91751e+07
15  26  4.81002e+07
15  27  2.84084e+07
15  28  3.7317e+07
15  29  6.0796e+07
15  30  5.97738e+07
15  31  7.3359e+07
15  32  6.01532e+07
15  33  6.06383e+07
15  34  5.74096e+07
15  35  5.37834e+07
15  36  5.43327e+07
15  37  3.72345e+07
15  38  3.7688e+07
15  39  5.09955e+07
15  40  3.37051e+07
15  41  4.84781e+07
15  42  6.03486e+07
15  43  8.63598e+07
15  44  8.4088e+07
15  45  7.51124e+07
15  46  5.68638e+07
15  47  6.38486e+07
15  48  4.98429e+07
15  49  3.56767e+07
15  50  3.24096e+07
16  0  7.12933e+07
16  1  6.10675e+07
16  2  6.99513e+07
16  3  5.50101e+07
16  4  5.09157e+07
16  5  7.04669e+07
16  6  5.26983e+07
16  7  3.77025e+07
16  8  5.24262e+07
16  9  6.99018e+07
16  10  8.27889e+07
16  11  7.55896e+07
16  12  1.01887e+08
16  13  1.12679e+08
16  14  6.69845e+07
16  15  9.23014e+07
16  16  7.38641e+07
16  17  7.79202e+07
16  18  8.36223e+07
16  19  8.23438e+07
16  20  6.49043e+07
16  21  2.20229e+07
16  22  3.96745e+07
16  23  5.61287e+07
16  24  3.92153e+07
16  25  6.18822e+07
16  26  4.86734e+07
16  27  3.98923e+07
16  28  6.34623e+07
16  29  7.82213e+07
