row  column  (images_8.edf Cu_K*images_8.edf Ar_K**2.3)
5  25  9.2661e+06
5  26  9.75214e+06
5  27  9.27447e+06
5  28  0
5  29  9.50749e+06
5  30  1.32219e+07
5  31  4.1654e+06
5  32  1.10922e+07
5  33  5.76123e+06
5  34  1.55438e+07
5  35  4.06315e+06
5  36  1.55307e+07
5  37  1.39645e+07
5  38  734044
5  39  5.2803e+06
5  40  9.81054e+06
5  41  1.13233e+07
5  42  1.08164e+07
5  43  0
5  44  4.68814e+06
5  45  942716
5  46  0
5  47  3.05479e+06
5  48  4.95339e+06
5  49  2.9478e+06
5  50  6.15783e+06
6  0  7.53656e+06
6  1  8.69477e+06
6  2  9.11192e+06
6  3  5.64126e+06
6  4  6.39898e+06
6  5  1.79161e+06
6  6  1.32567e+07
6  7  399754
6  8  1.11034e+07
6  9  5.58341e+06
6  10  6.22539e+06
6  11  3.34082e+06
6  12  5.83676e+06
6  13  6.19738e+06
6  14  8.26973e+06
6  15  6.26262e+06
6  16  9.79384e+06
6  17  1.1798e+07
6  18  7.43819e+06
6  19  1.09935e+07
6  20  9.78409e+06
6  21  9.57528e+06
6  22  7.05403e+06
6  23  8.42865e+06
6  24  1.04342e+07
6  25  1.43974e+07
6  26  4.1718e+06
6  27  2.81178e+06
6  28  1.16176e+07
6  29  1.29005e+07
6  30  7.21586e+06
6  31  5.38884e+06
6  32  1.06844e+07
6  33  5.93448e+06
6  34  4.08302e+06
6  35  1.26765e+06
6  36  6.9853e+06
6  37  1.68143e+06
6  38  1.03863e+07
6  39  5.07107e+06
6  40  0
6  41  9.93809e+06
6  42  6.44689e+06
6  43  3.6732e+06
6  44  0
6  45  8.89695e+06
6  46  0
6  47  0
6  48  2.20746e+06
6  49  0
6  50  0
7  0  8.13795e+06
7  1  4.08744e+06
7  2  6.16609e+06
7  3  6.44623e+06
7  4  8.62753e+06
7  5  6.44582e+06
7  6  9.19129e+06
7  7  0
7  8  5.2834e+06
7  9  9.64991e+06
7  10  1.12402e+07
7  11  9.00832e+06
7  12  1.0069e+07
7  13  7.59176e+06
7  14  1.1931e+07
7  15  4.18845e+06
7  16  8.77028e+06
7  17  7.86667e+06
7  18  1.37261e+07
7  19  1.18368e+07
7  20  5.11115e+06
7  21  7.15088e+06
7  22  1.35776e+07
7  23  1.92366e+07
7  24  6.93787e+06
7  25  5.34307e+06
7  26  1.08643e+07
7  27  3.91809e+06
7  28  6.41833e+06
7  29  8.43197e+06
7  30  1.07177e+07
7  31  5.81106e+06
7  32  1.68219e+07
7  33  7.49327e+06
7  34  4.36423e+06
7  35  1.07521e+07
7  36  1.23618e+07
7  37  4.63004e+06
7  38  5.76788e+06
7  39  3.95566e+06
7  40  1.96325e+06
7  41  6.66531e+06
7  42  4.51278e+06
7  43  0
7  44  4.90691e+06
7  45  490106
7  46  1.17427e+06
7  47  4.26269e+06
7  48  1.51021e+07
7  49  1.2334e+07
7  50  0
8  0  7.26848e+06
8  1  8.13999e+06
8  2  9.48162e+06
8  3  1.0107e+07
8  4  9.2249e+06
8  5  6.78457e+06
8  6  1.51594e+07
8  7  2.88808e+06
8  8  5.0109e+06
8  9  6.59297e+06
8  10  5.21476e+06
8  11  9.38457e+06
8  12  7.15902e+06
8  13  1.19623e+06
8  14  204903
8  15  1.06404e+07
8  16  1.10312e+07
8  17  1.21735e+07
8  18  1.23741e+07
8  19  1.01407e+07
8  20  1.05134e+07
8  21  1.52306e+07
8  22  1.46441e+07
8  23  8.98288e+06
8  24  1.49002e+07
8  25  8.81451e+06
8  26  1.22676e+07
8  27  1.00695e+07
8  28  7.18083e+06
8  29  2.51667e+06
8  30  7.24799e+06
8  31  9.10599e+06
8  32  9.2965e+06
8  33  9.48014e+06
8  34  4.98183e+06
8  35  1.31836e+07
8  36  1.25658e+07
8  37  1.27014e+07
8  38  1.50939e+07
8  39  6.402e+06
8  40  6.59303e+06
8  41  1.2802e+07
8  42  0
8  43  0
8  44  5.69219e+06
8  45  0
8  46  607316
8  47  3.60588e+06
8  48  5.97619e+06
8  49  8.33875e+06
8  50  0
9  0  1.0727e+07
9  1  4.30639e+06
9  2  1.06005e+07
9  3  1.72979e+07
9  4  1.09174e+07
9  5  8.04152e+06
9  6  1.55948e+07
9  7  7.60197e+06
9  8  7.10056e+06
9  9  1.0352e+07
9  10  5.87908e+06
9  11  8.60696e+06
9  12  2.39214e+06
9  13  9.45102e+06
9  14  1.13679e+07
9  15  1.47377e+07
9  16  1.54942e+07
9  17  1.21789e+07
9  18  1.32908e+07
9  19  9.26024e+06
9  20  1.01726e+07
9  21  1.94743e+06
9  22  1.45897e+07
9  23  1.14361e+07
9  24  1.53726e+07
9  25  3.31008e+06
9  26  1.05868e+07
9  27  5.82741e+06
9  28  7.77544e+06
9  29  9.76713e+06
9  30  8.69863e+06
9  31  0
9  32  128248
9  33  9.57947e+06
9  34  7.81555e+06
9  35  1.12629e+07
9  36  1.32254e+07
9  37  9.03747e+06
9  38  8.19357e+06
9  39  6.75989e+06
9  40  1.06406e+07
9  41  9.93561e+06
9  42  1.56983e+06
9  43  6.79107e+06
9  44  1.20339e+07
9  45  399179
9  46  0
9  47  7.26012e+06
9  48  2.97019e+06
9  49  1.56436e+06
9  50  6.41377e+06
10  0  8.23306e+06
10  1  7.93393e+06
10  2  1.02144e+07
10  3  6.80948e+06
10  4  1.0782e+07
10  5  5.02739e+06
10  6  7.14549e+06
10  7  2.05404e+06
10  8  9.61476e+06
10  9  1.18898e+07
10  10  8.65715e+06
10  11  5.95187e+06
10  12  7.57539e+06
10  13  1.50366e+07
10  14  5.10561e+06
10  15  1.03187e+07
10  16  1.23913e+07
10  17  1.01035e+07
10  18  1.08421e+07
10  19  8.73952e+06
10  20  1.25345e+07
10  21  1.33382e+07
10  22  1.15912e+07
10  23  9.27202e+06
10  24  1.6619e+07
10  25  1.6455e+07
10  26  1.35738e+07
10  27  5.79936e+06
10  28  5.4371e+06
10  29  1.16683e+07
10  30  9.06869e+06
10  31  5.97266e+06
10  32  3.10615e+06
10  33  5.36375e+06
10  34  6.19937e+06
10  35  4.62475e+06
10  36  0
10  37  1.49669e+06
10  38  187515
10  39  123034
10  40  8.08117e+06
10  41  6.52579e+06
10  42  5.35233e+06
10  43  8.54158e+06
10  44  1.33616e+06
10  45  8.77057e+06
10  46  8.53209e+06
10  47  2.16768e+06
10  48  1.07397e+06
10  49  5.41004e+06
10  50  958588
11  0  4.36206e+06
11  1  2.51483e+06
11  2  8.16061e+06
11  3  4.22803e+06
11  4  8.09344e+06
11  5  5.77155e+06
11  6  1.1533e+07
11  7  1.53034e+07
11  8  6.50619e+06
11  9  1.41726e+07
11  10  1.11193e+07
11  11  1.16431e+07
11  12  1.33498e+07
11  13  7.63115e+06
11  14  8.4993e+06
11  15  4.86823e+06
11  16  1.83419e+06
11  17  1.42549e+07
11  18  6.35444e+06
11  19  1.29756e+07
11  20  7.40653e+06
11  21  1.61488e+07
11  22  1.21527e+07
11  23  1.18659e+07
11  24  9.09381e+06
11  25  3.96347e+06
11  26  1.06742e+07
11  27  1.17917e+07
11  28  1.16507e+07
11  29  1.36699e+07
11  30  1.10292e+07
11  31  6.17307e+06
11  32  6.06049e+06
11  33  6.71144e+06
11  34  2.44044e+06
11  35  5.72343e+06
11  36  1.66871e+07
11  37  4.18511e+06
11  38  6.81316e+06
11  39  6.70853e+06
11  40  1.58287e+07
11  41  6.50242e+06
11  42  7.73507e+06
11  43  7.56789e+06
11  44  1.06464e+07
11  45  3.40969e+06
11  46  1.02323e+07
11  47  1.27572e+07
11  48  0
11  49  0
11  50  5.32626e+06
12  0  9.01481e+06
12  1  6.62165e+06
12  2  1.25003e+07
12  3  4.9346e+06
12  4  8.49275e+06
12  5  1.01978e+07
12  6  3.76924e+06
12  7  7.19213e+06
12  8  1.15463e+07
12  9  4.04917e+06
12  10  0
12  11  3.55361e+06
12  12  1.40172e+07
12  13  4.07265e+06
12  14  5.01517e+06
12  15  1.15362e+07
12  16  1.59649e+07
12  17  1.32598e+07
12  18  1.34431e+07
12  19  8.9371e+06
12  20  8.27986e+06
12  21  1.79774e+06
12  22  1.04453e+07
12  23  9.18464e+06
12  24  1.16822e+07
12  25  1.06422e+07
12  26  2.16664e+06
12  27  1.18921e+07
12  28  0
12  29  1.03606e+07
12  30  5.04812e+06
12  31  7.37277e+06
12  32  5.27716e+06
12  33  2.38031e+06
12  34  1.15435e+07
12  35  6.36392e+06
12  36  3.69598e+06
12  37  1.05556e+07
12  38  7.96316e+06
12  39  0
12  40  6.09915e+06
12  41  1.99902e+06
12  42  4.9862e+06
12  43  1.06423e+06
12  44  8.87261e+06
12  45  1.13934e+07
12  46  1.15346e+07
12  47  5.56531e+06
12  48  2.08252e+06
12  49  7.5902e+06
12  50  3.67934e+06
13  0  4.34266e+06
13  1  6.51267e+06
13  2  1.05038e+07
13  3  9.81309e+06
13  4  71745.6
13  5  9.8599e+06
13  6  5.95887e+06
13  7  0
13  8  8.93624e+06
13  9  1.2504e+07
13  10  1.1842e+07
13  11  1.06011e+07
13  12  4.3958e+06
13  13  7.38163e+06
13  14  8.18847e+06
13  15  5.56148e+06
13  16  1.16319e+07
13  17  1.28283e+07
13  18  1.2603e+07
13  19  7.24997e+06
13  20  1.32716e+07
13  21  3.7678e+06
13  22  6.31993e+06
13  23  6.28198e+06
13  24  2.24784e+06
13  25  8.27239e+06
13  26  1.42776e+07
13  27  8.27998e+06
13  28  8.5665e+06
13  29  8.2473e+06
13  30  1.34698e+07
13  31  1.29234e+07
13  32  5.32902e+06
13  33  4.64437e+06
13  34  7.73736e+06
13  35  3.14546e+06
13  36  1.85716e+06
13  37  1.89798e+06
13  38  1.19908e+07
13  39  6.59568e+06
13  40  1.42179e+07
13  41  3.73887e+06
13  42  5.75651e+06
13  43  3.41731e+06
13  44  7.57407e+06
13  45  9.85082e+06
13  46  4.02942e+06
13  47  1.07252e+07
13  48  4.79199e+06
13  49  9.15692e+06
13  50  4.95468e+06
14  0  1.07346e+07
14  1  9.328e+06
14  2  6.96498e+06
14  3  9.97313e+06
14  4  6.91422e+06
14  5  1.18297e+07
14  6  1.35525e+07
14  7  1.34239e+07
14  8  3.18626e+06
14  9  9.85461e+06
14  10  1.13557e+07
14  11  1.28227e+07
14  12  0
14  13  8.76441e+06
14  14  1.01369e+07
14  15  5.21178e+06
14  16  1.47076e+07
14  17  6.04137e+06
14  18  1.01653e+07
14  19  1.80784e+07
14  20  1.13863e+07
14  21  9.13357e+06
14  22  5.86939e+06
14  23  1.51204e+07
14  24  4.24153e+06
14  25  4.49618e+06
14  26  7.63117e+06
14  27  8.84662e+06
14  28  1.44417e+07
14  29  8.30537e+06
14  30  7.51575e+06
14  31  1.75951e+07
14  32  9.40991e+06
14  33  9.35153e+06
14  34  8.15748e+06
14  35  7.86776e+06
14  36  3.17451e+06
14  37  5.06423e+06
14  38  1.19448e+07
14  39  6.29592e+06
14  40  6.83777e+06
14  41  2.95171e+06
14  42  7.00452e+06
14  43  1.46522e+07
14  44  4.70367e+06
14  45  8.49794e+06
14  46  6.83053e+06
14  47  1.93818e+07
14  48  5.82672e+06
14  49  6.23247e+06
14  50  5.92886e+06
15  0  5.79441e+06
15  1  0
15  2  9.61299e+06
15  3  1.34174e+07
15  4  8.03227e+06
15  5  608029
15  6  9.82747e+06
15  7  1.66823e+07
15  8  2.5561e+06
15  9  7.11287e+06
15  10  7.41951e+06
15  11  9.02275e+06
15  12  7.62586e+06
15  13  6.85968e+06
15  14  1.24477e+07
15  15  1.32106e+07
15  16  1.59549e+07
15  17  1.53519e+07
15  18  2.10102e+07
15  19  1.65702e+07
15  20  7.68848e+06
15  21  1.03463e+07
15  22  8.78272e+06
15  23  4.85517e+06
15  24  8.4286e+06
15  25  1.01293e+07
15  26  1.06015e+07
15  27  1.49512e+07
15  28  1.13939e+07
15  29  1.28316e+07
15  30  7.68725e+06
15  31  8.81841e+06
15  32  6.63025e+06
15  33  1.10214e+07
15  34  3.3384e+06
15  35  4.87771e+06
15  36  5.54294e+06
15  37  1.25515e+07
15  38  2.68342e+06
15  39  1.69725e+07
15  40  1.26087e+07
15  41  8.96238e+06
15  42  4.97909e+06
15  43  3.02059e+06
15  44  8.48032e+06
15  45  1.49499e+07
15  46  4.44217e+06
15  47  9.40681e+06
15  48  6.17091e+06
15  49  1.12429e+06
15  50  6.85518e+06
16  0  4.88583e+06
16  1  6.85364e+06
16  2  1.84985e+06
16  3  5.52715e+06
16  4  6.87498e+06
16  5  9.61124e+06
16  6  9.11891e+06
16  7  4.37332e+06
16  8  8.98747e+06
16  9  7.4919e+06
16  10  1.00543e+07
16  11  5.95207e+06
16  12  8.01109e+06
16  13  1.17832e+07
16  14  5.9256e+06
16  15  1.32848e+07
16  16  1.03167e+07
16  17  7.44519e+06
16  18  1.37916e+07
16  19  1.40367e+07
16  20  1.34166e+07
16  21  2.39526e+06
16  22  1.5668e+07
16  23  3.26964e+06
16  24  2.50086e+06
16  25  2.65162e+06
16  26  1.47792e+07
16  27  7.53235e+06
16  28  1.20933e+07
16  29  1.32649e+07
16  30  1.09976e+07
16  31  1.42928e+07
16  32  1.42354e+07
16  33  9.65277e+06
16  34  1.29986e+07
16  35  4.77651e+06
16  36  9.63538e+06
16  37  9.77098e+06
16  38  7.11077e+06
16  39  7.26873e+06
16  40  7.34934e+06
16  41  1.0755e+07
16  42  4.29206e+06
16  43  8.60923e+06
16  44  1.76743e+06
16  45  1.81407e+07
16  46  1.19012e+07
16  47  0
16  48  1.10298e+07
16  49  1.09109e+07
16  50  1.13695e+07
17  0  8.03847e+06
17  1  4.37264e+06
17  2  1.12181e+07
17  3  7.39584e+06
17  4  9.48664e+06
17  5  7.17658e+06
17  6  9.53952e+06
17  7  7.80033e+06
17  8  8.65036e+06
17  9  1.03651e+07
17  10  1.16715e+07
17  11  9.39097e+06
17  12  9.23872e+06
17  13  1.02896e+07
17  14  9.38244e+06
17  15  1.21006e+07
17  16  1.07137e+07
17  17  8.00522e+06
17  18  1.13423e+07
17  19  1.79819e+07
17  20  3.77482e+06
17  21  1.64814e+07
17  22  9.129e+06
17  23  6.29329e+06
17  24  1.07038e+07
17  25  9.23433e+06
17  26  8.50913e+06
17  27  0
17  28  1.11872e+07
17  29  1.06736e+07
17  30  8.42359e+06
17  31  1.19029e+07
17  32  8.94922e+06
17  33  1.18488e+07
17  34  1.33086e+07
17  35  1.03749e+07
17  36  5.24747e+06
17  37  8.10019e+06
17  38  1.04267e+07
17  39  9.03231e+06
17  40  527476
17  41  1.26083e+07
17  42  3.07313e+06
17  43  1.29915e+07
17  44  9.19542e+06
17  45  6.03169e+06
17  46  7.20659e+06
17  47  5.36742e+06
17  48  5.94619e+06
17  49  0
17  50  4.52884e+06
18  0  7.65335e+06
18  1  2.86186e+06
18  2  7.65865e+06
18  3  5.61349e+06
18  4  1.25163e+07
18  5  1.25816e+07
18  6  1.5177e+07
18  7  1.28063e+07
18  8  7.49041e+06
18  9  6.3987e+06
18  10  6.32908e+06
18  11  1.4371e+07
18  12  8.59823e+06
18  13  1.56239e+07
18  14  1.39557e+07
18  15  9.54402e+06
18  16  1.26777e+07
18  17  1.02095e+07
18  18  1.69047e+07
18  19  1.34862e+07
18  20  9.45572e+06
18  21  5.925e+06
18  22  1.29413e+07
18  23  1.12152e+07
18  24  1.38839e+07
18  25  9.67662e+06
18  26  1.42872e+07
18  27  1.69968e+07
18  28  7.98397e+06
18  29  1.42137e+07
18  30  9.69978e+06
18  31  1.34942e+07
18  32  8.91921e+06
18  33  1.42865e+07
18  34  1.13913e+07
18  35  8.78194e+06
18  36  6.06099e+06
18  37  1.6511e+07
18  38  1.16665e+07
18  39  7.63985e+06
18  40  8.24036e+06
18  41  5.69878e+06
18  42  1.08022e+07
18  43  1.22636e+07
18  44  1.05083e+07
18  45  1.07604e+06
18  46  5.02189e+06
18  47  5.41529e+06
18  48  4.93672e+06
18  49  1.25966e+07
18  50  9.10897e+06
19  0  1.26103e+06
19  1  7.84766e+06
19  2  1.10733e+07
19  3  8.0277e+06
19  4  9.73371e+06
19  5  6.88521e+06
19  6  6.12262e+06
19  7  375557
19  8  7.18957e+06
19  9  1.0696e+07
19  10  7.04807e+06
19  11  5.92454e+06
19  12  5.89452e+06
19  13  8.53906e+06
19  14  1.28384e+07
19  15  9.72079e+06
19  16  7.67691e+06
19  17  1.12799e+07
19  18  9.78283e+06
19  19  1.73564e+07
19  20  1.00531e+07
19  21  1.22789e+06
19  22  1.06331e+07
19  23  1.29834e+07
19  24  8.70806e+06
19  25  1.14844e+07
19  26  1.17465e+07
19  27  7.12479e+06
19  28  8.93217e+06
19  29  1.07956e+07
19  30  1.08905e+07
19  31  1.38881e+07
19  32  9.52265e+06
19  33  9.20011e+06
19  34  1.09646e+07
19  35  1.57953e+07
19  36  0
19  37  6.99752e+06
19  38  9.44934e+06
19  39  1.14293e+07
19  40  5.94095e+06
19  41  2.08331e+06
19  42  6.34366e+06
19  43  1.54321e+06
19  44  8.11912e+06
19  45  7.39621e+06
19  46  1.15397e+07
19  47  330372
19  48  1.27816e+07
19  49  5.9422e+06
19  50  1.28684e+07
20  0  9.46422e+06
20  1  8.62154e+06
20  2  9.82501e+06
20  3  7.9346e+06
20  4  5.66252e+06
20  5  1.54995e+07
20  6  1.39683e+07
20  7  3.91721e+06
20  8  6.27627e+06
20  9  4.16955e+06
20  10  1.02788e+07
20  11  4.42406e+06
20  12  1.05284e+07
20  13  1.01115e+07
20  14  6.6445e+06
20  15  1.78159e+07
20  16  1.12238e+07
20  17  1.78144e+07
20  18  1.43544e+07
20  19  1.20381e+07
20  20  1.43132e+07
20  21  0
20  22  1.12062e+07
20  23  7.81476e+06
20  24  4.72021e+06
20  25  1.12085e+07
20  26  3.16361e+07
20  27  6.59861e+06
20  28  3.44054e+06
20  29  1.00548e+07
20  30  1.74442e+07
20  31  1.04012e+07
20  32  9.91171e+06
20  33  3.64713e+06
20  34  1.1009e+07
20  35  6.0615e+06
