row  column  (images_8.edf P_K*images_8.edf Ar_K**2.3)
8  1  0
8  2  8.72156e+06
8  3  0
8  4  0
8  5  0
8  6  0
8  7  7.31823e+06
8  8  6.76156e+06
8  9  7.58705e+06
8  10  0
8  11  9.42292e+06
8  12  0
8  13  0
8  14  0
8  15  0
8  16  1.33506e+07
8  17  1.32558e+07
8  18  7.7813e+06
8  19  9.3214e+06
8  20  1.64168e+07
8  21  1.126e+07
8  22  9.44026e+06
8  23  1.83387e+07
8  24  0
8  25  2.02651e+07
8  26  0
8  27  0
8  28  0
8  29  0
8  30  0
8  31  1.59697e+07
8  32  0
8  33  0
8  34  0
8  35  0
8  36  7.73366e+06
8  37  8.24153e+06
8  38  7.26018e+06
8  39  0
8  40  0
8  41  0
8  42  0
8  43  0
8  44  0
8  45  0
8  46  0
8  47  0
8  48  0
8  49  0
8  50  0
9  0  7.09982e+06
9  1  0
9  2  0
9  3  0
9  4  6.37389e+06
9  5  0
9  6  3.45053e+06
9  7  0
9  8  5.56498e+06
9  9  0
9  10  9.89683e+06
9  11  9.65295e+06
9  12  0
9  13  0
9  14  1.28886e+07
9  15  1.14835e+07
9  16  0
9  17  0
9  18  1.06672e+07
9  19  0
9  20  0
9  21  1.41958e+07
9  22  1.10845e+07
9  23  1.23767e+07
9  24  1.28052e+07
9  25  0
9  26  0
9  27  0
9  28  0
9  29  0
9  30  0
9  31  0
9  32  6.97962e+06
9  33  1.13076e+07
9  34  0
9  35  0
9  36  0
9  37  0
9  38  0
9  39  0
9  40  0
9  41  0
9  42  0
9  43  0
9  44  0
9  45  0
9  46  0
9  47  0
9  48  0
9  49  0
9  50  0
10  0  0
10  1  0
10  2  7.01942e+06
10  3  0
10  4  0
10  5  7.49744e+06
10  6  0
10  7  4.59037e+06
10  8  7.75214e+06
10  9  0
10  10  0
10  11  1.19225e+07
10  12  1.02402e+07
10  13  0
10  14  1.17014e+07
10  15  0
10  16  1.03777e+07
10  17  1.00129e+07
10  18  0
10  19  0
10  20  0
10  21  0
10  22  9.9455e+06
10  23  0
10  24  1.52742e+07
10  25  1.23358e+07
10  26  0
10  27  1.3244e+07
10  28  0
10  29  4.0177e+06
10  30  0
10  31  0
10  32  0
10  33  8.97358e+06
10  34  0
10  35  8.60409e+06
10  36  0
10  37  0
10  38  8.75043e+06
10  39  0
10  40  0
10  41  0
10  42  0
10  43  0
10  44  0
10  45  0
10  46  0
10  47  0
10  48  0
10  49  0
10  50  0
11  0  0
11  1  5.32845e+06
11  2  6.48933e+06
11  3  0
11  4  0
11  5  0
11  6  4.0753e+06
11  7  0
11  8  0
11  9  0
11  10  0
11  11  1.28623e+07
11  12  0
11  13  6.83853e+06
11  14  8.22224e+06
11  15  0
11  16  0
11  17  1.19196e+07
11  18  0
11  19  9.26639e+06
11  20  9.40251e+06
11  21  1.06925e+07
11  22  8.50566e+06
11  23  8.88684e+06
11  24  1.00171e+07
11  25  1.09173e+07
11  26  1.07375e+07
11  27  0
11  28  0
11  29  0
11  30  6.89396e+06
11  31  7.40002e+06
11  32  0
11  33  1.12483e+07
11  34  0
11  35  0
11  36  0
11  37  0
11  38  1.03238e+06
11  39  0
11  40  0
11  41  0
11  42  0
11  43  0
11  44  0
11  45  0
11  46  0
11  47  0
11  48  0
11  49  0
11  50  0
12  0  5.0826e+06
12  1  0
12  2  0
12  3  0
12  4  6.11779e+06
12  5  0
12  6  0
12  7  0
12  8  6.34852e+06
12  9  0
12  10  2.73712e+06
12  11  0
12  12  0
12  13  0
12  14  0
12  15  0
12  16  1.24595e+07
12  17  0
12  18  1.55218e+07
12  19  0
12  20  0
12  21  0
12  22  1.26227e+07
12  23  1.40214e+07
12  24  1.10584e+07
12  25  1.12015e+07
12  26  8.95019e+06
12  27  1.74669e+07
12  28  0
12  29  1.62479e+07
12  30  1.46228e+07
12  31  1.18294e+07
12  32  1.11666e+07
12  33  0
12  34  0
12  35  0
12  36  0
12  37  0
12  38  0
12  39  0
12  40  0
12  41  0
12  42  0
12  43  0
12  44  0
12  45  0
12  46  0
12  47  0
12  48  0
12  49  0
12  50  0
13  0  0
13  1  0
13  2  0
13  3  0
13  4  0
13  5  7.20331e+06
13  6  0
13  7  0
13  8  0
13  9  6.92474e+06
13  10  0
13  11  0
13  12  0
13  13  0
13  14  0
13  15  0
13  16  1.26993e+07
13  17  1.69269e+07
13  18  9.40269e+06
13  19  0
13  20  0
13  21  0
13  22  0
13  23  1.5332e+07
13  24  7.73631e+06
13  25  8.31074e+06
13  26  8.58375e+06
13  27  1.22669e+07
13  28  1.31502e+07
13  29  1.12265e+07
13  30  1.24014e+07
13  31  1.06729e+07
13  32  1.05691e+07
13  33  8.80156e+06
13  34  0
13  35  0
13  36  0
13  37  0
13  38  0
13  39  0
13  40  0
13  41  0
13  42  0
13  43  0
13  44  0
13  45  0
13  46  0
13  47  0
13  48  0
13  49  0
13  50  0
14  0  0
14  1  0
14  2  6.97152e+06
14  3  0
14  4  0
14  5  0
14  6  0
14  7  0
14  8  0
14  9  0
14  10  0
14  11  0
14  12  0
14  13  7.49461e+06
14  14  0
14  15  1.10773e+07
14  16  1.16308e+07
14  17  2.12503e+07
14  18  1.82537e+07
14  19  1.57108e+07
14  20  0
14  21  0
14  22  0
14  23  0
14  24  7.72056e+06
14  25  0
14  26  1.43943e+07
14  27  9.66494e+06
14  28  1.62939e+07
14  29  1.35792e+07
14  30  1.05237e+07
14  31  0
14  32  9.3965e+06
14  33  0
14  34  0
14  35  1.0203e+07
14  36  0
14  37  1.41709e+07
14  38  7.8183e+06
14  39  1.34143e+07
14  40  0
