row  column  (images_8.edf S_K*images_8.edf Ar_K**2.3)
6  9  4.19988e+07
6  10  3.89649e+07
6  11  4.65084e+07
6  12  4.3154e+07
6  13  6.70192e+07
6  14  6.00616e+07
6  15  6.49975e+07
6  16  4.81051e+07
6  17  5.2795e+07
6  18  5.46623e+07
6  19  4.83439e+07
6  20  3.73138e+07
6  21  3.48375e+07
6  22  3.79413e+07
6  23  4.01643e+07
6  24  3.16553e+07
6  25  4.83836e+07
6  26  2.02892e+07
6  27  2.4278e+07
6  28  2.47972e+07
6  29  9.36722e+06
6  30  1.42733e+07
6  31  3.24774e+07
6  32  1.24903e+07
6  33  3.21967e+07
6  34  2.25174e+07
6  35  1.74678e+07
6  36  2.56446e+07
6  37  2.25136e+07
6  38  1.79584e+07
6  39  0
6  40  0
6  41  0
6  42  0
6  43  0
6  44  0
6  45  0
6  46  0
6  47  0
6  48  0
6  49  0
6  50  0
7  0  4.15662e+07
7  1  4.95002e+07
7  2  5.18507e+07
7  3  4.52379e+07
7  4  3.62196e+07
7  5  3.73095e+07
7  6  3.35837e+07
7  7  3.09452e+07
7  8  2.62426e+07
7  9  3.95801e+07
7  10  3.82468e+07
7  11  4.60126e+07
7  12  4.71526e+07
7  13  5.8868e+07
7  14  5.58343e+07
7  15  6.9574e+07
7  16  5.91813e+07
7  17  5.70388e+07
7  18  6.16476e+07
7  19  6.17244e+07
7  20  4.97096e+07
7  21  4.54196e+07
7  22  4.57197e+07
7  23  2.85739e+07
7  24  2.80255e+07
7  25  3.03028e+07
7  26  2.30051e+07
7  27  2.88396e+07
7  28  1.56166e+07
7  29  0
7  30  1.16548e+07
7  31  2.28411e+07
7  32  2.70561e+07
7  33  1.30016e+07
7  34  2.17238e+07
7  35  2.45172e+07
7  36  3.60987e+07
7  37  2.86825e+07
7  38  1.35251e+07
7  39  1.08835e+07
7  40  0
7  41  0
7  42  0
7  43  0
7  44  0
7  45  0
7  46  0
7  47  0
7  48  0
7  49  0
7  50  0
8  0  3.17647e+07
8  1  3.6631e+07
8  2  5.10338e+07
8  3  4.94401e+07
8  4  3.31656e+07
8  5  4.18723e+07
8  6  3.46319e+07
8  7  4.05364e+07
8  8  3.26522e+07
8  9  3.62881e+07
8  10  4.26422e+07
8  11  5.90202e+07
8  12  4.82807e+07
8  13  5.36157e+07
8  14  5.22967e+07
8  15  5.44076e+07
8  16  6.90584e+07
8  17  5.55923e+07
8  18  5.95813e+07
8  19  5.21771e+07
8  20  5.40284e+07
8  21  4.52618e+07
8  22  4.82956e+07
8  23  3.9524e+07
8  24  3.76865e+07
8  25  3.00954e+07
8  26  2.63662e+07
8  27  2.30258e+07
8  28  1.67381e+07
8  29  1.63256e+07
8  30  1.57649e+07
8  31  3.45577e+07
8  32  2.15937e+07
8  33  0
8  34  2.09977e+07
8  35  1.83561e+07
8  36  2.95146e+07
8  37  2.00934e+07
8  38  1.40658e+07
8  39  0
8  40  0
8  41  0
8  42  0
8  43  0
8  44  0
8  45  0
8  46  0
8  47  0
8  48  0
8  49  0
8  50  0
9  0  4.50241e+07
9  1  4.73947e+07
9  2  5.64357e+07
9  3  6.07501e+07
9  4  5.8601e+07
9  5  4.69584e+07
9  6  3.85256e+07
9  7  3.00605e+07
9  8  3.24073e+07
9  9  3.01529e+07
9  10  5.31862e+07
9  11  7.39866e+07
9  12  6.65043e+07
9  13  5.97464e+07
9  14  6.70098e+07
9  15  5.23683e+07
9  16  6.10683e+07
9  17  5.66418e+07
9  18  5.57965e+07
9  19  6.00772e+07
9  20  3.91324e+07
9  21  3.49942e+07
9  22  2.62611e+07
9  23  3.60582e+07
9  24  4.1569e+07
9  25  3.23045e+07
9  26  2.72023e+07
9  27  2.41239e+07
9  28  1.26533e+07
9  29  1.84556e+07
9  30  2.95611e+07
9  31  2.4914e+07
9  32  2.14781e+07
9  33  1.84066e+07
9  34  1.90625e+07
9  35  2.61383e+07
9  36  3.28918e+07
9  37  1.87286e+07
9  38  0
9  39  9.37436e+06
9  40  0
9  41  0
9  42  0
9  43  0
9  44  0
9  45  0
9  46  0
9  47  0
9  48  0
9  49  0
9  50  0
10  0  4.3912e+07
10  1  4.26805e+07
10  2  6.63335e+07
10  3  5.55802e+07
10  4  4.41333e+07
10  5  5.7921e+07
10  6  4.907e+07
10  7  3.53755e+07
10  8  2.52633e+07
