row  column  (images_33.edf S-K*images_33.edf Ar-K**2.3)
8  7  2.78604e+07
8  8  6.79694e+07
8  9  6.01084e+07
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  2.0527e+07
8  16  2.15908e+07
8  17  3.20543e+07
8  18  3.19157e+07
8  19  3.33932e+07
8  20  2.81243e+07
8  21  7.84634e+07
8  22  0
8  23  2.62773e+07
8  24  2.54594e+07
8  25  0
8  26  0
8  27  0
8  28  3.2116e+07
8  29  2.44654e+07
8  30  2.70058e+07
8  31  0
8  32  0
8  33  2.83991e+07
8  34  4.41026e+07
8  35  4.98761e+07
8  36  1.91583e+07
8  37  2.6634e+07
8  38  2.67997e+07
8  39  3.76447e+07
8  40  0
8  41  0
8  42  2.12073e+07
8  43  3.2204e+07
8  44  0
8  45  3.42571e+07
8  46  0
8  47  0
8  48  0
8  49  0
8  50  0
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  0
9  6  2.22957e+07
9  7  2.36671e+07
9  8  7.27074e+07
9  9  6.75705e+07
9  10  0
9  11  0
9  12  0
9  13  0
9  14  0
9  15  0
9  16  0
9  17  0
9  18  5.00116e+07
9  19  4.54497e+07
9  20  5.80454e+07
9  21  5.02383e+07
9  22  5.71004e+07
9  23  3.35908e+07
9  24  2.17312e+07
9  25  2.88165e+07
9  26  3.01213e+07
9  27  2.80424e+07
9  28  2.82807e+07
9  29  2.50234e+07
9  30  0
9  31  0
9  32  0
9  33  3.04222e+07
9  34  0
9  35  2.34534e+07
9  36  4.47494e+07
9  37  3.19096e+07
9  38  4.14972e+07
9  39  2.19743e+07
9  40  0
9  41  0
9  42  0
9  43  3.26086e+07
9  44  0
9  45  0
9  46  0
9  47  0
9  48  0
9  49  0
9  50  0
10  0  0
10  1  0
10  2  0
10  3  0
10  4  0
10  5  0
10  6  0
10  7  2.66855e+07
10  8  6.3328e+07
10  9  6.32703e+07
10  10  4.38808e+07
10  11  0
10  12  0
10  13  0
10  14  0
10  15  0
10  16  0
10  17  2.56026e+07
10  18  5.55267e+07
10  19  3.2101e+07
10  20  3.23885e+07
10  21  2.82006e+07
10  22  3.38709e+07
10  23  3.86424e+07
10  24  5.09243e+07
10  25  2.79141e+07
10  26  0
10  27  0
10  28  2.52313e+07
10  29  3.16731e+07
10  30  2.79266e+07
10  31  0
10  32  0
10  33  0
10  34  0
10  35  5.1271e+07
10  36  4.13589e+07
10  37  3.18229e+07
10  38  2.04765e+07
10  39  2.64806e+07
10  40  0
10  41  0
10  42  1.37493e+07
10  43  2.58295e+07
10  44  2.26831e+07
10  45  2.53677e+07
10  46  0
10  47  0
10  48  0
10  49  0
10  50  0
11  0  0
11  1  0
11  2  0
11  3  0
11  4  0
11  5  0
11  6  0
11  7  3.26354e+07
11  8  5.40653e+07
11  9  7.63001e+07
11  10  0
11  11  0
11  12  0
11  13  0
11  14  0
11  15  0
11  16  0
11  17  1.5468e+07
11  18  2.79502e+07
11  19  2.95638e+07
11  20  4.68442e+07
11  21  4.24975e+07
11  22  4.85709e+07
11  23  4.08165e+07
11  24  3.2303e+07
11  25  4.40546e+07
11  26  4.83975e+07
11  27  4.36065e+07
11  28  2.31531e+07
