row  column  (images_33.edf Fe-K*images_33.edf Ar-K**2.3)
5  10  1.22882e+08
5  11  1.46925e+08
5  12  1.60501e+08
5  13  1.41421e+08
5  14  1.43705e+08
5  15  1.79009e+08
5  16  3.51364e+08
5  17  1.95004e+08
5  18  1.84815e+08
5  19  1.53266e+08
5  20  1.29813e+08
5  21  1.59388e+08
5  22  1.69401e+08
5  23  1.62401e+08
5  24  1.27485e+08
5  25  1.55211e+08
5  26  1.13362e+08
5  27  1.63098e+08
5  28  1.4506e+08
5  29  1.28249e+08
5  30  1.77907e+08
5  31  1.83346e+08
5  32  2.0529e+08
5  33  1.75024e+08
5  34  1.48866e+08
5  35  1.58246e+08
5  36  1.70621e+08
5  37  1.47596e+08
5  38  1.93999e+08
5  39  1.28442e+08
5  40  1.59036e+08
5  41  2.15145e+08
5  42  2.8421e+08
5  43  2.68562e+08
5  44  2.53163e+08
5  45  3.81585e+08
5  46  5.24147e+08
5  47  3.72253e+08
5  48  3.65406e+08
5  49  3.00408e+08
5  50  2.51058e+08
6  0  3.8667e+07
6  1  3.27268e+07
6  2  2.78509e+07
6  3  4.27717e+07
6  4  9.64649e+07
6  5  1.25116e+08
6  6  9.13511e+07
6  7  1.31792e+08
6  8  1.75501e+08
6  9  1.84238e+08
6  10  1.32162e+08
6  11  1.01503e+08
6  12  1.3581e+08
6  13  1.96309e+08
6  14  1.68796e+08
6  15  1.92772e+08
6  16  2.91102e+08
6  17  2.58143e+08
6  18  1.97565e+08
6  19  1.65733e+08
6  20  1.72355e+08
6  21  1.29864e+08
6  22  1.41444e+08
6  23  1.73339e+08
6  24  1.2289e+08
6  25  1.25501e+08
6  26  1.18486e+08
6  27  1.52236e+08
6  28  1.31738e+08
6  29  1.12387e+08
6  30  1.95026e+08
6  31  2.08387e+08
6  32  1.60847e+08
6  33  1.52216e+08
6  34  1.78913e+08
6  35  1.15358e+08
6  36  1.53948e+08
6  37  1.43986e+08
6  38  1.46894e+08
6  39  1.53349e+08
6  40  1.55357e+08
6  41  1.62396e+08
6  42  3.19691e+08
6  43  2.90648e+08
6  44  2.39888e+08
6  45  3.18346e+08
6  46  6.10901e+08
6  47  3.55553e+08
6  48  3.52133e+08
6  49  2.71496e+08
6  50  2.53617e+08
7  0  5.76033e+07
7  1  4.17664e+07
7  2  5.7404e+07
7  3  3.97861e+07
7  4  7.33602e+07
7  5  1.20513e+08
7  6  1.2946e+08
7  7  1.19491e+08
7  8  1.68747e+08
7  9  1.50402e+08
7  10  1.21062e+08
7  11  1.66736e+08
7  12  1.3042e+08
7  13  2.35604e+08
7  14  1.53259e+08
7  15  2.255e+08
7  16  1.96669e+08
7  17  2.40678e+08
7  18  1.89886e+08
7  19  1.36942e+08
7  20  1.53805e+08
7  21  1.30816e+08
7  22  1.38305e+08
7  23  1.71077e+08
7  24  1.04685e+08
7  25  1.16599e+08
7  26  1.15545e+08
7  27  1.3487e+08
7  28  1.43815e+08
7  29  1.3557e+08
7  30  1.40888e+08
7  31  1.79806e+08
7  32  2.19877e+08
7  33  1.59117e+08
7  34  1.49983e+08
7  35  1.7241e+08
7  36  1.60901e+08
7  37  1.77263e+08
7  38  1.53549e+08
7  39  1.78743e+08
7  40  1.53083e+08
7  41  1.84625e+08
7  42  3.29813e+08
7  43  2.836e+08
7  44  2.49389e+08
7  45  3.70733e+08
7  46  7.04719e+08
7  47  3.60459e+08
7  48  3.08492e+08
7  49  2.4142e+08
7  50  2.14467e+08
8  0  3.9912e+07
8  1  4.83935e+07
8  2  4.56871e+07
8  3  7.26738e+07
8  4  7.64835e+07
8  5  1.19067e+08
8  6  1.16775e+08
8  7  1.74728e+08
8  8  1.94021e+08
