row  column  (images_12_23nov.edf Zn_K*images_12_23nov.edf Ar_K**2.3)
5  9  3.3142e+08
5  10  2.59126e+08
5  11  2.95618e+08
5  12  2.16749e+08
5  13  2.38116e+08
5  14  1.83723e+08
5  15  3.41958e+08
5  16  2.19434e+08
5  17  2.43567e+08
5  18  2.64361e+08
5  19  3.06905e+08
5  20  3.94695e+08
5  21  5.46012e+08
5  22  3.12104e+08
5  23  2.31806e+08
5  24  2.21613e+08
5  25  4.10233e+08
5  26  3.53993e+08
5  27  2.489e+08
5  28  4.8115e+08
5  29  3.44199e+08
5  30  3.5015e+08
5  31  3.85084e+08
5  32  2.27675e+08
5  33  2.77964e+08
5  34  3.87529e+08
5  35  5.70537e+08
5  36  6.94726e+08
5  37  4.20959e+08
5  38  3.93081e+08
5  39  4.39056e+08
5  40  2.55504e+08
5  41  4.38734e+08
5  42  4.44949e+08
5  43  5.55245e+08
5  44  4.92557e+08
5  45  5.41427e+08
5  46  7.4109e+08
5  47  7.98388e+08
5  48  7.44431e+08
5  49  7.21872e+08
5  50  7.37949e+08
6  0  1.2184e+07
6  1  0
6  2  1.24195e+08
6  3  3.013e+08
6  4  5.47443e+08
6  5  4.5538e+08
6  6  2.47777e+08
6  7  4.87817e+08
6  8  2.4584e+08
6  9  3.33878e+08
6  10  3.44246e+08
6  11  1.64969e+08
6  12  2.98818e+08
6  13  2.35328e+08
6  14  2.64575e+08
6  15  1.52519e+08
6  16  2.33813e+08
6  17  2.53611e+08
6  18  1.67168e+08
6  19  1.76295e+08
6  20  3.10716e+08
6  21  5.14089e+08
6  22  3.19706e+08
6  23  1.8906e+08
6  24  3.27057e+08
6  25  2.52765e+08
6  26  2.78444e+08
6  27  3.41463e+08
6  28  3.30555e+08
6  29  3.53708e+08
6  30  3.46772e+08
6  31  3.0529e+08
6  32  2.94101e+08
6  33  2.39376e+08
6  34  3.03176e+08
6  35  5.89408e+08
6  36  6.82537e+08
6  37  4.29923e+08
6  38  3.64614e+08
6  39  3.70716e+08
6  40  3.8008e+08
6  41  4.15131e+08
6  42  5.97187e+08
6  43  6.53142e+08
6  44  4.7003e+08
6  45  5.23988e+08
6  46  7.41847e+08
6  47  7.64863e+08
6  48  8.35321e+08
6  49  8.29221e+08
6  50  7.75293e+08
7  0  0
7  1  1.05811e+08
7  2  2.00811e+08
7  3  3.71217e+08
7  4  6.12596e+08
7  5  4.93411e+08
7  6  2.06678e+08
7  7  3.95129e+08
7  8  2.93862e+08
7  9  3.8725e+08
7  10  2.66065e+08
7  11  1.93514e+08
7  12  2.15496e+08
7  13  2.76059e+08
7  14  2.77562e+08
7  15  2.6362e+08
7  16  2.84808e+08
7  17  3.24589e+08
7  18  3.04688e+08
7  19  3.56518e+08
7  20  3.91781e+08
7  21  3.60524e+08
7  22  4.05641e+08
7  23  3.38727e+08
7  24  1.95537e+08
