row  column  (images_18_844.edf Cu-K*images_18_844.edf Ar-K**2.3)
0  0  1.03083e+07
0  1  4.96954e+06
0  2  3.11792e+06
0  3  4.55799e+06
0  4  0
0  5  3.49028e+06
0  6  6.36458e+06
0  7  8.22655e+06
0  8  3.46965e+06
0  9  6.98524e+06
0  10  284920
0  11  8.84491e+06
0  12  5.39703e+06
0  13  8.416e+06
0  14  1.0014e+07
0  15  5.73527e+06
0  16  3.90835e+06
0  17  6.69293e+06
0  18  2.18989e+06
0  19  516097
0  20  0
0  21  3.5684e+06
0  22  5.48382e+06
0  23  3.52375e+06
0  24  1.09469e+07
0  25  4.59546e+06
0  26  3.27825e+06
0  27  0
0  28  1.46601e+06
0  29  0
0  30  1.47916e+06
0  31  0
0  32  4.18315e+06
0  33  4.21815e+06
0  34  3.51412e+06
0  35  3.24988e+06
0  36  1.59243e+06
0  37  1.49379e+06
0  38  0
0  39  4.72678e+06
0  40  6.98726e+06
0  41  7.40868e+06
0  42  8.63209e+06
0  43  9.89948e+06
0  44  1.08555e+07
0  45  7.67417e+06
0  46  1.07241e+07
0  47  1.78129e+07
0  48  5.88119e+06
0  49  9.61983e+06
0  50  7.68701e+06
0  51  7.82668e+06
0  52  1.20883e+07
0  53  3.63491e+06
0  54  6.0797e+06
0  55  5.78143e+06
0  56  9.7499e+06
0  57  0
0  58  1.16857e+07
0  59  2.90935e+06
0  60  1.04467e+07
1  0  0
1  1  0
1  2  1.94126e+06
1  3  8.2358e+06
1  4  192661
1  5  6.70625e+06
1  6  173841
1  7  9.75407e+06
1  8  7.3559e+06
1  9  7.80471e+06
1  10  3.37232e+06
1  11  3.37266e+06
1  12  1.15835e+07
1  13  3.32683e+06
1  14  2.77467e+06
1  15  2.24884e+06
1  16  2.31732e+06
1  17  0
1  18  0
1  19  7.39418e+06
1  20  8.11278e+06
1  21  0
1  22  2.11442e+06
1  23  1.00313e+07
1  24  2.23252e+06
1  25  3.48432e+06
1  26  9.3661e+06
1  27  2.50672e+06
1  28  3.81359e+06
1  29  2.95897e+06
1  30  1.91332e+06
1  31  4.446e+06
1  32  1.21099e+07
1  33  9.05259e+06
1  34  2.67213e+06
1  35  4.72999e+06
1  36  7.47838e+06
1  37  8.3265e+06
1  38  0
1  39  664640
1  40  6.88797e+06
1  41  9.88386e+06
1  42  1.68495e+07
1  43  0
1  44  1.31721e+07
1  45  1.04596e+07
1  46  1.01357e+07
1  47  6.12455e+06
1  48  1.41301e+07
1  49  6.80935e+06
1  50  6.25403e+06
1  51  8.79959e+06
1  52  9.69332e+06
1  53  6.37943e+06
1  54  6.05616e+06
