row  column  (images_15_227.edf Cu-K*images_15_227.edf Ar-K**2.3)
0  0  6.66134e+06
0  1  2.88441e+06
0  2  9.24821e+06
0  3  8.67291e+06
0  4  9.85781e+06
0  5  1.05889e+07
0  6  8.25912e+06
0  7  7.67063e+06
0  8  8.9364e+06
0  9  940621
0  10  1.00044e+07
0  11  5.81084e+06
0  12  5.42474e+06
0  13  0
0  14  1.61855e+06
0  15  8.58076e+06
0  16  0
0  17  8.02183e+06
0  18  4.15515e+06
0  19  6.28667e+06
0  20  7.59464e+06
0  21  6.70499e+06
0  22  5.72641e+06
0  23  3.56751e+06
0  24  1.23418e+07
0  25  5.6388e+06
0  26  5.19441e+06
0  27  4.33913e+06
0  28  6.2155e+06
0  29  4.76619e+06
0  30  3.02254e+06
0  31  3.59973e+06
0  32  6.32281e+06
0  33  3.19635e+06
0  34  3.3276e+06
0  35  6.45991e+06
0  36  8.61055e+06
0  37  0
0  38  3.7879e+06
0  39  1.25961e+07
0  40  5.09087e+06
0  41  6.57774e+06
0  42  7.80661e+06
0  43  7.25711e+06
0  44  6.85357e+06
0  45  2.98134e+06
0  46  1.02561e+07
0  47  1.02586e+07
0  48  5.15854e+06
0  49  3.81972e+06
0  50  1.99614e+06
0  51  5.22761e+06
0  52  7.9569e+06
0  53  1.85734e+06
0  54  6.16805e+06
0  55  5.31023e+06
0  56  1.42265e+06
0  57  1.89927e+06
0  58  1.27978e+07
0  59  1.99385e+06
0  60  0
0  61  3.04508e+06
0  62  8.96459e+06
0  63  7.0981e+06
0  64  596268
0  65  1.59389e+06
0  66  9.41583e+06
0  67  823472
0  68  1.17194e+07
0  69  9.65325e+06
0  70  8.8973e+06
0  71  1.16681e+07
0  72  3.20842e+06
0  73  0
0  74  0
0  75  1.13643e+07
0  76  385147
0  77  0
0  78  1.42782e+07
0  79  1.33712e+07
0  80  1.01405e+06
0  81  0
0  82  1.09414e+06
0  83  0
0  84  0
0  85  2.835e+06
0  86  7.7584e+06
0  87  2.12187e+06
0  88  5.1079e+06
0  89  1.30063e+07
0  90  1.68119e+07
0  91  4.21839e+06
0  92  9.69076e+06
0  93  0
0  94  1.1889e+07
0  95  189405
0  96  4.61072e+06
0  97  7.9537e+06
0  98  4.94269e+06
0  99  4.21488e+06
0  100  2.1856e+06
1  0  5.70314e+06
1  1  3.47145e+06
1  2  484263
1  3  8.01416e+06
1  4  6.68225e+06
1  5  9.99198e+06
1  6  353648
1  7  4.81225e+06
1  8  0
1  9  1.09132e+07
1  10  6.35264e+06
1  11  3.19451e+06
1  12  1.45963e+07
1  13  1.32899e+07
1  14  1.40188e+07
1  15  7.58758e+06
1  16  2.09101e+06
1  17  4.10369e+06
1  18  2.25066e+06
1  19  7.80785e+06
1  20  1.01634e+07
1  21  9.10389e+06
1  22  1.11306e+07
1  23  139603
1  24  1.79046e+06
1  25  5.8396e+06
1  26  1.50035e+06
1  27  1.29933e+07
1  28  8.63836e+06
1  29  1.05746e+07
1  30  7.51074e+06
1  31  1.00689e+07
1  32  3.234e+06
1  33  3.20387e+06
1  34  7.9959e+06
1  35  5.11428e+06
1  36  1.71761e+06
1  37  5.73539e+06
1  38  5.68648e+06
1  39  4.93037e+06
1  40  5.16522e+06
1  41  1.25323e+07
1  42  9.98141e+06
1  43  3.72408e+06
1  44  1.02611e+07
1  45  4.04321e+06
1  46  1.04085e+07
1  47  1.96513e+06
1  48  0
1  49  7.5761e+06
1  50  2.70979e+06
1  51  7.30037e+06
1  52  6.1258e+06
1  53  1.62959e+06
1  54  6.69915e+06
1  55  2.9509e+06
1  56  2.14784e+06
1  57  4.7888e+06
1  58  4.03437e+06
1  59  1.04406e+07
1  60  1.8812e+06
1  61  2.79257e+06
1  62  4.04164e+06
1  63  0
1  64  1.18301e+07
1  65  8.39069e+06
1  66  9.12238e+06
1  67  6.73202e+06
1  68  449852
1  69  5.49367e+06
1  70  1.25029e+07
1  71  0
1  72  4.02346e+06
1  73  8.51963e+06
1  74  4.43243e+06
1  75  8.58888e+06
1  76  5.50502e+06
1  77  7.03622e+06
1  78  1.17449e+07
1  79  1.28093e+07
1  80  1.09339e+07
1  81  7.00667e+06
1  82  5.69679e+06
1  83  1.39976e+07
1  84  0
1  85  5.75882e+06
1  86  1.10494e+06
1  87  2.88564e+06
1  88  7.76592e+06
1  89  1.31203e+07
1  90  0
1  91  0
1  92  2.89281e+06
1  93  2.04622e+06
1  94  6.37466e+06
1  95  2.16012e+06
1  96  7.83217e+06
1  97  3.44592e+06
1  98  6.54649e+06
1  99  631520
1  100  8.50202e+06
2  0  6.66968e+06
2  1  1.05705e+07
2  2  1.11529e+07
2  3  2.52711e+06
2  4  8.51754e+06
2  5  9.22825e+06
2  6  7.97119e+06
2  7  1.13347e+07
2  8  3.86495e+06
2  9  1.46619e+07
2  10  8.97151e+06
2  11  4.63058e+06
2  12  2.51606e+06
2  13  1.18736e+07
2  14  7.15997e+06
2  15  6.33884e+06
2  16  4.12753e+06
2  17  6.21841e+06
2  18  4.9493e+06
2  19  1.32133e+07
2  20  4.87902e+06
2  21  1.09173e+07
2  22  5.78292e+06
2  23  6.02089e+06
2  24  4.61641e+06
2  25  5.4862e+06
2  26  0
2  27  8.14915e+06
2  28  6.14339e+06
2  29  1.21129e+07
2  30  5.59754e+06
2  31  6.70791e+06
2  32  1.12553e+07
2  33  7.40284e+06
2  34  3.15886e+06
2  35  6.08571e+06
