row  column  (images_15_227.edf S-K*images_15_227.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  5.14238e+06
0  4  0
0  5  0
0  6  1.20529e+07
0  7  1.51914e+07
0  8  1.3857e+07
0  9  1.78668e+07
0  10  2.04443e+07
0  11  1.53311e+07
0  12  1.80778e+07
0  13  2.26225e+07
0  14  1.85941e+07
0  15  1.19306e+07
0  16  1.39325e+07
0  17  1.67143e+07
0  18  2.23441e+07
0  19  2.2077e+07
0  20  2.99206e+07
0  21  2.28404e+07
0  22  2.79199e+07
0  23  2.35691e+07
0  24  3.46282e+07
0  25  2.44102e+07
0  26  4.07883e+07
0  27  3.41618e+07
0  28  4.43366e+07
0  29  3.41691e+07
0  30  2.66655e+07
0  31  2.40444e+07
0  32  1.97763e+07
0  33  2.00176e+07
0  34  2.92258e+07
0  35  2.67932e+07
0  36  2.47133e+07
0  37  2.5196e+07
0  38  4.06597e+07
0  39  3.06222e+07
0  40  3.24608e+07
0  41  2.60444e+07
0  42  2.89628e+07
0  43  4.54396e+07
0  44  2.76245e+07
0  45  3.64951e+07
0  46  3.22391e+07
0  47  3.70118e+07
0  48  2.45498e+07
0  49  2.96859e+07
0  50  3.49234e+07
0  51  4.35309e+07
0  52  3.07029e+07
0  53  2.82156e+07
0  54  2.94945e+07
0  55  2.28806e+07
0  56  3.28058e+07
0  57  4.4375e+07
0  58  4.08716e+07
0  59  3.58296e+07
0  60  3.10056e+07
0  61  3.25063e+07
0  62  3.71215e+07
0  63  4.03879e+07
0  64  3.82631e+07
0  65  4.94874e+07
0  66  4.29012e+07
0  67  7.24382e+07
0  68  6.97746e+07
0  69  8.65119e+07
0  70  6.4439e+07
0  71  6.40355e+07
0  72  6.25466e+07
0  73  5.74854e+07
0  74  4.86424e+07
0  75  3.26157e+07
0  76  2.84405e+07
0  77  3.79786e+07
0  78  3.1824e+07
0  79  2.90967e+07
0  80  3.40787e+07
0  81  2.19415e+07
0  82  3.56021e+07
0  83  3.50527e+07
0  84  3.71295e+07
0  85  3.43713e+07
0  86  5.14146e+07
0  87  3.80429e+07
0  88  4.90549e+07
0  89  3.80898e+07
0  90  4.67366e+07
0  91  3.57941e+07
0  92  6.44975e+07
0  93  5.56259e+07
0  94  5.12772e+07
0  95  3.91777e+07
0  96  5.53044e+07
0  97  4.41579e+07
0  98  3.58865e+07
0  99  3.59004e+07
0  100  3.91489e+07
1  0  4.76435e+06
1  1  7.38224e+06
1  2  8.86744e+06
1  3  1.09839e+07
1  4  7.53665e+06
1  5  0
1  6  1.1777e+07
1  7  2.84408e+07
1  8  1.75153e+07
1  9  2.40152e+07
1  10  1.8354e+07
1  11  1.4057e+07
1  12  1.53835e+07
1  13  1.73117e+07
1  14  3.11139e+07
1  15  2.25656e+07
1  16  1.69845e+07
1  17  1.48826e+07
1  18  2.6552e+07
1  19  1.51878e+07
1  20  2.53634e+07
1  21  2.33365e+07
1  22  3.38037e+07
1  23  3.65594e+07
1  24  2.91508e+07
1  25  2.24737e+07
1  26  2.90609e+07
1  27  3.19066e+07
1  28  2.45901e+07
1  29  3.3383e+07
1  30  1.66962e+07
1  31  3.16003e+07
1  32  2.26931e+07
1  33  3.20222e+07
1  34  3.86863e+07
1  35  4.63871e+07
1  36  2.81456e+07
1  37  2.73281e+07
1  38  2.76348e+07
1  39  2.48019e+07
1  40  2.42843e+07
1  41  2.82703e+07
1  42  3.26795e+07
1  43  2.41301e+07
1  44  3.24876e+07
1  45  2.80689e+07
1  46  3.15263e+07
1  47  3.52899e+07
1  48  1.46045e+07
1  49  3.39166e+07
1  50  3.04202e+07
1  51  2.04183e+07
1  52  2.74192e+07
1  53  3.32925e+07
1  54  2.43484e+07
1  55  2.53513e+07
1  56  4.63676e+07
1  57  3.54462e+07
1  58  3.78957e+07
1  59  3.10436e+07
1  60  3.04812e+07
1  61  3.78005e+07
1  62  3.6855e+07
1  63  3.47722e+07
1  64  4.00366e+07
1  65  5.7113e+07
1  66  4.6386e+07
1  67  5.72318e+07
1  68  7.36282e+07
1  69  6.2082e+07
1  70  8.73251e+07
1  71  5.10689e+07
1  72  6.74368e+07
1  73  5.92092e+07
1  74  3.34459e+07
1  75  3.31943e+07
1  76  4.19702e+07
1  77  3.05228e+07
1  78  2.78427e+07
1  79  3.69559e+07
1  80  3.33803e+07
1  81  3.89915e+07
1  82  3.63115e+07
1  83  3.20316e+07
1  84  3.28822e+07
1  85  3.24356e+07
1  86  3.56913e+07
1  87  4.5228e+07
1  88  4.59516e+07
1  89  3.72563e+07
1  90  4.82532e+07
1  91  4.59233e+07
1  92  3.90203e+07
1  93  4.24554e+07
1  94  4.6895e+07
1  95  6.00519e+07
1  96  5.7584e+07
1  97  3.97959e+07
1  98  2.38368e+07
1  99  4.10366e+07
1  100  2.78631e+07
2  0  0
2  1  0
2  2  4.49933e+06
2  3  1.19741e+07
2  4  5.86832e+06
2  5  1.20255e+07
2  6  1.15302e+07
2  7  1.92325e+07
2  8  2.09047e+07
2  9  2.40657e+07
2  10  2.35203e+07
2  11  2.03035e+07
2  12  1.2665e+07
2  13  1.91079e+07
2  14  1.91522e+07
2  15  1.47462e+07
2  16  2.20098e+07
2  17  2.1136e+07
2  18  1.80837e+07
2  19  2.39391e+07
2  20  3.7111e+07
2  21  3.91643e+07
2  22  2.41473e+07
2  23  3.24366e+07
2  24  3.70563e+07
2  25  3.01146e+07
2  26  3.02826e+07
2  27  3.14521e+07
2  28  3.29056e+07
2  29  3.27912e+07
2  30  2.45621e+07
2  31  3.37633e+07
2  32  2.20942e+07
2  33  2.04283e+07
2  34  2.84994e+07
2  35  3.90659e+07
2  36  2.43085e+07
2  37  2.82357e+07
2  38  3.09403e+07
2  39  2.80592e+07
2  40  3.03018e+07
2  41  1.56144e+07
2  42  2.55659e+07
2  43  2.76688e+07
2  44  2.6982e+07
2  45  1.98466e+07
2  46  2.95545e+07
2  47  2.026e+07
2  48  3.13836e+07
2  49  3.9782e+07
2  50  2.56767e+07
2  51  2.18502e+07
2  52  2.17591e+07
2  53  1.5253e+07
2  54  2.50238e+07
2  55  2.71375e+07
2  56  2.72483e+07
2  57  3.07842e+07
2  58  3.50421e+07
2  59  3.77066e+07
2  60  2.39076e+07
2  61  3.72653e+07
2  62  2.75586e+07
2  63  4.0217e+07
2  64  3.53708e+07
2  65  3.33987e+07
2  66  5.87318e+07
2  67  6.29223e+07
2  68  6.94767e+07
2  69  5.6023e+07
2  70  4.05463e+07
2  71  6.11606e+07
2  72  5.03387e+07
2  73  4.67979e+07
2  74  2.75848e+07
2  75  3.41202e+07
2  76  2.50539e+07
2  77  4.07284e+07
2  78  3.29779e+07
2  79  3.19048e+07
2  80  3.40239e+07
2  81  3.91263e+07
2  82  2.78233e+07
2  83  3.50784e+07
2  84  3.00399e+07
2  85  3.52375e+07
2  86  3.27644e+07
2  87  3.91353e+07
2  88  4.50269e+07
2  89  3.61445e+07
2  90  4.81066e+07
2  91  4.90954e+07
2  92  4.50908e+07
2  93  4.63602e+07
2  94  5.51934e+07
2  95  3.5885e+07
2  96  4.67416e+07
2  97  3.91407e+07
2  98  4.95586e+07
2  99  5.18543e+07
2  100  3.4963e+07
3  0  0
3  1  6.95975e+06
3  2  8.82036e+06
3  3  1.30379e+07
3  4  1.34862e+07
3  5  2.27385e+07
3  6  5.7356e+06
3  7  1.63423e+07
3  8  2.30087e+07
3  9  2.87471e+07
