row  column  (images_6a.edf K-K*images_6a.edf Ar-K**2.3)
2  75  2.447e+07
2  76  3.14016e+07
2  77  1.44043e+07
2  78  1.12298e+07
2  79  7.24522e+06
2  80  6.60638e+06
2  81  1.14614e+07
2  82  9.56682e+06
2  83  1.82989e+07
2  84  1.6401e+07
2  85  4.18595e+06
2  86  1.54046e+07
2  87  1.76534e+07
2  88  1.62053e+07
2  89  1.47129e+07
2  90  1.6298e+07
2  91  2.03366e+07
2  92  1.40913e+07
2  93  5.35989e+06
2  94  1.97021e+07
2  95  1.30018e+07
2  96  2.12963e+07
2  97  6.27238e+06
2  98  1.91818e+07
2  99  1.19718e+07
2  100  1.62838e+07
3  0  0
3  1  6.98431e+06
3  2  6.87073e+06
3  3  0
3  4  9.53009e+06
3  5  1.40772e+07
3  6  0
3  7  8.11368e+06
3  8  0
3  9  5.84578e+06
3  10  2.54545e+06
3  11  5.05688e+06
3  12  1.16645e+07
3  13  1.613e+07
3  14  8.41927e+06
3  15  9.85064e+06
3  16  7.97664e+06
3  17  5.75263e+06
3  18  1.02098e+07
3  19  1.5047e+06
3  20  2.51476e+07
3  21  1.37338e+07
3  22  1.78487e+07
3  23  1.04082e+07
3  24  3.37652e+06
3  25  6.57115e+06
3  26  8.35925e+06
3  27  3.87564e+06
3  28  1.28522e+07
3  29  8.49949e+06
3  30  0
3  31  9.38768e+06
3  32  1.08918e+07
3  33  1.24473e+07
3  34  1.78193e+07
3  35  1.15733e+07
3  36  1.84946e+07
3  37  0
3  38  7.61464e+06
3  39  8.94118e+06
3  40  2.69515e+06
3  41  2.08317e+06
3  42  1.62404e+07
3  43  1.35264e+07
3  44  4.95057e+06
3  45  1.67184e+07
3  46  2.93909e+07
3  47  2.31419e+07
3  48  6.59857e+06
3  49  0
3  50  1.65621e+07
3  51  325325
3  52  6.75122e+06
3  53  1.64444e+07
3  54  1.30373e+07
3  55  5.60912e+06
3  56  2.19317e+07
3  57  2.05572e+07
3  58  1.8297e+07
3  59  3.37783e+06
3  60  1.39429e+07
3  61  1.09987e+07
3  62  1.68246e+06
3  63  9.26346e+06
3  64  6.71167e+06
3  65  1.81354e+07
3  66  1.71552e+07
3  67  1.22118e+07
3  68  4.99715e+06
3  69  0
3  70  2.44069e+07
3  71  2.19368e+07
3  72  1.61461e+06
3  73  1.55666e+07
3  74  3.18579e+07
3  75  2.82595e+07
3  76  1.3161e+07
3  77  1.9356e+07
3  78  7.75277e+06
3  79  1.23259e+07
3  80  1.00383e+07
3  81  2.10396e+07
3  82  1.7742e+07
3  83  2.05826e+07
3  84  1.73263e+07
3  85  1.46894e+07
3  86  1.37055e+07
3  87  1.79251e+07
3  88  9.55962e+06
3  89  6.98833e+06
3  90  1.19876e+07
3  91  1.34044e+07
3  92  1.65106e+07
3  93  1.73128e+07
3  94  1.05697e+07
3  95  2.77266e+06
3  96  6.60737e+06
3  97  8.44365e+06
3  98  2.83069e+07
3  99  1.86825e+07
3  100  0
4  0  7.16661e+06
4  1  0
4  2  3.05573e+06
4  3  1.16569e+07
4  4  1.27161e+07
4  5  1.25263e+06
4  6  1.01149e+07
4  7  5.19755e+06
4  8  5.94575e+06
4  9  1.37921e+06
4  10  0
4  11  0
4  12  1.48947e+07
4  13  6.36595e+06
4  14  2.64241e+06
4  15  5.73228e+06
4  16  6.70898e+06
4  17  1.88307e+07
4  18  0
4  19  860920
4  20  4.57482e+06
4  21  1.32701e+07
4  22  3.47904e+06
4  23  1.01822e+07
4  24  7.6113e+06
4  25  1.19561e+07
4  26  1.46361e+07
4  27  4.64664e+06
4  28  0
4  29  1.00092e+07
4  30  8.38518e+06
4  31  1.74442e+07
4  32  1.14302e+07
4  33  0
4  34  1.41192e+07
4  35  1.20155e+07
4  36  7.93697e+06
4  37  0
4  38  0
4  39  1.15016e+07
4  40  1.1605e+07
4  41  6.37368e+06
4  42  3.97037e+06
4  43  4.03408e+06
4  44  2.30764e+07
4  45  2.77031e+07
4  46  6.14809e+06
4  47  1.854e+07
4  48  2.09615e+07
4  49  0
4  50  4.14468e+06
4  51  972335
4  52  0
4  53  2.49538e+07
4  54  1.68213e+07
4  55  1.70098e+07
4  56  6.75738e+06
4  57  7.15046e+06
4  58  1.05262e+07
4  59  0
4  60  2.10557e+07
4  61  2.07093e+07
4  62  9.61032e+06
4  63  1.8906e+07
4  64  1.2634e+07
4  65  1.3619e+07
4  66  1.16931e+07
4  67  1.15424e+07
4  68  6.6346e+06
4  69  1.43311e+06
4  70  2.69094e+07
4  71  1.20181e+07
4  72  1.78759e+07
4  73  3.19969e+06
4  74  2.5107e+07
4  75  0
4  76  2.73985e+07
4  77  1.70732e+07
4  78  2.57271e+07
4  79  1.27932e+07
4  80  2.44289e+07
4  81  9.35339e+06
4  82  1.06421e+07
4  83  1.20223e+07
4  84  1.60951e+07
4  85  1.88076e+07
4  86  1.27603e+07
4  87  6.34055e+06
4  88  1.2179e+07
4  89  9.83707e+06
4  90  7.48305e+06
4  91  1.43002e+07
4  92  7.04503e+06
4  93  1.75096e+07
4  94  1.54336e+07
4  95  1.182e+07
4  96  1.048e+07
4  97  1.28981e+07
4  98  1.39793e+07
4  99  1.68956e+07
4  100  1.00503e+07
5  0  8.20193e+06
5  1  0
5  2  0
5  3  4.76358e+06
5  4  2.73729e+06
5  5  0
5  6  4.63793e+06
5  7  1.01676e+07
5  8  6.09305e+06
5  9  0
5  10  4.1161e+06
5  11  1.24892e+07
5  12  2.276e+07
5  13  2.37405e+07
5  14  3.64353e+06
5  15  1.60678e+07
5  16  3.1938e+06
5  17  2.12236e+07
5  18  9.06534e+06
5  19  1.35103e+06
5  20  0
5  21  8.31036e+06
5  22  1.65263e+06
5  23  559050
5  24  1.55561e+07
5  25  1.15788e+07
5  26  7.8124e+06
5  27  4.14948e+06
5  28  1.40833e+07
5  29  1.03976e+07
5  30  1.39537e+07
5  31  1.19387e+06
5  32  0
5  33  7.97345e+06
5  34  9.59075e+06
5  35  6.94357e+06
5  36  1.23445e+07
5  37  8.05705e+06
5  38  1.4088e+06
5  39  0
5  40  1.73176e+07
5  41  9.33352e+06
5  42  1.3603e+07
5  43  5.94047e+06
5  44  1.10048e+07
5  45  1.7567e+07
5  46  2.6346e+07
5  47  2.12005e+07
5  48  1.40259e+07
