row  column  (images_6a.edf P-K*images_6a.edf Ar-K**2.3)
3  5  1.37945e+07
3  6  7.86757e+06
3  7  9.44364e+06
3  8  1.92467e+07
3  9  1.47841e+07
3  10  4.92791e+06
3  11  1.54133e+07
3  12  1.13783e+07
3  13  1.69137e+07
3  14  7.38777e+06
3  15  9.92483e+06
3  16  1.15791e+07
3  17  0
3  18  4.14029e+06
3  19  1.21467e+07
3  20  6.03125e+06
3  21  5.45903e+06
3  22  3.23589e+06
3  23  9.51689e+06
3  24  1.53601e+06
3  25  5.64705e+06
3  26  6.72711e+06
3  27  3.28226e+06
3  28  8.58182e+06
3  29  6.11474e+06
3  30  1.02763e+07
3  31  9.76413e+06
3  32  7.93679e+06
3  33  6.29796e+06
3  34  3.22325e+06
3  35  801841
3  36  1.36683e+07
3  37  9.50132e+06
3  38  1.34761e+07
3  39  5.6255e+06
3  40  6.16303e+06
3  41  871809
3  42  4.92496e+06
3  43  3.59858e+06
3  44  0
3  45  6.55024e+06
3  46  1.21602e+06
3  47  962722
3  48  3.92912e+06
3  49  7.07999e+06
3  50  6.41969e+06
3  51  3.88406e+06
3  52  7.34604e+06
3  53  5.19809e+06
3  54  8.48743e+06
3  55  9.92083e+06
3  56  7.00174e+06
3  57  1.1673e+06
3  58  1.00854e+07
3  59  8.76317e+06
3  60  2.85101e+06
3  61  5.12516e+06
3  62  0
3  63  1.67027e+06
3  64  665764
3  65  5.5015e+06
3  66  2.19549e+06
3  67  3.93732e+06
3  68  668185
3  69  0
3  70  1.11406e+06
3  71  1.83573e+06
3  72  362244
3  73  0
3  74  154080
3  75  0
3  76  434862
3  77  2.58026e+06
3  78  372591
3  79  0
3  80  646382
3  81  2.79441e+06
3  82  0
3  83  1.43861e+06
3  84  157217
3  85  0
3  86  0
3  87  1.9004e+06
3  88  0
3  89  1.05945e+06
3  90  1.74331e+06
3  91  358990
3  92  0
3  93  869385
3  94  0
3  95  0
3  96  0
3  97  93996.8
3  98  0
3  99  0
3  100  0
4  0  9.15527e+06
4  1  7.97704e+06
4  2  1.55297e+07
4  3  1.27714e+07
4  4  1.05576e+07
4  5  5.79832e+06
4  6  1.07891e+07
4  7  6.75134e+06
4  8  4.15771e+06
4  9  1.48992e+07
4  10  9.46882e+06
4  11  1.6106e+07
4  12  1.04993e+07
4  13  1.1316e+07
4  14  7.839e+06
4  15  1.55654e+07
4  16  1.53381e+07
4  17  1.32763e+07
4  18  1.25869e+07
4  19  4.88331e+06
4  20  9.64474e+06
4  21  0
4  22  7.68095e+06
4  23  5.93327e+06
4  24  6.714e+06
4  25  7.79344e+06
4  26  1.09257e+07
4  27  1.24126e+07
4  28  4.3154e+06
4  29  7.01789e+06
4  30  1.25593e+07
4  31  1.75679e+07
4  32  8.819e+06
4  33  1.47328e+07
4  34  1.47117e+07
4  35  9.22524e+06
4  36  1.00331e+07
4  37  1.05885e+07
4  38  1.79484e+07
4  39  1.73776e+07
4  40  7.45533e+06
4  41  5.04401e+06
4  42  2.15856e+06
4  43  3.46363e+06
4  44  1.6517e+06
4  45  1.89113e+06
4  46  501096
4  47  158550
4  48  8.10698e+06
4  49  6.0058e+06
4  50  4.01719e+06
4  51  3.93724e+06
4  52  5.58119e+06
4  53  9.06188e+06
4  54  2.06925e+07
4  55  6.57892e+06
4  56  6.33122e+06
4  57  2.06439e+06
4  58  1.94475e+06
4  59  1.14127e+07
4  60  7.25611e+06
4  61  6.36724e+06
4  62  1.22322e+06
4  63  2.83556e+06
4  64  3.80509e+06
4  65  983682
4  66  343028
4  67  1.51151e+06
4  68  3.69012e+06
4  69  2.01539e+06
4  70  429238
4  71  0
4  72  0
4  73  0
4  74  157804
4  75  1.02567e+06
4  76  0
4  77  2.15074e+06
4  78  4.07013e+06
4  79  0
4  80  110618
4  81  0
4  82  1.17533e+06
4  83  1.73839e+06
4  84  0
4  85  1.53142e+06
4  86  0
4  87  0
4  88  167363
4  89  607349
4  90  67200.8
4  91  0
4  92  0
4  93  0
4  94  0
4  95  0
4  96  0
4  97  1.18628e+06
4  98  0
4  99  0
4  100  961099
5  0  1.24871e+07
5  1  1.76681e+07
5  2  1.14738e+07
5  3  7.30814e+06
5  4  6.33141e+06
5  5  1.36615e+07
5  6  1.3327e+07
5  7  1.18166e+07
5  8  1.83129e+07
5  9  9.65221e+06
5  10  1.35189e+07
5  11  7.50263e+06
5  12  1.72662e+07
5  13  8.66871e+06
5  14  1.96296e+07
5  15  1.47362e+07
5  16  7.63315e+06
5  17  1.3822e+07
5  18  1.16912e+07
5  19  7.05448e+06
5  20  1.01763e+07
5  21  7.89252e+06
5  22  1.15311e+07
5  23  1.29424e+07
5  24  1.53779e+07
5  25  1.44873e+07
5  26  9.28641e+06
5  27  1.09437e+07
5  28  1.51182e+07
5  29  2.17458e+07
5  30  1.3543e+07
5  31  1.20752e+07
5  32  2.59003e+07
5  33  9.86007e+06
5  34  4.97228e+06
5  35  7.18929e+06
5  36  1.11094e+07
5  37  1.72739e+07
5  38  2.1599e+07
5  39  1.38496e+07
5  40  1.51209e+07
5  41  4.28695e+06
5  42  4.89514e+06
5  43  0
5  44  3.19099e+06
5  45  4.13639e+06
5  46  4.4909e+06
5  47  4.77554e+06
5  48  8.46145e+06
5  49  1.01647e+07
5  50  7.73591e+06
5  51  9.77807e+06
5  52  1.18885e+07
5  53  9.77308e+06
5  54  5.21991e+06
5  55  7.37681e+06
5  56  1.45889e+07
5  57  9.54305e+06
5  58  1.82319e+07
5  59  1.53081e+06
5  60  4.71651e+06
5  61  4.29688e+06
5  62  4.7188e+06
5  63  4.88983e+06
5  64  2.76413e+06
5  65  878296
5  66  3.75993e+06
5  67  782018
5  68  2.01444e+06
5  69  0
5  70  0
5  71  2.50584e+06
5  72  2.11085e+06
5  73  81675.6
5  74  0
5  75  0
5  76  138710
5  77  0
5  78  39449.2
5  79  510446
5  80  0
5  81  777772
5  82  0
5  83  0
5  84  0
5  85  0
5  86  0
5  87  0
5  88  245317
5  89  392549
5  90  0
5  91  398450
5  92  57330.5
5  93  0
5  94  1.64654e+06
5  95  0
5  96  1.09231e+06
5  97  494192
5  98  266457
5  99  440806
5  100  0
6  0  1.06147e+07
6  1  3.9767e+06
6  2  1.75002e+07
6  3  1.18746e+07
6  4  8.40751e+06
6  5  2.09315e+07
6  6  1.6895e+07
6  7  1.95511e+07
6  8  1.37677e+07
6  9  1.71483e+07
6  10  1.34666e+07
6  11  1.28183e+07
6  12  2.07727e+07
6  13  1.22187e+07
6  14  1.70276e+07
6  15  1.59435e+07
6  16  2.55901e+07
6  17  1.38268e+07
6  18  1.69257e+07
6  19  1.4698e+07
6  20  7.86397e+06
