row  column  (images_6a.edf Cu-K*images_6a.edf Ar-K**2.3)
2  93  4.78015e+06
2  94  2.19473e+07
2  95  0
2  96  9.89008e+06
2  97  1.0269e+07
2  98  0
2  99  4.46372e+07
2  100  7.55505e+06
3  0  2.28194e+07
3  1  1.3862e+07
3  2  2.3114e+06
3  3  3.71588e+06
3  4  1.18833e+07
3  5  3.22642e+07
3  6  5.80028e+06
3  7  0
3  8  1.17418e+07
3  9  1.03327e+07
3  10  2.49664e+06
3  11  3.61999e+06
3  12  0
3  13  2.04578e+06
3  14  4.44125e+06
3  15  1.095e+06
3  16  0
3  17  0
3  18  4.71764e+06
3  19  1.48902e+07
3  20  1.8355e+07
3  21  3.72842e+06
3  22  2.14111e+07
3  23  0
3  24  967964
3  25  0
3  26  1.29062e+07
3  27  1.44746e+07
3  28  0
3  29  8.39325e+06
3  30  0
3  31  0
3  32  0
3  33  1.81429e+07
3  34  5.926e+06
3  35  1.75491e+07
3  36  2.08444e+07
3  37  4.00447e+06
3  38  6.08947e+06
3  39  3.32703e+06
3  40  0
3  41  1.41313e+07
3  42  1.52705e+07
3  43  2.76199e+06
3  44  1.42934e+07
3  45  1.3523e+07
3  46  0
3  47  301595
3  48  1.41364e+07
3  49  0
3  50  7.81756e+06
3  51  0
3  52  1.76655e+07
3  53  0
3  54  0
3  55  9.29096e+06
3  56  1.87276e+07
3  57  1.96024e+07
3  58  1.31285e+07
3  59  4.98703e+06
3  60  0
3  61  0
3  62  0
3  63  2.88696e+07
3  64  4.64989e+06
3  65  1.18895e+07
3  66  6.98139e+06
3  67  2.13688e+07
3  68  0
3  69  1.94952e+07
3  70  0
3  71  2.54514e+07
3  72  2.85106e+06
3  73  1.49667e+07
3  74  2.54136e+07
3  75  1.67957e+07
3  76  681573
3  77  2.03635e+07
3  78  8.98185e+06
3  79  1.41252e+07
3  80  5.11451e+06
3  81  2.614e+07
3  82  8.21791e+06
3  83  3.95824e+06
3  84  0
3  85  4.62619e+06
3  86  2.82255e+07
3  87  1.73698e+07
3  88  1.4227e+07
3  89  9.97638e+06
3  90  3.09735e+06
3  91  1.86986e+07
3  92  0
3  93  2.29943e+07
3  94  6.03598e+06
3  95  1.53403e+07
3  96  1.05679e+06
3  97  0
3  98  1.07999e+07
3  99  1.42565e+07
3  100  2.86525e+07
4  0  1.03757e+07
4  1  6.29754e+06
4  2  3.29235e+07
4  3  1.8642e+07
4  4  1.10637e+07
4  5  1.40721e+07
4  6  3.63824e+06
4  7  6.63006e+06
4  8  0
4  9  2.06107e+07
4  10  6.7667e+06
4  11  0
4  12  1.43101e+07
4  13  2.31561e+06
4  14  9.85989e+06
4  15  0
4  16  2.91772e+07
4  17  2.40177e+07
4  18  9.25693e+06
4  19  2.8454e+07
4  20  1.76249e+07
4  21  0
4  22  561732
4  23  3.41833e+06
4  24  1.24896e+07
4  25  0
4  26  0
4  27  0
4  28  7.48123e+06
4  29  0
4  30  2.42321e+07
4  31  1.71745e+07
4  32  7.26314e+06
4  33  4.66506e+06
4  34  1.40083e+07
4  35  9.75495e+06
4  36  1.74779e+07
4  37  1.29521e+07
4  38  2.03623e+07
4  39  1.40533e+07
4  40  0
4  41  1.94142e+06
4  42  7.98363e+06
4  43  1.34692e+07
4  44  2.83396e+06
4  45  3.70696e+06
4  46  0
4  47  8.15256e+06
4  48  0
4  49  85068.7
4  50  6.84722e+06
4  51  6.13409e+06
4  52  0
4  53  6.66772e+06
4  54  2.5434e+07
4  55  5.23164e+06
4  56  8.78512e+06
4  57  0
4  58  9.88976e+06
4  59  2.11868e+07
4  60  9.05821e+06
4  61  1.87279e+07
4  62  1.01675e+07
4  63  1.3551e+06
4  64  0
4  65  0
4  66  0
4  67  3.67977e+07
4  68  0
4  69  0
4  70  3.16161e+07
4  71  372472
4  72  2.85446e+06
4  73  1.81538e+07
4  74  6.9323e+06
4  75  959959
4  76  1.15144e+07
4  77  0
4  78  1.72257e+07
4  79  5.03658e+06
4  80  714601
4  81  0
4  82  0
4  83  7.22027e+06
4  84  1.07717e+07
4  85  5.25938e+06
4  86  1.28815e+07
4  87  8.57906e+06
4  88  0
4  89  0
4  90  0
4  91  0
4  92  9.43107e+06
4  93  6.31625e+06
4  94  0
4  95  4.37101e+06
4  96  9.20752e+06
4  97  160513
4  98  0
4  99  0
4  100  0
5  0  0
5  1  0
5  2  6.26507e+06
5  3  5.21485e+06
5  4  4.04281e+06
5  5  1.72414e+07
5  6  0
5  7  0
5  8  1.20592e+07
5  9  5.5662e+06
5  10  0
5  11  3.76172e+06
5  12  2.75427e+07
5  13  1.59484e+07
5  14  0
5  15  5.3462e+06
5  16  1.99982e+07
5  17  1.44672e+07
5  18  2.04656e+07
5  19  1.06088e+07
5  20  4.84089e+06
5  21  3.07979e+06
5  22  1.86898e+07
5  23  5.11907e+06
5  24  1.17114e+07
5  25  6.15564e+06
5  26  8.27997e+06
5  27  3.95788e+06
5  28  1.17644e+07
5  29  0
5  30  0
5  31  5.2957e+06
5  32  5.33591e+06
5  33  7.60654e+06
5  34  1.33997e+07
5  35  1.30158e+07
5  36  89487.4
5  37  2.44624e+07
5  38  1.41511e+07
5  39  9.15344e+06
5  40  2.45071e+06
5  41  0
5  42  3.72533e+06
5  43  1.04437e+07
5  44  3.31579e+06
5  45  5.57942e+06
5  46  0
5  47  1.8622e+07
5  48  4.39504e+07
5  49  1.74148e+07
5  50  1.03813e+07
5  51  9.42717e+06
5  52  6.24927e+06
5  53  3.23226e+07
5  54  2.12717e+07
5  55  0
5  56  2.08415e+07
5  57  0
5  58  0
5  59  0
5  60  1.19657e+07
5  61  1.33249e+07
5  62  1.63284e+07
5  63  0
5  64  0
5  65  1.68975e+07
5  66  0
5  67  0
5  68  4.91139e+06
5  69  0
5  70  1.59151e+07
5  71  6.79138e+06
5  72  2.05248e+07
5  73  9.13682e+06
5  74  1.613e+07
5  75  5.55698e+06
5  76  1.58569e+07
5  77  0
5  78  0
5  79  2.71843e+06
5  80  3.99335e+06
5  81  1.39635e+07
5  82  0
5  83  4.37429e+06
5  84  1.08271e+07
5  85  0
5  86  1.43848e+07
5  87  1.88623e+07
5  88  0
5  89  2.58895e+06
5  90  0
5  91  1.98714e+07
5  92  0
5  93  8.2168e+06
5  94  1.99789e+07
5  95  0
5  96  6.1705e+06
5  97  2.32991e+07
5  98  0
5  99  2.25652e+07
5  100  1.00458e+07
6  0  1.12042e+07
6  1  4.69872e+06
6  2  1.47234e+07
6  3  0
6  4  1.10618e+07
6  5  2.91293e+06
6  6  1.73628e+07
6  7  7.07126e+06
6  8  0
6  9  447355
6  10  0
6  11  1.14972e+06
6  12  1.44906e+07
6  13  2.2401e+06
6  14  887991
6  15  4.44147e+06
6  16  9.69722e+06
6  17  9.93843e+06
6  18  2.55769e+06
6  19  2.38728e+07
6  20  1.37317e+07
6  21  799326
6  22  1.00716e+06
6  23  1.30387e+07
6  24  0
6  25  1.90931e+07
6  26  4.07744e+06
6  27  0
6  28  3.47695e+07
6  29  6.06441e+06
6  30  1.78797e+07
6  31  9.71434e+06
6  32  0
6  33  1.76907e+07
6  34  0
6  35  2.86691e+07
6  36  0
6  37  2.72354e+07
6  38  0
6  39  225198
6  40  0
6  41  1.55998e+07
6  42  9.25578e+06
6  43  9.08324e+06
6  44  0
6  45  1.18164e+06
6  46  1.74687e+07
6  47  0
6  48  0
6  49  0
6  50  7.2805e+06
6  51  1.14681e+07
6  52  429516
6  53  0
6  54  1.25244e+07
6  55  0
6  56  0
6  57  0
6  58  5.72419e+06
6  59  9.39219e+06
6  60  0
6  61  1.72443e+07
6  62  2.56527e+07
6  63  9.14371e+06
6  64  2.81487e+07
6  65  2.4325e+06
6  66  2.42155e+07
6  67  6.62047e+06
6  68  0
6  69  1.42706e+06
6  70  0
6  71  2.1863e+07
6  72  1.25081e+07
6  73  1.3132e+07
6  74  1.70693e+07
6  75  4.29792e+06
6  76  4.84718e+06
6  77  1.03201e+07
6  78  2.01178e+06
6  79  0
6  80  1.90057e+07
6  81  8.48078e+06
6  82  2.96077e+07
6  83  4.83879e+06
6  84  4.10021e+06
6  85  0
6  86  2.55376e+07
6  87  6.96707e+06
6  88  0
6  89  0
6  90  0
6  91  0
6  92  4.95948e+06
6  93  0
6  94  0
6  95  0
6  96  4.85222e+06
6  97  0
6  98  0
6  99  0
6  100  4.55718e+06
7  0  0
7  1  0
7  2  8.73455e+06
7  3  1.19526e+07
7  4  0
7  5  6.73236e+06
7  6  9.6569e+06
7  7  8.08874e+06
7  8  891289
7  9  8.88973e+06
7  10  2.45734e+06
7  11  1.24175e+06
7  12  0
7  13  1.54071e+06
