row  column  (images_6a.edf Mn-K*images_6a.edf Ar-K**2.3)
2  78  1.63755e+07
2  79  3.07941e+07
2  80  1.30908e+07
2  81  2.08618e+07
2  82  671208
2  83  4.68753e+06
2  84  362743
2  85  0
2  86  0
2  87  9.44093e+06
2  88  9.94526e+06
2  89  2.45779e+06
2  90  2.57987e+06
2  91  5.4239e+06
2  92  1.00915e+07
2  93  6.3749e+06
2  94  8.14491e+06
2  95  7.36242e+06
2  96  6.31802e+06
2  97  4.48991e+06
2  98  8.48956e+06
2  99  1.1573e+07
2  100  0
3  0  2.19904e+07
3  1  5.67684e+06
3  2  3.92082e+06
3  3  1.02903e+07
3  4  0
3  5  0
3  6  1.42144e+06
3  7  3.62255e+06
3  8  8.31951e+06
3  9  1.13835e+07
3  10  2.14383e+06
3  11  5.71833e+06
3  12  4.15284e+06
3  13  5.25415e+06
3  14  7.66539e+06
3  15  4.28835e+06
3  16  6.01373e+06
3  17  1.26535e+06
3  18  5.53046e+06
3  19  5.99293e+06
3  20  0
3  21  1.40068e+07
3  22  1.27659e+07
3  23  1.37405e+07
3  24  0
3  25  8.15364e+06
3  26  5.63809e+06
3  27  3.02506e+07
3  28  2.35292e+07
3  29  1.10977e+07
3  30  1.05274e+07
3  31  7.0232e+06
3  32  1.91651e+07
3  33  1.65461e+07
3  34  8.94138e+06
3  35  0
3  36  1.15116e+07
3  37  2.46605e+06
3  38  0
3  39  0
3  40  1.20522e+07
3  41  1.32223e+07
3  42  7.35989e+06
3  43  0
3  44  1.04921e+07
3  45  6.36594e+06
3  46  1.80239e+07
3  47  5.24917e+06
3  48  1.80585e+07
3  49  8.98235e+06
3  50  1.82219e+06
3  51  0
3  52  0
3  53  7.2862e+06
3  54  1.87981e+07
3  55  0
3  56  0
3  57  716094
3  58  4.29205e+06
3  59  0
3  60  1.27652e+07
3  61  1.5715e+07
3  62  0
3  63  4.65486e+06
3  64  3.73131e+06
3  65  8.29085e+06
3  66  5.4918e+06
3  67  1.3812e+07
3  68  6.64726e+06
3  69  1.77588e+07
3  70  9.80009e+06
3  71  6.21223e+06
3  72  7.45482e+06
3  73  2.63059e+07
3  74  1.98756e+07
3  75  949226
3  76  1.77996e+07
3  77  1.50932e+07
3  78  4.77281e+06
3  79  9.47101e+06
3  80  1.75045e+07
3  81  1.26793e+06
3  82  4.53348e+06
3  83  8.40746e+06
3  84  9.36309e+06
3  85  1.04368e+07
3  86  0
3  87  7.94866e+06
3  88  4.13063e+07
3  89  1.05693e+07
3  90  8.92713e+06
3  91  6.91446e+06
3  92  9.55695e+06
3  93  1.473e+07
3  94  1.88494e+07
3  95  1.25223e+07
3  96  9.85749e+06
3  97  2.40323e+07
3  98  5.88749e+06
3  99  1.93695e+07
3  100  3.26093e+07
4  0  3.01961e+06
4  1  1.11874e+07
4  2  0
4  3  9.49617e+06
4  4  1.99478e+06
4  5  1.2986e+07
4  6  0
4  7  4.85172e+06
4  8  6.0955e+06
4  9  1.29911e+07
4  10  1.22312e+07
4  11  7.2705e+06
4  12  5.2734e+06
4  13  6.35274e+06
4  14  1.69812e+06
4  15  8.14492e+06
4  16  1.50793e+07
4  17  1.644e+06
4  18  0
4  19  2.32746e+07
4  20  1.22009e+07
4  21  9.65656e+06
4  22  8.25608e+06
4  23  1.75272e+07
4  24  0
4  25  5.92287e+06
4  26  1.48551e+07
4  27  1.26325e+07
4  28  0
4  29  2.61477e+07
4  30  2.29673e+07
4  31  0
4  32  0
4  33  1.8283e+07
4  34  2.03043e+06
4  35  0
4  36  0
4  37  2.12344e+07
4  38  1.92765e+07
4  39  2.51276e+06
4  40  6.85355e+06
4  41  0
4  42  6.8149e+06
4  43  8.91741e+06
4  44  0
4  45  0
4  46  1.19755e+07
4  47  1.07101e+07
4  48  1.34928e+07
4  49  678647
4  50  1.00802e+07
4  51  1.08018e+07
4  52  8.8752e+06
4  53  6.63678e+06
4  54  1.06389e+07
4  55  1.06016e+07
4  56  9.50092e+06
4  57  1.08817e+07
4  58  1.61787e+07
4  59  1.76169e+07
4  60  0
4  61  6.52903e+06
4  62  4.25867e+06
4  63  1.51145e+07
4  64  9.46406e+06
4  65  0
4  66  2.41711e+07
4  67  1.88796e+07
4  68  4.10447e+06
4  69  1.93325e+07
4  70  7.60095e+06
4  71  1.60231e+07
4  72  0
4  73  2.25991e+07
4  74  9.81602e+06
4  75  7.89512e+06
4  76  1.05651e+07
4  77  391685
4  78  1.05396e+07
4  79  2.02034e+06
4  80  1.22166e+07
4  81  1.42214e+07
4  82  2.13685e+07
4  83  8.00332e+06
4  84  0
4  85  4.44216e+06
4  86  1.84844e+07
4  87  1.6552e+07
4  88  5.67441e+06
4  89  2.86319e+06
4  90  4.38598e+06
4  91  5.97715e+06
4  92  7.4138e+06
4  93  1.20152e+07
4  94  1.56176e+07
4  95  1.39813e+07
4  96  1.3468e+07
4  97  7.92086e+06
