row  column  (images_6a.edf S-K*images_6a.edf Ar-K**2.3)
2  74  9.95485e+06
2  75  5.11314e+06
2  76  1.01103e+07
2  77  3.05138e+06
2  78  7.54558e+06
2  79  0
2  80  517176
2  81  4.04348e+06
2  82  3.11543e+06
2  83  5.27396e+06
2  84  3.6504e+06
2  85  347913
2  86  707286
2  87  327151
2  88  4.36472e+06
2  89  5.02843e+06
2  90  2.04633e+06
2  91  1.38719e+06
2  92  161802
2  93  0
2  94  2.88685e+06
2  95  889298
2  96  3.78545e+06
2  97  0
2  98  389946
2  99  0
2  100  0
3  0  2.6993e+07
3  1  3.66701e+07
3  2  3.3999e+07
3  3  3.61948e+07
3  4  4.13179e+07
3  5  3.89381e+07
3  6  4.24733e+07
3  7  4.33083e+07
3  8  5.22495e+07
3  9  3.4261e+07
3  10  3.63518e+07
3  11  4.4917e+07
3  12  5.56882e+07
3  13  4.14637e+07
3  14  4.21317e+07
3  15  5.0097e+07
3  16  3.39101e+07
3  17  2.40141e+07
3  18  3.58746e+07
3  19  2.31501e+07
3  20  4.40373e+07
3  21  3.41866e+07
3  22  3.11502e+07
3  23  2.95323e+07
3  24  2.61348e+07
3  25  2.8413e+07
3  26  4.55749e+07
3  27  3.12076e+07
3  28  4.13825e+07
3  29  3.05383e+07
3  30  3.33449e+07
3  31  3.52157e+07
3  32  2.81984e+07
3  33  2.39596e+07
3  34  3.0439e+07
3  35  3.50351e+07
3  36  5.12118e+07
3  37  3.88332e+07
3  38  4.24163e+07
3  39  4.55607e+07
3  40  2.81902e+07
3  41  1.78798e+07
3  42  2.07179e+07
3  43  1.68837e+07
3  44  1.25966e+07
3  45  2.34863e+07
3  46  1.49989e+07
3  47  2.24705e+07
3  48  2.64728e+07
3  49  2.51658e+07
3  50  2.65148e+07
3  51  2.12946e+07
3  52  4.55249e+07
3  53  3.38377e+07
3  54  3.71376e+07
3  55  3.5892e+07
3  56  4.38681e+07
3  57  2.30928e+07
3  58  2.61945e+07
3  59  1.6716e+07
3  60  2.66906e+07
3  61  2.21226e+07
3  62  8.7919e+06
3  63  1.45833e+07
3  64  1.74281e+07
3  65  1.9586e+07
3  66  2.14833e+07
3  67  1.35742e+07
3  68  9.84655e+06
3  69  0
3  70  2.38062e+06
3  71  9.01422e+06
3  72  5.18463e+06
3  73  1.60307e+06
3  74  1.46612e+07
3  75  2.51905e+06
3  76  6.39599e+06
3  77  1.51514e+07
3  78  6.81126e+06
3  79  898991
3  80  1.8012e+06
3  81  5.28035e+06
3  82  3.77795e+06
3  83  7.91966e+06
3  84  1.36425e+06
3  85  2.39122e+06
3  86  5.15014e+06
3  87  4.45235e+06
3  88  0
3  89  0
3  90  2.22409e+06
3  91  2.57238e+06
3  92  0
3  93  7.27268e+06
3  94  1.00874e+06
3  95  0
3  96  0
3  97  0
3  98  7.15727e+06
3  99  0
3  100  0
4  0  3.16222e+07
4  1  2.98249e+07
4  2  3.74671e+07
4  3  4.81918e+07
4  4  3.2973e+07
4  5  3.73216e+07
4  6  4.50075e+07
4  7  4.23595e+07
4  8  3.4968e+07
4  9  4.82211e+07
4  10  3.23994e+07
4  11  5.39917e+07
4  12  3.98684e+07
4  13  2.94333e+07
4  14  4.98067e+07
4  15  4.28965e+07
4  16  5.10585e+07
4  17  3.97576e+07
4  18  4.24292e+07
4  19  1.84038e+07
4  20  3.52889e+07
4  21  2.39728e+07
4  22  3.24667e+07
4  23  3.3937e+07
4  24  2.95145e+07
4  25  3.74754e+07
4  26  3.36726e+07
4  27  3.64055e+07
4  28  1.92378e+07
4  29  3.2195e+07
4  30  3.95084e+07
4  31  4.1988e+07
4  32  3.65196e+07
4  33  3.90968e+07
