row  column  (images_6a.edf Zn-K*images_6a.edf Ar-K**2.3)
2  76  2.12798e+07
2  77  8.23835e+06
2  78  7.21065e+06
2  79  2.23214e+07
2  80  2.4803e+07
2  81  4.00993e+06
2  82  1.69792e+07
2  83  1.59176e+07
2  84  5.31921e+06
2  85  1.68075e+06
2  86  0
2  87  8.08053e+06
2  88  0
2  89  3.14149e+07
2  90  0
2  91  1.07497e+06
2  92  4.14358e+06
2  93  8.68687e+06
2  94  1.86081e+07
2  95  3.09412e+06
2  96  2.41194e+07
2  97  1.71331e+07
2  98  7.25852e+06
2  99  2.37407e+07
2  100  1.39654e+07
3  0  8.98628e+07
3  1  7.47666e+07
3  2  5.81181e+07
3  3  7.85218e+07
3  4  8.52151e+07
3  5  6.20108e+07
3  6  4.40413e+07
3  7  4.47474e+07
3  8  7.81272e+07
3  9  4.0405e+07
3  10  4.06796e+07
3  11  5.60948e+07
3  12  3.63999e+07
3  13  5.48656e+07
3  14  5.88883e+07
3  15  4.39228e+07
3  16  5.15971e+07
3  17  5.58695e+07
3  18  3.04432e+07
3  19  3.89539e+07
3  20  5.61832e+07
3  21  3.16984e+07
3  22  4.86072e+07
3  23  3.30149e+07
3  24  2.7673e+07
3  25  3.73734e+07
3  26  3.91239e+06
3  27  3.43776e+07
3  28  1.58215e+07
3  29  3.92284e+07
3  30  2.60007e+07
3  31  3.3056e+07
3  32  3.32653e+07
3  33  4.06431e+07
3  34  3.71181e+07
3  35  3.54024e+07
3  36  6.24875e+07
3  37  3.15783e+07
3  38  3.32695e+07
3  39  1.20605e+07
3  40  3.6415e+07
3  41  3.40096e+07
3  42  3.04668e+07
3  43  3.40583e+07
3  44  3.22679e+07
3  45  1.93283e+07
3  46  5.07197e+06
3  47  3.39545e+07
3  48  2.59803e+07
3  49  2.523e+07
3  50  2.18444e+07
3  51  1.28488e+07
3  52  5.52714e+07
3  53  2.7562e+07
3  54  2.19292e+07
3  55  3.13758e+07
3  56  5.62636e+07
3  57  4.46662e+07
3  58  3.0111e+07
3  59  3.3726e+07
3  60  4.22799e+07
3  61  2.67623e+07
3  62  2.22688e+07
3  63  2.38187e+07
3  64  2.47174e+07
3  65  1.7351e+07
3  66  3.59247e+07
3  67  2.6047e+07
3  68  5.59824e+06
3  69  1.92981e+07
3  70  2.5541e+06
3  71  3.26309e+07
3  72  0
3  73  1.4174e+07
3  74  2.661e+07
3  75  1.51341e+07
3  76  0
3  77  1.60747e+07
3  78  4.08451e+06
3  79  1.55037e+07
3  80  1.0735e+07
3  81  3.10622e+07
3  82  2.84368e+07
3  83  1.80205e+07
3  84  1.09859e+06
3  85  8.7861e+06
3  86  0
3  87  2.10598e+06
3  88  4.01405e+07
3  89  0
3  90  6.71749e+06
3  91  1.22292e+07
3  92  0
3  93  0
3  94  1.01721e+07
3  95  1.3731e+07
3  96  1.39214e+07
3  97  0
3  98  2.06043e+07
3  99  1.41176e+07
3  100  1.84183e+07
4  0  6.91618e+07
4  1  6.45366e+07
4  2  4.21914e+07
4  3  7.92373e+07
4  4  4.83247e+07
4  5  8.42459e+07
4  6  6.60699e+07
4  7  5.00718e+07
4  8  3.6503e+07
4  9  4.0051e+07
4  10  3.74203e+07
4  11  3.54027e+07
4  12  4.52676e+07
4  13  4.84743e+07
4  14  5.30068e+07
4  15  7.07034e+07
4  16  7.28061e+07
4  17  218738
4  18  5.17105e+07
4  19  3.13915e+07
4  20  4.88542e+07
4  21  1.41698e+07
4  22  2.99768e+07
4  23  3.76344e+07
4  24  3.76453e+07
4  25  3.68096e+07
4  26  2.79756e+07
4  27  4.19085e+07
4  28  2.71129e+07
4  29  2.85765e+07
4  30  3.78767e+07
4  31  2.47591e+07
4  32  2.6095e+07
4  33  2.61172e+07
4  34  2.03311e+07
4  35  3.199e+07
4  36  5.45256e+07
4  37  3.78988e+07
4  38  4.52574e+07
4  39  6.19336e+07
4  40  2.27402e+07
4  41  1.85131e+07
4  42  1.98474e+07
4  43  3.57847e+07
4  44  3.94547e+07
4  45  3.21414e+07
4  46  1.27254e+07
4  47  3.35634e+07
4  48  1.68548e+07
4  49  1.33539e+07
4  50  1.83711e+07
4  51  1.61538e+07
4  52  2.47547e+07
