row  column  (images_25_2_757.edf Fe-K*images_25_2_757.edf Ar-K**2.3)
5  9  1.10875e+08
5  10  1.73768e+08
5  11  2.72872e+08
5  12  8.20761e+08
5  13  1.52883e+09
5  14  5.59443e+08
5  15  3.00936e+08
5  16  1.97824e+08
5  17  8.858e+07
5  18  8.96061e+07
5  19  8.88349e+07
5  20  1.09085e+08
5  21  8.4892e+07
5  22  9.27535e+07
5  23  1.12309e+08
5  24  8.36866e+07
5  25  7.92886e+07
5  26  9.46479e+07
5  27  9.8508e+07
5  28  9.80522e+07
5  29  1.01443e+08
5  30  7.92763e+07
5  31  7.05628e+07
5  32  6.84551e+07
5  33  4.60518e+07
5  34  7.33766e+07
5  35  6.84143e+07
5  36  6.62479e+07
5  37  7.89922e+07
5  38  1.20953e+08
5  39  1.01328e+08
5  40  1.03879e+08
5  41  1.14278e+08
5  42  1.18507e+08
5  43  7.04955e+07
5  44  9.23563e+07
5  45  1.10787e+08
5  46  1.13308e+08
5  47  6.96079e+07
5  48  8.16396e+07
5  49  7.76314e+07
5  50  1.22434e+08
6  0  9.72117e+07
6  1  1.64272e+08
6  2  1.5541e+08
6  3  1.44057e+08
6  4  1.23497e+08
6  5  1.8972e+08
6  6  1.37404e+08
6  7  9.82176e+07
6  8  1.08853e+08
6  9  1.32702e+08
6  10  1.67925e+08
6  11  2.9178e+08
6  12  8.17447e+08
6  13  1.74142e+09
6  14  7.73364e+08
6  15  3.15185e+08
6  16  2.14968e+08
6  17  1.49028e+08
6  18  1.07604e+08
6  19  9.17952e+07
6  20  8.03157e+07
6  21  7.34559e+07
6  22  8.13863e+07
6  23  1.23242e+08
6  24  1.09967e+08
6  25  1.16838e+08
6  26  1.17733e+08
6  27  1.00369e+08
6  28  1.04192e+08
6  29  1.35858e+08
6  30  8.00337e+07
6  31  7.51288e+07
6  32  6.2546e+07
6  33  7.69291e+07
6  34  6.46978e+07
6  35  6.83478e+07
6  36  7.05137e+07
6  37  7.7974e+07
6  38  1.07926e+08
6  39  1.16962e+08
6  40  1.13799e+08
6  41  1.15487e+08
6  42  1.2474e+08
6  43  1.00162e+08
6  44  7.8731e+07
6  45  1.14509e+08
6  46  1.25124e+08
6  47  8.29097e+07
6  48  7.85058e+07
6  49  6.8728e+07
6  50  7.70778e+07
7  0  1.27633e+08
7  1  1.67599e+08
7  2  1.98546e+08
7  3  1.7511e+08
7  4  1.0259e+08
7  5  1.78247e+08
7  6  1.34237e+08
7  7  1.19141e+08
7  8  1.09292e+08
7  9  1.43011e+08
7  10  1.96916e+08
7  11  3.25828e+08
7  12  1.27279e+09
7  13  2.31655e+09
7  14  7.60634e+08
7  15  3.21606e+08
7  16  2.08951e+08
7  17  1.38885e+08
7  18  1.06143e+08
7  19  1.05701e+08
7  20  1.01693e+08
7  21  9.11627e+07
7  22  9.75015e+07
7  23  1.17318e+08
7  24  1.43261e+08
7  25  1.18469e+08
7  26  1.15501e+08
7  27  1.28152e+08
7  28  1.18606e+08
7  29  1.32619e+08
7  30  8.42162e+07
7  31  7.80979e+07
7  32  7.50644e+07
7  33  6.23139e+07
7  34  6.47028e+07
7  35  6.00436e+07
7  36  8.58591e+07
7  37  7.70234e+07
7  38  9.70226e+07
7  39  9.22647e+07
7  40  1.3118e+08
7  41  1.09857e+08
7  42  1.11997e+08
7  43  8.34027e+07
7  44  7.429e+07
7  45  1.10187e+08
7  46  1.04789e+08
7  47  9.85371e+07
7  48  8.36968e+07
7  49  8.21019e+07
7  50  9.47334e+07
8  0  1.38045e+08
8  1  1.83952e+08
8  2  1.73592e+08
8  3  1.59114e+08
8  4  1.39225e+08
8  5  1.66364e+08
8  6  1.27572e+08
8  7  1.40302e+08
8  8  1.30629e+08
8  9  1.47296e+08
8  10  2.29986e+08
8  11  3.83558e+08
8  12  1.64609e+09
8  13  3.32999e+09
8  14  1.0208e+09
8  15  3.7373e+08
8  16  2.29878e+08
8  17  1.50158e+08
8  18  1.19747e+08
8  19  9.24733e+07
8  20  8.12023e+07
8  21  8.46724e+07
8  22  9.12992e+07
8  23  1.29594e+08
8  24  1.42961e+08
8  25  1.39468e+08
8  26  1.26415e+08
8  27  9.76947e+07
8  28  1.45736e+08
8  29  1.47023e+08
8  30  9.83277e+07
8  31  8.41757e+07
8  32  6.63207e+07
8  33  7.81673e+07
8  34  7.31301e+07
8  35  6.93175e+07
8  36  8.66466e+07
8  37  8.47015e+07
8  38  1.14114e+08
8  39  1.11043e+08
8  40  1.09407e+08
8  41  1.05606e+08
8  42  1.20842e+08
8  43  1.0046e+08
8  44  8.28619e+07
8  45  9.12762e+07
8  46  8.43042e+07
8  47  1.03766e+08
8  48  8.53977e+07
8  49  8.77994e+07
8  50  9.59238e+07
9  0  1.5077e+08
9  1  1.67777e+08
9  2  1.6253e+08
9  3  1.77449e+08
9  4  1.10864e+08
9  5  1.66806e+08
9  6  1.56434e+08
9  7  1.41366e+08
9  8  1.61489e+08
9  9  1.68277e+08
9  10  2.46078e+08
9  11  4.43278e+08
9  12  2.06388e+09
9  13  4.31789e+09
9  14  1.20044e+09
9  15  4.25754e+08
9  16  2.68868e+08
9  17  1.99391e+08
9  18  1.38697e+08
9  19  1.19412e+08
9  20  1.21316e+08
9  21  1.27352e+08
9  22  9.99905e+07
9  23  1.34056e+08
9  24  1.43149e+08
9  25  1.48981e+08
9  26  1.16499e+08
9  27  1.33917e+08
9  28  1.62372e+08
9  29  1.57473e+08
9  30  9.45528e+07
9  31  7.91664e+07
9  32  8.58551e+07
9  33  9.09679e+07
9  34  7.16804e+07
9  35  8.9006e+07
9  36  9.14935e+07
9  37  1.01764e+08
9  38  1.00716e+08
9  39  8.17232e+07
9  40  8.83851e+07
9  41  9.73699e+07
9  42  9.2709e+07
9  43  8.63946e+07
9  44  7.34738e+07
9  45  9.0345e+07
9  46  8.47936e+07
9  47  7.18784e+07
9  48  7.51454e+07
9  49  8.14643e+07
9  50  9.30416e+07
10  0  1.445e+08
10  1  1.71232e+08
10  2  1.71387e+08
10  3  1.93508e+08
10  4  1.17121e+08
10  5  1.62969e+08
10  6  1.85592e+08
10  7  1.92629e+08
10  8  2.11491e+08
10  9  2.30435e+08
10  10  3.09886e+08
10  11  5.58797e+08
10  12  2.33286e+09
10  13  5.11926e+09
10  14  1.25219e+09
10  15  4.7814e+08
10  16  3.20226e+08
10  17  2.02499e+08
10  18  1.56269e+08
10  19  1.31161e+08
10  20  1.15403e+08
10  21  1.18361e+08
10  22  9.80437e+07
10  23  1.29941e+08
10  24  1.33913e+08
10  25  1.46595e+08
10  26  1.23784e+08
10  27  1.50835e+08
10  28  1.36186e+08
10  29  1.01143e+08
10  30  9.98307e+07
10  31  8.74487e+07
10  32  8.35117e+07
10  33  9.03889e+07
10  34  8.55552e+07
10  35  7.3948e+07
10  36  8.67708e+07
10  37  9.64985e+07
10  38  1.06741e+08
10  39  7.72306e+07
10  40  9.51432e+07
10  41  6.81363e+07
10  42  8.71089e+07
10  43  9.57928e+07
10  44  8.27978e+07
10  45  8.23507e+07
10  46  7.79747e+07
10  47  8.35228e+07
10  48  7.8357e+07
10  49  8.08845e+07
10  50  9.70977e+07
