row  column  (images_25_2_757.edf Ca-K*images_25_2_757.edf Ar-K**2.3)
5  8  1.82216e+09
5  9  1.65559e+09
5  10  1.79279e+09
5  11  1.507e+09
5  12  1.55418e+09
5  13  1.87307e+09
5  14  1.7449e+09
5  15  1.35588e+09
5  16  1.0484e+09
5  17  7.7227e+08
5  18  1.2578e+09
5  19  1.11651e+09
5  20  9.09572e+08
5  21  7.54606e+08
5  22  6.90247e+08
5  23  9.21704e+08
5  24  9.53728e+08
5  25  9.44456e+08
5  26  8.20855e+08
5  27  7.89645e+08
5  28  9.12763e+08
5  29  8.3577e+08
5  30  6.90638e+08
5  31  6.57407e+08
5  32  6.60918e+08
5  33  6.85258e+08
5  34  8.53425e+08
5  35  8.10519e+08
5  36  8.63082e+08
5  37  9.25771e+08
5  38  1.1325e+09
5  39  1.20862e+09
5  40  1.36371e+09
5  41  1.63547e+09
5  42  1.42117e+09
5  43  1.14749e+09
5  44  1.29047e+09
5  45  1.37928e+09
5  46  1.59309e+09
5  47  1.39124e+09
5  48  1.43339e+09
5  49  1.42797e+09
5  50  1.67266e+09
6  0  1.27202e+09
6  1  1.65101e+09
6  2  1.70775e+09
6  3  1.52959e+09
6  4  1.52856e+09
6  5  1.89698e+09
6  6  1.80777e+09
6  7  1.90933e+09
6  8  1.81084e+09
6  9  1.76077e+09
6  10  1.73259e+09
6  11  1.80176e+09
6  12  1.49071e+09
6  13  1.63919e+09
6  14  1.78386e+09
6  15  1.50597e+09
6  16  1.24532e+09
6  17  9.85557e+08
6  18  1.18708e+09
6  19  1.14633e+09
6  20  8.30261e+08
6  21  7.4972e+08
6  22  7.93498e+08
6  23  1.05358e+09
6  24  1.20077e+09
6  25  1.10092e+09
6  26  1.01205e+09
6  27  9.44408e+08
6  28  1.06796e+09
6  29  1.1915e+09
6  30  8.44154e+08
6  31  8.05333e+08
6  32  8.01702e+08
6  33  8.86125e+08
6  34  8.66544e+08
6  35  8.95234e+08
6  36  1.02917e+09
6  37  1.25063e+09
6  38  1.18167e+09
6  39  1.39587e+09
6  40  1.53808e+09
6  41  1.6384e+09
6  42  1.49398e+09
6  43  1.4046e+09
6  44  1.38068e+09
6  45  1.48405e+09
6  46  1.7631e+09
6  47  1.70577e+09
6  48  1.41582e+09
6  49  1.43301e+09
6  50  1.63321e+09
7  0  1.30324e+09
7  1  1.75391e+09
7  2  2.07598e+09
7  3  1.75375e+09
7  4  1.70064e+09
7  5  1.63924e+09
7  6  1.8486e+09
7  7  2.03445e+09
7  8  1.94401e+09
7  9  1.91409e+09
7  10  1.9368e+09
7  11  1.7028e+09
7  12  1.79095e+09
7  13  1.6707e+09
7  14  1.73104e+09
7  15  1.53619e+09
7  16  1.21956e+09
7  17  1.13487e+09
7  18  1.27314e+09
7  19  1.04721e+09
7  20  9.15227e+08
7  21  7.8913e+08
