row  column  (images_25_2_757.edf P-K*images_25_2_757.edf Ar-K**2.3)
10  25  1.48306e+07
10  26  0
10  27  1.4191e+07
10  28  0
10  29  9.93988e+06
10  30  0
10  31  0
10  32  0
10  33  0
10  34  1.04998e+07
10  35  0
10  36  0
10  37  7.56921e+06
10  38  9.05901e+06
10  39  0
10  40  1.51678e+07
10  41  0
10  42  0
10  43  0
10  44  7.86326e+06
10  45  0
10  46  0
10  47  0
10  48  0
10  49  0
10  50  0
11  0  0
11  1  0
11  2  9.37989e+06
11  3  0
11  4  0
11  5  0
11  6  1.86773e+07
11  7  0
11  8  1.33875e+07
11  9  1.18438e+07
11  10  7.12853e+06
11  11  0
11  12  1.74637e+07
11  13  2.20928e+07
11  14  2.02014e+06
11  15  0
11  16  0
11  17  0
11  18  0
11  19  0
11  20  1.25075e+07
11  21  9.36535e+06
11  22  0
11  23  0
11  24  1.23319e+07
11  25  0
11  26  1.07143e+07
11  27  0
11  28  0
11  29  0
11  30  0
11  31  0
11  32  8.39279e+06
11  33  0
11  34  0
11  35  0
11  36  0
11  37  1.55039e+07
11  38  0
11  39  0
11  40  0
11  41  1.04124e+07
11  42  8.19895e+06
11  43  0
11  44  7.16986e+06
11  45  0
11  46  1.60545e+07
11  47  1.37232e+07
11  48  1.37092e+07
11  49  0
11  50  0
12  0  0
12  1  0
12  2  0
12  3  0
12  4  8.00305e+06
12  5  0
12  6  1.39288e+07
12  7  1.39525e+06
12  8  0
12  9  0
12  10  2.75155e+06
12  11  1.33289e+07
12  12  1.47359e+07
12  13  2.00282e+07
12  14  2.63068e+07
12  15  0
12  16  0
12  17  0
12  18  0
12  19  0
12  20  0
12  21  6.52139e+06
12  22  0
12  23  0
12  24  4.42921e+06
12  25  0
12  26  0
12  27  9.03285e+06
12  28  1.18066e+07
12  29  0
12  30  1.32788e+07
12  31  0
12  32  9.42001e+06
12  33  9.83691e+06
12  34  0
12  35  0
12  36  1.2888e+07
12  37  2.13519e+07
12  38  0
12  39  0
12  40  0
12  41  0
12  42  825826
12  43  0
12  44  9.93895e+06
12  45  0
12  46  1.19341e+07
12  47  0
12  48  0
12  49  0
12  50  1.74307e+07
13  0  0
13  1  0
13  2  0
13  3  0
13  4  0
13  5  0
13  6  1.12982e+07
13  7  0
13  8  9.20882e+06
13  9  0
13  10  9.62975e+06
13  11  1.542e+07
13  12  1.62185e+07
13  13  2.50928e+07
13  14  3.65004e+06
13  15  0
13  16  0
13  17  0
13  18  9.08146e+06
13  19  0
13  20  1.0061e+07
13  21  0
13  22  0
13  23  0
13  24  7.14496e+06
13  25  9.15211e+06
13  26  7.22875e+06
13  27  9.67076e+06
13  28  1.74173e+07
13  29  1.17064e+07
13  30  9.49384e+06
13  31  1.15266e+07
13  32  0
13  33  0
13  34  1.46682e+07
13  35  1.25714e+07
13  36  1.2539e+07
13  37  0
13  38  0
13  39  0
13  40  7.92721e+06
13  41  0
13  42  0
13  43  0
13  44  1.16956e+07
13  45  8.16551e+06
13  46  0
13  47  0
13  48  0
13  49  9.74516e+06
13  50  1.95068e+07
14  0  0
14  1  0
14  2  0
14  3  0
14  4  6.82343e+06
14  5  0
14  6  1.08005e+07
14  7  0
14  8  0
14  9  8.71862e+06
14  10  1.43897e+07
14  11  1.00074e+07
14  12  1.71263e+07
14  13  1.9976e+07
14  14  1.04965e+07
14  15  0
14  16  0
14  17  1.24881e+07
14  18  1.536e+06
14  19  1.40376e+07
14  20  0
14  21  0
14  22  0
14  23  8.21833e+06
14  24  0
14  25  0
14  26  1.60806e+07
14  27  0
14  28  0
14  29  0
14  30  1.04379e+07
14  31  0
14  32  0
14  33  0
14  34  0
14  35  0
14  36  1.47388e+07
14  37  0
14  38  0
14  39  0
14  40  0
14  41  0
14  42  0
14  43  0
14  44  6.78982e+06
14  45  0
14  46  0
14  47  4.73939e+06
14  48  0
14  49  0
14  50  1.2034e+07
15  0  0
15  1  0
15  2  0
15  3  0
15  4  0
15  5  1.26144e+07
15  6  1.30129e+07
15  7  1.64752e+07
15  8  0
15  9  0
15  10  0
15  11  0
15  12  1.39513e+06
15  13  1.43378e+07
15  14  8.10726e+06
15  15  0
15  16  0
15  17  1.29816e+07
15  18  2.43268e+07
15  19  0
15  20  1.01936e+07
15  21  0
15  22  6.15562e+06
15  23  1.64329e+07
15  24  0
15  25  0
15  26  1.20308e+07
15  27  9.6775e+06
15  28  9.89286e+06
15  29  0
15  30  0
15  31  1.72596e+07
15  32  1.33674e+07
15  33  1.3671e+07
15  34  2.69128e+07
15  35  1.81074e+07
15  36  2.35422e+07
15  37  0
15  38  0
15  39  9.06208e+06
15  40  8.25429e+06
15  41  0
15  42  5.98133e+06
15  43  0
15  44  8.74783e+06
15  45  0
15  46  0
15  47  0
15  48  1.21815e+07
15  49  1.0977e+07
15  50  1.06728e+07
16  0  0
16  1  0
16  2  0
16  3  0
16  4  0
16  5  1.25248e+07
16  6  1.0413e+07
16  7  0
16  8  9.49788e+06
16  9  0
16  10  0
16  11  0
16  12  0
16  13  1.21493e+07
16  14  0
16  15  0
16  16  0
16  17  0
16  18  8.3358e+06
16  19  7.97542e+06
16  20  0
16  21  1.07909e+07
16  22  1.42873e+07
16  23  0
16  24  0
16  25  1.27919e+07
16  26  0
16  27  7.94096e+06
16  28  1.51515e+07
16  29  0
16  30  0
16  31  1.20865e+07
16  32  2.70255e+07
16  33  2.24739e+07
16  34  0
16  35  0
16  36  0
16  37  8.50288e+06
16  38  0
16  39  0
16  40  0
16  41  8.85995e+06
16  42  0
16  43  7.86298e+06
16  44  0
16  45  0
16  46  0
16  47  1.31551e+07
16  48  1.12624e+07
16  49  1.60213e+07
16  50  1.6579e+07
17  0  0
17  1  0
17  2  0
17  3  0
17  4  0
17  5  0
17  6  0
17  7  8.39184e+06
17  8  0
17  9  0
17  10  0
17  11  0
17  12  0
17  13  1.04569e+07
17  14  1.10154e+06
17  15  0
17  16  9.71728e+06
17  17  0
17  18  0
17  19  9.17103e+06
17  20  8.5461e+06
17  21  0
17  22  0
17  23  0
17  24  7.0986e+06
17  25  0
17  26  9.68951e+06
17  27  0
17  28  0
17  29  0
17  30  7.65874e+06
17  31  1.83102e+07
17  32  1.80747e+07
17  33  0
17  34  1.5939e+07
17  35  1.32095e+07
17  36  0
17  37  0
17  38  0
17  39  0
