row  column  (images_25_2_757.edf Mn-K*images_25_2_757.edf Ar-K**2.3)
5  8  2.07946e+07
5  9  1.1803e+07
5  10  1.69513e+07
5  11  1.97532e+07
5  12  1.9315e+07
5  13  1.54601e+07
5  14  1.3589e+07
5  15  3.18384e+07
5  16  1.52106e+07
5  17  1.54553e+07
5  18  1.44538e+07
5  19  1.61264e+07
5  20  3.03547e+07
5  21  2.05647e+07
5  22  2.883e+07
5  23  2.61459e+07
5  24  2.23237e+07
5  25  2.83213e+07
5  26  2.22266e+07
5  27  1.0694e+07
5  28  2.33712e+07
5  29  1.64789e+07
5  30  1.14105e+07
5  31  2.05351e+07
5  32  1.97287e+07
5  33  2.34102e+07
5  34  1.92288e+07
5  35  1.96951e+07
5  36  1.86447e+07
5  37  1.69985e+07
5  38  2.30713e+07
5  39  1.61383e+07
5  40  2.2249e+07
5  41  8.09835e+06
5  42  1.81202e+07
5  43  1.82445e+07
5  44  2.59132e+07
5  45  6.62533e+06
5  46  9.46825e+06
5  47  1.59267e+07
5  48  9.84446e+06
5  49  2.86978e+07
5  50  1.81033e+07
6  0  2.08925e+07
6  1  1.54462e+07
6  2  1.74739e+07
6  3  1.08887e+07
6  4  1.52914e+07
6  5  1.47678e+07
6  6  1.64653e+07
6  7  1.47887e+07
6  8  1.7799e+07
6  9  2.04337e+07
6  10  1.59507e+07
6  11  1.28311e+07
6  12  7.70927e+06
6  13  0
6  14  1.48048e+07
6  15  2.28096e+07
6  16  1.6017e+07
6  17  1.07945e+07
6  18  2.35017e+07
6  19  2.28904e+07
6  20  1.1624e+07
6  21  2.60683e+07
6  22  1.87728e+07
6  23  2.05102e+07
6  24  1.65162e+07
6  25  2.21339e+07
6  26  1.54978e+07
6  27  2.81303e+07
6  28  2.35754e+07
6  29  2.20551e+07
6  30  2.36013e+07
6  31  1.76379e+07
6  32  3.12147e+07
6  33  1.02938e+07
6  34  2.72204e+07
6  35  2.09052e+07
6  36  1.80004e+07
6  37  2.41517e+07
6  38  1.6498e+07
6  39  2.08539e+07
6  40  2.29607e+07
6  41  1.12452e+07
6  42  1.27609e+07
6  43  3.2445e+07
6  44  2.05394e+07
6  45  2.23754e+07
6  46  2.07629e+07
6  47  2.3793e+07
6  48  1.30357e+07
6  49  1.02608e+07
6  50  1.15068e+07
7  0  7.19288e+06
7  1  1.38084e+07
7  2  2.27447e+07
7  3  1.36397e+07
7  4  1.03419e+07
7  5  1.38999e+07
7  6  2.5815e+07
7  7  1.82693e+07
7  8  1.79273e+07
7  9  1.7785e+07
7  10  1.54846e+07
7  11  1.11357e+07
7  12  0
7  13  0
7  14  6.53989e+06
7  15  9.6515e+06
7  16  3.18989e+07
7  17  1.31352e+07
7  18  2.6718e+07
7  19  2.05996e+07
7  20  1.18072e+07
7  21  2.16695e+07
7  22  1.96791e+07
7  23  2.41844e+07
7  24  5.66224e+06
7  25  1.74305e+07
7  26  1.92233e+07
7  27  2.31019e+07
7  28  2.37442e+07
7  29  1.47618e+07
7  30  2.49936e+07
7  31  2.41282e+07
7  32  1.62995e+07
7  33  2.00188e+07
7  34  2.10024e+07
7  35  1.92129e+07
7  36  2.80093e+07
7  37  1.54795e+07
7  38  1.46526e+07
7  39  1.43022e+07
7  40  2.46437e+07
7  41  2.00524e+07
7  42  2.72091e+07
7  43  2.03103e+07
7  44  1.66838e+07
7  45  2.14544e+07
7  46  1.95263e+07
7  47  1.58165e+07
7  48  1.79298e+07
7  49  1.55003e+07
7  50  2.40987e+07
8  0  1.5262e+07
8  1  1.98642e+07
8  2  1.61764e+07
8  3  2.24762e+07
8  4  1.27039e+07
8  5  1.76591e+07
8  6  2.51576e+07
8  7  9.45551e+06
8  8  9.97484e+06
8  9  1.77173e+07
8  10  1.91856e+07
8  11  9.39813e+06
8  12  0
8  13  0
8  14  1.19159e+07
8  15  9.36655e+06
8  16  2.90439e+07
8  17  9.78776e+06
8  18  1.74857e+07
8  19  7.84857e+06
8  20  2.03892e+07
8  21  1.98818e+07
8  22  2.26198e+07
8  23  2.85882e+07
8  24  2.08301e+07
8  25  1.13995e+07
8  26  2.65721e+07
8  27  2.27546e+07
8  28  1.98071e+07
8  29  8.43471e+06
8  30  2.03946e+07
8  31  1.31872e+07
8  32  1.86588e+07
8  33  1.25589e+07
8  34  2.19178e+07
8  35  1.86692e+07
8  36  1.47656e+07
8  37  2.32361e+07
8  38  2.50438e+07
8  39  1.92885e+07
8  40  1.17939e+07
8  41  1.40676e+07
8  42  1.77138e+07
8  43  2.33039e+07
8  44  1.59748e+07
8  45  1.44061e+07
8  46  1.26717e+07
8  47  2.44766e+07
8  48  1.1458e+07
8  49  1.1269e+07
8  50  1.26005e+07
9  0  1.99521e+07
9  1  1.35119e+07
9  2  1.30834e+07
9  3  2.2382e+07
9  4  1.14279e+07
9  5  6.89098e+06
9  6  1.19601e+07
9  7  6.52981e+06
9  8  3.52674e+06
9  9  1.53745e+07
9  10  1.39994e+07
9  11  9.48636e+06
9  12  0
9  13  0
